dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,7.36,4.9,55.01,4.8,37.75,https://img.alicdn.com/imgextra/i2/129156099/O1CN01CVIZ3U1uvOD2sVcOj_!!0-saturn_solar.jpg,0,618739829245,安徽 亳州,41.80,8.80,['山楂'],3414,true,0,无核山楂干500gx2袋装干山楂片山楂圈,亳州中药s
4.8,25.20,4.8,46.64,4.8,34.94,https://img.alicdn.com/imgextra/i4/128788047/O1CN01ZheU5729JZkOg01B6_!!0-saturn_solar.jpg,0,563810072000,山东 临沂,15.60,,['山楂'],1816,true,1,山楂干片泡茶水 无核空心圈有核山渣幹新鲜,晟银药业
4.9,75.50,4.9,65.62,4.9,52.18,https://img.alicdn.com/imgextra/i3/18646114/O1CN01BZgRjk1v2G9LblLUC_!!0-saturn_solar.jpg,0,615876639584,北京,68.00,,['山楂'],109,true,0,山楂六物膏  膏滋 孩子儿童养厌食养生,玛丽精品宝贝
4.8,17.11,4.8,21.23,4.8,20.23,https://img.alicdn.com/imgextra/i1/11793991/O1CN01TcVXVu1fLvIqIyfA9_!!0-saturn_solar.jpg,0,592064585540,山东 潍坊,27.00,15.90,['山楂'],89,true,0,金晔酵素山楂果肉山楂糕网红办公室开胃零食,zhipeng24100
4.8,20.80,4.9,46.96,4.8,25.83,https://img.alicdn.com/imgextra/i3/435850119/O1CN01PePjrS1CkXidzKEf5_!!0-saturn_solar.jpg,1,606070423406,山东 潍坊,18.60,9.60,['山楂'],455,true,0,桑葚山楂条260g2开胃零食小包装新鲜,品相怡旗舰店
4.8,29.49,4.8,35.12,4.9,38.97,https://img.alicdn.com/imgextra/i2/10857441/O1CN015QDUE724q1jHJRwBb_!!0-saturn_solar.jpg,0,616364898317,山西 大同,35.00,16.66,['山楂'],35,true,1,山楂卷无添加老式开胃低糖果丹皮散装独立小,乖乖卡秀168
4.8,41.40,4.8,33.10,4.8,42.87,https://img.alicdn.com/imgextra/i1/113593850/O1CN01ThqVOY1eJLSNLyDsJ_!!0-saturn_solar.jpg,1,607038182031,浙江 湖州,58.00,35.20,['山楂'],248,true,0,莫干山特产山楂干零食即食山楂果肉果脯蜜饯,莫干山食品旗舰店
4.8,3.50,4.7,1.16,4.8,0,https://img.alicdn.com/imgextra/i4/45980469/O1CN01tozbyD1FKqILvpBDQ_!!0-saturn_solar.jpg,0,597189249278,浙江 绍兴,7.80,,['山楂'],8,false,0,公社联盟山楂饴210g无添加酸甜水果山楂,竹田小站直营店
4.8,41.68,4.9,61.86,4.9,49.45,https://img.alicdn.com/imgextra/i2/54935797/O1CN01OdbNW71sh4b3I5jjU_!!0-saturn_solar.jpg,1,38253627931,河北 承德,30.00,17.90,['山楂'],2947,true,0,怡达果丹皮500g 山楂条山楂卷散装蜜饯果糕,怡达食品旗舰店
4.8,18.62,4.8,34.92,4.8,26.31,https://img.alicdn.com/imgextra/i2/113410197/O1CN01DxfOYY1DKGd0XHaco_!!0-saturn_solar.jpg,0,526484783111,山东 临沂,24.80,9.90,['山楂'],21509,true,1,10月新货沂蒙山区特级无核山楂干500克,沂蒙山徐嫂
4.8,17.38,4.8,30.89,4.8,28.12,https://img.alicdn.com/imgextra/i1/115042519/O1CN01oluxXe1UTkHwmDKSN_!!0-saturn_solar.jpg,0,615858241852,山西 运城,10.80,,['山楂'],70,true,0,益生元无蔗糖添加山楂条山楂片山楂糕果丹皮,l雷安云
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/210460048/O1CN01n0QFBz1CE1bvk4758_!!0-saturn_solar.jpg,0,615628177782,河北 邢台,8.90,,['山楂'],7,true,0,经济五斤装开胃卷山楂条多种组合独立包装酸,优速广告工厂
4.9,50.60,4.9,62.75,4.9,53.70,https://img.alicdn.com/imgextra/i1/166950194/O1CN01IZqzX61DItRRytHt7_!!0-saturn_solar.jpg,1,575214207387,辽宁 沈阳,42.90,28.90,['山楂'],456,true,0,一木山楂组合7款1266g包邮果丹皮山楂条片球,一木旗舰店
4.7,-1.48,4.7,-0.56,4.7,-1.92,https://img.alicdn.com/imgextra/i3/117888924/O1CN017kCxzD2FnF5HkHFFh_!!0-saturn_solar.jpg,0,538461007313,山西 运城,16.80,10.75,['山楂'],192,true,0,新货泡水新鲜山楂干泡茶山楂片无核无籽去核,晋域良品
4.9,54.17,4.9,53.30,4.9,52.72,https://img.alicdn.com/imgextra/i2/125123271/O1CN01WoCQbo1a2A8UxPGbt_!!0-saturn_solar.jpg,1,572138039339,浙江 金华,130.00,65.00,['山楂'],1297,true,0,空心山楂2袋无核包装山楂果山楂干山楂球,食味的初相旗舰店
4.8,3.50,4.7,1.16,4.8,0,https://img.alicdn.com/imgextra/i1/45980469/O1CN01Tu87JU1FKqIQ4WADa_!!0-saturn_solar.jpg,0,597183305737,浙江 绍兴,7.80,,['山楂'],14,false,0,公社联盟山楂卷210g鲜果打浆山楂干片果,竹田小站直营店
