dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-1.83,4.6,-3.58,4.7,-2.06,https://img.alicdn.com/imgextra/i1/56618767/O1CN01h676Tm2EdKujbRvEw_!!0-saturn_solar.jpg,1,613759727640,浙江 台州,268.00,148.00,['杨梅'],1300,true,0,仙居杨梅新鲜孕妇当季水果6斤东魁大杨梅,仙庆旗舰店
4.8,14.05,4.8,15.77,4.8,18.86,https://img.alicdn.com/imgextra/i3/55878382/O1CN014a3Wfk2Bn0QIpqzA1_!!0-saturn_solar.jpg,0,617496822501,贵州 贵阳,98.00,,['杨梅'],92,true,0,杨梅新鲜现摘3斤 贵州荸荠杨梅 当季水果,365天的smile
4.9,95.36,4.9,96.38,4.9,95.47,https://img.alicdn.com/imgextra/i1/112559571/O1CN0169KvsR2KZZLkwaJW1_!!0-saturn_solar.jpg,0,617750461398,浙江 台州,158.00,95.00,['杨梅'],280,true,0,正宗仙居东魁大杨梅农家孕妇水果杨梅新鲜当,yyb348129488
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/14621266/O1CN013tQu181LDs1Y2hkC5_!!0-saturn_solar.jpg,0,617935894792,浙江 宁波,148.00,,['杨梅'],34,false,0,慈溪杨梅余姚杨梅非仙居杨梅孕妇水果产地直,伊拉7
4.9,96.79,5.0,100.00,4.9,97.56,https://img.alicdn.com/imgextra/i3/402020002/O1CN013jsayP1BsxOj68ZSy_!!0-saturn_solar.jpg,1,619443970377,浙江 台州,156.00,78.00,['杨梅'],116,false,0,正宗仙居东魁杨梅新鲜水果现摘现发高山杨梅,默鲜旗舰店
4.9,96.79,5.0,100.00,4.9,97.56,https://img.alicdn.com/imgextra/i1/402020002/O1CN01WDy23d1BsxOhLzF9Z_!!0-saturn_solar.jpg,1,593704210009,浙江 台州,256.00,128.00,['杨梅'],474,true,0,正宗仙居杨梅东魁杨梅新鲜水果6斤装现摘现,默鲜旗舰店
4.6,-2.66,4.5,-6.74,4.6,-4.33,https://img.alicdn.com/imgextra/i2/1213960063/O1CN01BzYEOf1CKtYc0m7TN_!!0-saturn_solar.jpg,1,619780490465,浙江 宁波,288.00,188.00,['杨梅'],607,true,0,姚梅牌 余姚慈溪杨梅新鲜现摘现发 当季水,姚梅旗舰店
4.9,94.74,4.9,90.99,4.9,91.80,https://img.alicdn.com/imgextra/i2/123669499/O1CN01JjBgCK2K2apPFaOI4_!!0-saturn_solar.jpg,0,616931109950,浙江 台州,139.00,79.00,['杨梅'],5358,true,1,浙江东魁杨梅仙居杨梅新鲜水果现摘现发包邮,果然鲜1288
4.7,-1.83,4.6,-3.58,4.7,-2.06,https://img.alicdn.com/imgextra/i1/56618767/O1CN01DywjJH2EdKujZ3DLf_!!0-saturn_solar.jpg,1,568853462809,浙江 台州,589.00,268.00,['杨梅'],672,true,0,7A大果仙居杨梅新鲜东魁鲜杨梅大颗粒装8盒,仙庆旗舰店
4.9,89.29,4.9,78.57,4.9,84.39,https://img.alicdn.com/imgextra/i4/409110091/O1CN01VPB9be1CXie9z1DBR_!!0-saturn_solar.jpg,1,618671905241,浙江 台州,368.00,198.00,['杨梅'],1546,true,0,仙居东魁大杨梅孕妇农家时令水果6斤装包邮,浙仙旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/47858236/O1CN01AY3Gep2Ai8bRauwlA_!!0-saturn_solar.jpg,0,619632393219,浙江 绍兴,200.00,100.00,['杨梅'],0,false,0,正宗上虞二都真山杨梅酒自酿高度烧酒果味酒,chenji378367149
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/451980136/O1CN01y5dPqs1CsKTAsfdWv_!!0-saturn_solar.jpg,0,620382410049,浙江 台州,280.00,,['杨梅'],1,false,0,仙居东魁杨梅正宗自家种植6A特大现摘新鲜,鲁鲁jimmy
4.9,95.42,4.9,96.43,4.9,95.53,https://img.alicdn.com/imgextra/i4/1153930076/O1CN01OUFKg41CQqhneP5k8_!!0-saturn_solar.jpg,0,617668156487,浙江 台州,258.00,79.00,['杨梅'],260,true,0,杨梅新鲜仙居东魁杨梅6年老店,tb092785097
4.9,83.06,4.9,60.42,4.9,83.48,https://img.alicdn.com/imgextra/i2/1147140113/O1CN01pVNfmb1ChnMSUsmhA_!!0-saturn_solar.jpg,0,616123964490,浙江 宁波,96.00,,['杨梅'],41,false,0,A级杨梅新鲜孕妇水果 慈溪余姚荸荠黑杨梅,arjean_tool
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i4/14912409/O1CN014EPxLs1TfMjALs7BS_!!0-saturn_solar.jpg,0,619378985447,浙江 宁波,158.00,,['杨梅'],0,true,0,正宗慈溪富硒特级杨梅大果产地直发顺丰冷链,小芮依筱睿
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i1/350970595/O1CN0180GQYg1GGYGSe36Fo_!!350970595.jpg,0,619906251602,浙江 宁波,268.00,,['杨梅'],2,true,0,慈溪富硒精品杨梅顺丰冷链当季健康水果现摘,小芮依筱睿
4.9,94.79,4.9,87.25,4.9,94.22,https://img.alicdn.com/imgextra/i3/129543482/O1CN01fGehXN1banhrvNJCI_!!0-saturn_solar.jpg,1,596571063308,浙江 台州,376.00,188.00,['杨梅'],716,true,0,特级东魁正宗仙居杨梅新鲜东魁杨梅现摘现发,仙乡旗舰店
4.9,94.79,4.9,87.25,4.9,94.22,https://img.alicdn.com/imgextra/i3/129543482/O1CN01IRidgV1banhJqcn1f_!!0-saturn_solar.jpg,1,568580937215,浙江 台州,576.00,288.00,['杨梅'],5148,true,0,贡品级正宗仙居东魁杨梅新鲜水果现摘现发,仙乡旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1186770094/O1CN01lcXDWW1CZ5puL0dSY_!!0-saturn_solar.jpg,0,618238524885,浙江 台州,308.00,,['杨梅'],14,true,0,仙居杨梅大东魁超甜Myrica rubr,梦想史燃
4.9,95.02,4.9,84.48,4.9,95.14,https://img.alicdn.com/imgextra/i3/113749974/O1CN011ZfriH2NY8xe9D4DK_!!0-saturn_solar.jpg,0,597321696027,浙江 台州,468.00,298.00,['杨梅'],119,true,1,36颗粒装送礼正宗仙居杨梅东魁杨梅新鲜大兵,禾希仙梅
4.9,82.98,4.9,71.13,4.9,78.49,https://img.alicdn.com/imgextra/i2/45652320/TB2m_qMt_tYBeNjy1XdXXXXyVXa_!!0-saturn_solar.jpg,1,567927780922,浙江 台州,599.00,238.00,['杨梅'],36,true,0,正宗新鲜仙居东魁杨梅农家特级大杨梅,苏虞旗舰店
4.9,44.30,4.9,46.77,4.8,38.61,https://img.alicdn.com/imgextra/i2/577420049/O1CN01yqBVtW1CEU0YCVIl5_!!0-saturn_solar.jpg,1,618690426404,浙江 台州,588.00,299.00,['杨梅'],451,true,0,新鲜大杨梅正宗东魁杨梅现摘现发独立包装浙,浚宸旗舰店
4.9,51.75,4.9,62.39,4.9,52.91,https://img.alicdn.com/imgextra/i2/1226070171/O1CN01wpR91k1D8MKhYOWrg_!!0-saturn_solar.jpg,0,620149623558,浙江 台州,248.00,,['杨梅'],13,false,0,正宗仙居东魁杨梅新鲜水果现摘现发当季孕妇,幸运女孩i
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/16477466/O1CN01MkyH8R251Tcz6oRmW_!!0-saturn_solar.jpg,0,618762414532,浙江 台州,238.00,95.00,['杨梅'],6,false,0,杨梅新鲜水果东魁杨梅仙居大杨梅时令应季孕,a16022922
4.7,-1.00,4.6,-2.52,4.7,-1.81,https://img.alicdn.com/imgextra/i4/50668158/O1CN01YByxub2A8PhyaFTtp_!!0-saturn_solar.jpg,0,617199660534,浙江 温州,188.00,148.00,['杨梅'],10,false,0,新鲜杨梅当季时令孕妇水果鲜甜大非仙居东魁,guxiumei1234
4.9,71.75,4.9,58.74,4.9,70.67,https://img.alicdn.com/imgextra/i2/56219334/O1CN018lg3yu2Ip1U7mXirV_!!0-saturn_solar.jpg,1,548611194903,浙江 台州,458.00,258.00,['杨梅'],3733,true,0,轩农谷正宗仙居杨梅新鲜当季水果特级东魁,轩农谷旗舰店
4.8,38.19,4.8,0.70,4.8,21.84,https://img.alicdn.com/imgextra/i4/360760148/O1CN01UC2aaT1CxpDudOa7i_!!0-saturn_solar.jpg,1,620272857971,浙江 台州,688.00,228.00,['杨梅'],0,true,0,正宗仙居东魁杨梅新鲜孕妇水果现摘现发高山,果沟里旗舰店
4.9,92.21,5.0,100.00,4.9,96.20,https://img.alicdn.com/imgextra/i2/133013094/O1CN01ZP749e1Yj61r03b7d_!!2-saturn_solar.png,0,618988055530,浙江 台州,190.00,,['杨梅'],345,true,1,正宗仙居杨梅新鲜东魁孕妇儿童现摘现发整箱,a曾经帅过几天
4.8,0,4.6,-2.20,4.8,0,https://img.alicdn.com/imgextra/i4/132576288/O1CN01lzb5cO1wJx3umj6SQ_!!0-saturn_solar.jpg,0,617447356829,浙江 台州,558.00,288.00,['杨梅'],79,true,1,仙居特级东魁大杨梅现摘现发杨梅新鲜孕妇水,萧rav银party
4.9,48.18,4.8,30.35,4.9,44.19,https://img.alicdn.com/imgextra/i3/11077938/O1CN01Gwjx7x28VeZJmfvUK_!!0-saturn_solar.jpg,0,597448627781,浙江 舟山,180.00,,['杨梅'],9,false,0,舟山白泉晚稻精品杨梅第一时间联系3斤装江,小小的心2
4.6,-2.70,4.4,-8.18,4.5,-6.27,https://img.alicdn.com/imgextra/i2/1146590139/O1CN01RVhUnS1CthewVYYpH_!!0-saturn_solar.jpg,1,619904169575,浙江 宁波,258.00,98.00,['杨梅'],13,false,0,慈溪杨梅新鲜现摘现发孕妇当季时令水果6斤,臻品柚佳人旗舰店
4.9,59.53,4.5,-4.93,4.8,0,https://img.alicdn.com/imgextra/i3/115757297/O1CN016Ih28g23m4cxRXpcZ_!!0-saturn_solar.jpg,0,596203065236,浙江 台州,280.00,186.00,['杨梅'],121,false,1,浙江仙居东魁杨梅顺丰孕妇水果6斤礼盒装,8866ccd
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/50092409/O1CN01N1IIOa1TfMiwSQGdk_!!2-saturn_solar.png,0,620003251938,浙江 台州,168.00,,['杨梅'],3,false,0,正宗仙居杨梅7A级精品大东魁当季新鲜水果,yingdandan1981
4.8,2.84,4.7,0,4.8,8.70,https://img.alicdn.com/imgextra/i1/1065970116/O1CN01lXmgzm1CjAY4BjdkZ_!!0-saturn_solar.jpg,0,616270361660,福建 漳州,218.00,89.00,['杨梅'],532,true,0,福建漳州浮宫杨梅新鲜现摘特产时令水果当季,鸿琴食品企业店
4.9,54.92,4.8,24.79,4.8,35.71,https://img.alicdn.com/imgextra/i3/124069328/O1CN01YM911c2ImH6eXqqbc_!!0-saturn_solar.jpg,1,617658232253,浙江 温州,298.00,278.00,['杨梅'],28,true,0,7A级 温州茶山杨梅6斤颗粒礼盒新鲜孕妇,绿新园旗舰店
4.9,54.92,4.8,24.79,4.8,35.71,https://img.alicdn.com/imgextra/i1/124069328/O1CN01S3gs1C2ImH6epBGy2_!!0-saturn_solar.jpg,1,618161414725,浙江 温州,168.00,158.00,['杨梅'],5,true,0,5A精品新鲜温州茶山杨梅3斤颗粒礼盒新鲜,绿新园旗舰店
4.7,-2.26,4.6,-2.97,4.6,-3.73,https://img.alicdn.com/imgextra/i1/402810015/O1CN01czzDkS1ByuXvUIu43_!!0-saturn_solar.jpg,1,593313107822,浙江 台州,398.00,168.00,['杨梅'],14,true,0,现货 正宗仙居东魁杨梅新鲜仙居杨梅水果现,思果汇旗舰店
4.8,0,4.6,-2.20,4.8,0,https://img.alicdn.com/imgextra/i4/132576288/O1CN01SKRo6D1wJx44WK24F_!!0-saturn_solar.jpg,0,618301039216,浙江 台州,418.00,218.00,['杨梅'],7,true,1,仙居东魁杨梅一级新鲜水果整箱现摘现发浙江,萧rav银party
