dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1228170156/O1CN01TimyGm1D1UOJfOlGN_!!0-saturn_solar.jpg,0,620330511015,四川 成都,88.00,,['枇杷'],10,true,0,四川成都新鲜现摘现发甘甜可口 易孕妇大果,心如静子
4.9,60.08,4.8,28.88,4.9,55.48,https://img.alicdn.com/imgextra/i4/121523801/O1CN010noTwE1dwu35gc4ql_!!0-saturn_solar.jpg,0,618170763005,四川 雅安,108.00,,['枇杷'],23,true,0,四川枇杷新鲜大果现货水果当季现摘现发 高,生态诚品
4.9,60.08,4.8,28.88,4.9,55.48,https://img.alicdn.com/imgextra/i4/121523801/O1CN01pC3Wfp1dwu32NzLBg_!!0-saturn_solar.jpg,0,618113811528,四川 雅安,89.00,,['枇杷'],21,true,0,枇杷新鲜3斤四川枇杷五星枇杷现摘水果枇杷,生态诚品
,,,,,,https://img.alicdn.com/imgextra/i1/16024857/O1CN01fzOxCC1lkYHbNdROA_!!0-saturn_solar.jpg,0,615562735349,云南 昭通,55.00,,['枇杷'],8,true,0,顺丰包邮云南大五星枇杷果新鲜水果当季早钟,娜之李
4.6,-4.35,4.3,-8.91,4.4,-7.24,https://img.alicdn.com/imgextra/i3/133721011/O1CN01ywLHHP1JL51US5YwQ_!!0-saturn_solar.jpg,0,594623261440,四川 成都,128.00,89.90,['枇杷'],209,true,0,四川龙泉枇杷新鲜大果5斤包邮当季,417183293李志琴
4.8,25.02,4.7,0,4.8,37.31,https://img.alicdn.com/imgextra/i3/118712907/O1CN01qGD1Ea1XLRxdqfmwR_!!0-saturn_solar.jpg,0,549903460719,四川 成都,119.80,83.86,['枇杷'],299,true,1,四川成都龙泉现摘现发新鲜纯天然有机无污染,一个人的花开428999517
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/262770106/O1CN01YIEpbz1CeaaXYevNE_!!2-saturn_solar.png,0,618052468628,四川 阿坝,128.00,36.80,['枇杷'],24,true,0,四川五星枇杷3斤净重整箱包果现摘枇杷大果,xx518588
4.8,2.26,4.8,0,4.8,-0.82,https://img.alicdn.com/imgextra/i4/121197062/O1CN01ISBC3u222Rc64nwT3_!!0-saturn_solar.jpg,0,543888820349,广东 揭阳,32.88,28.93,['枇杷'],1,true,0,包邮枇杷果苗树苗盆栽 嫁接大五星枇杷苗,龙的传人bin
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/17038978/O1CN01UJv4XD2GByTIgsW1u_!!0-saturn_solar.jpg,0,615157984186,浙江 杭州,168.00,,['枇杷'],3,false,0,高端枇杷塘栖精品琵琶塘西软条白沙枇杷礼盒,涵1225
4.7,-2.11,4.6,-3.38,4.6,-2.79,https://img.alicdn.com/imgextra/i1/132545464/O1CN01KRL4O91qEYhxpqDxy_!!0-saturn_solar.jpg,1,566117380844,四川 自贡,58.00,39.80,['枇杷'],2719,true,0,聚百果 四川五星枇杷新鲜枇杷果琵琶果20,聚百果旗舰店
