dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.6,-3.39,4.5,-5.42,4.6,-4.45,https://img.alicdn.com/imgextra/i1/227910029/O1CN01uhG8dx1C5K5jTrPsN_!!0-saturn_solar.jpg,1,611927873809,四川 资阳,15.90,,['柠檬'],2,true,0,重庆潼南黄柠檬净重3斤新鲜酸爽当季一级清,瓜桃李芒旗舰店
4.8,30.31,4.4,-6.74,4.6,-3.51,https://img.alicdn.com/imgextra/i1/30183119/O1CN01vGMDi61YuXvnP43Tn_!!0-saturn_solar.jpg,0,614768487117,四川 资阳,16.90,,['柠檬'],25,true,0,安岳黄柠檬现摘新鲜四川皮薄多汁大果产地直,月饼伴绿茶
4.5,-6.45,4.4,-6.36,4.3,-9.11,https://img.alicdn.com/imgextra/i4/22783456/O1CN01AUUI8d1bOtOBiSkFZ_!!0-saturn_solar.jpg,0,600827195619,广东 广州,39.80,10.80,['柠檬'],3,true,0,3斤包邮新鲜海南小金桔酸青金桔柠檬青桔5,kuang35
4.7,-1.50,4.7,-1.24,4.7,-1.58,https://img.alicdn.com/imgextra/i2/106854041/O1CN011SEkl21fip6eL1GpS_!!0-saturn_solar.jpg,0,571768586072,上海,60.00,,['柠檬'],171,true,0,餐饮供应精选进口南非黄柠檬5斤一级大果皮,xll20189
4.8,0,4.7,-1.39,4.7,-0.87,https://img.alicdn.com/imgextra/i1/117565614/TB2bffewdknBKNjSZKPXXX6OFXa_!!0-saturn_solar.jpg,0,550611882952,广东 江门,27.80,,['柠檬'],843,true,1,香水柠檬新鲜5斤装奶茶店柠檬无籽青柠檬,shallygg
4.5,-5.64,4.3,-9.09,4.5,-5.62,https://img.alicdn.com/imgextra/i4/662010026/O1CN01Nx0zra1C3wtt5YDrR_!!0-saturn_solar.jpg,0,608290064210,四川 资阳,16.80,12.80,['柠檬'],140,true,0,四川黄柠檬精选新鲜薄皮一级大果整箱酸水果,兴果网05792787
4.9,57.08,4.8,33.13,4.9,41.39,https://img.alicdn.com/imgextra/i1/935960027/O1CN01QRoKP61C4PIZRHjJ9_!!0-saturn_solar.jpg,0,616449208845,四川 成都,15.90,,['柠檬'],21,true,0,黄柠檬5斤四川安岳柠檬带箱5斤装应季包邮,tb8592353707
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/120244169/O1CN0113yXkq1gfRnmotY6Z_!!0-saturn_solar.jpg,0,615350754779,云南 保山,9.90,,['柠檬'],0,true,0,安岳一级精品机封黄柠檬90-180g1斤,kunkun75565
4.7,-1.38,4.3,-8.33,4.6,-4.03,https://img.alicdn.com/imgextra/i3/55550960/O1CN016i5wGY1IxipPkMKKu_!!0-saturn_solar.jpg,0,614280457511,四川 资阳,60.00,39.90,['柠檬'],82,true,0,新鲜甜黄柠檬3斤皮薄多汁一级大果现摘现发,甜蜜生活一家人
4.8,30.31,4.4,-6.74,4.6,-3.51,https://img.alicdn.com/imgextra/i1/30183119/O1CN01CbFqgF1YuXvz1rWRh_!!0-saturn_solar.jpg,0,615011655482,浙江 宁波,12.60,,['柠檬'],7,true,0,安岳黄柠檬现摘新鲜水果特级四川皮薄多汁超,月饼伴绿茶
4.7,-1.62,4.7,-2.42,4.7,-2.11,https://img.alicdn.com/imgextra/i2/399600022/O1CN01pxL8eq1C27JmaHNfK_!!0-saturn_solar.jpg,1,618029831479,四川 资阳,29.90,12.90,['柠檬'],15423,true,0,新鲜安岳黄柠檬5.5斤一级当季整箱水果,鲜丰硕旗舰店
4.7,-0.98,4.7,-1.58,4.7,-1.37,https://img.alicdn.com/imgextra/i1/508120097/O1CN01cyTBZo1CaT0y0duxm_!!0-saturn_solar.jpg,1,616363041639,海南 海口,39.00,9.90,['柠檬'],3628,true,0,青柠檬 新鲜 海南青柠檬新鲜免邮青柠檬小一,果地香旗舰店
