dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,-0.58,4.6,-3.12,4.7,-2.65,https://img.alicdn.com/imgextra/i3/109427320/O1CN01qzYilN23wbo7Mj6oF_!!0-saturn_solar.jpg,0,617915113137,河北 石家庄,20.80,,['梨'],151,true,0,5斤 河北皇冠梨雪花梨鸭梨当季孕妇水果梨,名着生活会馆
4.7,-0.66,4.8,0,4.7,-0.87,https://img.alicdn.com/imgextra/i4/134013518/O1CN01WicRB61brHvdOwrHb_!!0-saturn_solar.jpg,1,572351716742,河北 石家庄,62.90,16.80,['梨'],24063,true,0,皇冠梨5斤 10斤包邮新鲜水果整箱梨子当季雪,乾和旗舰店
4.7,-2.12,4.7,-2.31,4.7,-2.34,https://img.alicdn.com/imgextra/i2/468970069/O1CN01Re7UBB1CNdv3erFk3_!!0-saturn_solar.jpg,1,601326564600,河北 石家庄,39.90,15.80,['梨'],4535,true,0,河北鸭梨10斤梨子新鲜水果皇冠梨香梨雪梨,维伊果旗舰店
4.9,57.08,4.8,33.13,4.9,41.39,https://img.alicdn.com/imgextra/i1/935960027/O1CN01LjCzII1C4PIQo6rvX_!!0-saturn_solar.jpg,0,615495129829,四川 成都,29.90,,['梨'],51,true,0,香梨带箱5斤10斤装 精选当季新鲜梨子大头梨,tb8592353707
4.7,-0.53,4.7,-0.70,4.7,-0.66,https://img.alicdn.com/imgextra/i4/823400115/O1CN0147i09i1Cii9XALEeg_!!0-saturn_solar.jpg,1,618027456820,陕西 西安,68.00,24.90,['梨'],12505,true,0,古江新疆库尔勒香梨净重5斤特产 时令新鲜水,古江旗舰店
4.8,0,4.7,-0.81,4.8,-0.54,https://img.alicdn.com/imgextra/i2/32359407/O1CN01RwR8zP2JMSOBJn04d_!!0-saturn_solar.jpg,0,616649130160,上海,198.00,168.00,['梨'],32,true,1,新品上市新西兰进口piqaboo红啤梨新,heyedong146502
4.9,41.09,4.9,62.45,4.9,47.76,https://img.alicdn.com/imgextra/i4/109409222/O1CN01GCDVNB2Hzj7ViHqWv_!!0-saturn_solar.jpg,0,617701049859,河北 石家庄,19.90,,['梨'],2,true,0,正宗河北赵县雪花梨带箱10斤当季甜水果新,年轻就要够味1990
4.3,-10.48,4.3,-9.64,4.3,-10.41,https://img.alicdn.com/imgextra/i1/119262530/O1CN013sdrnp1UYmeSgKu1c_!!0-saturn_solar.jpg,0,595766104416,四川 广元,39.90,,['梨'],2,true,0,新鲜青翠冠梨超甜梨梨子四川青脆梨苍溪雪梨,辛润商贸有限公司
4.7,-1.58,4.7,-2.33,4.7,-2.34,https://img.alicdn.com/imgextra/i1/268290135/O1CN01m0xfHu1Crs4Xz6cNe_!!0-saturn_solar.jpg,1,619867030753,安徽 宿州,12.90,,['梨'],178,true,0,梨子新鲜10斤整箱安徽砀山皇冠梨应季水果,桃元帅旗舰店
4.8,0,4.7,-0.81,4.8,-0.54,https://img.alicdn.com/imgextra/i2/32359407/O1CN01bFqKZ82JMSOSNI9Wn_!!0-saturn_solar.jpg,0,43627996160,上海,108.00,68.00,['梨'],30,true,1,现货比利时啤梨新鲜水果5斤装青啤梨孕妇宝,heyedong146502
5.0,100.00,4.8,18.65,5.0,100.00,https://img.alicdn.com/imgextra/i2/33058684/O1CN01f8WZ8a2E1JyXdTmcx_!!0-saturn_solar.jpg,0,590807431812,陕西 渭南,23.90,,['梨'],0,true,0,陕西老哥早酥梨新鲜梨子青皮梨脆甜多汁优选,ml0403877
4.7,-2.29,4.5,-4.75,4.6,-4.45,https://img.alicdn.com/imgextra/i1/121253909/O1CN017c2Bht1ekMor4UYRv_!!0-saturn_solar.jpg,0,603591761910,山东 烟台,21.80,,['梨'],18,true,0,秋月梨正宗新鲜水果 梨子比南水梨雪梨丰水,烟台特产生态果园
4.7,-2.04,4.7,-1.99,4.7,-2.30,https://img.alicdn.com/imgextra/i4/131864412/O1CN013yxr681iSk33VhusI_!!0-saturn_solar.jpg,1,620069663092,山东 烟台,9.90,,['梨'],71,true,0,秋月梨甜脆多汁的秋月梨莱阳梨大果带箱9斤,猴农水果旗舰店
4.8,33.54,4.7,2.01,4.8,35.17,https://img.alicdn.com/imgextra/i2/568050118/O1CN01kwmksR1Ck5KqtuzzI_!!0-saturn_solar.jpg,0,616790195575,安徽 宿州,18.50,,['梨'],194,true,0,正宗新鲜10斤安徽砀山梨酥梨荡山梨包邮2,明朝无酒族
4.6,-4.17,4.4,-7.14,4.5,-5.59,https://img.alicdn.com/imgextra/i2/120349015/O1CN01P0r24H2GSv8e4e5iq_!!0-saturn_solar.jpg,1,619868703918,陕西 渭南,89.80,19.90,['梨'],313,true,0,陕西早酥梨10斤梨子新鲜水果应当季皇冠脆梨,甘福园旗舰店
4.8,25.18,4.8,13.69,4.8,29.37,https://img.alicdn.com/imgextra/i4/405050139/O1CN01oJ5dkA1CtheacfqRE_!!0-saturn_solar.jpg,1,616335921563,河北 石家庄,47.80,23.90,['梨'],2,true,0,河北赵县鸭梨新鲜梨子水果当季雪白梨脆梨,鲜多萃旗舰店
4.7,-2.17,4.6,-2.92,4.6,-2.77,https://img.alicdn.com/imgextra/i4/129141254/O1CN015xQNZe1L8NG3tpAbI_!!0-saturn_solar.jpg,1,561938184258,河北 石家庄,39.90,15.80,['梨'],8049,true,0,河北皇冠梨雪梨新鲜水果梨子整箱包邮10斤,翠王旗舰店
4.8,2.71,4.8,5.53,4.7,0,https://img.alicdn.com/imgextra/i3/133437352/O1CN01VVvNyN24BGQpGXHTX_!!0-saturn_solar.jpg,1,571556992246,山东 烟台,66.00,18.90,['梨'],326,true,0,脆甜莱阳丰水梨5斤  新鲜水果梨子秋月梨,客聚多旗舰店
4.8,-0.52,4.8,15.60,4.8,5.26,https://img.alicdn.com/imgextra/i3/859120175/O1CN01H2V7bN1DABuvwypIA_!!0-saturn_solar.jpg,0,611199072577,陕西 渭南,23.90,,['梨'],8,true,0,当季香酥梨5斤孕妇水果整箱包邮新鲜直批6,鹰击长空伟
4.8,-0.72,4.7,-1.15,4.8,-0.63,https://img.alicdn.com/imgextra/i1/45490510/O1CN01WACo3P1FdcZyOoxZL_!!0-saturn_solar.jpg,0,540419047296,河北 石家庄,52.80,18.90,['梨'],17,true,0,当季皇冠梨5斤装现摘现发新鲜甜脆多汁,高一贝
4.9,65.15,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/439810195/O1CN01R3e3HE1DJLm7NW6Wr_!!0-saturn_solar.jpg,0,617965320396,新疆 巴音郭楞,69.90,,['梨'],53,true,0,新疆小红杏新鲜当季甜杏子水果带箱4斤装非,懒丛交易
4.7,-1.40,4.7,-1.75,4.7,-1.86,https://img.alicdn.com/imgextra/i1/128831609/O1CN01fxGzwV1NkxsQZ7MYN_!!0-saturn_solar.jpg,1,618681054284,山东 烟台,68.00,19.80,['梨'],2258,true,0,烟台太婆梨 软茄梨大头梨子当季水果现货5,煎虾客生鲜旗舰店
4.8,17.61,4.8,8.38,4.8,19.59,https://img.alicdn.com/imgextra/i3/511480101/O1CN01sv90dt1CcIaUKchTW_!!0-saturn_solar.jpg,0,613303103827,山东 威海,36.80,,['梨'],66,true,0,中华烟台丑梨5斤净重山东新鲜水果包邮胜太,北方精品果园
4.8,17.61,4.8,8.38,4.8,19.59,https://img.alicdn.com/imgextra/i4/511480101/O1CN015bDBZh1CcIb18T7CW_!!0-saturn_solar.jpg,0,601940259906,山东 威海,25.80,18.80,['梨'],103,true,0,山东丰水梨圆黄梨秋月梨5斤包邮当季现摘黄,北方精品果园
4.8,17.55,4.8,0,4.8,13.81,https://img.alicdn.com/imgextra/i1/133079153/O1CN01SXth3c2HU7n6364ai_!!0-saturn_solar.jpg,1,613151006263,山东 烟台,26.80,,['梨'],194,true,0,新鲜现摘烟台莱阳梨4.5斤装水果梨皇冠梨,青青大地旗舰店
4.8,18.19,4.8,30.91,4.8,13.50,https://img.alicdn.com/imgextra/i3/57583528/O1CN010Enn291bvrv79mJZ5_!!2-saturn_solar.png,0,616452460554,山东 烟台,17.90,,['梨'],22,true,0,正宗烟台黄县长把梨新鲜采摘5斤孕妇皮薄渣,tb533566_77
4.5,-5.89,4.2,-11.95,4.4,-8.11,https://img.alicdn.com/imgextra/i2/45917541/O1CN01QzsIdr25ZpEapxG4I_!!0-saturn_solar.jpg,0,558728232731,安徽 宿州,16.99,,['梨'],36,true,0,天天特价正宗砀山农家特产砀山梨新鲜水果贡,淘淘维love
4.8,21.41,4.7,0,4.8,20.03,https://img.alicdn.com/imgextra/i2/52417870/O1CN01oG3pRN280VVyhqoC2_!!0-saturn_solar.jpg,0,582252053680,北京,45.90,35.80,['梨'],53,true,0,新鲜红肖梨 老北京红梨 沙梨 甜梨 可煮,vv宝贝z
4.3,-9.90,4.6,-4.58,4.6,-4.09,https://img.alicdn.com/imgextra/i3/14394321/O1CN01gTjJoV1hn3yKRdl3I_!!0-saturn_solar.jpg,0,607635170881,山西 运城,19.80,,['梨'],1,true,0,山西运城酥梨新鲜水果产地直供当季梨子,yaohongqiqi
4.6,-3.87,4.4,-6.25,4.5,-5.40,https://img.alicdn.com/imgextra/i4/354790014/O1CN01cDMiXW1ByS9HIjQ1n_!!2-saturn_solar.png,0,619523822252,陕西 渭南,26.66,,['梨'],5,true,0,陕西早酥梨新鲜水果当季砀山酥梨鸭梨脆梨非,aiqi517xj
4.5,-6.24,4.3,-8.57,4.4,-7.76,https://img.alicdn.com/imgextra/i4/1213130102/O1CN0129sSoi1Ccl0IU9wAF_!!0-saturn_solar.jpg,0,619162237922,河南 商丘,19.90,,['梨'],38,true,0,宁陵特产金顶谢花酥梨皮薄多汁超脆超甜皇家,tb176673451
4.7,-1.31,4.7,-1.78,4.7,-1.59,https://img.alicdn.com/imgextra/i4/468390162/O1CN01owLRHA1D4EkoylmF1_!!0-saturn_solar.jpg,1,598551688729,河北 石家庄,39.90,18.90,['梨'],1937,true,0,梨子丰水梨新鲜当季新鲜水果秋月梨子10斤,盘中果旗舰店
4.9,59.09,4.9,68.11,4.9,60.07,https://img.alicdn.com/imgextra/i1/1140410031/O1CN01Mt971T1C6EssAdQpu_!!0-saturn_solar.jpg,0,616923205222,广东 佛山,238.00,,['梨'],36,true,0,寻味顺德 正宗传统黑椒脆皮广东烧鹅 新鲜整,tb935237434
4.8,-0.58,4.7,-0.94,4.8,0,https://img.alicdn.com/imgextra/i2/129319776/O1CN01Pw6Mip2M5SXu5akSR_!!0-saturn_solar.jpg,0,619851353717,广西 南宁,24.90,,['梨'],0,true,0,净果5斤全国包邮新疆库尔勒香梨 新鲜,hyong9806
4.7,-0.90,4.7,-1.18,4.8,0,https://img.alicdn.com/imgextra/i1/128632483/O1CN01ZSYTWw1UDG2LZp7sM_!!0-saturn_solar.jpg,0,618508394575,河北 石家庄,17.90,,['梨'],111,true,1,皇冠梨5斤10斤包邮新鲜水果整箱梨子当季,chenhui718944017
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i3/47618806/O1CN01oVJIHw2EvCJB4CciU_!!0-saturn_solar.jpg,0,598859062643,安徽 宿州,39.90,,['梨'],0,false,0,梨子新鲜10斤带箱砀山梨皇冠梨香梨鸭梨早,永恒9967
4.8,0,4.7,-1.39,4.7,-1.18,https://img.alicdn.com/imgextra/i3/503250192/O1CN01Z3ojJe1DHyduP8djd_!!0-saturn_solar.jpg,0,614511087169,河北 保定,19.80,,['梨'],51,true,0,西淀梨园梨子皇冠梨5斤雪梨新鲜水果梨子整,t_1497508585863_0833
4.8,-0.79,4.7,-0.75,4.8,-0.51,https://img.alicdn.com/imgextra/i4/114917815/O1CN01mYCnSy27bJqi96es6_!!0-saturn_solar.jpg,0,565840891557,河北 石家庄,47.80,24.90,['梨'],565,true,0,皇冠梨10斤5斤包邮新鲜梨子水果鸭梨雪花梨,aishenghuo003
4.7,-2.15,4.6,-3.46,4.6,-3.16,https://img.alicdn.com/imgextra/i3/933210078/O1CN01ffx0N51CRlV0hHlRE_!!0-saturn_solar.jpg,1,620004506451,广西 崇左,29.90,22.90,['梨'],7,true,0,砀山酥梨 5斤整箱新鲜应当季水果现摘现发,地瓜皇后生鲜旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/1230100131/O1CN01mjM7Lv1Cq2USWOmYx_!!0-saturn_solar.jpg,0,619917017453,重庆,8.00,6.50,['梨'],9,true,0,小村牧歌 130克 小包装毛肚毛肚新鲜生,motaorong
4.6,-3.39,4.5,-5.29,4.6,-4.18,https://img.alicdn.com/imgextra/i4/545180130/O1CN01DUNwF81Cpa5tSmMCo_!!0-saturn_solar.jpg,1,602265135311,江苏 徐州,17.80,12.80,['梨'],2467,true,0,梨子新鲜10斤安徽砀山梨酥梨应季水果当季5,福椰水果旗舰店
4.8,0,4.7,-1.01,4.8,9.04,https://img.alicdn.com/imgextra/i4/391540172/O1CN01NL1BAf1D8oin0Pfzd_!!0-saturn_solar.jpg,0,609733460662,山东 烟台,28.80,,['梨'],24,true,0,两大口山东烟台特产正宗莱阳梨中大果净5斤,两大口合作社
4.9,89.29,4.9,78.57,4.9,84.39,https://img.alicdn.com/imgextra/i3/409110091/O1CN01GgkGvx1CXieCEHlqW_!!0-saturn_solar.jpg,1,617635055965,浙江 台州,498.00,268.00,['梨'],522,true,0,正宗仙居东魁杨梅新鲜现摘特级大东魁现摘现,浙仙旗舰店
4.8,25.18,4.8,13.69,4.8,29.37,https://img.alicdn.com/imgextra/i3/405050139/O1CN01qSnMXe1CthemyulEz_!!0-saturn_solar.jpg,1,615283001904,河北 石家庄,45.80,22.90,['梨'],0,true,0,冰糖雪花梨当季梨子新鲜水果应季丑梨当季,鲜多萃旗舰店
4.8,24.65,4.8,12.21,4.8,28.35,https://img.alicdn.com/imgextra/i3/123922568/O1CN01CxE9NJ1UqBhKv4ONQ_!!0-saturn_solar.jpg,1,552128555611,河北 石家庄,88.00,22.80,['梨'],132,true,0,皇冠梨10斤包邮新鲜水果河北雪梨子,爱亚汇旗舰店
4.7,-2.58,4.5,-5.27,4.6,-4.34,https://img.alicdn.com/imgextra/i1/1107780158/O1CN01f33E361D2PBGWpojZ_!!2-saturn_solar.png,1,620151615196,陕西 西安,19.90,,['梨'],2862,true,0,5斤净重吐鲁番哈密瓜新鲜水果爆甜火焰蜜瓜,蜜醉果旗舰店
4.5,-6.24,4.3,-8.57,4.4,-7.76,https://img.alicdn.com/imgextra/i4/1213130102/O1CN01yqrzJ51Ccl0OiAKog_!!0-saturn_solar.jpg,0,620797823977,河南 商丘,19.90,,['梨'],2,true,0,宁陵梨子新鲜整箱10斤砀山梨酥梨应季水果,tb176673451
4.8,25.50,4.8,22.96,4.8,28.61,https://img.alicdn.com/imgextra/i3/113581580/O1CN01MeePz51NXgNevY44Y_!!0-saturn_solar.jpg,0,575499381977,山东 烟台,55.80,31.80,['梨'],377,true,1,正宗冰糖秋月梨新鲜水果梨子 比南水梨雪梨,马文辉1984
4.8,0,4.5,-5.29,4.7,-1.07,https://img.alicdn.com/imgextra/i4/98138074/O1CN01FXdwcb29VwR1gnWDp_!!2-saturn_solar.png,0,604469501545,山西 吕梁,88.00,29.90,['梨'],136,true,0,山西酥梨贡梨梨子新鲜带箱10斤当季应季水,luxin55288
4.7,-2.37,4.5,-4.79,4.6,-3.01,https://img.alicdn.com/imgextra/i4/755760157/O1CN01DRYFXA1D1wmj9ImdF_!!0-saturn_solar.jpg,0,610220481079,新疆 巴音郭楞,73.80,36.90,['梨'],748,true,0,新疆库尔勒香梨新鲜水果整箱现季小梨子包邮,亿参帮
