dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,33.73,4.8,11.36,4.8,26.90,https://img.alicdn.com/imgextra/i2/286340145/O1CN011VDTYS1CwS1bazb4B_!!0-saturn_solar.jpg,1,610413195465,湖北 咸宁,73.80,54.80,['苹果'],5058,true,0,高原蜜脆有机苹果当季红富士冰糖心新鲜水果,神山果农旗舰店
5.0,100.00,4.9,86.42,5.0,100.00,https://img.alicdn.com/imgextra/i4/947080180/O1CN01CtrITJ1DCTtY03wPW_!!0-saturn_solar.jpg,0,620388051557,陕西 西安,26.25,21.00,['苹果'],15,true,0,陕西苹果延安洛川黄龙红富士正宗新鲜脆甜,世纪金典品溯
4.9,78.30,4.9,73.78,4.9,63.99,https://img.alicdn.com/imgextra/i1/675150024/O1CN01HP2nkT1C326wi2V5P_!!0-saturn_solar.jpg,0,606406458637,陕西 延安,49.80,,['苹果'],8,true,0,陕西精品红富士苹果远离城市污染有生命的优,tb935899_99
4.8,2.24,4.8,14.71,4.8,6.52,https://img.alicdn.com/imgextra/i2/679130037/O1CN01RYz2SB1C8zGBOj4ie_!!0-saturn_solar.jpg,1,613443871933,陕西 延安,99.00,39.80,['苹果'],48597,true,0,陕西洛川苹果新鲜水果红富士整箱10斤脆甜,水果将军旗舰店
4.9,84.32,4.9,87.78,4.9,77.04,https://img.alicdn.com/imgextra/i2/1125610100/O1CN01N780Wm1CbqD9sTKSv_!!0-saturn_solar.jpg,0,616175964447,广西 南宁,49.90,,['苹果'],37,true,0,现货新西兰进口泰勒红玫瑰皇后苹果新鲜脆甜,大山来的姑娘1087
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1018950043/O1CN01VM8Gbz1CBjdRI0rtR_!!0-saturn_solar.jpg,0,620016842133,山东 烟台,28.90,,['苹果'],28,true,0,山东烟台一品冠红富士苹果水果脆甜3斤整箱,深海金土特产
4.8,-0.50,4.8,19.25,4.8,0,https://img.alicdn.com/imgextra/i2/50078981/O1CN01gohvOc2GDLfCgIe2j_!!2-saturn_solar.png,1,615797532463,上海,3299.00,,['苹果'],32031,true,0,Apple/苹果 iPhone SE - 12期免息分期,applestore官方旗舰店
4.9,58.53,4.9,63.63,4.9,69.64,https://img.alicdn.com/imgextra/i4/1158200017/O1CN01OGsLBP1BzpKyT8NYH_!!0-saturn_solar.jpg,0,618298332113,陕西 西安,35.00,,['苹果'],83,true,0,正宗洛川红富士苹果10斤装整箱陕西省当季,恒远鑫
4.9,42.98,4.9,55.55,4.9,44.35,https://img.alicdn.com/imgextra/i3/107660931/O1CN011pDPYz1IkRLHAD9YL_!!0-saturn_solar.jpg,0,603262002112,陕西 咸阳,24.90,,['苹果'],24,true,0,陕西红富士长武红富士苹果,咸阳天丰农业科技有限公司
4.7,-0.53,4.7,-0.70,4.7,-0.66,https://img.alicdn.com/imgextra/i2/823400115/O1CN016CKqVD1Cii9Txa6gD_!!0-saturn_solar.jpg,1,613885275789,陕西 延安,98.00,19.90,['苹果'],6870,true,0,陕西洛川苹果水果新鲜当季红富士5斤中大果,古江旗舰店
4.7,-1.72,4.6,-2.96,4.6,-2.43,https://img.alicdn.com/imgextra/i2/293400076/O1CN01SBpFkf1CQqhPm2QJe_!!0-saturn_solar.jpg,1,584401637844,山东 烟台,99.00,23.80,['苹果'],59318,true,0,烟台红富士苹果水果新鲜丑10斤山东当季整箱,梦强旗舰店
4.9,58.53,4.9,63.63,4.9,69.64,https://img.alicdn.com/imgextra/i4/1158200017/O1CN01ejDnXl1BzpL0bboYb_!!0-saturn_solar.jpg,0,618898918093,陕西 西安,35.00,,['苹果'],34,true,0,正宗陕西洛川红富士应季新鲜水果苹果5斤整,恒远鑫
4.6,-4.95,4.5,-5.35,4.6,-3.41,https://img.alicdn.com/imgextra/i1/49689879/O1CN01dmPcsc2MqdKeemCj3_!!0-saturn_solar.jpg,0,601760544861,山东 威海,39.90,29.90,['苹果'],7,true,0,山东苹果水果新鲜红富士整箱5斤装邮政包邮5,18363630967suiliyuan
4.8,10.63,4.7,0,4.8,10.36,https://img.alicdn.com/imgextra/i1/16422246/O1CN01dDoH6G1SSiAR6zxxc_!!0-saturn_solar.jpg,0,616677880462,上海,23.80,,['苹果'],361,true,1,南非进口野生小苹果牛顿丑苹果红富士水果新,td520d
4.7,-2.76,4.6,-2.85,4.7,-2.02,https://img.alicdn.com/imgextra/i2/907390041/O1CN01RSKy0M1CAoqNNM0j7_!!0-saturn_solar.jpg,0,619953355064,山东 淄博,39.80,,['苹果'],64,true,0,包邮10斤装山东红富士新鲜苹果水果当季脆甜,复元西子
4.9,49.05,4.8,48.48,4.9,52.41,https://img.alicdn.com/imgextra/i1/115317120/O1CN01hl5f4M22T0ZueSeVY_!!0-saturn_solar.jpg,0,559997928682,陕西 西安,69.80,,['苹果'],45,true,1,陕西有机洛川苹果红富士新鲜脆甜礼品盒装孕,东升果品
4.9,49.05,4.8,48.48,4.9,52.41,https://img.alicdn.com/imgextra/i2/115317120/O1CN01BreySd22T0apuJrdF_!!0-saturn_solar.jpg,0,585958080694,陕西 西安,89.80,,['苹果'],89,true,1,陕西特产洛川苹果特大精品红富士脆甜送礼14,东升果品
4.9,65.20,4.9,62.35,4.9,62.82,https://img.alicdn.com/imgextra/i2/132376488/O1CN018g7HJ81xnYHUcqLVH_!!0-saturn_solar.jpg,0,618363944420,山西 临汾,19.90,,['苹果'],153,true,1,山西临猗青苹果现摘新鲜孕妇水果10斤酸甜,浅唱情非情的幽伤
4.8,0,4.8,0,4.7,0,https://img.alicdn.com/imgextra/i4/129933481/O1CN019eMFHz1baLJIExFub_!!0-saturn_solar.jpg,1,581118880903,陕西 延安,39.80,,['苹果'],10302,true,0,陕西洛川苹果水果新鲜红富士应当季10斤整,果臻美旗舰店
4.8,6.01,4.8,6.72,4.8,1.30,https://img.alicdn.com/imgextra/i3/108671029/O1CN01BLGUyf1JTK7SYK8B1_!!0-saturn_solar.jpg,1,599055284982,陕西 延安,138.00,44.80,['苹果'],42925,true,0,延安洛川红富士苹果水果新鲜当季整箱10斤,尧坝旗舰店
4.9,57.08,4.8,33.13,4.9,41.39,https://img.alicdn.com/imgextra/i3/935960027/O1CN01iRbDpR1C4PIF4TCtL_!!0-saturn_solar.jpg,0,616474587591,四川 成都,26.90,,['苹果'],78,true,0,美益鲜果 甘肃静宁红富士苹果大果应季新鲜,tb8592353707
4.6,-3.83,4.5,-6.62,4.5,-5.48,https://img.alicdn.com/imgextra/i4/445090085/O1CN01FCfWYq1CUyGjQTll2_!!0-saturn_solar.jpg,1,620036367594,山西 运城,158.00,18.80,['苹果'],3188,true,0,新鲜青苹果水果10斤包邮酸甜脆爽孕妇水果,果福隆旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/115193684/O1CN01NafLuU1d5JhuVzRtP_!!0-saturn_solar.jpg,0,615046069254,陕西 西安,158.00,,['苹果'],0,true,0,新鲜水果苹果 陕西延安苹果高档水果礼盒,北纬三十六度九企业店
4.5,-5.02,4.6,-3.64,4.7,-1.85,https://img.alicdn.com/imgextra/i2/815260180/O1CN01KEnKfY1DCTtTAoihA_!!0-saturn_solar.jpg,0,616431813267,山东 烟台,25.80,22.80,['苹果'],340,true,0,正宗山东烟台栖霞苹果红富士整箱10斤包邮,五公主好美
4.9,73.37,4.9,60.79,4.9,79.79,https://img.alicdn.com/imgextra/i1/915050100/O1CN01l1tIsa1CbqDHVeTq8_!!0-saturn_solar.jpg,0,613174037473,陕西 渭南,33.80,,['苹果'],226,true,0,陕西白水红富士新鲜现摘当季特产整箱5斤包,皇甫舒然爸爸
4.6,-3.80,4.4,-7.00,4.5,-5.74,https://img.alicdn.com/imgextra/i4/404060066/O1CN01TRJk5B1CMGkDeHlb0_!!0-saturn_solar.jpg,1,618185187757,山东 烟台,49.00,21.90,['苹果'],2928,true,0,甜苹果水果新鲜红富士苹果整箱冰糖心10斤,恬果旺旗舰店
4.9,88.80,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/113152416/O1CN0190MUvq1TiZThroDne_!!0-saturn_solar.jpg,0,604850781062,陕西 咸阳,41.90,,['苹果'],10,true,0,陕西苹果新鲜红富士冰糖心水果整箱10斤包,臭小子270629081
4.8,-0.69,4.7,-1.57,4.7,-1.08,https://img.alicdn.com/imgextra/i4/477310140/O1CN01kpNpp11CuA2u7DzbS_!!0-saturn_solar.jpg,0,617006591214,山东 烟台,29.90,9.90,['苹果'],1187,true,0,山东烟台栖霞红富士苹果新鲜水果5斤包邮,思乡甜果园
4.7,-1.40,4.7,-1.75,4.7,-1.86,https://img.alicdn.com/imgextra/i3/128831609/O1CN01A2tccT1NkxrpWYZM4_!!0-saturn_solar.jpg,1,561151427735,山东 烟台,98.00,21.80,['苹果'],20265,true,0,山东烟台红富士苹果新鲜吃的应季脆甜带箱,煎虾客生鲜旗舰店
4.6,-3.85,4.5,-5.42,4.6,-2.93,https://img.alicdn.com/imgextra/i4/1218030172/O1CN01OgpvYJ1D8ojDBq67J_!!2-saturn_solar.png,1,620101383358,陕西 西安,24.80,23.80,['苹果'],243,true,0,苹果水果十斤新鲜脆甜粉面当季整箱宝宝水果,良味果旗舰店
4.8,2.12,4.8,0,4.7,0,https://img.alicdn.com/imgextra/i1/1050870171/O1CN014TOXLz1D8MKldg8Cd_!!0-saturn_solar.jpg,1,614375753891,陕西 延安,65.80,42.00,['苹果'],70,true,0,正宗陕西延安洛川苹果水果10斤一整箱批新,涵果水果旗舰店
4.9,88.80,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/113152416/O1CN01ax2HJI1TiZU9ZlTA2_!!0-saturn_solar.jpg,0,604628604225,陕西 咸阳,53.90,,['苹果'],2,true,0,陕西红富士苹果新鲜净重10斤装脆甜水果包,臭小子270629081
4.6,-3.37,4.5,-4.97,4.6,-4.43,https://img.alicdn.com/imgextra/i2/127215022/O1CN01ZeYHhd1my7dAwZP63_!!0-saturn_solar.jpg,1,607331088267,陕西 西安,98.00,30.80,['苹果'],52480,true,0,陕西苹果水果10斤新鲜当季红富士整箱批应,红运道旗舰店
4.8,0,4.8,0,4.8,25.80,https://img.alicdn.com/imgextra/i2/1159900074/O1CN01bmXE0M1CPvugdVyJe_!!0-saturn_solar.jpg,1,616528952060,陕西 渭南,38.00,29.94,['苹果'],7,true,0,帅堆堆陕西 青苹果酸脆甜新鲜水果孕妇吃小,帅堆堆旗舰店
4.8,30.22,4.8,0,4.8,0,https://img.alicdn.com/imgextra/i1/1069870004/O1CN019GfhjR1BtsBomngUe_!!0-saturn_solar.jpg,1,614804728142,广东 广州,79.00,31.90,['苹果'],100,false,0,陕西红富士苹果水果新鲜当季整箱10斤应季,众宜优旗舰店
4.7,-0.72,4.7,-1.10,4.7,-1.59,https://img.alicdn.com/imgextra/i2/613930088/O1CN01wjT4WI1CWLQQ1V5nW_!!0-saturn_solar.jpg,1,607331538466,山东 烟台,69.00,22.90,['苹果'],1351,true,0,芳业烟台红富士苹果脆甜5斤装新鲜苹果,芳业生鲜旗舰店
4.7,-0.90,4.7,-1.18,4.8,0,https://img.alicdn.com/imgextra/i1/128632483/O1CN01eeq6L31UDG1V4hDmj_!!0-saturn_solar.jpg,0,612925141810,山东 烟台,26.90,,['苹果'],27,true,1,烟台红富士苹果新鲜水果10斤包邮非陕西苹,chenhui718944017
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/115193684/O1CN01Z0yQmZ1d5JhvVl4Z6_!!0-saturn_solar.jpg,0,615045031064,陕西 西安,39.90,,['苹果'],101,true,0,陕西延安洛川苹果冰糖心整箱红富士苹果5斤,北纬三十六度九企业店
4.6,-3.45,4.6,-4.53,4.5,-4.54,https://img.alicdn.com/imgextra/i4/420930007/O1CN01HThTxC1BvFNLfzH3g_!!0-saturn_solar.jpg,1,599657997018,山西 运城,46.80,20.80,['苹果'],43,true,0,现摘山西青苹果新鲜孕妇水果5斤包邮当季整,轲惠旗舰店
4.7,-2.04,4.7,-1.99,4.7,-2.30,https://img.alicdn.com/imgextra/i2/131864412/O1CN01jcQ07T1iSk1xeb2I9_!!0-saturn_solar.jpg,1,614035503744,山东 烟台,80.00,59.80,['苹果'],13502,true,0,山东烟台栖霞红富士苹果水果脆甜带箱10斤,猴农水果旗舰店
4.0,-17.37,4.0,-16.59,4.0,-17.30,https://img.alicdn.com/imgextra/i2/112003986/O1CN01UAIy7H1fJdJcD9A5w_!!0-saturn_solar.jpg,0,611865296709,陕西 咸阳,39.90,,['苹果'],0,true,0,洛川苹果12枚礼盒装水果新鲜包邮中洲,winston天天
4.9,63.14,4.8,42.57,4.9,46.06,https://img.alicdn.com/imgextra/i2/807200165/O1CN01x4iank1D5bxGrmqgR_!!0-saturn_solar.jpg,0,616920990013,陕西 渭南,38.80,,['苹果'],35,true,0,白水瑞雪苹果5斤新鲜水果超甜青白苹果赛奶,新农田农业
4.8,0,4.7,-0.81,4.8,-0.54,https://img.alicdn.com/imgextra/i2/32359407/O1CN019yyrIL2JMSOVL63u7_!!0-saturn_solar.jpg,0,619281077160,上海,258.00,68.00,['苹果'],3,false,1,进口新西兰皇后红玫瑰苹果大果脆甜纯甜无酸,heyedong146502
4.8,-0.50,4.8,19.25,4.8,0,https://img.alicdn.com/imgextra/i4/50078981/O1CN01lsy0bq2GDLflI4gpy_!!0-saturn_solar.jpg,1,602659642364,上海,5499.00,,['苹果'],182911,true,0,Apple/苹果 iPhone 11 - 12期免息分期,applestore官方旗舰店
