dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-2.58,4.5,-5.27,4.6,-4.34,https://img.alicdn.com/imgextra/i1/1107780158/O1CN01f33E361D2PBGWpojZ_!!2-saturn_solar.png,1,620151615196,陕西 西安,19.90,,['哈密瓜'],2862,true,0,5斤净重吐鲁番哈密瓜新鲜水果爆甜火焰蜜瓜,蜜醉果旗舰店
4.7,-1.73,4.6,-3.10,4.7,-2.23,https://img.alicdn.com/imgextra/i4/125714093/O1CN018vOmqj1g6dhWkKORR_!!0-saturn_solar.jpg,1,618749704214,山东 潍坊,49.00,19.80,['哈密瓜'],967,true,0,新疆哈密瓜10斤新鲜当季一箱水果网纹瓜香瓜,果洋地带旗舰店
4.7,-0.53,4.7,-0.70,4.7,-0.66,https://img.alicdn.com/imgextra/i1/823400115/O1CN01en4kvk1Cii9XVEnbr_!!0-saturn_solar.jpg,1,620478739866,陕西 西安,59.90,39.90,['哈密瓜'],5112,true,0,新疆哈密瓜新鲜一箱10斤当季水果网纹瓜香瓜,古江旗舰店
4.6,-2.69,4.5,-5.00,4.6,-3.57,https://img.alicdn.com/imgextra/i1/121678482/O1CN01UcSfoM2CWo2Dqq3OF_!!0-saturn_solar.jpg,1,618591359242,陕西 西安,42.80,29.80,['哈密瓜'],11664,true,0,哈密瓜新鲜水果新鲜一箱10斤新疆,沁园春水果旗舰店
4.8,34.98,4.8,23.26,4.9,42.03,https://img.alicdn.com/imgextra/i1/114484323/O1CN01QIk3YC1hnynMZgHss_!!0-saturn_solar.jpg,0,618319202343,新疆 哈密,88.00,75.00,['哈密瓜'],20,true,0,新疆哈密发货新疆哈密瓜新鲜现摘水果大,洋葱头718314
4.6,-4.17,4.4,-7.14,4.5,-5.59,https://img.alicdn.com/imgextra/i2/120349015/O1CN01aBIYTA2GSv8bMMzHb_!!0-saturn_solar.jpg,1,590445278989,陕西 西安,119.80,29.90,['哈密瓜'],48358,true,0,甘福园 新疆哈密瓜10斤新鲜当应季水果脆甜,甘福园旗舰店
4.6,-3.82,4.5,-4.84,4.5,-5.18,https://img.alicdn.com/imgextra/i2/461320024/O1CN01XazARN1C326pEKZWL_!!0-saturn_solar.jpg,1,619184311181,陕西 西安,69.80,29.80,['哈密瓜'],5804,true,0,新疆哈密瓜新鲜当季水果一箱10斤网纹瓜应,馋绵旗舰店
4.7,-2.77,4.4,-6.50,4.6,-3.79,https://img.alicdn.com/imgextra/i4/45544953/O1CN01VODNrr1mSWJjUz29u_!!0-saturn_solar.jpg,0,620067617886,陕西 西安,26.80,,['哈密瓜'],1,true,0,产地直采正宗哈密瓜西州蜜25号甜瓜新鲜水,小马过灞河
4.8,2.08,4.7,-1.47,4.7,-0.50,https://img.alicdn.com/imgextra/i1/114123184/O1CN01AqjSMO1ZOJg27C3DZ_!!0-saturn_solar.jpg,1,618616924088,陕西 西安,24.80,,['哈密瓜'],2,true,0,杨氏果业优选现摘网纹西州蜜哈密瓜当季新鲜,yangsns旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1106350091/O1CN01JFfoUv1CXie6R0J2S_!!0-saturn_solar.jpg,0,617912835364,山东 烟台,59.90,39.90,['哈密瓜'],0,true,0,山东哈密瓜新鲜一箱水果包邮5斤整箱应季网,姜宝迪
4.8,18.33,4.8,30.43,4.8,25.42,https://img.alicdn.com/imgextra/i2/1117050165/O1CN01xZq54E1D5bxJphcdz_!!0-saturn_solar.jpg,1,619334615066,山东 潍坊,69.00,24.90,['哈密瓜'],47,true,0,西州蜜瓜25号新鲜水果应当季网纹蜜瓜甜瓜,甜崖旗舰店
4.5,-5.22,4.5,-6.02,4.5,-6.63,https://img.alicdn.com/imgextra/i4/13266211/O1CN01Vc6teb1vkgZ9UXnls_!!0-saturn_solar.jpg,0,616618573486,广东 湛江,68.00,23.80,['哈密瓜'],9,false,0,哈密瓜海南新鲜水果,不去游泳的鱼
4.7,-1.44,4.7,-2.43,4.7,-2.03,https://img.alicdn.com/imgextra/i4/689080145/O1CN01qF0Nuo1CwS2D52qxR_!!0-saturn_solar.jpg,1,606582035322,浙江 金华,198.00,79.00,['哈密瓜'],1473,true,0,都知果哈密瓜网纹香甜蜜瓜新鲜一箱西州蜜瓜,都知果旗舰店
5.0,100.00,5.0,100.00,4.9,48.99,https://img.alicdn.com/imgextra/i4/1227690152/O1CN01nhh2zw1CzeoBDzTb6_!!0-saturn_solar.jpg,0,619947114043,陕西 西安,59.80,,['哈密瓜'],46,true,0,哈密瓜新鲜一箱  新疆小蜜哈密瓜网纹瓜蜜,yy124927
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1184540176/O1CN011NWwCF1DAeJUsNUrS_!!0-saturn_solar.jpg,1,620224308221,山东 烟台,79.00,26.00,['哈密瓜'],0,true,0,海阳网纹瓜山东玫珑蜜瓜当季哈密瓜整箱新鲜,萄圣润甜旗舰店
