dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,30.52,4.8,24.52,4.8,35.19,https://img.alicdn.com/imgextra/i3/128362436/TB2KM4cycuYBuNkSmRyXXcA3pXa_!!0-saturn_solar.jpg,1,567090381162,河北 唐山,45.00,19.50,['山楂'],612,true,0,巧奶奶农家特产手工山楂球天然雪丽球休闲纯,巧奶奶旗舰店
4.8,35.37,4.9,43.87,4.8,33.08,https://img.alicdn.com/imgextra/i1/383740179/O1CN01tLagu11DC1S91cAfQ_!!0-saturn_solar.jpg,1,591454889237,安徽 亳州,66.00,25.60,['山楂'],15,true,0,宏义堂山东山楂干买一送一500克g新货中,宏义堂旗舰店
4.7,-1.36,4.7,-0.50,4.8,-0.54,https://img.alicdn.com/imgextra/i1/46909851/O1CN01xsVVLK2MdoEKDeQGN_!!0-saturn_solar.jpg,0,571187325014,山东 潍坊,25.90,,['山楂'],130,true,0,5斤装散装山楂片零食儿童老人消食果脯开胃,wqliliwjz
4.8,37.31,4.9,58.08,4.8,42.49,https://img.alicdn.com/imgextra/i1/31334613/O1CN01S88Mbk1jwneK91zR6_!!0-saturn_solar.jpg,1,530336671382,山东 滨州,56.00,24.90,['山楂'],53,true,0,奥赛 山楂片150g4袋 山楂饼山楂条,长思旗舰店
4.7,-2.04,4.7,-1.89,4.7,-1.91,https://img.alicdn.com/imgextra/i1/107768829/TB2aVbIcXooBKNjSZPhXXc2CXXa_!!0-saturn_solar.jpg,0,541323066210,河北 石家庄,15.80,,['山楂'],81,true,0,山楂片包邮休闲零食山楂干山楂片山楂糕,火速积极
4.8,6.57,4.8,27.41,4.8,35.07,https://img.alicdn.com/imgextra/i1/395944511/O1CNA1SZsbwr100da3957adc0bb3656b001x_!!1-0-picassodesign.jpg,0,617170220247,河北 保定,27.60,13.80,['山楂'],1,true,0,山东沂蒙山楂干新鲜山楂果零食泡茶片无核中,扬州宏远科技
4.9,47.25,4.9,59.35,4.9,51.84,https://img.alicdn.com/imgextra/i3/487760097/O1CN01WG8rzB1CaT1gMRLGB_!!0-saturn_solar.jpg,1,600859633429,河北 石家庄,29.90,7.90,['山楂'],431,true,0,山楂条无添加蜂蜜山楂片干糕蜜饯休闲零食,艾小美旗舰店
4.8,20.91,4.9,46.62,4.8,23.11,https://img.alicdn.com/imgextra/i2/96321193/O1CN01QRdq711KgR68ljBlW_!!0-saturn_solar.jpg,1,41071767363,福建 泉州,58.80,9.80,['山楂'],1071,true,0,两个宝贝功夫山楂30支山楂卷棒棒糖卷批发,骏腾食品专营店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/467010078/O1CN01KiE5X51CRlV6XEped_!!0-saturn_solar.jpg,0,620059072816,江苏 淮安,9.80,8.50,['山楂'],196,true,0,厂家直销商用山楂碎粒冰粉炒酸奶专用,歆歆家居
4.7,-2.15,4.6,-3.28,4.7,-1.84,https://img.alicdn.com/imgextra/i2/121972141/O1CN0116zmZI1RgcZ4iY2hX_!!0-saturn_solar.jpg,0,598405377258,河南 新乡,15.80,,['山楂'],1,true,0,辉县苏阳山楂金糕200克 独立真空小包装,ly雯雯444
4.8,37.31,4.9,58.08,4.8,42.49,https://img.alicdn.com/imgextra/i3/31334613/O1CN01aOPR2I1jwndt00zT4_!!0-saturn_solar.jpg,1,529440928228,山东 滨州,44.00,18.90,['山楂'],59,true,0,奥赛 山楂汉堡200g3袋 红枣夹心山,长思旗舰店
4.9,59.00,4.9,54.67,4.9,49.41,https://img.alicdn.com/imgextra/i4/132298261/O1CN01ihA34Z2AtaVUJsJAy_!!0-saturn_solar.jpg,1,586328022619,四川 巴中,79.00,14.90,['山楂'],779,true,0,300g2空心山楂球,葫芦侠旗舰店
4.8,0,4.7,-1.29,4.8,0,https://img.alicdn.com/imgextra/i4/359060029/O1CN01LSYV2v1C5K1ygHn6b_!!0-saturn_solar.jpg,0,598800343489,山东 潍坊,19.60,9.80,['山楂'],1587,true,0,新鲜大山楂水果山里红果生铁楂特级包邮批发,zlq1976
4.8,21.77,4.8,24.02,4.8,21.15,https://img.alicdn.com/imgextra/i1/419440131/O1CN01Rf0CFS1Cq2UXhqeHv_!!0-saturn_solar.jpg,0,605840208006,安徽 亳州,8.00,,['山楂'],0,true,0,焦麦芽中药材500克包邮焦麦芽回奶非同仁,tb79334457
4.8,-0.54,4.7,-0.77,4.8,0,https://img.alicdn.com/imgextra/i3/128276001/O1CN01zb1BJL1uCVO8WHHvu_!!0-saturn_solar.jpg,0,606634329502,福建 泉州,45.60,22.80,['山楂'],3,true,0,闽南山楂450g/罐水山楂蜜饯腌制黄果山,绘鑫特产小鑫
4.7,-1.75,4.6,-2.88,4.7,-1.92,https://img.alicdn.com/imgextra/i3/127489558/O1CN01DiWjVk2KTcCbrZxGS_!!0-saturn_solar.jpg,0,568918527231,河南 郑州,8.90,,['山楂'],579,true,1,山楂片 丁炒酸奶冰粉配料山楂碎粒5斤装包邮,真思园
4.8,19.27,4.8,26.42,4.8,16.91,https://img.alicdn.com/imgextra/i3/398290009/O1CN01ZGpkwv1BwA8G2TIZT_!!0-saturn_solar.jpg,0,605181390756,河南 郑州,27.20,,['山楂'],84,true,1,新货山楂丁糖粒丁整箱20斤八宝粥带糖山楂,思水恩食品
4.8,28.60,4.8,36.38,4.8,31.31,https://img.alicdn.com/imgextra/i3/132221166/O1CN01O4NChx1KU4OkFLohp_!!0-saturn_solar.jpg,1,607855936049,山东 临沂,53.00,14.90,['山楂'],111,true,0,公社山楂干泡茶片新鲜山楂果零食特级无核中,公社联盟旗舰店
4.7,-2.04,4.7,-1.89,4.7,-1.91,https://img.alicdn.com/imgextra/i3/107768829/TB2VM_wmSzqK1RjSZFjXXblCFXa_!!0-saturn_solar.jpg,0,580799337064,河北 石家庄,12.80,,['山楂'],398,true,0,包邮开胃山楂卷山楂条山里红铁山楂果丹皮,火速积极
4.8,-0.57,4.7,-0.58,4.8,-0.68,https://img.alicdn.com/imgextra/i3/31278781/O1CN01gbNPI32EjkS9T2UYi_!!0-saturn_solar.jpg,0,615970088895,安徽 宿州,39.00,18.90,['山楂'],100,true,0,山楂条500g山楂制品山楂干散装山楂糕食,szfxy8
4.8,36.01,4.8,28.33,4.8,36.93,https://img.alicdn.com/imgextra/i2/29119716/O1CN012TOfqI2LdylfLmyH3_!!0-saturn_solar.jpg,1,609563411871,广东 佛山,32.20,16.10,['山楂'],7,true,0,满减优之良品 蜂蜜山楂丹60g 罐装柠檬,开平优之良品食品专营
4.8,28.17,4.9,42.90,4.8,34.86,https://img.alicdn.com/imgextra/i1/48699941/O1CN016L9nrF2NJ1teY6oFD_!!0-saturn_solar.jpg,1,38244587438,北京,26.20,,['山楂'],5,true,0,北京特产 御食园 山楂果条 500g 山,斯凯诺食品专营店
4.8,34.14,4.9,43.89,4.8,36.98,https://img.alicdn.com/imgextra/i2/48455532/O1CN01bV871n1qjhdz8LnFu_!!0-saturn_solar.jpg,1,44121351965,浙江 杭州,69.00,28.90,['山楂'],10472,true,0,雪海梅乡_山楂干740g组合5口味山楂片,雪海梅乡旗舰店
4.9,49.21,4.9,65.20,4.9,50.67,https://img.alicdn.com/imgextra/i1/96407273/O1CN01z2AAKn23b5AAmOGdA_!!0-saturn_solar.jpg,1,560877426691,天津,49.75,39.80,['山楂'],108,true,0,雾岭山本色山楂条纯酸甜儿童宝宝婴儿天然手,雾岭山旗舰店
4.8,38.57,4.9,44.19,4.8,38.43,https://img.alicdn.com/imgextra/i4/130204837/O1CN01Kovn3J1lbONNqA4Ty_!!0-saturn_solar.jpg,1,574046663578,浙江 杭州,39.00,29.00,['山楂'],17,true,0,中粮山萃蜂蜜山楂条蜜饯果脯山楂制品休闲零,sundry山萃旗舰店
4.8,28.65,4.8,37.64,4.8,34.19,https://img.alicdn.com/imgextra/i3/119146705/TB2oCIQdPgy_uJjSZKzXXb_jXXa_!!0-saturn_solar.jpg,0,562345052897,河北 沧州,29.90,,['山楂'],8,true,1,山楂条蓝莓水蜜桃枸杞苹果老人小孩开胃零食,金良651976765
4.7,-0.87,4.7,0,4.8,0,https://img.alicdn.com/imgextra/i3/42650907/O1CN01YVB16a1IZRpqwJGVP_!!0-saturn_solar.jpg,0,618713915247,湖南 长沙,16.80,,['山楂'],10,true,0,吐番果缘山楂条无添加天山桑葚黑枸杞果臻宝,迷惘醉情
