dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1251570109/O1CN01390lIN1CfxmHfAhMC_!!0-saturn_solar.jpg,0,621195643530,陕西 咸阳,24.90,,['木瓜'],17,true,0,袋鼠生鲜沙红大水蜜桃绿色种植汁水多肉,袋鼠生鲜
4.6,-3.38,4.6,-3.48,4.6,-3.69,https://img.alicdn.com/imgextra/i3/710540113/O1CN01fOqaPr1ChnMELLwhz_!!0-saturn_solar.jpg,1,614422025860,海南 海口,29.90,,['木瓜'],10,true,0,顺丰包邮海南红心木瓜新鲜水果包邮热带,菠比鲜生旗舰店
4.7,-1.14,4.7,-1.33,4.7,-1.54,https://img.alicdn.com/imgextra/i1/125179747/O1CN01bNLiBo2LsB3NyH285_!!0-saturn_solar.jpg,1,617495322765,广西 玉林,39.00,19.80,['木瓜'],0,true,0,广西新鲜红心牛奶木瓜5斤应季冰糖青木瓜大,记忆棒旗舰店
4.7,-0.77,4.7,-2.50,4.7,-2.09,https://img.alicdn.com/imgextra/i2/690090099/O1CN01BysmWq1CbNobxyOJa_!!0-saturn_solar.jpg,1,609451725687,浙江 杭州,53.84,21.54,['木瓜'],4,true,0,云南红心木瓜5斤牛奶木瓜应季新鲜水果冰糖,鲜沐梵旗舰店
4.7,-0.77,4.7,-2.50,4.7,-2.09,https://img.alicdn.com/imgextra/i4/690090099/O1CN018XQHd01CbNojxwbY7_!!0-saturn_solar.jpg,1,609452125453,云南 红河,54.59,21.84,['木瓜'],3,true,0,云南红心木瓜树上自然熟冰糖牛奶木瓜新鲜水,鲜沐梵旗舰店
4.7,-1.22,4.6,-2.47,4.7,-1.60,https://img.alicdn.com/imgextra/i2/50363651/O1CN01mED0u51cqCdz8AUOZ_!!0-saturn_solar.jpg,0,559393691855,湖南 长沙,29.80,26.80,['木瓜'],13,true,0,醉醉猴酱技酱香木瓜丝爽口菜下饭湖南香辣2,hncszhd2013
4.7,-2.82,4.6,-3.50,4.7,-2.61,https://img.alicdn.com/imgextra/i2/772150163/O1CN01xYSaxP1D4h9iZBwkA_!!0-saturn_solar.jpg,0,613385536105,广东 珠海,34.60,22.49,['木瓜'],0,true,0,甜木瓜当季精品海南红心牛奶青木瓜水果新鲜,味道不错的小店
4.3,-9.94,3.7,-20.81,4.1,-13.41,https://img.alicdn.com/imgextra/i1/44226356/O1CN016DL84l1wp609PfmJ7_!!0-saturn_solar.jpg,0,620176477779,浙江 杭州,32.90,,['木瓜'],0,true,0,雷州冰糖红心木瓜带箱10斤 青皮红肉现摘树,小曦衣柜
4.3,-9.94,3.7,-20.81,4.1,-13.41,https://img.alicdn.com/imgextra/i3/44226356/O1CN01918atb1wp601OsH0x_!!0-saturn_solar.jpg,0,620446462970,福建 漳州,19.80,,['木瓜'],0,true,0,云南红心木瓜10斤冰糖红心牛奶青木瓜下奶新,小曦衣柜
4.4,-8.28,3.9,-17.29,4.2,-12.30,https://img.alicdn.com/imgextra/i3/1161660086/O1CN01ZH6p2m1CVQfYPpZJO_!!0-saturn_solar.jpg,0,620442422614,浙江 杭州,19.80,,['木瓜'],0,true,0,云南红心木瓜水果新鲜包邮整箱带箱10斤冰糖,仙果吧
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/127653223/O1CN016SfJWI1ZgB7xqYi5q_!!0-saturn_solar.jpg,0,620983090140,福建 厦门,21.80,11.55,['木瓜'],0,true,0,10斤特价抢海南红心牛奶木瓜10斤/8斤/5斤/3,微微一笑事在人为
4.5,-6.65,4.2,-10.40,4.4,-8.10,https://img.alicdn.com/imgextra/i2/1178350092/O1CN01AtJ2p01CYB2jCj7uc_!!2-saturn_solar.png,0,620174273070,广东 广州,18.60,,['木瓜'],0,true,0,海南红心牛奶木瓜10斤装新鲜木瓜水果现摘现,兵哥鲜味
4.3,-9.32,4.0,-16.02,4.2,-11.86,https://img.alicdn.com/imgextra/i4/110494879/O1CN01G0a3zD1lud0fXhqvQ_!!0-saturn_solar.jpg,0,620833497491,广西 南宁,19.98,11.99,['木瓜'],0,true,0,雷州红心牛奶木瓜带箱10斤应季冰糖青木瓜大,农家小哥518
4.4,-8.28,3.9,-17.29,4.2,-12.30,https://img.alicdn.com/imgextra/i1/1161660086/O1CN01CSNOBs1CVQfX1XtGL_!!0-saturn_solar.jpg,0,620442186923,福建 漳州,19.80,,['木瓜'],0,true,0,云南红心木瓜10斤冰糖红心牛奶青木瓜下奶新,仙果吧
4.3,-9.32,4.0,-16.02,4.2,-11.86,https://img.alicdn.com/imgextra/i1/110494879/O1CN01JO8uRy1lud0o4GS3P_!!0-saturn_solar.jpg,0,620983042092,广西 崇左,33.60,20.16,['木瓜'],0,true,0,果小猴树上熟冰糖红心闻香青木瓜牛奶水果木,农家小哥518
4.5,-5.69,4.2,-11.50,4.4,-7.94,https://img.alicdn.com/imgextra/i4/479420062/O1CN01FL0l0M1CKRA7QAVGT_!!0-saturn_solar.jpg,0,621160407205,广西 南宁,18.60,,['木瓜'],0,true,0,广西红心木瓜冰糖牛奶当季新鲜水果现摘整箱,蔬果联盟888
