dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.6,-2.90,4.5,-5.07,4.6,-3.51,https://img.alicdn.com/imgextra/i3/109898477/O1CN01fSivKk2CUW3SeMmwD_!!0-saturn_solar.jpg,1,618475844156,四川 成都,99.00,29.90,['李子'],61,true,0,现摘四川李子水果新鲜包邮 孕妇脱骨青脆李,谨和五味旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/127479420/O1CN011JAtuX2JSPXtBPH4Y_!!0-saturn_solar.jpg,0,620517135917,贵州 安顺,25.50,,['李子'],44,true,0,四川李子青李子清脆脱骨孕妇水果新鲜当季整,黔食鲜汇
4.6,-3.16,4.5,-5.29,4.6,-3.83,https://img.alicdn.com/imgextra/i2/130651168/O1CN01aUI78G1KUzD6txPM0_!!0-saturn_solar.jpg,1,619966784953,陕西 宝鸡,89.00,9.90,['李子'],41,true,0,红布林李子5斤水果新鲜应当季整箱孕妇大果,莲太子食品旗舰店
4.0,-17.10,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1219270050/O1CN01x6RUj21CEwPMS4U0B_!!0-saturn_solar.jpg,1,620028186958,四川 乐山,79.60,39.80,['李子'],8,true,0,现货 新鲜水果三华新鲜红心脱骨当季现摘李,微微花开旗舰店
4.8,-0.79,4.5,-4.29,4.7,-2.04,https://img.alicdn.com/imgextra/i1/131872109/O1CN01CPYkYR1RRxtHzHE14_!!0-saturn_solar.jpg,0,568348791248,贵州 安顺,274.00,139.00,['李子'],198,true,1,"贵州镇宁六马蜂糖李,识货的进来,包您满意",优鲜农副产品有限公司
4.4,-7.02,4.2,-11.76,4.3,-8.85,https://img.alicdn.com/imgextra/i2/126268704/O1CN0117WyM32EATxY7zfUR_!!0-saturn_solar.jpg,1,616152927044,四川 成都,86.00,29.90,['李子'],8499,true,,四川李子新鲜水果5斤孕妇水果青脆脱骨李,花果山日记旗舰店
4.0,-17.10,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1219270050/O1CN01d19GNB1CEwPSXiIFd_!!0-saturn_solar.jpg,1,620441078563,四川 泸州,78.00,29.90,['李子'],1,true,0,四川当季土李子新鲜孕妇水果贵州青脆脱骨空,微微花开旗舰店
4.6,-3.59,4.6,-2.69,4.6,-3.51,https://img.alicdn.com/imgextra/i4/133395324/O1CN01HGyYfS1pCRGC9ACJ0_!!0-saturn_solar.jpg,0,619804052839,重庆,68.00,,['李子'],0,true,0,顺丰包邮巫山云阳脆李 青脆李 李子,实在川味
4.6,-3.66,4.5,-4.76,4.6,-3.58,https://img.alicdn.com/imgextra/i2/47403636/O1CN01H4qjxZ1cjKhVqzn0D_!!0-saturn_solar.jpg,0,599686959994,贵州 贵阳,79.60,39.80,['李子'],1,true,0,贵州青脆李5斤安顺上关六月李水果园酥李子,fwindjing
4.9,37.96,4.8,47.77,4.9,44.90,https://img.alicdn.com/imgextra/i2/118243213/O1CN01RWtmDt1ZbbAEpFwHt_!!0-saturn_solar.jpg,0,620612215501,陕西 渭南,39.80,29.80,['李子'],2,true,1,李子 新鲜青脆李子现摘青脆李脱骨脆酸甜李,老农夫陕北土特产
4.7,-1.09,4.6,-3.24,4.7,-1.54,https://img.alicdn.com/imgextra/i4/401730059/O1CN01C4CA961CJ3yMgcWF5_!!0-saturn_solar.jpg,0,619416887275,重庆,98.00,59.80,['李子'],1537,true,0,顺丰空运现货青脆脱骨李子新鲜水果5斤应季,记不住_0
