dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
5.0,100.00,4.4,-8.60,4.6,-5.20,https://img.alicdn.com/imgextra/i3/113486075/O1CN01pCpSVg1ukOhnQLqTf_!!0-saturn_solar.jpg,0,620216732661,浙江 台州,158.00,,['杨梅'],0,true,0,纯天然正宗仙居东魁杨梅5A新鲜孕妇水果6,皇家良子哦
4.8,0,4.7,2.37,4.8,0,https://img.alicdn.com/imgextra/i1/133243261/O1CN01KyIiih1ZxaB9L4F8K_!!2-saturn_solar.png,0,619632201712,浙江 绍兴,350.00,175.00,['杨梅'],42,false,0,上虞杨梅新鲜现摘现发上虞二都杨梅新鲜5斤,阿舅啦
4.9,96.62,4.9,94.23,4.9,96.71,https://img.alicdn.com/imgextra/i1/665920010/O1CN01LATydB1BwcZBLxu5t_!!0-saturn_solar.jpg,0,618842867514,浙江 台州,599.00,168.00,['杨梅'],1516,false,1,累计销售6万斤100%好评现摘仙居东魁杨梅,y950414
4.9,71.49,4.4,-8.04,4.8,0,https://img.alicdn.com/imgextra/i2/1110150130/O1CN01lZovMq1Cpa5lVrsbf_!!2-saturn_solar.png,0,615301611772,浙江 宁波,628.00,518.00,['杨梅'],27,false,0,现货5斤装正宗余姚水晶白杨梅新鲜时令孕妇,人生的坚持
4.8,0.91,4.7,-0.53,4.8,6.93,https://img.alicdn.com/imgextra/i4/1065970116/O1CN019FvfH41CjAXJnXINi_!!0-saturn_solar.jpg,0,614815933770,福建 漳州,39.80,25.80,['杨梅'],2,true,0,林小丫鸿琴鲜Q杨梅干酸梅话梅子孕妇休闲网,鸿琴食品企业店
4.8,0,4.7,1.38,4.8,0,https://img.alicdn.com/imgextra/i2/14921635/O1CN0169IJF11NwsAmUUqda_!!0-saturn_solar.jpg,0,587711617678,湖南 长沙,9.17,5.50,['杨梅'],73,false,0,新鲜冰镇冻杨梅小袋150g袋装冰冻即食零,yanglin19810606
4.8,-0.54,4.7,-0.77,4.8,0,https://img.alicdn.com/imgextra/i1/128276001/O1CN01TuRrtk1uCVO1uoGnh_!!0-saturn_solar.jpg,0,603625648692,福建 泉州,47.80,23.90,['杨梅'],10,true,0,闽南特产小吃 陈皮杨梅蒜香九制杨梅干玫瑰,绘鑫特产小鑫
4.8,12.18,4.7,-1.98,4.8,-0.75,https://img.alicdn.com/imgextra/i2/16525478/O1CN01N6QOIe1qKyFdnJ6ob_!!0-saturn_solar.jpg,0,617206391413,浙江 台州,368.00,268.00,['杨梅'],4,true,0,乒乓球杨梅新鲜正宗仙居东魁整箱孕妇现摘现,yj395246332
4.8,12.08,4.8,31.27,4.8,28.00,https://img.alicdn.com/imgextra/i1/155370062/O1CN01dyXjuo1CKRABM05U8_!!0-saturn_solar.jpg,0,602720871108,云南 大理,99.00,39.90,['杨梅'],0,true,0,云南新鲜纸皮干核桃2 斤薄皮丑核桃散装核,tb8821946_11
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1199760172/O1CN01CmzGPZ1D8oj842p5H_!!2-saturn_solar.png,0,619340131570,江苏 无锡,78.00,,['杨梅'],7,true,0,正宗无锡阳山水蜜桃应季 新鲜包邮水果现摘,他来了123请闭眼
4.8,12.18,4.7,-1.98,4.8,-0.75,https://img.alicdn.com/imgextra/i1/16525478/O1CN01U5gg4L1qKyFroFBwc_!!0-saturn_solar.jpg,0,616406632583,浙江 台州,888.00,398.00,['杨梅'],0,true,0,杨梅皇颗粒装正宗仙居杨梅新鲜东魁杨梅,yj395246332
4.8,0.91,4.7,-0.53,4.8,6.93,https://img.alicdn.com/imgextra/i3/1065970116/O1CN01f0gtZf1CjAXNiJaXk_!!0-saturn_solar.jpg,0,615067010483,福建 漳州,29.80,19.80,['杨梅'],2,true,0,林小丫鸿琴冰糖杨梅干酸梅话梅子孕妇休闲网,鸿琴食品企业店
4.8,15.85,4.8,34.62,4.8,33.00,https://img.alicdn.com/imgextra/i3/119374728/O1CN01JAvWyr1knT8Kz8BfI_!!0-saturn_solar.jpg,0,583410061131,海南 海口,295.00,260.00,['杨梅'],5,true,0,整原箱4x120MLx10瓶 海马贡酒露,海南特产888
4.8,30.90,4.7,-2.20,4.8,0,https://img.alicdn.com/imgextra/i2/1130190015/O1CN01pbFtEa1ByuY0s0QSA_!!0-saturn_solar.jpg,1,619262042588,浙江 台州,135.00,,['杨梅'],93,false,0,真现货云南仙居东魁杨梅新鲜特级现摘现发,玉宁龙旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1199760172/O1CN01CmzGPZ1D8oj842p5H_!!2-saturn_solar.png,0,619005422894,江苏 无锡,95.00,,['杨梅'],9,true,0,正宗无锡阳山水蜜桃应季 新鲜包邮水果 现摘,他来了123请闭眼
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/57435532/O1CN01E41lCe1qjhdqTy71l_!!0-saturn_solar.jpg,0,595320340321,浙江 宁波,99999.00,,['杨梅'],28,false,0,慈溪杨梅新鲜4斤孕妇当季水果精品现摘现发,忆往昔47349
4.9,65.15,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/439810195/O1CN01R3e3HE1DJLm7NW6Wr_!!0-saturn_solar.jpg,0,617965320396,新疆 巴音郭楞,69.90,,['杨梅'],32,true,0,新疆小红杏新鲜当季甜杏子水果带箱4斤装非,懒丛交易
4.9,44.19,4.8,50.33,4.9,54.88,https://img.alicdn.com/imgextra/i2/31771128/O1CN01NS326t1KCfMHpIIUm_!!0-saturn_solar.jpg,0,607365397653,广东 潮州,35.00,19.00,['杨梅'],1379,false,1,古瀛堂陈皮杨梅干杨梅橘皮果脯九制酸甜咸果,ys创意无限
4.8,32.80,4.8,18.78,4.8,38.24,https://img.alicdn.com/imgextra/i1/2206863184300/O1CNA17Fjv6q100da42e8d8f0b1af359002w_!!1-0-picassodesign.jpg,0,609836342233,福建 福州,60.00,20.00,['杨梅'],0,true,,杨梅干农家自制手工无添加福建永泰特产果铺,李都食品铺
4.9,53.05,4.9,45.34,4.9,47.89,https://img.alicdn.com/imgextra/i1/2200814712909/O1CNA1Mz79CJ100d766118dc0b153b6e000o_!!1-0-picassodesign.jpg,1,591556829767,福建 厦门,35.00,23.80,['杨梅'],3,true,0,杨梅干孕妇酸甜孕吐营养蜜饯过年货零食,康绿姿旗舰店
4.5,-5.55,4.3,-8.43,4.5,-5.84,https://img.alicdn.com/imgextra/i1/1133570198/O1CN01jt99wP1DKj1qVqfj1_!!0-saturn_solar.jpg,0,616568472553,广东 茂名,36.80,,['杨梅'],1780,true,0,高州果园新鲜荔枝现摘当季桂味白糖罂妃子笑,tb49035114
4.8,0,4.7,0,4.8,0,https://img.alicdn.com/imgextra/i2/16842725/O1CN01GA2sxe1W05sw3U2bm_!!0-saturn_solar.jpg,0,609350763849,江苏 南京,9.90,5.00,['杨梅'],26,false,0,雪海梅乡蜜饯果干蜂蜜杨梅话梅休闲零食梅子,谢晨义
4.7,-1.20,4.6,-3.88,4.7,-2.01,https://img.alicdn.com/imgextra/i4/132298918/O1CN01E1PcVn2FkUiiWioWy_!!0-saturn_solar.jpg,0,616665399735,广西 钦州,328.00,248.00,['杨梅'],25,true,1,海南无核荔枝 无籽荔枝新鲜鸳鸯红孕妇水果,灵山荔枝之香
4.9,68.64,4.8,43.14,4.9,79.66,https://img.alicdn.com/imgextra/i1/13366730/O1CN01ghL1T61zaO7xMfj6S_!!0-saturn_solar.jpg,0,620460719595,广东 深圳,398.00,,['杨梅'],14,true,1,广东增城桂味荔枝挂绿糯米糍妃子笑藏原红荔,wyying8
4.7,-1.06,4.8,23.05,4.8,3.63,https://img.alicdn.com/imgextra/i2/59699491/O1CN01X3ne022JyvfVXBHw1_!!0-saturn_solar.jpg,0,602751543751,福建 三明,69.99,,['杨梅'],2,true,0,牛卵坨新鲜八月炸九月黄牛腾包黄金果野木瓜,xhx121345
4.8,42.10,4.9,42.95,4.9,45.77,https://img.alicdn.com/imgextra/i3/30083004/O1CN015SR4dg1Y3sLdbedmT_!!0-saturn_solar.jpg,1,21841455576,广东 潮州,40.00,29.90,['杨梅'],2208,true,0,佳宝酸甜蜜饯杨梅500g梅子果脯33包零食小吃,佳宝官方旗舰店
4.7,-0.65,4.7,-1.31,4.7,-1.20,https://img.alicdn.com/imgextra/i1/290190068/O1CN01PplWBr1CNBXQylhW4_!!0-saturn_solar.jpg,1,601945205476,浙江 杭州,50.00,12.80,['杨梅'],52405,true,0,增强版酵素梅孝素梅清净乌梅青梅随便四,优山小果旗舰店
4.8,20.83,4.8,12.93,4.8,22.11,https://img.alicdn.com/imgextra/i4/46251240/O1CN01Aw4c8z1L1xizWBkqv_!!0-saturn_solar.jpg,0,612696689159,浙江 杭州,45.00,29.90,['杨梅'],141,true,1,杭州特产九制大杨梅500g酸甜微咸鲜杨梅,xiongxiong041722
4.8,10.39,4.8,30.38,4.8,12.80,https://img.alicdn.com/imgextra/i1/25665066/O1CN01N7o4IF1nIH4k5QrJa_!!0-saturn_solar.jpg,0,620222107063,浙江 台州,148.00,,['杨梅'],9,false,0,仙居新鲜大杨梅现摘现发水果当季整箱净重6,zhangjun0709140
