dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.9,44.36,4.9,58.73,4.9,53.24,https://img.alicdn.com/imgextra/i2/133050035/O1CN014uMO3y1C84TDyq1GY_!!0-saturn_solar.jpg,0,568657851374,浙江 台州,138.00,35.90,['枇杷'],44,true,1,408克x5罐 枇杷罐头 科技糖水罐头枇,金品佳罐头
4.7,-0.69,4.7,-0.82,4.7,-0.73,https://img.alicdn.com/imgextra/i1/374850085/O1CN019FyiVW1CUyGuJgulD_!!0-saturn_solar.jpg,1,619909341362,福建 莆田,66.98,,['枇杷'],0,true,0,2019新糖水枇杷罐头果肉美味水果罐头食,隆中旺旗舰店
4.8,0,4.8,10.33,4.8,2.16,https://img.alicdn.com/imgextra/i3/32131414/O1CN0193fDX31MJed7iYVAN_!!0-saturn_solar.jpg,0,561083806571,四川 南充,26.50,17.50,['枇杷'],195,true,0,破损包赔 大皮蛋无铅鸭蛋8枚,天天都购物吧
4.8,32.71,4.8,35.92,4.9,53.54,https://img.alicdn.com/imgextra/i2/120394053/O1CN01gcaLB31foJrQApW8t_!!0-saturn_solar.jpg,0,617172568603,河南 三门峡,42.89,13.90,['枇杷'],119,true,0,灵宝现摘新鲜水蜜桃5斤孕妇水果当季桃子毛,小文文衣橱店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/40399087/O1CN01TTHjIL2GzteiuCjRx_!!0-saturn_solar.jpg,0,617053541668,浙江 丽水,12.00,,['枇杷'],3,true,0,青田东魁杨梅干优质果烘干三件起包邮七月初,幽居boy
4.8,5.91,4.8,26.90,4.8,8.44,https://img.alicdn.com/imgextra/i3/403700200/O1CN01N9U7gD1DLdohl8zpf_!!0-saturn_solar.jpg,0,619442310456,浙江 杭州,356.00,170.88,['枇杷'],0,true,0,正宗塘栖优选精品白沙枇杷新鲜枇杷4斤装,巧克力商贸1
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/110443405/O1CN01pZ6r1x1b1XCrAxEMW_!!0-saturn_solar.jpg,0,619265123973,浙江 台州,918.00,638.00,['枇杷'],1,false,0,球球家 仙居大东魁杨梅 单果35g左右,顾北妍
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i2/153140168892132607/TB20LzIkpXXXXb_XXXXXXXXXXXX_!!0-saturn_solar.jpg,0,526954440049,浙江 台州,248.00,,['枇杷'],0,false,0,新鲜水果枇杷果大红袍6斤包邮塘栖枇杷,台州佳锦特产
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/110443405/O1CN01aEKDiH1b1XD2FbLWV_!!0-saturn_solar.jpg,0,618999022731,浙江 台州,400.00,290.00,['枇杷'],2,false,0,球球家 仙居大东魁杨梅  单果25G左右,顾北妍
4.8,4.55,4.7,-0.71,4.7,-1.11,https://img.alicdn.com/imgextra/i1/1116900113/O1CN01P3NRsO1ChnM10q40R_!!0-saturn_solar.jpg,0,616771541810,广东 广州,30.52,27.47,['枇杷'],0,true,,糖水杨梅罐头水果混合新鲜黄桃荔枝枇杷网红,畅飨食铺
4.8,4.55,4.7,-0.71,4.7,-1.11,https://img.alicdn.com/imgextra/i3/1116900113/O1CN01wiZZHI1ChnLvnNlPx_!!0-saturn_solar.jpg,0,616771885577,广东 广州,38.44,34.60,['枇杷'],0,true,0,荔枝罐头水果混合黄桃红毛丹枇杷罐头整箱食,畅飨食铺
4.7,-1.77,4.7,-2.51,4.7,-2.27,https://img.alicdn.com/imgextra/i1/891900131/O1CN012mpVXt1Cq2UAkaWOp_!!0-saturn_solar.jpg,1,612691194225,辽宁 大连,179.70,91.65,['枇杷'],2,true,0,水果罐头6味组合350g6罐新杨梅荔枝枇杷樱,云宝食品专营店
4.7,-1.13,4.7,-1.68,4.7,-2.52,https://img.alicdn.com/imgextra/i2/1208530011/O1CN01SWR8wm1Bx4xlrmxIp_!!0-saturn_solar.jpg,0,621427879478,贵州 黔西南,19.90,,['枇杷'],0,true,0,贵州鲁容百香果精品山地大果果园直供现摘现,贵州山水坊
4.9,64.28,4.9,57.06,4.9,61.97,https://img.alicdn.com/imgextra/i4/111182424/O1CN01GwvFEP1TmEfVN3tB5_!!0-saturn_solar.jpg,1,569453111171,辽宁 大连,2680.00,1168.00,['枇杷'],99,true,0,久年 大连野生即食海参4斤装 辽参刺参海,久年旗舰店
4.9,56.02,4.9,51.45,4.9,50.45,https://img.alicdn.com/imgextra/i3/109890905/O1CN01lqgLkd1IYX0DDusc7_!!0-saturn_solar.jpg,0,586626675865,山东 青岛,228.00,118.00,['枇杷'],6,true,1,硬派老王野生海捕大鲳鱼1-1.2斤斗鲳顺,xiaoxuanfeng177
4.9,68.92,4.8,49.51,4.9,56.01,https://img.alicdn.com/imgextra/i4/109972170/O1CN01YRJm1s1Rtu4KOFxzJ_!!0-saturn_solar.jpg,0,609238147397,广东 广州,1000.00,488.00,['枇杷'],2,true,1,大连鲍鱼礼盒野生干鲍鱼一斤进口特级溏心干,williambuy2
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/132065268/O1CN01ltZENA1ommynK997Q_!!2-saturn_solar.png,0,589336607778,四川 达州,30.00,,['枇杷'],0,true,0,四川安岳黄柠檬 一级大果5斤榨汁切片新鲜,tb59820330
4.8,29.40,4.8,30.90,4.8,34.95,https://img.alicdn.com/imgextra/i4/121310912/O1CN01p4V4Hm1Ibjo1ohg5A_!!0-saturn_solar.jpg,0,547471276854,辽宁 葫芦岛,51.80,26.60,['枇杷'],2126,true,1,野生海蜇头拍4斤送一斤,小石头水产
4.9,49.41,4.9,84.28,4.9,80.31,https://img.alicdn.com/imgextra/i3/121159254/TB24.1dkCfD8KJjSszhXXbIJFXa_!!0-saturn_solar.jpg,0,616555397447,山西 临汾,25.00,,['枇杷'],112,true,0,山西永和特产农家小枣中老年孕妇小孩零食5,142634qq
4.6,-3.65,4.5,-5.61,4.6,-4.13,https://img.alicdn.com/imgextra/i4/324810076/O1CN01maGqGl1CQqdVjO689_!!0-saturn_solar.jpg,0,593239984316,河南 周口,55.23,35.99,['枇杷'],912,true,0,太康肘子整只2斤大肘子五香猪蹄酱卤肘子蹄,baby欧晨
4.7,-0.67,4.7,-1.33,4.7,-1.11,https://img.alicdn.com/imgextra/i2/126793312/O1CN01MI3Lv71aKwHn1iCFq_!!0-saturn_solar.jpg,1,561272454778,湖南 永州,78.00,35.00,['枇杷'],104,true,0,正宗湖南永州特产江永夏橙 新鲜水果晚熟橙,弘果旗舰店
4.8,4.85,4.7,-1.43,4.8,0,https://img.alicdn.com/imgextra/i4/488330173/O1CN01hvELeS1D9H7tiwfGv_!!0-saturn_solar.jpg,0,619702389919,浙江 杭州,168.00,,['枇杷'],25,false,0,仙居东魁杨梅真空锁鲜6斤礼盒装中大果新鲜,沐果传说
4.8,11.91,4.8,10.82,4.8,14.28,https://img.alicdn.com/imgextra/i3/324160117/O1CN015slZMe1CjcwRVA1A6_!!0-saturn_solar.jpg,0,586581108731,广西 玉林,48.00,26.80,['枇杷'],387,true,0,百香果酱 4斤冷冻果汁现挖百香果肉果汁饮,金达农业
4.9,64.66,4.9,86.27,4.9,65.61,https://img.alicdn.com/imgextra/i4/12692166/O1CN0164umIO1Rs4U2CGIb8_!!0-saturn_solar.jpg,0,545851192181,浙江 杭州,380.00,,['枇杷'],2,true,0,正宗淳牌有机鱼千岛湖大鱼头鳙鱼无菌微冻整,乃哆哆
