dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-2.08,4.6,-4.16,4.6,-3.50,https://img.alicdn.com/imgextra/i4/128668191/O1CN01aqA3Aq2ANWmLEPaHA_!!0-saturn_solar.jpg,1,619608790903,湖北 宜昌,88.80,19.80,['柑橘'],1067,true,0,特早熟云南蜜桔子橘子水果皇帝柑整箱 顺丰,蓝君旗舰店
4.7,-2.85,4.6,-4.02,4.6,-3.05,https://img.alicdn.com/imgextra/i4/405320012/O1CN01YGvpZw1BxXMKB82oN_!!0-saturn_solar.jpg,0,615512677130,浙江 金华,19.18,11.51,['柑橘'],0,true,0,四川丑橘不知火丑八怪橘子丑桔丑柑新鲜水果,tb238071405
4.7,-1.68,4.5,-4.85,4.6,-3.56,https://img.alicdn.com/imgextra/i2/17183412/O1CN01BdImhU1b4jyqzVnzF_!!0-saturn_solar.jpg,0,619573497186,湖北 宜昌,40.00,29.90,['柑橘'],1,true,0,包邮湖北特产新鲜现货夏橙高山脐橙橙子酸甜,iloveforest
4.7,-2.09,4.6,-3.76,4.7,-2.64,https://img.alicdn.com/imgextra/i3/10169983/O1CN01zlkrVz2NcGX39jU7E_!!0-saturn_solar.jpg,0,619177392054,云南 红河,29.90,,['柑橘'],13,true,0,5斤蜜桔子新鲜水果当季整箱云南砂糖橘皇帝,今夜为你醉2006
4.1,-15.26,3.5,-25.41,3.9,-18.61,https://img.alicdn.com/imgextra/i1/129036280/O1CN018zgnS01wGHtmnGrOM_!!0-saturn_solar.jpg,0,613665401225,四川 成都,39.90,,['柑橘'],9,true,0,四川丑橘带箱10斤丑柑橘丑八怪当季新鲜孕妇,儒家之乡
4.2,-12.95,3.6,-23.90,3.9,-18.67,https://img.alicdn.com/imgextra/i3/118246601/O1CN01IAWuUT1ydJ2FjjKVj_!!2-saturn_solar.png,0,613002576624,四川 成都,32.80,,['柑橘'],7,true,0,四川不知火丑橘10斤粑粑柑橘丑八怪包邮整箱,退伍兵小哥
4.8,-0.84,4.7,-1.28,4.7,-2.13,https://img.alicdn.com/imgextra/i2/1209110084/O1CN010jgd0r1CUVsFnlXwU_!!0-saturn_solar.jpg,0,619369412457,海南 海口,60.91,9.90,['柑橘'],4,true,0,海南小青金桔新鲜青柠檬奶茶店夏天冷饮专用,tb919240636
4.8,22.44,4.7,-1.18,4.8,0,https://img.alicdn.com/imgextra/i2/54954203/O1CN01f7xrbJ1gv1FoYnugC_!!0-saturn_solar.jpg,0,603538783434,广东 深圳,9.90,,['柑橘'],4,true,0,顺丰包邮 海南小金桔新鲜青金桔酸橘子3/5斤,大地公牛商城
4.1,-13.82,3.7,-21.59,4.0,-16.97,https://img.alicdn.com/imgextra/i4/178030011/O1CN01zm0bCT1Bx4xgFQz8K_!!0-saturn_solar.jpg,0,619251418846,陕西 西安,18.80,,['柑橘'],5,true,0,现摘脆皮金桔糖心小金桔5斤新鲜水果青黄皮,退伍兵在家创业
3.8,-19.73,2.9,-37.90,3.2,-32.17,https://img.alicdn.com/imgextra/i4/122989850/O1CN01vUwbkY2MdLqZyOuYz_!!0-saturn_solar.jpg,0,614205936379,四川 成都,59.60,35.76,['柑橘'],1,true,,见甘新鲜地 春见丑橘柑10粑粑干四川桔子春,lzp19940903
4.6,-3.01,4.5,-6.34,4.5,-4.96,https://img.alicdn.com/imgextra/i2/893150134/O1CN01IjeWEz1CrPg3XDXRr_!!0-saturn_solar.jpg,1,620080638851,四川 成都,25.80,,['柑橘'],9,true,0,四川春见柑橘10斤包邮大果应当季新鲜水果,庆湘园旗舰店
4.8,30.12,4.8,15.21,4.8,25.40,https://img.alicdn.com/imgextra/i4/51531027/O1CN01xhui931JSPMqhBC8h_!!0-saturn_solar.jpg,0,605414393492,上海,49.90,,['柑橘'],613,true,1,美国新奇士3107黑标脐橙 10只装大果,江湖狼忠号
4.5,-6.06,4.3,-9.67,4.4,-8.35,https://img.alicdn.com/imgextra/i4/769940182/O1CN01ajP9jr1DDOgqNOR4l_!!0-saturn_solar.jpg,0,618746004699,湖南 怀化,23.80,,['柑橘'],0,true,0,江西赣南脐橙橙子新鲜水果10斤水果包邮特级,闷闷的好可爱
4.6,-4.84,4.3,-9.62,4.4,-7.89,https://img.alicdn.com/imgextra/i2/45557557/O1CN015ImVcV25h9fs6pwzg_!!0-saturn_solar.jpg,0,621112335412,四川 成都,34.80,,['柑橘'],0,true,0,青见果冻橙净重5斤新鲜水果橙子10当季整箱,小q衣柜
3.8,-19.73,2.9,-37.90,3.2,-32.17,https://img.alicdn.com/imgextra/i1/122989850/O1CN016n3dxh2MdLr2sNDdd_!!0-saturn_solar.jpg,0,621081763229,云南 大理,136.00,68.00,['柑橘'],0,true,0,新鲜特级沃柑10斤云南宾川当季大果柑橘贡柑,lzp19940903
4.4,-8.28,3.9,-17.29,4.2,-12.30,https://img.alicdn.com/imgextra/i2/1161660086/O1CN01CkJC6D1CVQfTLqVlv_!!0-saturn_solar.jpg,0,620442602421,广西 桂林,35.90,,['柑橘'],0,true,0,乌柑黑皮沃柑当季新鲜水果柑橘子橙子广西武,仙果吧
4.5,-6.60,4.3,-9.25,4.4,-7.14,https://img.alicdn.com/imgextra/i1/1121220013/O1CN01hgHyNl1BxzktXSaU4_!!0-saturn_solar.jpg,0,620170213089,四川 成都,39.20,,['柑橘'],0,true,0,湖北宜昌蜜桔 10斤果园直发新鲜孕妇可食无,蟠桃蔬果店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/545660015/O1CN01Ilbk7m1ByuXxts7rR_!!0-saturn_solar.jpg,0,620767705977,四川 成都,33.80,,['柑橘'],0,true,0,春见四川蒲江水果新鲜手剥耙耙柑橘桔子丑橘,miaoaijia9
4.3,-9.94,3.7,-20.81,4.1,-13.41,https://img.alicdn.com/imgextra/i3/44226356/O1CN0193znz91wp605DWeIe_!!0-saturn_solar.jpg,0,619326400735,四川 成都,19.80,,['柑橘'],0,true,0,四川青见柑橘新鲜现摘果冻橙应季孕妇水果10,小曦衣柜
4.2,-11.28,3.7,-21.56,3.9,-18.68,https://img.alicdn.com/imgextra/i1/114123151/O1CN01v1EZDo1Z9CbjJf4RE_!!0-saturn_solar.jpg,0,614331763309,湖南 湘西,34.84,,['柑橘'],0,true,0,湘西柑橘芦柑椪柑新鲜水果橘子桔当季丑橘子,女神一族服饰店
4.5,-6.06,4.3,-9.67,4.4,-8.35,https://img.alicdn.com/imgextra/i4/769940182/O1CN01ZhIP5l1DDOgsFX0nL_!!0-saturn_solar.jpg,0,614589823800,陕西 西安,16.10,,['柑橘'],0,true,,广西武鸣沃柑新鲜水果橘子包邮整箱皇帝贡柑,闷闷的好可爱
4.2,-11.28,3.7,-21.56,3.9,-18.68,https://img.alicdn.com/imgextra/i1/114123151/O1CN016weVnv1Z9CbwMtwD2_!!0-saturn_solar.jpg,0,613650482563,湖南 怀化,36.56,,['柑橘'],0,true,0,湖南省湘西椪柑碰柑橘5斤麻阳芦柑新鲜水果,女神一族服饰店
3.6,-25.26,2.6,-45.59,2.8,-40.23,https://img.alicdn.com/imgextra/i3/131242773/O1CN01tiEoeK1WM4tcp1dzt_!!0-saturn_solar.jpg,0,618870847903,四川 成都,71.80,35.90,['柑橘'],0,true,0,四川春见耙耙柑丑柑橘新鲜水果橘子一箱10斤,陈娅娅65059910
4.4,-7.35,3.9,-17.84,4.3,-11.02,https://img.alicdn.com/imgextra/i2/108293995/O1CN01DG6GZs1fNktBwrsvH_!!0-saturn_solar.jpg,0,620451581686,广西 南宁,30.96,,['柑橘'],0,true,,正宗沃柑10斤广西武鸣新鲜大果特级一级柑橘,3688衣柜
4.4,-7.35,3.9,-17.84,4.3,-11.02,https://img.alicdn.com/imgextra/i3/108293995/O1CN01lrJqis1fNkt8gTdjm_!!0-saturn_solar.jpg,0,615728868266,广西 崇左,44.28,,['柑橘'],0,true,0,沃甘橘 广西 特大大果新鲜应季水果茂谷非现,3688衣柜
4.5,-6.60,4.3,-9.25,4.4,-7.14,https://img.alicdn.com/imgextra/i2/1121220013/O1CN011CZBkf1Bxzks6kbvD_!!0-saturn_solar.jpg,0,620186599010,广西 南宁,25.00,,['柑橘'],0,true,0,沃柑10斤新鲜广西武鸣沃柑一级大果整箱水果,蟠桃蔬果店
4.3,-9.20,3.9,-16.65,4.2,-12.55,https://img.alicdn.com/imgextra/i1/41397088/O1CN01eoia0p22ELuZAHnfA_!!0-saturn_solar.jpg,0,612868105497,云南 昆明,198.00,118.80,['柑橘'],0,true,0,????云南志褚柑橘甘甜匠心之作特级10斤装新,随缘16587
4.9,57.46,4.9,54.08,4.9,56.25,https://img.alicdn.com/imgextra/i4/486150147/O1CN01dxINRI1CxMp9Z31Yw_!!0-saturn_solar.jpg,0,618054870338,浙江 宁波,47.90,,['柑橘'],0,true,0,四川青见柑橘水果丑橘新鲜 当季 整箱非耙耙,tb70839088
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/545660015/O1CN01N3D6AQ1ByuY0qzVpK_!!0-saturn_solar.jpg,0,621308339373,四川 成都,39.80,,['柑橘'],0,true,0,粑粑干见粑粑耙耙柑新鲜春见 柑橘斤包邮10,miaoaijia9
4.6,-4.39,4.3,-10.16,4.4,-8.54,https://img.alicdn.com/imgextra/i4/58289347/O1CN013I9qC12IuydFS4Fg4_!!0-saturn_solar.jpg,0,620288660589,广西 南宁,79.80,,['柑橘'],0,true,0,茂谷柑橘子柑橘新鲜现摘新鲜水果柑橘水果多,3699衣柜
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/1230740026/O1CN01hsO04t1C3wu6FDD0Y_!!0-saturn_solar.jpg,0,619709822177,四川 成都,29.80,,['柑橘'],0,true,0,橘子新鲜包邮五斤十斤常德桔子丑橘蜜橘石门,甘福园蔬果舰旗店
5.0,100.00,3.2,-32.22,5.0,100.00,https://img.alicdn.com/imgextra/i4/33014998/O1CN01h9R2zA1mn884z3U1s_!!0-saturn_solar.jpg,0,615760431458,浙江 杭州,47.00,35.80,['柑橘'],0,true,0,四川丹棱新鲜水果橘子丑八怪不知火丑哭桔当,idyipee
4.4,-7.92,4.0,-14.79,4.3,-10.79,https://img.alicdn.com/imgextra/i1/933890019/O1CN01gq5MmS1C0k8IebJ6K_!!0-saturn_solar.jpg,0,621037046563,湖北 荆州,68.00,19.90,['柑橘'],0,true,0,伦晚脐橙冰糖橙子赣南脐橙应季秭归夏橙新鲜,追梦少年水果特产店
4.5,-6.54,4.2,-11.38,4.4,-8.60,https://img.alicdn.com/imgextra/i1/745450056/O1CN012N5bpZ1CHgmqgWmjA_!!2-saturn_solar.png,0,602163191081,重庆,38.20,22.90,['柑橘'],43,true,0,海南小青金桔水果橘子新鲜当季包邮整箱青桔,tb14784802
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/802450090/O1CN01rZq3d21CXGFRwajuG_!!0-saturn_solar.jpg,0,618721838544,四川 成都,175.81,98.45,['柑橘'],2,true,0,见甘新鲜地 春见丑橘柑10粑粑干四川桔子春,任性8298966
4.3,-9.20,3.9,-16.65,4.2,-12.55,https://img.alicdn.com/imgextra/i4/41397088/O1CN01T9Iz5L22ELuVxIdB9_!!0-saturn_solar.jpg,0,614491985892,广西 南宁,43.60,21.80,['柑橘'],10,true,0,广西茂谷脏脏柑橘带石灰粉香妃柑少见水果沃,随缘16587
4.8,0,4.7,-1.46,4.8,0,https://img.alicdn.com/imgextra/i1/34236195/O1CN01IKOmN91vdMCCCIEEo_!!0-saturn_solar.jpg,0,36396597498,重庆,65.00,,['柑橘'],5,true,0,奉节新鲜带叶脐橙子味道甜汁水多纽荷尔福本,诚信待亲333
4.6,-3.15,4.4,-6.48,4.6,-4.62,https://img.alicdn.com/imgextra/i3/1120790012/O1CN01FBzFJO1BxXM37XSze_!!0-saturn_solar.jpg,0,616508504524,北京,57.28,25.78,['柑橘'],6,true,0,见甘新鲜地 春见丑橘柑10粑粑干四川桔子春,你老公押你
4.9,91.04,4.9,93.04,4.9,91.28,https://img.alicdn.com/imgextra/i4/119742128/O1CN01gclweG1RafQsAARh3_!!0-saturn_solar.jpg,0,607729382240,广西 南宁,29.90,,['柑橘'],0,true,0,辰颐物语秭归夏橙5斤装孕妇当季现摘新鲜水,qq376978309
4.6,-2.97,4.5,-4.25,4.6,-3.77,https://img.alicdn.com/imgextra/i3/406340147/O1CN0168qExM1CxMpAbRMq3_!!0-saturn_solar.jpg,0,614358829121,四川 成都,105.00,72.97,['柑橘'],0,true,0,见甘新鲜地 春见丑橘柑10粑粑干四川桔子春,旺财最帅哦
4.8,1.43,4.6,-2.13,4.7,-1.04,https://img.alicdn.com/imgextra/i4/434850110/O1CN01R1tcQR1CgQAZTz9yA_!!0-saturn_solar.jpg,0,619478295211,广西 南宁,69.00,55.00,['柑橘'],4,true,0,江西赣南脐橙5斤夏橙子新鲜当季水果手剥橙,海岩de遐想
