dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.2,-12.59,3.8,-19.13,3.9,-18.84,https://img.alicdn.com/imgextra/i3/692572391/O1CN01E2Fg711TX7aKBdOdy_!!692572391.jpg,0,614185684191,广西 南宁,32.90,,['柚子'],1,true,0,福建平和管溪红心柚子当季新鲜水果红肉蜜柚,俏佳人服饰518
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/106613118/O1CN01FJChnW1Yu5XZO3wUn_!!0-saturn_solar.jpg,0,620829570343,广西 钦州,108.00,,['柚子'],20,true,,现摘广西特产灵山糯米糍荔枝新鲜水果5斤包,liyu1378888
4.8,-0.53,4.7,-1.79,4.7,-1.12,https://img.alicdn.com/imgextra/i4/132989918/O1CN01j4akvQ2N8UmqCxoqL_!!0-saturn_solar.jpg,0,592087696745,广东 湛江,39.90,,['柚子'],1841,true,1,广东徐闻菠萝带箱10斤 顺丰包邮 新鲜水,石城仙果良田
4.8,0,4.7,-0.67,4.8,0.55,https://img.alicdn.com/imgextra/i2/1234230101/O1CN01Guzxi31CcIbp16T5D_!!0-saturn_solar.jpg,1,620012433024,广东 汕尾,89.00,59.80,['柚子'],2518,true,0,新鲜现摘广东妃子笑荔枝 当季时令整箱水果,醒季食品旗舰店
4.7,-0.65,4.7,-2.26,4.7,-1.16,https://img.alicdn.com/imgextra/i4/683140051/O1CN01Ep3spT1CFOmt3GsGw_!!0-saturn_solar.jpg,1,613331221359,辽宁 鞍山,49.80,49.30,['柚子'],781,true,0,顺风包邮东北花特产姑娘香瓜5斤新鲜应季水,森凡旗舰店
4.7,-1.20,4.7,-1.16,4.8,20.39,https://img.alicdn.com/imgextra/i4/688380126/O1CN01VKJbCD1CnkVfUDEMK_!!2-saturn_solar.png,0,618949475354,福建 漳州,26.40,,['柚子'],0,true,0,2020新货新鲜柚子叶去晦气开运转运沐浴祈福,东悦商贸v
4.9,58.70,4.8,42.83,4.9,50.61,https://img.alicdn.com/imgextra/i1/25075974/O1CN01ZpMuH11u08hhG3mgw_!!0-saturn_solar.jpg,0,615496324558,广东 深圳,188.00,88.00,['柚子'],8988,true,0,现摘荔枝新鲜5斤顺丰茂名高州白糖罂水果非,那酷吧
4.8,0,4.7,-0.98,4.7,-0.98,https://img.alicdn.com/imgextra/i4/128481271/O1CN013ZHOzR1LGA0O86oNu_!!0-saturn_solar.jpg,0,619650612632,上海,74.75,59.80,['柚子'],1,true,0,泰国ick金柚3个装5斤大果 泰国柚子青,水果屋
4.6,-4.01,4.2,-10.35,4.5,-6.95,https://img.alicdn.com/imgextra/i3/1128030153/O1CN01CCv2nx1D07CfYW8lj_!!0-saturn_solar.jpg,0,620705759972,广西 南宁,29.60,,['柚子'],0,true,0,20年新货胡柚10斤大中小任选当季新鲜水果浙,熊猫吃货站
4.8,-0.84,4.8,2.54,4.8,-0.75,https://img.alicdn.com/imgextra/i2/1220430119/O1CN01ktMr871CkXjsdWJVn_!!2-saturn_solar.png,0,619874858371,广东 广州,138.00,,['柚子'],27,true,0,现摘现发当季水果顺丰5斤装桂味荔枝新鲜,冷檬韩版服饰
4.7,-0.75,4.7,-1.42,4.7,-1.17,https://img.alicdn.com/imgextra/i3/420980009/O1CN013KWotU1BwAAWsBKXR_!!0-saturn_solar.jpg,1,617215681252,云南 昆明,129.00,89.80,['柚子'],257,true,0,泰国青柚白蜜柚白心柚子进口白糖柚当季整箱,言片光旗舰店
4.8,1.09,4.8,11.00,4.8,4.77,https://img.alicdn.com/imgextra/i2/54617783/O1CN01SKkupm27MfBjYCE5k_!!0-saturn_solar.jpg,0,620030599393,广东 广州,338.00,,['柚子'],3,true,1,仙进奉荔枝王5斤超大孕妇当季整箱现货直发,eee11688
4.8,7.51,4.8,4.34,4.8,8.70,https://img.alicdn.com/imgextra/i4/115969721/O1CN01yPc4sx2LgGdwTPyjG_!!0-saturn_solar.jpg,0,554928483739,广东 广州,99.00,27.80,['柚子'],4,true,1,新鲜水果海南小金桔1斤装+进口红心西柚3,天天鲜果乐园
4.8,16.18,4.8,0,4.8,5.07,https://img.alicdn.com/imgextra/i3/45844419/O1CN01BqDpy31iVwoyHsMSU_!!0-saturn_solar.jpg,1,618035304752,广东 茂名,388.00,148.00,['柚子'],2657,true,0,桂味荔枝 现货空运 新鲜桂味荔枝 送,味真栈旗舰店
5.0,100.00,4.7,-1.98,5.0,100.00,https://img.alicdn.com/imgextra/i3/330150031/O1CN010Tbwp81C6EshUTNdC_!!0-saturn_solar.jpg,0,615476916883,云南 昆明,74.80,72.80,['柚子'],34,true,0,越南青皮红心柚翡翠红肉蜜柚进口新鲜柚子甜,ai568253707
4.1,-15.26,3.5,-25.41,3.9,-18.61,https://img.alicdn.com/imgextra/i3/129036280/O1CN01LIFUqx1wGHtkYYOeH_!!0-saturn_solar.jpg,0,619536006505,广东 梅州,66.60,,['柚子'],0,true,0,广西特产正宗容县沙田柚子自家种植新鲜水果,儒家之乡
4.1,-15.26,3.5,-25.41,3.9,-18.61,https://img.alicdn.com/imgextra/i4/129036280/O1CN01WnYqP61wGHtnomyHW_!!0-saturn_solar.jpg,0,619798495758,广东 梅州,66.60,,['柚子'],0,true,0,包邮10斤正宗广东梅州沙田柚子小金柚白心肉,儒家之乡
4.8,11.59,4.7,0,4.8,12.52,https://img.alicdn.com/imgextra/i2/16422246/O1CN01KvSS671SSiALR2aut_!!0-saturn_solar.jpg,0,609780411783,上海,26.00,,['柚子'],1524,true,1,以色列进口红心西柚新鲜柚子葡萄柚孕妇水果,td520d
4.6,-3.01,4.5,-6.34,4.5,-4.96,https://img.alicdn.com/imgextra/i2/893150134/O1CN01GWeBsE1CrPfwnEqwt_!!0-saturn_solar.jpg,1,619210884513,广东 广州,9.90,,['柚子'],54,true,0,常山胡柚10斤包邮大果新鲜孕妇水果5果园,庆湘园旗舰店
4.7,-0.74,4.7,-0.97,4.8,0,https://img.alicdn.com/imgextra/i3/51851744/O1CN01830SPB1OknKIoraPJ_!!0-saturn_solar.jpg,1,528252833503,辽宁 大连,238.00,99.00,['柚子'],100,true,0,现摘现货美早大连大樱桃新鲜水果 2斤车厘子,千品淳旗舰店
5.0,100.00,4.5,-4.66,4.7,-2.52,https://img.alicdn.com/imgextra/i3/110034856/O1CN01tkO2TM1lk5twrTplJ_!!0-saturn_solar.jpg,0,619797716558,广东 广州,60.00,,['柚子'],0,true,0,泰国青柚新鲜 蜜柚当季白心 水果白肉柚子包,tb_3547680
4.9,57.46,4.9,54.08,4.9,56.25,https://img.alicdn.com/imgextra/i4/486150147/O1CN01Jwvv5O1CxMoz8m6FA_!!0-saturn_solar.jpg,0,618050918010,浙江 宁波,48.90,,['柚子'],0,true,0,常山胡柚20斤10斤新鲜包邮当季水果衢州特产,tb70839088
4.2,-12.59,3.8,-19.13,3.9,-18.84,https://img.alicdn.com/imgextra/i1/26922872/O1CN01UC0nCG1X5Q6iibvkd_!!0-saturn_solar.jpg,0,620437506545,上海,57.02,,['柚子'],0,true,0,泰国金柚进口泰柚新鲜柚子蜜柚青柚孕妇水果,俏佳人服饰518
4.4,-8.28,3.9,-17.29,4.2,-12.30,https://img.alicdn.com/imgextra/i1/1161660086/O1CN01qbwybU1CVQfVpPnNE_!!0-saturn_solar.jpg,0,621325683582,山西 运城,62.80,,['柚子'],0,true,0,泰国青柚进口孕妇时令水果4斤当季新鲜整箱,仙果吧
4.9,57.46,4.9,54.08,4.9,56.25,https://img.alicdn.com/imgextra/i3/486150147/O1CN01zXea9g1CxMp7C8bkt_!!0-saturn_solar.jpg,0,618176122433,浙江 宁波,64.80,,['柚子'],0,true,0,精选胡柚常山胡柚正宗新鲜孕妇水果小柚子10,tb70839088
4.6,-4.39,4.3,-10.16,4.4,-8.54,https://img.alicdn.com/imgextra/i2/58289347/O1CN0148e8oQ2IuydFTFxqg_!!0-saturn_solar.jpg,0,616722839915,广西 南宁,59.90,,['柚子'],0,true,0,买1送1白肉蜜柚新鲜水晶柚子水果包邮白心当,3699衣柜
4.9,68.64,4.8,43.14,4.9,79.66,https://img.alicdn.com/imgextra/i1/13366730/O1CN013uj0lY1zaO6tR20AQ_!!0-saturn_solar.jpg,0,613212788320,广东 深圳,780.00,,['柚子'],0,true,1,日本山形山梨佐藤锦红秀峰新鲜樱桃车厘子甜,wyying8
4.6,-4.26,4.0,-15.05,4.4,-7.96,https://img.alicdn.com/imgextra/i4/34386302/O1CN01ZMyiSG1wQMc5fZqFn_!!0-saturn_solar.jpg,0,616861711968,山东 威海,89.00,49.80,['柚子'],881,true,0,现货 车厘子 美早黑珍珠先锋 新鲜,jessie家的味道
4.9,65.53,4.8,11.63,4.9,42.98,https://img.alicdn.com/imgextra/i3/132712113/O1CN018qpfPX1RTnUcmv1tH_!!0-saturn_solar.jpg,0,618376056580,四川 雅安,178.00,,['柚子'],886,true,0,四川汉源黑珍珠车厘子新鲜水果包邮4斤,四季鲜果园8022
4.9,64.80,4.9,55.24,4.9,68.86,https://img.alicdn.com/imgextra/i4/97443843/O1CN01YXmfNZ1eG8ge8Im15_!!0-saturn_solar.jpg,0,618513704257,广东 惠州,198.00,119.00,['柚子'],612,true,0,广东镇隆桂味荔枝现摘现发当季时令整箱包邮,fengshao_lc
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i3/125533293/O1CN010QsMcL1aCEolMcsIP_!!0-saturn_solar.jpg,0,603260983718,重庆,99.90,,['柚子'],0,true,0,梁平柚龙滩柚12枚装,梁平丰源农业
4.8,9.71,4.8,30.44,4.8,21.15,https://img.alicdn.com/imgextra/i4/52460758/O1CN01WqE4PI1HTClEQYdO0_!!0-saturn_solar.jpg,1,38745014553,广东 潮州,32.00,21.80,['柚子'],108,true,0,橄榄菜180gx3瓶装拌面菜酱菜下饭菜开胃菜,双雄食品旗舰店
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i2/314560147/O1CN01UXyAtL1CxMpOyVXn1_!!0-saturn_solar.jpg,0,621067178860,广东 广州,118.00,,['柚子'],0,true,0,正宗广州增城桂味荔枝果园现摘现发新鲜小核,moonheart999
4.7,-0.90,4.7,-1.79,4.7,-1.77,https://img.alicdn.com/imgextra/i4/182480126/O1CN01YKDr331CnkVeKsn3i_!!0-saturn_solar.jpg,1,619860727460,安徽 合肥,27.90,,['柚子'],0,true,,柠檬水果维C+柠檬水蜂蜜柚子果汁粉1000g速,otheredu旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/1236140103/O1CN01KqHfBE1CdDOyA4V6z_!!0-saturn_solar.jpg,0,620022957838,广东 广州,98.00,,['柚子'],26,false,0,顺丰空运广东增城桂味荔枝果园现摘,梁小姐102
4.3,-9.20,3.9,-16.65,4.2,-12.55,https://img.alicdn.com/imgextra/i2/41397088/O1CN01dHdCVs22ELuwnVqI1_!!0-saturn_solar.jpg,0,618889393299,上海,96.00,57.60,['柚子'],0,true,0,泰国金柚进口泰柚新鲜柚子蜜柚青柚孕妇水果,随缘16587
4.5,-6.06,4.3,-9.67,4.4,-8.35,https://img.alicdn.com/imgextra/i4/769940182/O1CN01NWackK1DDOgsFXY3o_!!0-saturn_solar.jpg,0,614342814698,重庆,97.30,,['柚子'],0,true,,重庆特产梁平柚子梁山柚麻柚子平顶柚当季水,闷闷的好可爱
4.7,-1.60,4.5,-4.13,4.7,-2.39,https://img.alicdn.com/imgextra/i2/231650196/O1CN01mh4tjX1DJoEAvFuJs_!!0-saturn_solar.jpg,0,596096626487,云南 昆明,79.00,66.00,['柚子'],59,true,0,泰国青柚子2个约4斤甜新鲜金蜜柚现货当天发,干浆米线小锅
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/42962149/O1CN01xAi3bb1RkHkX37txr_!!0-saturn_solar.jpg,0,619676292070,云南 德宏,29.90,,['柚子'],0,true,0,产地中国大陆 百香5斤大果 现摘现发 树,x65912084
4.9,50.52,4.9,46.68,4.9,51.76,https://img.alicdn.com/imgextra/i3/129377728/O1CN01TIsS0f26xTP96R1HW_!!0-saturn_solar.jpg,1,595552957742,广东 广州,449.50,69.80,['柚子'],1932,true,0,德叔即食花胶鱼胶红枣藜麦女士孕妇滋补充胶,德叔鲍鱼食品旗舰店
4.6,-2.72,4.5,-4.70,4.6,-3.43,https://img.alicdn.com/imgextra/i1/690100111/O1CN01NI8jYq1CgsZNt52J3_!!0-saturn_solar.jpg,1,608226963879,浙江 杭州,49.90,32.90,['柚子'],18002,true,0,南非红西柚红心葡萄柚新鲜柚子孕妇水果包邮,沃耶旗舰店
4.6,-2.98,4.7,-2.40,4.7,-2.23,https://img.alicdn.com/imgextra/i3/646450113/O1CN01l6l6Sh1ChnMZufuT6_!!0-saturn_solar.jpg,1,620519533714,广东 广州,215.79,,['柚子'],0,true,0,从化温泉正宗桂味荔枝新鲜当季整箱净重10,吉果山旗舰店
4.8,10.20,4.8,3.19,4.8,15.29,https://img.alicdn.com/imgextra/i1/181130076/O1CN012wZhnY1CQqi15KFMr_!!0-saturn_solar.jpg,1,599973550754,四川 眉山,46.25,34.00,['柚子'],211,true,0,老坛子四川泡菜 泡仔姜1000g 老母水,老坛子旗舰店
4.6,-3.15,4.4,-6.48,4.6,-4.62,https://img.alicdn.com/imgextra/i1/1120790012/O1CN01b00m8y1BxXMEOXVHD_!!0-saturn_solar.jpg,0,617056114210,北京,149.52,67.28,['柚子'],10,true,0,3-4个带箱10斤红心肉柚子梅州蜜柚  新鲜水,你老公押你
