dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-1.12,4.7,-1.00,4.8,0,https://img.alicdn.com/imgextra/i4/118839723/O1CN0178Mpok2LhBX3CkvG1_!!0-saturn_solar.jpg,0,611672244572,广西 玉林,9.80,,['柠檬'],305,true,0,百香果酱果茶百香果汁肉饮料原浆柠檬蜂蜜茶,locy5201314
4.8,7.03,4.8,0,4.8,0,https://img.alicdn.com/imgextra/i3/306100078/O1CN01pxmkQ31CRlRY61p00_!!0-saturn_solar.jpg,1,587868880260,广东 佛山,88.00,28.80,['柠檬'],184,true,0,新鲜无籽香水柠檬5斤包邮水果青黄柠檬,果无优旗舰店
4.5,-6.38,4.4,-7.99,4.4,-7.58,https://img.alicdn.com/imgextra/i4/1046430058/O1CN01sIzJTb1CIbZbliZ0L_!!0-saturn_solar.jpg,1,618630663450,海南 文昌,25.00,15.80,['柠檬'],9,true,0,青柠檬海南新鲜皮薄奶茶店专用5斤一级大果,三果夫旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/132552141/O1CN01DSh6Ku1RgcU1dmZyi_!!0-saturn_solar.jpg,0,569716488918,四川 资阳,12.68,,['柠檬'],1,true,0,安岳黄柠檬 新鲜 尤力克 皮薄多汁  大,chengxiaogang9078
4.7,-0.85,4.7,-1.61,4.7,-1.21,https://img.alicdn.com/imgextra/i1/859550118/O1CN01aPOK9g1Ck5L1dNqf7_!!0-saturn_solar.jpg,1,616937601436,四川 成都,19.80,9.80,['柠檬'],2,true,0,四川安岳精选柠檬新鲜皮薄一级大果鲜大水果,果誉佳旗舰店
4.7,-1.81,4.6,-4.00,4.6,-2.58,https://img.alicdn.com/imgextra/i4/167960106/O1CN01BcrWLq1CeaaKj2FBu_!!0-saturn_solar.jpg,1,593768833670,广西 玉林,29.80,19.80,['柠檬'],12,true,0,柠檬 香水柠檬 青柠檬 广西香水柠檬 酸,源乡野水果旗舰店
4.7,-1.24,4.6,-2.41,4.7,-0.81,https://img.alicdn.com/imgextra/i2/31673514/O1CN01HIITht1bpSNN1E4fk_!!0-saturn_solar.jpg,0,558811978379,广东 佛山,59.00,26.80,['柠檬'],11,true,0,海南香水柠檬无籽黄柠檬子弹头5斤装,让电商飞一会儿
4.7,-2.31,4.6,-2.78,4.6,-2.81,https://img.alicdn.com/imgextra/i1/126510659/O1CN01Pgeoe11GjrbyxV64N_!!0-saturn_solar.jpg,1,578426259114,广西 玉林,35.00,26.80,['柠檬'],95,true,0,广西特产百香果果酱奶茶店专用原料瓶装2K,果美恋水果旗舰店
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i2/116580760/O1CN011HU7TGNxydzy9lX_!!0-saturn_solar.jpg,0,539862250777,四川 资阳,71.80,,['柠檬'],0,true,0,安岳黄柠檬新果现摘新鲜皮薄汁多5斤包邮,金玲商贸888
4.9,37.54,4.8,43.59,4.9,43.90,https://img.alicdn.com/imgextra/i4/130994944/O1CN01lxu9N51mOOjdPiBRf_!!2-saturn_solar.png,0,611959670674,广西 玉林,9.80,,['柠檬'],602,true,0,果汁饮料柠檬白香果茶蜂蜜茶袋装百香果原浆,胜远威三农生态果园
4.9,91.26,4.9,86.92,4.9,91.09,https://img.alicdn.com/imgextra/i2/718860139/O1CN01INNWBM1CthevCnan2_!!0-saturn_solar.jpg,1,617703931612,海南 海口,39.80,19.90,['柠檬'],37,true,0,海南柠檬青柠檬5斤包邮当季新鲜水果中果皮,偲林旗舰店
4.8,23.97,4.8,48.31,4.9,44.51,https://img.alicdn.com/imgextra/i4/26218475/O1CN01bcLagg2CTbEvbHdUH_!!0-saturn_solar.jpg,0,593005681000,广西 玉林,25.80,,['柠檬'],16,true,,广西香水柠檬无籽新鲜青柠檬5斤奶茶店专用,浅蓝色海洋
4.5,-4.91,4.5,-6.67,4.5,-6.45,https://img.alicdn.com/imgextra/i3/132358080/O1CN01rVZZ4R29YgogHHPE5_!!0-saturn_solar.jpg,1,570228039955,海南 海口,88.00,6.90,['柠檬'],8914,true,0,金骐青柠檬2斤皮薄免邮柃檬小青柠海南,金骐旗舰店
4.9,55.44,4.9,60.06,4.9,59.98,https://img.alicdn.com/imgextra/i1/541660154/O1CN01dhTy4R1D0ZbOascYO_!!0-saturn_solar.jpg,0,600175944954,上海,2.90,,['柠檬'],41,false,0,新鲜青柠檬2个 冬阴功材料东南亚菜系用料切,cookzero零脂生活
4.9,46.28,4.8,19.58,4.8,36.84,https://img.alicdn.com/imgextra/i4/31524539/O1CN01sPzgNP1jOuLlnPebQ_!!0-saturn_solar.jpg,0,613708004312,北京,138.00,54.00,['柠檬'],12,true,0,新鲜野生免浆黑鱼片酸菜鱼水煮鱼火锅鱼食材,莫小沫881208
4.8,-0.53,4.7,0,4.8,0,https://img.alicdn.com/imgextra/i3/215520046/O1CN01KDBbUk1CD6ocAHC9R_!!0-saturn_solar.jpg,0,587868560095,海南 海口,88.00,9.90,['柠檬'],144,true,0,海南青柠檬新鲜二级青柠皮薄多汁柠檬新鲜小,t_1503468713771_0653
4.8,9.35,4.8,19.38,4.8,14.10,https://img.alicdn.com/imgextra/i1/269962925/O1CNA19KGMJh100da90a510d0b0b72110007_!!1-0-picassodesign.jpg,0,566112631450,上海,35.00,18.80,['柠檬'],837,true,1,冷冻柠檬汁柠檬原汁鲜果榨取非浓缩果汁奶茶,123耶耶耶
4.9,81.90,4.8,34.40,4.9,58.92,https://img.alicdn.com/imgextra/i1/130769925/O1CN01VOrUOk2NBhYnM7DJL_!!0-saturn_solar.jpg,0,592828796628,四川 资阳,9.90,,['柠檬'],321,true,0,安岳尤力克黄柠檬新鲜水果一级中小果薄皮多,木槿lym
4.7,-1.07,4.7,-1.54,4.7,-1.33,https://img.alicdn.com/imgextra/i2/28769918/O1CN01QjTpO82N8UlPGvxMW_!!0-saturn_solar.jpg,0,580238656714,四川 资阳,29.99,,['柠檬'],2,true,0,鲜果安岳新鲜青柠檬香水柠檬黄柠檬五斤包邮,lun20000
4.8,0,4.7,-0.93,4.8,0,https://img.alicdn.com/imgextra/i2/31303055/O1CN0182E1M71YREa8QOhGY_!!0-saturn_solar.jpg,0,549662715154,四川 资阳,19.99,,['柠檬'],105,true,0,新鲜安岳黄柠檬5斤装二三级果拍下送4斤发,hyh飞狐
4.8,6.86,4.8,16.38,4.8,9.75,https://img.alicdn.com/imgextra/i1/486240148/O1CN01YSfo8f1CxpDCD103b_!!0-saturn_solar.jpg,1,615083996676,重庆,19.00,9.90,['柠檬'],9,true,0,重庆潼南黄柠檬新鲜水果爽当季一级清新水果,浙江粮油食品旗舰店
4.5,-4.99,4.4,-6.72,4.5,-6.50,https://img.alicdn.com/imgextra/i2/391190160/O1CN01wXGvWP1D3JxUDC7yn_!!0-saturn_solar.jpg,0,613737091053,广东 广州,19.80,9.70,['柠檬'],0,true,0,淘天然 ll 买5送1 安岳柠檬2斤/5,清伟小面馆电子商务
4.7,-1.71,4.7,-2.22,4.7,-1.27,https://img.alicdn.com/imgextra/i2/976410031/O1CN01t7IC881C6EsvpLk5D_!!0-saturn_solar.jpg,1,615962406379,广西 南宁,9.80,,['柠檬'],1980,true,0,黄柠檬5斤新鲜水果当季一二级尤力克柠檬皮,妙果缘旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/98745657/O1CN01feMZ8w1rex38pJpIh_!!0-saturn_solar.jpg,0,585948499948,四川 资阳,9.90,,['柠檬'],0,true,0,安岳新鲜尤力克二级黄柠檬皮薄汁多不打蜡不,嘉美绿色农场
4.8,2.92,4.7,0,4.8,5.53,https://img.alicdn.com/imgextra/i4/98255655/O1CN01w67X5d1re2JZM4sOd_!!0-saturn_solar.jpg,0,522107610614,广东 广州,120.00,99.00,['柠檬'],42,true,1,包邮柠檬新鲜美国进口新奇士黄柠檬25个装,梦之店1986
4.4,-7.90,3.9,-17.45,4.5,-6.95,https://img.alicdn.com/imgextra/i2/607980012/O1CN016Kq29Q1BxXM9YHBW6_!!0-saturn_solar.jpg,0,607973300802,重庆,16.90,,['柠檬'],11,true,0,重庆万州无籽小个青柠檬新鲜水果全国包邮,hxp4019283
4.8,21.07,4.8,34.25,4.8,27.57,https://img.alicdn.com/imgextra/i3/125340594/O1CN01W2Rv6o1GG5raeM85I_!!0-saturn_solar.jpg,1,617436380475,上海,76.00,38.00,['柠檬'],2,true,0,创御饮柠檬汁奶茶店专用柠檬原汁950ml,港饮食品专营店
4.7,-2.88,4.5,-4.12,4.6,-3.33,https://img.alicdn.com/imgextra/i1/116998912/O1CN01NwLw382FhkDPXQKT8_!!0-saturn_solar.jpg,0,535765587525,海南 海口,11.80,,['柠檬'],336,true,0,海南香水柠檬青柠檬新鲜5斤二包邮,ao小姨妈
4.7,-2.28,4.7,-1.56,4.7,-1.58,https://img.alicdn.com/imgextra/i2/1148580083/O1CN01d6ZoDK1CU3TdF30du_!!0-saturn_solar.jpg,0,618968028067,广东 广州,19.20,9.50,['柠檬'],14,true,0,四川安岳现摘精选黄柠檬新鲜水果5.5斤皮薄,鑫跃88副食店
4.8,15.22,4.8,29.20,4.8,19.90,https://img.alicdn.com/imgextra/i4/51329284/O1CN01tElcal2IS7foPRN0r_!!0-saturn_solar.jpg,1,556056594043,广东 潮州,58.00,29.90,['柠檬'],4259,true,0,老坛腌制咸柠檬800g 潮汕噶己人盐柠檬,噶己人食品专营店
