dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
5.0,100.00,4.8,18.77,4.5,-6.95,https://img.alicdn.com/imgextra/i4/1214470124/O1CN01bC9xrs1CmpiUAigoS_!!0-saturn_solar.jpg,0,619678374683,上海,54.70,,['柿子'],0,true,0,正宗山东特产杮子饼5斤装柿饼手工非富平2,慧发零食馆
4.8,3.59,4.8,1.93,4.8,1.76,https://img.alicdn.com/imgextra/i1/293310149/O1CN01lCaFAT1CyHcUUb6NF_!!0-saturn_solar.jpg,1,619531037798,辽宁 丹东,88.00,29.80,['柿子'],331,true,0,丹东铁皮草莓梅小洋柿子5斤黑绿腚火晶碱地,华创食品专营店
4.7,-1.26,4.7,-1.10,4.7,-1.47,https://img.alicdn.com/imgextra/i3/527440070/O1CN01WioCMs1CO6K5180D9_!!0-saturn_solar.jpg,0,617478621384,浙江 温州,22.80,12.54,['柿子'],1,true,0,新鲜柿饼特级降霜柿饼广西桂林恭城农家柿子,建光33268
4.3,-9.20,3.9,-16.65,4.2,-12.55,https://img.alicdn.com/imgextra/i2/41397088/O1CN014Fclit22ELuYkzCc4_!!0-saturn_solar.jpg,0,616899211421,广西 南宁,59.80,21.90,['柿子'],56,true,0,水果玲珑小番茄草梅玲珑小柿子小西红柿玲珑,随缘16587
4.8,0,4.8,6.83,4.7,0,https://img.alicdn.com/imgextra/i2/117975534/O1CN011T81Ig1qkcR22RzZc_!!0-saturn_solar.jpg,1,621434699401,浙江 杭州,19.20,,['柿子'],0,true,0,新鲜柿饼纯天然特级降霜柿饼广西桂林恭城柿,心香怡旗舰店
4.7,-2.41,4.7,-1.75,4.6,-2.87,https://img.alicdn.com/imgextra/i4/749270026/O1CN01y1By7D1C3wtl6qd9n_!!0-saturn_solar.jpg,1,617265310345,山东 济南,43.32,32.49,['柿子'],2,true,,特价农家手工柿饼新鲜柿饼 干柿子 非吊,青谷食品专营店
4.7,-1.80,4.7,-0.91,4.7,-1.78,https://img.alicdn.com/imgextra/i3/132186320/O1CN01fLhD4B1wYbjFrFlT4_!!0-saturn_solar.jpg,1,614732416466,山东 临沂,34.76,17.38,['柿子'],1,true,0,野生无核黑枣子柿枣软枣小柿子农家特产500g,山水季旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/802450090/O1CN018j8Am01CXGFQLdQ5r_!!0-saturn_solar.jpg,0,618171901097,广西 桂林,19.80,11.09,['柿子'],0,true,0,新鲜柿饼特级降霜柿饼广西桂林恭城农家柿子,任性8298966
4.7,-1.23,4.7,-1.35,4.7,-1.93,https://img.alicdn.com/imgextra/i4/120417245/O1CN01RNhUzJ23OG5YTyyMD_!!0-saturn_solar.jpg,1,603854163817,山东 临沂,37.70,,['柿子'],7,true,0,[买3送1]沂蒙山新鲜无核小黑枣君迁子软枣小,蜂鸟食品专营店
4.6,-4.87,4.3,-9.22,4.4,-7.56,https://img.alicdn.com/imgextra/i4/133581833/O1CN01RoIFUa1PPYano7gQF_!!0-saturn_solar.jpg,0,619399750465,河北 沧州,10.40,6.03,['柿子'],0,true,0,无核软枣黑枣小柿子圆枣200g/500g多规格,诚信1956
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/127653223/O1CN01e4fzzf1ZgB7tePBAo_!!0-saturn_solar.jpg,0,618776759728,福建 厦门,13.48,7.14,['柿子'],0,true,0,店主推荐软枣圆枣无核软枣黑枣小柿子圆枣20,微微一笑事在人为
4.6,-3.93,4.6,-3.88,4.6,-3.31,https://img.alicdn.com/imgextra/i1/475200106/O1CN01JcI5ZP1CeaYWHpspu_!!0-saturn_solar.jpg,0,607040705805,河南 郑州,12.69,6.34,['柿子'],0,true,0,新货农家手工柿饼新鲜柿饼 干柿子 非吊柿子,春暖花开路遥
4.4,-8.51,4.1,-13.60,4.1,-13.35,https://img.alicdn.com/imgextra/i2/127122355/O1CN012wz0r71TGdKn8FOdD_!!0-saturn_solar.jpg,0,616640152658,四川 成都,13.48,7.68,['柿子'],0,true,0,店主推荐软枣圆枣无核软枣黑枣小柿子圆枣20,刘吕本霞
4.7,-1.00,4.7,-1.23,4.8,2.34,https://img.alicdn.com/imgextra/i4/740100104/O1CN019y2q6s1Cdfn6rj0dk_!!0-saturn_solar.jpg,0,616274921442,河南 焦作,13.78,7.58,['柿子'],0,true,0,店主推荐软枣圆枣无核软枣黑枣小柿子圆枣柿,家有两宝6322
4.7,-2.90,4.7,-1.28,4.9,59.31,https://img.alicdn.com/imgextra/i4/888710055/O1CN01eNFgeB1CHENGiPtrb_!!0-saturn_solar.jpg,0,612766786070,浙江 杭州,11.48,6.77,['柿子'],0,true,0,软枣圆枣无核软枣黑枣小柿子圆枣200g/500g,悠口香美食
