dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,34.64,4.7,-0.63,4.8,12.98,https://img.alicdn.com/imgextra/i3/677670007/O1CN01wsY1Cy1BvFNHyZaDK_!!0-saturn_solar.jpg,1,617904467168,山东 临沂,29.90,,['桃子'],6,true,0,山东蒙阴黄油桃5斤整箱应季水果现摘现发新,陶迷食品旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1157350105/O1CN01f6xHKG1Ce8ByG9A9N_!!0-saturn_solar.jpg,0,620802410423,陕西 西安,26.80,26.00,['桃子'],0,true,0,水蜜桃新鲜水果软甜多汁大毛桃当季现摘现发,t_1507166003037_0207
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/476330102/O1CN01kmoD7d1Ccl0FUY1HY_!!0-saturn_solar.jpg,0,617510713666,北京,128.00,98.00,['桃子'],201,false,0,北京平谷大桃水蜜桃新鲜脆甜正宗整箱顺丰,wangxin6092
4.9,73.36,4.9,75.54,4.9,78.79,https://img.alicdn.com/imgextra/i2/1217420050/O1CN01de9DxI1CEwPUxI4fe_!!0-saturn_solar.jpg,0,619530671911,山东 临沂,58.00,22.90,['桃子'],2904,true,0,现摘黄桃新鲜水果5斤整箱包邮当季黄桃水果,tb41579317
4.6,-3.81,4.5,-5.60,4.5,-5.38,https://img.alicdn.com/imgextra/i2/336620100/O1CN018CJR0Y1CbqDIyftXX_!!0-saturn_solar.jpg,1,620560720702,安徽 宿州,49.00,12.80,['桃子'],42,true,0,黄桃桃子新鲜水果当季整箱现摘孕妇蜜脆桃子,鲜盛祥旗舰店
4.9,69.55,4.8,29.03,4.9,46.66,https://img.alicdn.com/imgextra/i4/935960027/O1CN01xMVLpu1C4PIWuxyUU_!!0-saturn_solar.jpg,0,619546982294,四川 成都,24.90,,['桃子'],29,true,0,美益鲜果 攀枝花油桃带箱5斤新鲜现摘应季桃,tb8592353707
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/30202752/O1CN01pwD1Pl1WCSa3qyL34_!!0-saturn_solar.jpg,0,620897955712,陕西 咸阳,54.90,,['桃子'],3,true,0,618 特惠 新鲜当季精品水蜜桃 无公害,如果weixiao
4.8,31.45,4.7,0,4.8,33.29,https://img.alicdn.com/imgextra/i2/925730043/O1CN019IdDol1CBjdRX9WdF_!!0-saturn_solar.jpg,0,616353130186,山东 临沂,29.90,19.90,['桃子'],56,true,0,沂蒙山现摘红油桃由4水蜜桃 应季水果非黄,tb295353383
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1227490101/O1CN01WPtJQG1CcIbo1GDlg_!!0-saturn_solar.jpg,0,620126109094,四川 广元,29.90,,['桃子'],4,true,0,四川桃子新鲜10斤沙红桃水果当季应季现货,食小见
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/45038428/O1CN01rJwdQu2C84eNYjJTW_!!0-saturn_solar.jpg,0,619805681712,江苏 徐州,9.90,,['桃子'],30,true,0,砀山黄桃5斤包邮新鲜黄桃孕妇水果桃子当季,chanyan一生
4.9,47.85,4.9,56.60,4.9,47.82,https://img.alicdn.com/imgextra/i2/360030094/O1CN01YkMA4Q1CZ5pvVee63_!!0-saturn_solar.jpg,1,609894264382,北京,180.00,,['桃子'],5989,true,0,可爱多喜茶冰淇淋黑糖波波奶茶味杯装雪糕,和路雪旗舰店
4.7,-1.67,4.6,-2.66,4.7,-2.12,https://img.alicdn.com/imgextra/i4/896690002/O1CN01mGEwl41BsxOpwRutk_!!2-saturn_solar.png,1,619868177695,云南 红河,108.00,89.80,['桃子'],28,true,0,新鲜现摘鹰嘴蜜桃大果脆桃云南蒙自鹰嘴桃开,榴汁乡生鲜旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/36038341/O1CN01eX53542BUEBVQCAr4_!!0-saturn_solar.jpg,0,618218629201,江苏 无锡,69.90,,['桃子'],4,true,0,正宗阳山水蜜桃孕妇水果新鲜软桃超大多汁6,wangbin0719
5.0,100.00,4.9,88.40,5.0,100.00,https://img.alicdn.com/imgextra/i3/589930118/O1CN013qCrux1Ck5KxIPcy3_!!0-saturn_solar.jpg,0,618159230479,陕西 渭南,29.90,16.90,['桃子'],85,true,0,2020现摘水蜜桃水果新鲜桃子脆桃毛桃当,guohuiwa91591634
4.9,38.24,4.8,49.25,4.9,46.06,https://img.alicdn.com/imgextra/i3/801580051/O1CN01eXVPUw1CFOnmZtDGN_!!0-saturn_solar.jpg,0,618416267184,安徽 宿州,68.00,28.80,['桃子'],569,true,1,现摘砀山黄桃10斤现季水果新鲜桃子孕妇超,食趣一点
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/129309419/O1CN01YitW1X2JRx9OA4Zoj_!!0-saturn_solar.jpg,0,589117330641,山东 临沂,32.90,,['桃子'],16,true,0,黄桃新鲜水果山东蒙阴脆甜现摘黄毛桃子,t_1512352363185_0765
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/32692187/O1CN01RBP3qc1S1gnnM32Rv_!!0-saturn_solar.jpg,0,620428318348,湖北 荆门,27.90,,['桃子'],4,true,0,湖北基地直供黄心桃大果5斤包邮现摘现发毛,cao188011
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/1254140121/O1CN01Fohbu91ClSX1tpaGm_!!0-saturn_solar.jpg,1,620986006520,山东 临沂,68.80,26.80,['桃子'],313,true,0,顺丰包邮山东脆甜水蜜桃5斤,聚香园旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/84045958/O1CN010BxfKS1tsoMcwSo4a_!!0-saturn_solar.jpg,0,619449980846,云南 红河,46.80,32.80,['桃子'],63,true,0,新鲜现摘 鹰嘴桃5斤装包邮超脆甜云南大水,vear岩
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/106754014/O1CN01PRC4MP1fWSPociPmQ_!!0-saturn_solar.jpg,0,570179113664,江苏 徐州,118.00,88.00,['桃子'],5,false,0,包邮新沂水蜜桃新鲜水蜜桃软桃脆桃现摘水密,chen丹阳
4.9,40.48,4.9,51.98,4.9,50.99,https://img.alicdn.com/imgextra/i3/123423353/O1CN015ImzXc1adicCgHtu5_!!0-saturn_solar.jpg,0,618594927099,山东 临沂,29.90,19.90,['桃子'],0,true,0,山东黄心油桃现货5斤新鲜水果应当季孕妇现,天涯一一寻梦
4.8,16.37,4.4,-8.23,5.0,100.00,https://img.alicdn.com/imgextra/i3/485160137/O1CN01I33X0k1CsmrnSmteE_!!0-saturn_solar.jpg,0,620379034698,浙江 嘉兴,78.00,,['桃子'],33,false,0,正宗嘉兴凤桥三星水蜜桃新鲜时令阳山奉化水,tb07864928
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1238840016/O1CN018CFLe31BzMwXpmPl9_!!0-saturn_solar.jpg,1,620798995109,陕西 西安,21.00,12.60,['桃子'],49,true,0,超甜水蜜桃水果毛桃子新鲜5斤整箱包邮时令,双果季旗舰店
4.8,5.91,4.8,18.77,4.8,0,https://img.alicdn.com/imgextra/i4/27938726/O1CN019AoBFm2EKYg15o1f7_!!0-saturn_solar.jpg,0,619055016696,陕西 西安,69.90,29.88,['桃子'],58,true,0,正宗陕西水蜜桃5斤,淘我迷糊
4.9,55.83,4.9,79.41,4.9,74.21,https://img.alicdn.com/imgextra/i3/14363283/O1CN015Pp4pY1a7etOLc2pO_!!0-saturn_solar.jpg,0,619824274749,山东 临沂,30.00,19.80,['桃子'],178,true,0,新鲜水果山东沂蒙阴黄心红油桃子甜产地现货,0539shop
4.8,0,4.7,-0.63,4.8,0,https://img.alicdn.com/imgextra/i3/36651625/O1CN019t1ihM1NsIDNf5JKH_!!0-saturn_solar.jpg,0,615451132858,湖南 怀化,136.00,68.00,['桃子'],31,true,0,高山黄桃脆甜应季新鲜水果桃现摘桃子甜湘西,zhu20072012
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1082030005/O1CN01MeQ5rg1BuKaGefGjw_!!0-saturn_solar.jpg,0,619496874596,辽宁 大连,23.80,,['桃子'],2,true,0,现摘桃子新鲜油桃脆桃蜜桃红油桃整箱当季水,绿色生鲜店
4.7,-0.99,4.6,-3.98,4.6,-4.61,https://img.alicdn.com/imgextra/i4/35045736/O1CN015IZs8L1sF8R4bPYdD_!!0-saturn_solar.jpg,0,614130898373,安徽 宿州,68.00,19.90,['桃子'],20834,true,0,现摘新鲜黄桃10斤农家孕妇水果砀山锦绣桃子,丁丁灬22
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/451030066/O1CN01W20X1N1CMGkS8nNEl_!!0-saturn_solar.jpg,0,597580893600,山东 临沂,29.80,,['桃子'],65,true,0,黄桃新鲜水果脆甜武台黄桃10斤包邮黄金油,龙耕果园
4.8,26.66,4.8,19.03,4.8,28.63,https://img.alicdn.com/imgextra/i3/119468626/O1CN01aSipfP2Dal45ipGH8_!!0-saturn_solar.jpg,0,619008202517,湖北 随州,23.80,,['桃子'],1825,true,1,湖北随州现货现摘油桃新鲜水果5斤包邮脆甜,道本无涯
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/32560646/O1CN01FPNyXQ1GduSlIVUhQ_!!0-saturn_solar.jpg,0,619620373892,山西 运城,29.90,,['桃子'],8,true,0,现摘黄心油桃新鲜水果10斤包邮当季整箱时令,guorun88hao
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/125713568/O1CN0114yZxS1cEBlccWuCL_!!0-saturn_solar.jpg,1,619230432586,浙江 宁波,136.00,88.00,['桃子'],1157,true,0,奉化水蜜桃新鲜水果非毛油桃当季现摘软桃子,奉之蜜旗舰店
4.7,-1.59,4.6,-3.24,4.7,-1.70,https://img.alicdn.com/imgextra/i3/691160155/O1CN017X7ewB1D11zhUun2X_!!0-saturn_solar.jpg,1,617712359005,山东 临沂,88.00,41.80,['桃子'],1494,true,0,山东蒙阴黄金油桃5斤孕妇新鲜水果蜜桃子爆,尚鲜府旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/101061305/O1CN01wNfZnl1LVjOZdZFnG_!!0-saturn_solar.jpg,0,615437173306,安徽 宿州,59.60,29.60,['桃子'],160,true,0,砀山83黄桃新鲜水果桃子10斤包邮当季现,嘉佳8861
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/12470567/O1CN01jHGvD81G3jAwtCjyk_!!0-saturn_solar.jpg,0,618922195418,湖南 株洲,89.00,,['桃子'],44,true,0,农家湖南炎陵黄桃当季新鲜水果高山黄桃株洲,lijianbohunan01
4.9,66.75,4.9,69.00,4.9,65.49,https://img.alicdn.com/imgextra/i4/906230096/O1CN019dOF2V1Ca0d1imP4i_!!0-saturn_solar.jpg,0,618729593363,陕西 西安,79.00,49.00,['桃子'],3,true,0,陕西新鲜水果水蜜桃5斤应季桃子超大果脆甜,长安秦农食品
4.7,-2.58,4.6,-4.07,4.6,-3.47,https://img.alicdn.com/imgextra/i3/133246600/O1CN01Wq9AhH1ycqdiX3Lfu_!!2-saturn_solar.png,1,618033487133,山西 运城,48.88,21.80,['桃子'],135604,true,0,水蜜桃5斤水果新鲜脆甜大桃子,御品一园旗舰店
4.9,68.96,4.9,66.31,4.9,64.04,https://img.alicdn.com/imgextra/i1/1131060030/O1CN014moUwe1C5mUBq7VCD_!!0-saturn_solar.jpg,0,617207997484,江苏 无锡,108.00,66.80,['桃子'],2987,false,0,正宗无锡阳山水蜜桃新鲜桃子当季时令孕妇儿,龙垂香果园
4.9,89.73,4.9,79.51,4.9,80.47,https://img.alicdn.com/imgextra/i1/1216210016/O1CN01cYQl7n1BzMwYjEv9z_!!0-saturn_solar.jpg,1,619346757060,浙江 宁波,156.00,78.00,['桃子'],482,true,0,蜜露软香甜当季现摘阳山毛油桃礼盒装礼品,卓甜旗舰店
4.6,-4.35,4.5,-5.91,4.5,-5.55,https://img.alicdn.com/imgextra/i3/823780076/O1CN01TYqcN21CQqhxKmUeX_!!0-saturn_solar.jpg,1,620038603933,陕西 西安,36.90,26.90,['桃子'],1,true,0,正宗水蜜桃当季新鲜时令水果超甜血桃红心桃,恋果街旗舰店
4.7,-1.22,4.7,-2.30,4.7,-1.98,https://img.alicdn.com/imgextra/i1/280830120/O1CN011FpfMK1Cl08GPJcJA_!!0-saturn_solar.jpg,1,595395650547,山西 运城,39.80,12.80,['桃子'],486,true,0,现摘现发桃子5斤包邮当季水果新鲜桃孕妇,果吉联盟旗舰店
