dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.6,-3.40,4.5,-6.34,4.6,-4.33,https://img.alicdn.com/imgextra/i3/172080085/O1CN01jSdDok1CUyGxLTg5w_!!0-saturn_solar.jpg,1,621241583452,安徽 宿州,33.80,19.80,['梨'],154,true,0,梨子安徽砀山青梨10斤当季新鲜孕妇水果应,花野旗舰店
4.6,-3.59,4.5,-4.76,4.5,-6.26,https://img.alicdn.com/imgextra/i1/98734676/O1CN01YBHPki1kPebmIuh3T_!!0-saturn_solar.jpg,0,582151718231,浙江 温州,78.00,49.00,['梨'],18,false,0,浙江温州三垟湿地南仙正宗自家产当季新鲜采,陈钱聪
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/1225740102/O1CN01fFd6E21Ccl0UcUUyl_!!0-saturn_solar.jpg,1,619098572954,河北 衡水,27.90,,['梨'],9,true,0,河北皇冠梨产地直销雪梨新鲜水果香脆可口整,馋乐悠旗舰店
4.7,-1.44,4.6,-2.76,4.7,-1.93,https://img.alicdn.com/imgextra/i3/739260070/O1CN01b912lG1CO6Kb4Ltwx_!!0-saturn_solar.jpg,1,613217135467,山东 烟台,68.80,16.80,['梨'],47,true,0,山东莱阳脆甜秋月梨丰水梨10斤,程老伯旗舰店
4.6,-3.70,4.5,-6.38,4.6,-3.81,https://img.alicdn.com/imgextra/i1/1056570067/O1CN01GBZezm1CMj8hXKdbT_!!0-saturn_solar.jpg,1,618166648556,四川 成都,26.80,,['梨'],53,true,0,四川丰水梨10斤皇冠梨雪梨香梨新鲜孕妇水果,龙烜旗舰店
4.6,-4.14,4.5,-6.63,4.5,-5.07,https://img.alicdn.com/imgextra/i4/116694812/O1CN01708lZc1lPwTUyh8Sw_!!0-saturn_solar.jpg,1,614654252386,安徽 宿州,119.00,19.90,['梨'],1328,true,0,梨子新鲜10斤安徽砀山酥梨当季水果皇冠梨,王小二旗舰店
4.7,-2.28,4.7,-1.56,4.7,-1.58,https://img.alicdn.com/imgextra/i4/1148580083/O1CN01aBnWN71CU3TfiThLf_!!0-saturn_solar.jpg,0,618987865708,广东 广州,30.52,15.11,['梨'],0,true,0,安徽砀山梨酥梨新鲜水果包邮整箱6斤当季应,鑫跃88副食店
4.8,0,4.7,1.38,4.8,0,https://img.alicdn.com/imgextra/i2/14921635/O1CN018ZOdVz1Nws71JriIo_!!0-saturn_solar.jpg,0,590885351045,湖南 长沙,20.83,12.50,['梨'],46,false,0,去骨鸭掌400g脱骨鸭脚无骨鸭爪特色菜酒,yanglin19810606
4.6,-4.84,4.3,-9.62,4.4,-7.89,https://img.alicdn.com/imgextra/i1/45557557/O1CN01gfbybS25h9fm1ufH8_!!0-saturn_solar.jpg,0,619944814557,安徽 宿州,11.80,,['梨'],0,true,0,梨子新鲜水果正宗砀山酥梨10斤包邮5斤雪梨,小q衣柜
4.8,0,4.7,1.38,4.8,0,https://img.alicdn.com/imgextra/i2/14921635/O1CN01WRDckt1NwsAp3bezb_!!0-saturn_solar.jpg,0,589680586505,湖南 长沙,7.50,4.50,['梨'],121,false,0,新鲜凉拌剁椒泡椒泡淑鱼皮丝150g凉菜开,yanglin19810606
4.3,-9.94,3.7,-20.81,4.1,-13.41,https://img.alicdn.com/imgextra/i1/44226356/O1CN01DnPcuA1wp605MaASX_!!2-saturn_solar.png,0,620157131519,河北 石家庄,18.80,,['梨'],1,true,0,包邮酥梨砀山梨雪梨水果新鲜雪花梨赵县整箱,小曦衣柜
4.1,-14.13,3.6,-24.08,3.9,-17.56,https://img.alicdn.com/imgextra/i2/122046810/O1CN01NcDNmA20B1oSEzkWW_!!0-saturn_solar.jpg,0,613795646946,广东 东莞,18.90,17.90,['梨'],1,true,0,新鲜现摘水果雪梨 雪花梨5斤 单果200g起包,小海豹virk
4.5,-6.60,4.3,-9.25,4.4,-7.14,https://img.alicdn.com/imgextra/i3/1121220013/O1CN01lGpTCC1BxzkpLRzzv_!!0-saturn_solar.jpg,0,620186231498,辽宁 丹东,21.80,,['梨'],1,true,0,东北特产冻梨4斤装苹果梨冻秋梨大黑梨花盖,蟠桃蔬果店
