dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,6.79,4.8,0,4.8,2.50,https://img.alicdn.com/imgextra/i3/42709637/O1CN01DhrBsO2L3nU0eoHV0_!!0-saturn_solar.jpg,1,617010387405,广东 佛山,899.00,439.00,['椰子'],1,true,0,运动老爹鞋男网鞋银色增高椰子透气休闲板鞋,维界旗舰店
4.8,-0.75,4.7,-1.02,4.8,-1.02,https://img.alicdn.com/imgextra/i3/10926844/O1CN014ZERL420QbH3n0JmM_!!0-saturn_solar.jpg,0,618512127409,浙江 温州,288.00,228.00,['椰子'],3,true,1,鞋ins潮男 网面透气男士鞋子 椰子 休闲,woainibeite
4.9,91.26,4.9,86.92,4.9,91.09,https://img.alicdn.com/imgextra/i3/718860139/O1CN01DZwWN11CthezPJe8T_!!0-saturn_solar.jpg,1,621184010265,海南 海口,123.80,61.90,['椰子'],2,true,0,海南椰青6个装顺丰包邮送开椰器文昌当季热,偲林旗舰店
4.8,15.85,4.8,34.62,4.8,33.00,https://img.alicdn.com/imgextra/i3/119374728/O1CN01JAvWyr1knT8Kz8BfI_!!0-saturn_solar.jpg,0,583410061131,海南 海口,295.00,260.00,['椰子'],5,true,0,整原箱4x120MLx10瓶 海马贡酒露,海南特产888
4.9,89.07,4.9,91.72,4.9,89.58,https://img.alicdn.com/imgextra/i3/29227339/O1CN01KOIBTP245JKYYE1rB_!!2-saturn_solar.png,0,620389034399,浙江 温州,155.00,,['椰子'],6,true,0,2020夏季跑步运动飞织椰子潮流透气双色,hy23212
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/937870173/O1CN01vpbuap1D9H78K7u3Y_!!0-saturn_solar.jpg,0,614991411177,江苏 连云港,30.00,29.40,['椰子'],4,true,0,海乐多韩国风味 水果味 椰子蓝莓香蕉番茄,海乐多3666
4.7,-1.98,4.6,-2.44,4.7,-1.84,https://img.alicdn.com/imgextra/i2/107461192/O1CN01EQVrAC1Kfyi5XmIV3_!!0-saturn_solar.jpg,0,617782957273,广东 深圳,138.00,,['椰子'],1,true,0,夏季男士飞织椰子鞋网眼网面透气内增高鞋青,卡丹奴鞋业
4.9,33.08,4.8,17.04,4.8,18.68,https://img.alicdn.com/imgextra/i1/14895368/O1CN01xhKzVZ1pWagjNIsq2_!!0-saturn_solar.jpg,1,612028857001,广东 广州,1199.00,659.00,['椰子'],95,true,0,Zero零度男鞋春夏潮鞋2020新款老爹,零度尚品旗舰店
4.8,0,4.8,10.93,4.8,0.90,https://img.alicdn.com/imgextra/i2/111697422/O1CN017BfRpT24hKCmxuWpy_!!0-saturn_solar.jpg,0,615015309178,海南 海口,18.00,8.80,['椰子'],179,true,0,绿果岛特浓椰子糖500g海南特产批发喜糖,长岩贸易
4.9,71.09,4.9,76.89,4.9,68.44,https://img.alicdn.com/imgextra/i3/29957753/O1CN016FvZjD278vIpzQY9B_!!0-saturn_solar.jpg,1,617222251283,福建 厦门,1999.00,1688.00,['椰子'],2,true,0,Junjarm 椰子鞋男350满天星官网,君捷伦旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/468670044/O1CN01VYYNl31CCC25xnE7U_!!0-saturn_solar.jpg,0,615583337696,广东 广州,34.80,,['椰子'],5,false,0,海南椰王新鲜奶椰 椰皇椰青孕妇热带当季水,greedybear贪吃熊
4.5,-6.54,4.2,-11.38,4.4,-8.60,https://img.alicdn.com/imgextra/i2/745450056/O1CN01qRah1t1CHgmphovmx_!!0-saturn_solar.jpg,0,609777184324,重庆,133.20,79.90,['椰子'],1,true,0,送开椰器 海南椰青新鲜特产椰子9个装热带,tb14784802
4.8,10.39,4.8,30.38,4.8,12.80,https://img.alicdn.com/imgextra/i4/122395944/O1CN01vuFqtq1tmOosW2wqr_!!0-saturn_solar.jpg,0,612095133303,广东 广州,9.90,,['椰子'],3,false,0,海南老椰子开盖开口炖汤椰盅椰子鸡椰子碗预,海牛贸易888
4.8,0,4.8,10.93,4.8,0.90,https://img.alicdn.com/imgextra/i4/111697422/O1CN01FuKiTg24hKCNzCSvU_!!0-saturn_solar.jpg,0,616623599266,海南 海口,19.80,9.90,['椰子'],47,true,0,春光传统椰子糖500g椰蓉散装正宗海南特,长岩贸易
4.8,10.74,4.8,17.53,4.8,13.14,https://img.alicdn.com/imgextra/i1/32606362/O1CN01Xtz3CL1wrqLXDTUhb_!!0-saturn_solar.jpg,0,592032737247,安徽 合肥,65.80,,['椰子'],19,true,0,海南特产 春光食品 冲调 椰香浓郁 纯椰,fangsky840102
4.8,41.42,4.9,54.28,4.9,46.59,https://img.alicdn.com/imgextra/i4/113448366/O1CN01Ys5Zpb2Bfg4LuQhWV_!!0-saturn_solar.jpg,1,526543991001,海南 海口,39.50,29.90,['椰子'],6193,true,0,海南春光果干传统风味椰子脆片60g原味香脆,春光食品旗舰店
4.8,0,4.8,0,4.8,0,https://img.alicdn.com/imgextra/i2/40646804/O1CN01V9WUUL208HQsiPLmj_!!0-saturn_solar.jpg,1,617249912687,福建 厦门,298.00,198.00,['椰子'],4167,true,0,花花公子男鞋夏季薄款透气小白椰子鞋网面软,格莱特鞋类专营店
4.8,0,4.9,30.89,4.8,0,https://img.alicdn.com/imgextra/i3/737410177/O1CN01Wo2u3U1DB6hnOvJP1_!!0-saturn_solar.jpg,1,618608758264,河南 郑州,198.00,59.00,['椰子'],96,true,0,男鞋黑天使黑满天星兵马俑海蓝椰子夏季透气,豫跃旗舰店
4.9,52.69,4.9,51.80,4.9,56.49,https://img.alicdn.com/imgextra/i4/702170026/O1CN014xNLus1C3wth5fNMJ_!!0-saturn_solar.jpg,1,617006211270,福建 厦门,298.00,98.00,['椰子'],80,true,0,椰子鞋男45飞织网鞋运动46夏季透气小白鞋47,冠则鞋类旗舰店
4.8,28.17,4.9,25.41,4.8,25.24,https://img.alicdn.com/imgextra/i1/2206643947616/O1CNA1ue0xlK100dae0e46510b1b690d001f_!!1-0-picassodesign.jpg,1,612750644405,福建 厦门,689.00,268.00,['椰子'],0,true,0,2020新款透气飞织透明果冻底椰子鞋时尚,纪樊泊男鞋旗舰店
4.9,97.26,4.9,93.78,4.9,92.17,https://img.alicdn.com/imgextra/i4/43450123/O1CN01LxoTn91CmNK1QLpv2_!!0-saturn_solar.jpg,0,620273182906,福建 泉州,199.00,136.00,['椰子'],101,true,0,椰子鞋男380夏季运动透气休闲飞织网面爆,psclean
4.7,-1.62,4.6,-3.79,4.7,-1.98,https://img.alicdn.com/imgextra/i1/131060106/O1CN012SqoPd1Ceaaa7Fbyp_!!0-saturn_solar.jpg,1,620133039438,海南 海口,101.00,28.90,['椰子'],55,true,0,芭芭农场海南文昌大椰青2个装孕妇水果,俏鲜莎旗舰店
5.0,100.00,3.0,-37.68,3.0,-38.17,https://img.alicdn.com/imgextra/i3/111556334/O1CN01Ve6C0p1wf1HlfBdh6_!!0-saturn_solar.jpg,0,620257404650,浙江 温州,69.00,,['椰子'],2,true,0,2020夏季新款男鞋椰子飞织鞋休闲运动鞋,ft相忘于江湖
4.8,10.20,4.8,3.19,4.8,15.29,https://img.alicdn.com/imgextra/i2/181130076/O1CN01tAif3U1CQqhyu0eY3_!!0-saturn_solar.jpg,1,599546720826,四川 眉山,33.75,27.00,['椰子'],243,true,0,老坛子四川泡菜 酸萝卜1000g 老母水,老坛子旗舰店
4.7,-1.62,4.6,-3.79,4.7,-1.98,https://img.alicdn.com/imgextra/i3/131060106/O1CN01jUogwB1CeaabfamUk_!!0-saturn_solar.jpg,1,601475498359,海南 文昌,99.00,39.90,['椰子'],293,true,0,芭芭农场海南椰皇6个装当季新鲜水果包,俏鲜莎旗舰店
4.9,52.25,4.8,43.16,4.9,59.46,https://img.alicdn.com/imgextra/i4/14754787/O1CN01DeZKn61lEUVrj1PuY_!!0-saturn_solar.jpg,0,588376290533,辽宁 大连,288.00,69.00,['椰子'],114,false,1,大连海鲜特产鲜活虾怪贝类食用天然野生小螃,刺心飞扬
4.8,10.51,4.8,30.34,4.8,26.99,https://img.alicdn.com/imgextra/i3/109810497/O1CN01N547LU1FXfMrqtQ3r_!!0-saturn_solar.jpg,1,45629738391,福建 泉州,39.00,15.00,['椰子'],80,false,0,马鲛鱼丸纯手工鱼羹鱼圆子新鲜速冻鱼内丸子,曼玲食品旗舰店
4.6,-3.28,4.6,-2.71,4.7,-2.59,https://img.alicdn.com/imgextra/i4/47524203/O1CN01CeYyGi1gv1EsrH2Jb_!!0-saturn_solar.jpg,0,605846127465,海南 海口,23.50,,['椰子'],68,true,0,海南新鲜老椰子2个包邮当季采摘青皮可挖肉,wuguohui860723
4.8,2.43,4.8,3.91,4.8,6.12,https://img.alicdn.com/imgextra/i1/103372514/O1CN01yiVgsG1URSJdTuhll_!!0-saturn_solar.jpg,1,610009921400,浙江 温州,528.00,259.00,['椰子'],153,true,0,森马椰子鞋男新款2020韩版百搭黑白色透,senma怀德专卖店
