dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-2.47,4.3,-9.94,4.5,-6.55,https://img.alicdn.com/imgextra/i3/804270166/O1CN01maUVRQ1D64M26BoCA_!!0-saturn_solar.jpg,0,601607251962,广东 广州,238.00,,['榴莲'],12,true,0,长柄榴莲干尧泰国康瑶新鲜猫山王,多多榴莲
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/1133844747/O1CN01u0G3ZU1kwAjRPfYdQ_!!1133844747.jpg,0,621056182189,云南 昆明,105.00,,['榴莲'],0,true,0,现货泰国金枕榴莲巴掌莲新鲜带壳肉多核,18280243931a
4.2,-12.95,3.6,-23.90,3.9,-18.67,https://img.alicdn.com/imgextra/i3/118246601/O1CN01pP17JZ1ydJ2FFNAMx_!!0-saturn_solar.jpg,0,620021243824,云南 昆明,88.80,,['榴莲'],0,true,0,泰国金枕头榴莲新鲜带壳水果现摘当季特产包,退伍兵小哥
4.9,41.19,4.9,54.31,4.9,42.78,https://img.alicdn.com/imgextra/i2/204360164/O1CN01xIuih41D59YVwOOMD_!!0-saturn_solar.jpg,0,618686914698,浙江 金华,37.44,,['榴莲'],0,true,0,韵能 榴莲饼800g榴莲酥散装榴莲风味早餐蛋,功夫核桃壳
4.2,-12.95,3.6,-23.90,3.9,-18.67,https://img.alicdn.com/imgextra/i1/118246601/O1CN010dSv9P1ydJ2JHBo49_!!0-saturn_solar.jpg,0,620308516562,广东 广州,58.00,,['榴莲'],0,true,0,泰国猫山王榴莲新鲜榴莲带壳猫王榴莲软糯香,退伍兵小哥
5.0,100.00,4.5,-4.66,4.7,-2.52,https://img.alicdn.com/imgextra/i3/110034856/O1CN01BQxSkW1lk5tuViBwW_!!0-saturn_solar.jpg,0,619797972266,广东 广州,69.60,,['榴莲'],0,true,0,泰国金枕头 新鲜水果当季包邮 整箱 巴掌,tb_3547680
5.0,100.00,4.5,-4.66,4.7,-2.52,https://img.alicdn.com/imgextra/i1/110034856/O1CN010E39NC1lk5ttWx8oh_!!0-saturn_solar.jpg,0,619797108963,广东 广州,56.80,,['榴莲'],0,true,0,泰国金枕头 新鲜水果当季包邮 整箱 巴掌,tb_3547680
4.6,-4.22,4.6,-3.30,4.6,-4.13,https://img.alicdn.com/imgextra/i3/1216440186/O1CN01JP6kMG1DFEGvENofI_!!0-saturn_solar.jpg,0,619365111694,湖北 荆门,50.45,25.23,['榴莲'],0,true,0,味威化夹心 饼干比斯奇巧客水果味 夹心,tb167509185
4.7,-2.45,4.6,-3.83,4.7,-1.59,https://img.alicdn.com/imgextra/i2/119305371/O1CN01ujY3Vz1pXxsMRl3MO_!!0-saturn_solar.jpg,0,606810424438,陕西 西安,78.50,,['榴莲'],3,true,0,泰国金枕头榴莲进口水果巴掌榴莲新鲜包邮,九娃果业
4.4,-7.10,4.0,-16.12,4.3,-9.28,https://img.alicdn.com/imgextra/i1/95454218/O1CN01u55C3n1h1tD8asYcg_!!0-saturn_solar.jpg,0,620145762026,广西 防城港,35.00,,['榴莲'],260,true,0,现季巴掌小榴莲蜜新鲜小个湿苞尖蜜拉水果湿,麦古电商
4.8,15.30,4.7,-0.68,4.8,10.27,https://img.alicdn.com/imgextra/i3/346250032/O1CN015SNSyj1C6hHBxVIXP_!!0-saturn_solar.jpg,0,612206746015,广东 广州,75.90,,['榴莲'],24,true,0,顺丰包邮泰国金枕头榴莲当季新鲜水果整箱,tb_68baaabf853d2
4.9,76.77,4.9,81.95,4.9,54.79,https://img.alicdn.com/imgextra/i4/118266606/O1CN01QN49Da1yfay4RGLUg_!!0-saturn_solar.jpg,0,576310124810,海南 万宁,48.00,,['榴莲'],11,true,0,诺丽果干粉 海南诺丽果粉 诺丽果干磨粉酵,偶遇呃呃
