dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.9,75.49,4.9,55.99,4.9,64.88,https://img.alicdn.com/imgextra/i3/415750100/O1CN01MlQqBP1CbqAAzmB3D_!!0-saturn_solar.jpg,1,594572334123,江苏 无锡,158.00,138.00,['毛桃'],2853,true,0,正宗无锡阳山水蜜桃 新鲜水果桃子孕妇6两,寻优农旗舰店
4.7,-1.22,4.7,-2.30,4.7,-1.98,https://img.alicdn.com/imgextra/i4/280830120/O1CN01m7JAQw1Cl08LpEndI_!!0-saturn_solar.jpg,1,595395650547,山西 运城,39.80,12.80,['毛桃'],486,true,0,水蜜桃5斤装 时令新鲜水果 脆甜毛桃非蒙山,果吉联盟旗舰店
4.8,0,4.7,-0.63,4.8,0,https://img.alicdn.com/imgextra/i3/36651625/O1CN019t1ihM1NsIDNf5JKH_!!0-saturn_solar.jpg,0,615451132858,湖南 怀化,136.00,68.00,['毛桃'],31,true,0,高山黄桃脆甜应季新鲜水果桃现摘桃子甜湘西,zhu20072012
4.9,69.55,4.8,29.03,4.9,46.66,https://img.alicdn.com/imgextra/i4/935960027/O1CN01xMVLpu1C4PIWuxyUU_!!0-saturn_solar.jpg,0,619546982294,四川 成都,24.90,,['毛桃'],29,true,0,美益鲜果 攀枝花油桃带箱5斤新鲜现摘应季桃,tb8592353707
4.9,28.32,4.9,3.34,4.9,24.52,https://img.alicdn.com/imgextra/i2/11703747/O1CN01AQkmRa1dYAfGFL90i_!!0-saturn_solar.jpg,0,620008249356,浙江 金华,37.00,,['毛桃'],46,true,0,我爸自己种的有机红白桃装箱重5.5斤以上6斤,sxtalks198611
4.6,-4.20,4.4,-7.19,4.5,-5.63,https://img.alicdn.com/imgextra/i3/120349015/O1CN01LlyB7b2GSv8norImY_!!0-saturn_solar.jpg,1,618372636008,安徽 宿州,129.90,29.90,['毛桃'],21721,true,0,安徽砀山黄桃10斤新鲜现摘黄心脆甜蜜桃子应,甘福园旗舰店
4.7,-1.67,4.6,-2.66,4.7,-2.12,https://img.alicdn.com/imgextra/i4/896690002/O1CN01mGEwl41BsxOpwRutk_!!2-saturn_solar.png,1,619868177695,云南 红河,108.00,89.80,['毛桃'],28,true,0,新鲜现摘鹰嘴蜜桃大果脆桃云南蒙自鹰嘴桃开,榴汁乡生鲜旗舰店
4.9,38.24,4.8,49.25,4.9,46.06,https://img.alicdn.com/imgextra/i3/801580051/O1CN01pwxLDT1CFOnk9ts9H_!!0-saturn_solar.jpg,0,617839929610,安徽 宿州,39.80,18.80,['毛桃'],2428,true,1,2020现摘现发砀山83黄桃特大果新鲜应,食趣一点
4.4,-7.10,4.4,-7.51,4.4,-7.31,https://img.alicdn.com/imgextra/i3/670350114/O1CN01gBNWRk1CiFlAR1cBg_!!0-saturn_solar.jpg,1,619941191666,山西 运城,24.90,12.80,['毛桃'],40676,true,0,新鲜水蜜桃水果时令当季现在应季10斤毛桃子,功夫侠旗舰店
4.9,38.52,4.8,35.82,4.8,34.57,https://img.alicdn.com/imgextra/i1/432460001/O1CN01mx0lH61BsV0AWMKPC_!!0-saturn_solar.jpg,0,616975307907,江苏 无锡,168.00,68.00,['毛桃'],1559,true,1,阳山水蜜桃正宗无锡当季时令水果新鲜整箱礼,tb092527219
