dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-0.54,4.7,-1.23,4.7,-0.95,https://img.alicdn.com/imgextra/i3/1088380187/O1CN01BRvShS1DFgfa8wuNb_!!0-saturn_solar.jpg,1,616521811068,云南 玉溪,40.90,24.80,['水果'],7658,true,0,"首单减5元,净重5斤装!",乡甜果语旗舰店
4.8,17.85,4.8,0,4.8,6.98,https://img.alicdn.com/imgextra/i4/45844419/O1CN01dbZMw71iVwozCV43o_!!0-saturn_solar.jpg,1,616469165885,广东 茂名,288.00,88.00,['水果'],12533,true,0,现货 顺丰空运广东茂名高州新鲜荔枝水,味真栈旗舰店
4.7,-2.22,4.5,-4.92,4.6,-3.16,https://img.alicdn.com/imgextra/i1/426500136/O1CN01CFwHNk1CsKTA2CvvR_!!0-saturn_solar.jpg,1,595493438810,辽宁 丹东,68.80,,['水果'],36,true,0,东北姑娘果彩虹灯笼果新鲜菇娘野生黄姑娘果,香幕旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1210150054/O1CN01K1R8nB1CGlzVD5RkX_!!0-saturn_solar.jpg,0,619253754260,宁夏 银川,99.00,19.60,['水果'],20,true,0,现摘现发 宁夏灵武大长枣,众农亿客籏舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1206020091/O1CN01cdKhBG1CXieCKNZLg_!!0-saturn_solar.jpg,0,619713322997,河南 安阳,22.99,,['水果'],14,true,0,应季黄金圣女果黄色小樱桃孕妇水果无公害蔬,yu20010328
4.8,21.67,4.6,-3.47,4.8,0,https://img.alicdn.com/imgextra/i4/110898325/O1CN01VGvzBt2BMtqJl2p2p_!!0-saturn_solar.jpg,0,561468091640,浙江 衢州,19.80,,['水果'],57,true,0,新鲜水果现货常山胡柚旗舰店胡柚常山特产9,诚信经营我的拼搏
4.9,96.79,5.0,100.00,4.9,97.56,https://img.alicdn.com/imgextra/i3/402020002/O1CN013jsayP1BsxOj68ZSy_!!0-saturn_solar.jpg,1,619443970377,浙江 台州,156.00,78.00,['水果'],116,false,0,正宗仙居东魁杨梅新鲜水果现摘现发高山杨梅,默鲜旗舰店
4.8,18.70,4.8,30.99,4.8,24.56,https://img.alicdn.com/imgextra/i3/379550016/O1CN01z8mVa61BzMwOlVcqY_!!0-saturn_solar.jpg,1,619047624930,陕西 渭南,39.80,28.80,['水果'],2404,true,0,新鲜水果陕西纽扣蟠桃子油蟠桃整箱当季,堡鲜生旗舰店
4.8,-0.74,4.7,0,4.9,40.28,https://img.alicdn.com/imgextra/i4/261220085/O1CN01hdz86X1CUyGwefI07_!!0-saturn_solar.jpg,0,607439297811,广西 南宁,138.80,108.80,['水果'],63,true,0,泰国红肉菠萝蜜红心波罗蜜新鲜水果10斤包,天然果园
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/461940070/O1CN01jaADcP1CO6KUUpNu8_!!0-saturn_solar.jpg,0,618617792417,北京,98.00,73.50,['水果'],2,true,0,北京红杏5斤包邮正宗平谷北寨金太阳现摘新,钻石朱老2
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i3/132648446/O1CN01k8IrVN2CGJmCRsiAV_!!0-saturn_solar.jpg,0,620383482767,山西 运城,22.90,,['水果'],5,true,0,2020年头茬青苹果小孩孕妇水果现摘现发,夏禾商贸
4.7,-0.53,4.7,-0.70,4.7,-0.66,https://img.alicdn.com/imgextra/i4/823400115/O1CN0147i09i1Cii9XALEeg_!!0-saturn_solar.jpg,1,618027456820,陕西 西安,68.00,24.90,['水果'],12505,true,0,古江新疆库尔勒香梨净重5斤特产 时令新鲜水,古江旗舰店
4.6,-3.99,4.5,-6.05,4.5,-5.10,https://img.alicdn.com/imgextra/i2/1181620171/O1CN01OnymQb1D8MKdye1Vk_!!0-saturn_solar.jpg,1,618101033698,广西 南宁,76.90,36.90,['水果'],0,true,0,百色新鲜小台农净果9斤新鲜采摘应季芒果水,当果萌旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1204290136/O1CN014fWXmv1CsKTIGiGVK_!!0-saturn_solar.jpg,1,619046629556,福建 漳州,68.00,28.80,['水果'],15,true,0,福建漳州荔枝批发现摘应季新鲜水果5斤包邮,火田旗舰店
4.9,89.83,4.9,70.93,4.9,80.15,https://img.alicdn.com/imgextra/i4/14243163/O1CN01ZEXqI71ZEhMWDO4AX_!!0-saturn_solar.jpg,0,616046905710,广东 茂名,189.00,,['水果'],20,true,1,现摘新鲜广东南山增城老树糯米糍核小荔枝水,高州纯天然生晒桂圆
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1106350091/O1CN01mYQTUe1CXieBOyWvC_!!0-saturn_solar.jpg,0,620125763391,山东 烟台,195.00,65.00,['水果'],0,true,0,新鲜蓝莓鲜果纯天然整箱包邮现摘大果孕妇儿,姜宝迪
