dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-0.75,4.6,-3.75,4.7,-1.48,https://img.alicdn.com/imgextra/i3/436720065/O1CN01dx73cI1CLoHVnpqma_!!0-saturn_solar.jpg,1,596388674190,北京,158.00,118.00,['水蜜桃'],114,true,0,蟠桃北京水蜜桃平谷大桃潘桃扁桃新鲜水果,鲜果大前蜂旗舰店
4.3,-9.93,4.2,-12.11,4.3,-9.78,https://img.alicdn.com/imgextra/i2/119312066/O1CN011Nv63G1R8GsMaH0jy_!!0-saturn_solar.jpg,0,620152075633,云南 红河,56.80,32.80,['水蜜桃'],204,true,0,新鲜鹰嘴桃5斤包邮脆云南水蜜桃毛尖嘴桃子,魏小泉
4.8,-2.18,4.7,-3.73,4.8,-2.25,https://img.alicdn.com/imgextra/i4/15395289/O1CN01aj0a5W1owPOkgqYTj_!!0-saturn_solar.jpg,0,619579188062,四川 成都,99.00,59.90,['水蜜桃'],76,true,0,四川龙泉水蜜桃脆桃掰开吃大果5斤包邮脆甜,疯流yytt看客
4.9,52.51,4.8,40.75,4.9,54.81,https://img.alicdn.com/imgextra/i1/1113310156/O1CN01rleTsP1D1UOGUjUQn_!!0-saturn_solar.jpg,1,618010208799,山西 运城,89.00,12.90,['水蜜桃'],48,true,0,黄心油桃新鲜水果桃子5斤包邮当应季大桃子,妙多滋旗舰店
4.9,52.14,4.8,38.68,4.9,53.63,https://img.alicdn.com/imgextra/i1/450420192/O1CN01Wulpsh1DHyePnEKlX_!!0-saturn_solar.jpg,1,605585047912,福建 厦门,139.80,49.90,['水蜜桃'],281,true,0,拍1发2罐 桂花乌龙茶 三角茶包蜜桃白桃,致信旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/125713568/O1CN0114yZxS1cEBlccWuCL_!!0-saturn_solar.jpg,1,619230432586,浙江 宁波,136.00,88.00,['水蜜桃'],1157,true,0,可以吸着吃的水蜜桃,奉之蜜旗舰店
4.8,0,4.6,-3.40,4.7,-2.68,https://img.alicdn.com/imgextra/i1/434670144/O1CN01KHMm5H1CvzdhgEDHc_!!0-saturn_solar.jpg,0,619805943366,江苏 无锡,288.00,138.00,['水蜜桃'],20,false,1,正宗新鲜无锡阳山超甜爆汁水蜜桃水果可撕皮,钻石aa店
5.0,100.00,4.9,70.46,5.0,100.00,https://img.alicdn.com/imgextra/i2/266640020/O1CN01O663Uq1C1CWmUpygH_!!0-saturn_solar.jpg,0,619196385139,云南 红河,49.90,,['水蜜桃'],28,true,0,云南红宝石蜜桃 新鲜水果现摘现发脆甜水蜜,tb872636465
4.9,25.60,4.9,69.15,4.9,63.84,https://img.alicdn.com/imgextra/i1/17204869/O1CN01HFUdqc1lq3346xOW0_!!0-saturn_solar.jpg,0,620281511161,广东 深圳,49.00,,['水蜜桃'],12,true,0,水蜜桃 现摘新鲜桃子 湖北汉江水果桃 家,最爱车外饰件
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/29394705/O1CN01pc52851kcw63Z9aAd_!!0-saturn_solar.jpg,0,616837340589,江苏 无锡,240.00,168.00,['水蜜桃'],213,true,1,正宗无锡特产阳山水蜜桃白凤桃子湖景新鲜水,tb1280421
4.6,-4.26,4.5,-5.62,4.5,-4.99,https://img.alicdn.com/imgextra/i3/111218106/O1CN01kCTIAR29kb735V2He_!!0-saturn_solar.jpg,1,618560458923,河北 唐山,129.00,18.80,['水蜜桃'],0,true,0,桃子水蜜桃水果新鲜当季整箱5斤应季包邮现,福瑞达旗舰店
4.9,66.75,4.9,69.00,4.9,65.49,https://img.alicdn.com/imgextra/i4/906230096/O1CN019dOF2V1Ca0d1imP4i_!!0-saturn_solar.jpg,0,618729593363,陕西 西安,79.00,49.00,['水蜜桃'],3,true,0,陕西新鲜水果水蜜桃5斤应季桃子超大果脆甜,长安秦农食品
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i2/1234370013/O1CN01hoQxgh1BxzkxNlZ8h_!!0-saturn_solar.jpg,1,620636964658,云南 红河,91.99,39.74,['水蜜桃'],1,true,0,云南桃子鹰嘴桃脆甜毛桃水蜜桃非河源连平,京锦昌食品旗舰店
4.8,14.82,4.7,-0.93,4.7,-0.68,https://img.alicdn.com/imgextra/i3/665040152/O1CN01U9pkAP1CzeoEBVeD5_!!0-saturn_solar.jpg,1,619204057951,山东 临沂,169.00,28.80,['水蜜桃'],218,true,0,黄桃新鲜水果当季5斤应季武台黄桃带毛脆桃,迎民水果旗舰店
4.9,40.48,4.9,51.98,4.9,50.99,https://img.alicdn.com/imgextra/i2/123423353/O1CN01lD8kwH1adicBfu9Or_!!0-saturn_solar.jpg,0,620607952956,山东 临沂,49.90,32.80,['水蜜桃'],0,true,0,山东现摘黄桃新鲜水果5斤包邮当季桃子孕妇,天涯一一寻梦
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/35614389/O1CN0180C9S61iICvlm5jvM_!!0-saturn_solar.jpg,0,615368586666,江苏 无锡,108.00,,['水蜜桃'],0,true,0,现摘正宗阳山水蜜桃营养新鲜水果礼盒6两8个,魏和红袖
