dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.5,-5.31,4.3,-9.14,4.4,-7.32,https://img.alicdn.com/imgextra/i4/129967137/O1CN01zmbyC622anKLu3kdF_!!0-saturn_solar.jpg,1,599614597592,四川 成都,142.00,15.90,['猕猴桃'],744,true,0,四川蒲江红心猕猴桃奇异果新鲜包邮孕妇特大,优亩甜旗舰店
4.9,40.26,4.8,37.42,4.9,59.91,https://img.alicdn.com/imgextra/i2/33935340/O1CN01e7azB41pJlaxQBd2U_!!0-saturn_solar.jpg,0,599416615787,福建 南平,500.00,175.00,['猕猴桃'],9,true,0,深山野生雄猕猴桃根藤梨根杨桃根良心药6斤,御尚堂0858
4.7,-2.50,4.6,-3.98,4.6,-3.41,https://img.alicdn.com/imgextra/i4/133246600/O1CN01tj72bP1ycqdeRO6io_!!0-saturn_solar.jpg,1,619402764082,四川 成都,59.80,28.80,['猕猴桃'],1507,true,0,红心猕猴桃新鲜水果当季整箱包邮奇异果四川,御品一园旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/132700486/O1CN01l2F9o41FSd5nCJ7kc_!!0-saturn_solar.jpg,0,618430785516,四川 成都,24.90,,['猕猴桃'],39,true,0,智利绿心猕猴桃新鲜水果当季整箱奇异果弥猴,tlww0222
4.6,-4.16,4.4,-8.02,4.5,-5.23,https://img.alicdn.com/imgextra/i1/286670161/O1CN01KJ7TTH1D3mN6efcji_!!0-saturn_solar.jpg,1,619863629533,四川 成都,58.00,19.90,['猕猴桃'],200,true,0,四川蒲江红心猕猴桃新鲜水果包邮奇异果孕妇,汇果洲水果旗舰店
4.7,-1.73,4.6,-3.10,4.7,-2.23,https://img.alicdn.com/imgextra/i2/125714093/O1CN01k0gE5R1g6dhgeOBBi_!!0-saturn_solar.jpg,1,602636225430,四川 成都,39.00,14.80,['猕猴桃'],831,true,0,四川红心猕猴桃30粒新鲜奇异果当季孕妇水果,果洋地带旗舰店
4.8,22.76,4.8,0,4.8,16.81,https://img.alicdn.com/imgextra/i2/128739342/O1CN01peDfp82IsgeVP6lNP_!!0-saturn_solar.jpg,1,604631603723,上海,139.00,89.00,['猕猴桃'],228,true,0,巨无霸果佳沛官方旗舰店金奇异果6粒装果王,zespri佳沛旗舰店
4.7,-1.94,4.6,-4.17,4.6,-3.08,https://img.alicdn.com/imgextra/i4/133855132/O1CN01syQaBB1nmVDAvfXlZ_!!0-saturn_solar.jpg,1,572297445191,河南 郑州,168.00,34.90,['猕猴桃'],1057,true,0,智利进口绿心猕猴桃新鲜包邮当季新鲜水果奇,怡鲜生旗舰店
4.8,22.76,4.8,0,4.8,16.81,https://img.alicdn.com/imgextra/i2/128739342/O1CN01G0FEuD2IsgeXPpijw_!!0-saturn_solar.jpg,1,596284315947,上海,99.00,49.80,['猕猴桃'],4533,true,0,第二件半价佳沛金果6粒新西兰进口新鲜,zespri佳沛旗舰店
4.9,83.27,4.8,47.84,4.9,59.19,https://img.alicdn.com/imgextra/i2/1149580115/O1CN01CSePr01Cii9dQF55c_!!0-saturn_solar.jpg,0,620422233388,陕西 西安,28.80,,['猕猴桃'],0,true,0,绿心猕猴桃特价预售,美多新工贸
