dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.6,-4.51,4.5,-5.24,4.6,-4.57,https://img.alicdn.com/imgextra/i4/57107213/O1CN010Fkvx8239bQQcbcix_!!0-saturn_solar.jpg,0,596012587471,海南 海口,59.00,28.80,['甘蔗'],247,true,0,2整根黑皮甘蔗 海南三亚新鲜当季应季水果,海岛果农
4.8,33.07,4.9,47.71,4.8,37.36,https://img.alicdn.com/imgextra/i1/132672048/O1CN015eJpd41R01kTvIvkT_!!0-saturn_solar.jpg,1,571082037923,云南 昆明,59.80,34.90,['甘蔗'],6363,true,0,云耕物作蔗香红糖纯手工老红糖块正品云南甘,云耕物作旗舰店
4.6,-3.26,4.5,-4.89,4.7,-2.42,https://img.alicdn.com/imgextra/i1/325060179/O1CN01gRMd921DC1PSn4aQw_!!0-saturn_solar.jpg,0,590624646516,福建 三明,60.00,39.00,['甘蔗'],121,true,0,镜奔?斤雪蔗非陶山非,as1121814165
4.6,-2.72,4.5,-4.68,4.6,-3.16,https://img.alicdn.com/imgextra/i1/131267853/O1CN01xWea2K27sitTvvuet_!!0-saturn_solar.jpg,1,607519982082,浙江 温州,69.90,29.80,['甘蔗'],0,true,0,青皮陶山甘蔗水果包邮绿脆皮新鲜孕妇甜当季,展卉旗舰店
4.8,32.47,4.9,49.05,4.8,40.12,https://img.alicdn.com/imgextra/i4/571770159/O1CN01wBqwMl1D2rZqSWXKI_!!0-saturn_solar.jpg,1,618198768921,云南 普洱,39.00,,['甘蔗'],343,true,0,滇七农红糖姜茶大姨妈古法老甘蔗块气血调理,滇七农旗舰店
4.7,-0.92,4.6,-2.46,4.7,-1.38,https://img.alicdn.com/imgextra/i2/15425606/O1CN01AvZ47U1rHawvKl7ie_!!0-saturn_solar.jpg,0,520233010385,广东 广州,38.00,16.80,['甘蔗'],2893,true,1,2019年精品两头尖橄榄,诚誉与买卖
4.1,-13.24,3.6,-24.23,3.9,-19.06,https://img.alicdn.com/imgextra/i2/118246601/O1CN01ko0fxj1ydJ27vpswg_!!0-saturn_solar.jpg,0,616720791223,广西 贵港,58.80,,['甘蔗'],0,true,0,正宗广西木格白玉甘蔗5斤精选包邮皮薄松脆,退伍兵小哥
4.1,-13.24,3.6,-24.23,3.9,-19.06,https://img.alicdn.com/imgextra/i4/118246601/O1CN01akXGCa1ydJ1wiSspL_!!0-saturn_solar.jpg,0,616465962374,广东 深圳,49.80,,['甘蔗'],1,true,0,9斤云南黑皮甘蔗水果包邮新鲜非青皮绿皮甘,退伍兵小哥
4.7,-2.06,4.6,-2.62,4.7,-2.22,https://img.alicdn.com/imgextra/i2/438630190/O1CN01Bsctnt1DH3pVFcqXS_!!0-saturn_solar.jpg,0,609938915274,江苏 无锡,67.00,48.91,['甘蔗'],45,true,0,新广西黑皮甘蔗 新鲜绿色水果 脆甜孕妇水,旺财最可爱的
4.8,33.07,4.9,47.71,4.8,37.36,https://img.alicdn.com/imgextra/i1/132672048/O1CN01GOyWTB1R01kRl6ftx_!!0-saturn_solar.jpg,1,570965396934,云南 昆明,219.00,115.00,['甘蔗'],59,true,0,云耕物作 蔗香红糖老红糖正品纯正手工云南,云耕物作旗舰店
4.9,86.93,5.0,100.00,4.9,87.25,https://img.alicdn.com/imgextra/i1/785220161/O1CN01lqKP221D3mNBkJW5c_!!0-saturn_solar.jpg,0,617223308242,云南 普洱,32.80,28.80,['甘蔗'],31,true,0,云南傣家红糖纯甘蔗红糖纯手工古法老红糖产,tb90967964
4.8,11.79,4.8,14.77,4.8,14.82,https://img.alicdn.com/imgextra/i1/117565230/O1CN01i78uPt1oVO1tn6YB1_!!0-saturn_solar.jpg,0,567416262630,浙江 金华,65.00,39.90,['甘蔗'],2369,true,1,正宗土红糖义乌特产甘蔗老红糖散装月子大姨,卢小姐1866
4.4,-7.72,3.8,-19.37,4.2,-11.78,https://img.alicdn.com/imgextra/i2/108293995/O1CN01guXOaj1fNkt9IdOgC_!!0-saturn_solar.jpg,0,617310732539,湖北 宜昌,49.80,,['甘蔗'],1,true,0,甜高粱杆青皮甘蔗新鲜5斤甜杆小甘蔗东北甜,3688衣柜
4.9,43.60,4.9,54.70,4.9,58.30,https://img.alicdn.com/imgextra/i4/32016216/O1CN011eG6qb1vmyYCu5pgF_!!0-saturn_solar.jpg,0,620828266413,江苏 南京,12.90,10.90,['甘蔗'],0,true,0,黄冰糖老冰糖食用图冰糖云南甘蔗小块多晶白,我要钞票啊
4.8,22.98,4.7,-0.58,4.8,18.26,https://img.alicdn.com/imgextra/i2/110443014/O1CN01pVmf0E1Y8SLb0H06Y_!!0-saturn_solar.jpg,0,614755197552,新疆 巴音郭楞,128.00,88.00,['甘蔗'],2800,true,1,新疆小白杏新鲜库车小白杏鲜果4斤轮台杏子,季富林
4.7,-2.22,4.5,-4.92,4.6,-3.16,https://img.alicdn.com/imgextra/i1/426500136/O1CN01CFwHNk1CsKTA2CvvR_!!0-saturn_solar.jpg,1,595493438810,辽宁 丹东,68.80,,['甘蔗'],36,true,0,东北姑娘果彩虹灯笼果新鲜菇娘野生黄姑娘果,香幕旗舰店
4.9,64.31,4.9,64.17,4.9,67.28,https://img.alicdn.com/imgextra/i3/44610275/O1CN01B31kwz1DtzWXv1Qmn_!!0-saturn_solar.jpg,0,619380052289,云南 楚雄,39.00,25.00,['甘蔗'],4,true,1,云南老红糖块古法土红糖散装纯手工正品甘蔗,chuxiongno1
4.9,86.93,5.0,100.00,4.9,87.25,https://img.alicdn.com/imgextra/i2/785220161/O1CN01IWjKrP1D3mNCSXgsN_!!0-saturn_solar.jpg,0,617770642481,云南 普洱,28.80,25.80,['甘蔗'],6,true,0,云南傣家红糖纯甘蔗红糖纯手工古法老红糖产,tb90967964
3.6,-24.94,2.6,-45.78,2.8,-40.13,https://img.alicdn.com/imgextra/i3/131242773/O1CN01VUqDKG1WM4sprJf8N_!!0-saturn_solar.jpg,0,607500693265,江苏 南通,67.60,40.56,['甘蔗'],1,false,0,包鲜包甜新鲜甜杆甜芦粟甜高粱甜芦稷甜甘蔗,陈娅娅65059910
4.7,-2.07,4.5,-5.48,4.6,-3.07,https://img.alicdn.com/imgextra/i1/1120790012/O1CN01bKg2CS1BxXMDbIpZ8_!!0-saturn_solar.jpg,0,616747141518,北京,53.82,24.22,['甘蔗'],19,true,0,新广西黑皮甘蔗 新鲜绿色水果 脆甜孕妇水果,你老公押你
4.5,-6.43,4.2,-11.68,4.4,-7.57,https://img.alicdn.com/imgextra/i3/40834863/O1CN01VePt2A1lnIddIh0KO_!!0-saturn_solar.jpg,0,607337839734,广西 贵港,88.80,,['甘蔗'],0,true,0,广西木格白玉甘蔗手撕白玉蔗非黑玉甘蔗净重,jt1315
4.8,32.62,4.7,0,4.8,19.02,https://img.alicdn.com/imgextra/i4/309250095/O1CN01YDcKCZ1CZY8LBAqMj_!!0-saturn_solar.jpg,0,589259950283,广东 汕头,250.00,150.00,['甘蔗'],1,true,0,潮汕鱼饭 鱿鱼 金枪鱼 甘鱼 带鱼混合三斤装,达濠鱼饭
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/24696356/O1CN01XJGxK81wp603nxYwn_!!0-saturn_solar.jpg,0,620079522551,广东 广州,23.80,,['甘蔗'],38,true,0,云南纯手工原汁蔗香红糖月经大姨妈甘蔗红糖,qtaoke2010
4.7,-1.62,4.6,-2.71,4.7,-2.23,https://img.alicdn.com/imgextra/i4/118610195/O1CN01CMwJ0J1DJLpKYlWX2_!!0-saturn_solar.jpg,0,570095336726,山东 潍坊,13.60,6.80,['甘蔗'],121,true,1,甜高粱种子牧草糖高粱绿皮甘蔗甜芦粟种子北,蔡宁777
4.9,66.66,4.9,64.14,4.9,64.13,https://img.alicdn.com/imgextra/i4/132245775/O1CN016Jrva31sWzsocCy0n_!!0-saturn_solar.jpg,0,567657664198,湖北 荆州,138.00,68.00,['甘蔗'],1240,true,1,顺丰空运 洪湖新鲜藕带3斤老余家嫩藕尖湖北,鱼儿乐鱼儿甜
4.1,-13.45,3.7,-21.65,3.8,-19.62,https://img.alicdn.com/imgextra/i1/692572391/O1CN01BNrj7x1TX7aEI6bjC_!!692572391.jpg,0,614930271819,广西 南宁,58.30,,['甘蔗'],0,true,0,广西黑皮甘蔗当季水果新鲜整箱10斤甜杆脆甜,俏佳人服饰518
4.4,-7.72,3.8,-19.37,4.2,-11.78,https://img.alicdn.com/imgextra/i1/108293995/O1CN01FaEcBg1fNkt8gT2RJ_!!0-saturn_solar.jpg,0,615503946783,广西 柳州,57.70,,['甘蔗'],0,true,0,广西特产黑皮甘蔗 整根现砍现发当季孕妇水,3688衣柜
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/96573712/O1CN01ysTiwL1dI8njhwsSK_!!2-saturn_solar.png,0,617055293887,浙江 嘉兴,258.00,,['甘蔗'],3,true,0,正宗桐乡桃园西施槜李醉李携李5斤精装大果,xiaolingzhu75
4.3,-9.13,3.9,-16.68,4.2,-12.55,https://img.alicdn.com/imgextra/i4/41397088/O1CN01yBIPoD22ELv24uMIn_!!0-saturn_solar.jpg,0,619428800060,海南 三亚,59.60,35.76,['甘蔗'],0,true,0,2整根海南三亚黑皮甘蔗当季新鲜水果 特产水,随缘16587
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/117068174/O1CN01zggliq2AFk2wLmged_!!0-saturn_solar.jpg,0,617866510166,甘肃 酒泉,198.00,128.00,['甘蔗'],193,true,1,甜杏子新鲜敦煌李广杏现摘孕妇水果3斤空运,乡甜农场合作社
4.4,-9.67,4.8,-0.93,4.6,-5.50,https://img.alicdn.com/imgextra/i1/1206890057/O1CN01wuRtA81CI9BJb7Crw_!!0-saturn_solar.jpg,0,619847270448,广西 南宁,36.12,27.09,['甘蔗'],0,true,0,广西黑皮甘蔗现砍发当季新鲜孕妇水果超甜4-,富贵平安1999
4.7,-0.80,4.7,-0.62,4.7,-1.12,https://img.alicdn.com/imgextra/i3/126250897/O1CN01Y8I4xN1IUrs0bSLjK_!!0-saturn_solar.jpg,1,617962873829,山东 烟台,62.48,,['甘蔗'],0,true,0,攀枝花米易甘蔗黑皮甘蔗现砍水果甘蔗果肉松,沃浓旗舰店
4.8,12.53,4.7,-0.74,4.8,10.11,https://img.alicdn.com/imgextra/i4/463780107/O1CN01i1M64m1Cf2yVTij35_!!0-saturn_solar.jpg,1,614925975126,甘肃 兰州,100.00,24.80,['甘蔗'],391,true,0,甘肃特产兰州甜百合新鲜纯甜天然非干货50,奇迹汇食品旗舰店
4.6,-3.89,4.4,-7.52,4.5,-6.06,https://img.alicdn.com/imgextra/i2/132654773/O1CN01AnaqXT1l851lCNiAO_!!0-saturn_solar.jpg,0,619291421772,江苏 无锡,62.65,60.14,['甘蔗'],4,true,0,新广西黑皮甘蔗 新鲜绿色水果 脆甜孕妇水果,牵板手，天下有
4.9,52.21,4.9,62.75,4.9,59.19,https://img.alicdn.com/imgextra/i3/841650128/O1CN01XMRrws1CofInbSyG8_!!0-saturn_solar.jpg,0,614081300832,云南 玉溪,38.80,,['甘蔗'],35,true,0,云南甘蔗鲜榨古法手工玫瑰红糖 向往的生活,锦秀良田贸易有限责任公司
3.6,-24.94,2.6,-45.78,2.8,-40.13,https://img.alicdn.com/imgextra/i4/131242773/O1CN01oSx0OS1WM4tYraTGL_!!2-saturn_solar.png,0,618810318798,新疆 阿克苏,119.60,58.60,['甘蔗'],0,true,0,广西木格白玉甘蔗水果特级纯甜新鲜一级干脆,陈娅娅65059910
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1233050086/O1CN01926lu21CVQfTeosHt_!!0-saturn_solar.jpg,0,620594619872,广东 广州,122.62,61.06,['甘蔗'],0,true,0,新黑皮甘蔗 新鲜绿色水果 脆甜孕妇水果新鲜,志玲副食优选店
4.7,-2.29,4.7,-2.51,4.7,-2.28,https://img.alicdn.com/imgextra/i3/114491916/O1CN01gujF551Q1ZSqFUzKl_!!0-saturn_solar.jpg,0,568121915329,山东 潍坊,7.00,,['甘蔗'],48,true,1,甜高粱种子农家老品种牧草糖绿皮高粱春夏季,程清竺
4.8,1.39,4.8,10.16,4.8,4.36,https://img.alicdn.com/imgextra/i3/367230061/O1CN01alzSjc1CJyl9m4EQJ_!!0-saturn_solar.jpg,1,590377195777,江苏 南通,68.00,58.00,['甘蔗'],4,true,0,锦秀琪阳崇明甜杆芦粟芦穄路基甜高粱芦稷甜,锦秀琪阳旗舰店
4.9,68.64,4.9,75.55,4.9,69.39,https://img.alicdn.com/imgextra/i4/55395259/O1CN01208cfI1oifSfRQKYr_!!0-saturn_solar.jpg,0,562060467828,广东 东莞,20.00,,['甘蔗'],71,true,0,海南小青桔 新鲜金桔包邮(5斤装),xne1982
4.8,27.43,4.8,22.79,4.8,34.39,https://img.alicdn.com/imgextra/i2/514970018/O1CN01QSWRkB1C0HjYTeYpS_!!0-saturn_solar.jpg,0,619392788188,安徽 合肥,138.00,36.80,['甘蔗'],3,true,0,巢湖野生长江现杀翘嘴鱼新鲜活体河白鱼淡水,tb7798601775
