dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.5,-5.79,4.3,-10.40,4.4,-7.63,https://img.alicdn.com/imgextra/i4/593830059/O1CN01oOoLxv1CJ3yN2UNL3_!!0-saturn_solar.jpg,0,601938805434,山东 临沂,9.50,,['石榴'],0,true,0,观赏盆栽花石榴树苗果石榴苗牡丹花石榴重瓣,tb036308747
4.6,-4.01,4.2,-10.35,4.5,-6.95,https://img.alicdn.com/imgextra/i3/1128030153/O1CN01La9Csg1D07CiW0Hs3_!!0-saturn_solar.jpg,0,620705787980,河南 郑州,59.30,,['石榴'],0,true,0,突尼斯软籽石榴新鲜当季水果现摘红石榴水果,熊猫吃货站
4.8,0,4.7,-1.12,4.8,-1.02,https://img.alicdn.com/imgextra/i4/1106170186/O1CN01t726pR1DFEGblGdya_!!0-saturn_solar.jpg,0,615920721452,广西 玉林,13.80,,['石榴'],3,true,0,番石榴树苗 嫁接珍珠番石榴苗四季果树苗,广西宏森农业
4.8,0,4.7,-0.61,4.8,0,https://img.alicdn.com/imgextra/i3/504350059/O1CN01Me4mmX1CJ3yJmNDFA_!!2-saturn_solar.png,0,616746707240,江苏 淮安,4.80,,['石榴'],345,true,0,李子树苗嫁接北方种植果树苗,优质果苗农业合作社
4.5,-6.85,4.3,-10.38,4.3,-10.54,https://img.alicdn.com/imgextra/i4/333020150/O1CN01ec15321CyjxfEEskH_!!0-saturn_solar.jpg,0,600520566484,海南 儋州,58.00,23.00,['石榴'],5,false,0,海南青金桔树苗小金桔苗酸橘青桔果四季结果,海南汇绿宝苗圃
4.9,38.45,4.8,38.60,4.9,37.05,https://img.alicdn.com/imgextra/i4/765040080/O1CN01UGXwd91CSgHRuA6kH_!!0-saturn_solar.jpg,0,611681972273,山东 临沂,10.80,,['石榴'],41,true,0,无花果苗地栽盆栽无花果树苗特大波姬红紫果,tb730037779
4.8,-1.07,4.8,27.56,4.8,12.14,https://img.alicdn.com/imgextra/i2/1173800158/O1CN01z3ELfy1D2PBEmmsOx_!!2-saturn_solar.png,0,615755095818,山东 临沂,150.00,,['石榴'],73,true,0,出售3-30公分突尼斯软子石榴树苗别墅庭,山东泰丰果树合作社
4.8,-1.17,4.8,10.87,4.8,13.51,https://img.alicdn.com/imgextra/i3/300930106/O1CN01WTqNtx1CeaacjDCot_!!0-saturn_solar.jpg,0,611085679152,广西 贺州,10.00,,['石榴'],25,true,0,金桔苗 脆皮金桔树苗 招财桔 嫁接苗 盆,xzp512
4.5,-6.85,4.3,-10.38,4.3,-10.54,https://img.alicdn.com/imgextra/i1/333020150/O1CN01c2Wphg1CyjxdoViCX_!!0-saturn_solar.jpg,0,600246525494,海南 儋州,99.00,33.00,['石榴'],3,false,0,海南榴莲蜜苗树榴莲菠萝蜜嫁接苗果树果苗南,海南汇绿宝苗圃
4.8,34.10,4.7,0,4.8,18.24,https://img.alicdn.com/imgextra/i2/309250095/O1CN01REbuO81CZYBviC4oJ_!!0-saturn_solar.jpg,0,606113030303,广东 汕头,388.00,188.00,['石榴'],2,true,0,达濠德裕隆 秀才红鱼红目鳞皮刀 混合三斤,达濠鱼饭
4.7,-0.85,4.7,-1.61,4.7,-1.21,https://img.alicdn.com/imgextra/i2/859550118/O1CN0131x2W31Ck5LLodPOq_!!0-saturn_solar.jpg,1,613902139585,福建 漳州,79.80,39.80,['石榴'],3,true,0,福建番石榴白心新鲜包邮芭乐水果斤装红心5,果誉佳旗舰店
4.7,-0.85,4.7,-1.61,4.7,-1.21,https://img.alicdn.com/imgextra/i1/859550118/O1CN01MP4rqa1Ck5LKn0ahO_!!0-saturn_solar.jpg,1,613467317494,福建 漳州,79.80,39.80,['石榴'],4,true,0,福建番石榴白心新鲜包邮芭乐水果斤装红心5,果誉佳旗舰店
4.7,-2.72,4.6,-2.58,4.7,-2.02,https://img.alicdn.com/imgextra/i2/231060043/O1CN01EBdGHG1CBjd1FVStI_!!0-saturn_solar.jpg,0,582439500253,广西 玉林,10.00,,['石榴'],82,true,0,新品无籽红宝石西瓜芭乐苗 番石榴当年结果,锦明农业
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/913351499/O1CN019d83Cg1MwaJEPmVwo_!!913351499.jpg,0,620768265188,四川 攀枝花,88.00,,['石榴'],0,true,0,新鲜突尼斯黑软籽酸石榴大果6斤包邮装孕妇,miaoaijia9
4.2,-12.95,3.6,-23.90,3.9,-18.67,https://img.alicdn.com/imgextra/i3/118246601/O1CN01Qnic3B1ydJ2JGajIj_!!0-saturn_solar.jpg,0,621194871927,河南 郑州,86.24,,['石榴'],0,true,0,突尼斯新鲜孕妇应季水果软核软籽石榴10斤石,退伍兵小哥
4.4,-7.35,3.9,-17.84,4.3,-11.02,https://img.alicdn.com/imgextra/i3/108293995/O1CN01t7NLDR1fNktDfTgK0_!!0-saturn_solar.jpg,0,618119303037,四川 凉山,99.95,,['石榴'],0,true,0,会理突尼斯软籽石榴当季新鲜水果红宝石软子,3688衣柜
4.6,-4.01,4.2,-10.35,4.5,-6.95,https://img.alicdn.com/imgextra/i4/1128030153/O1CN01ppHA1R1D07ClAgZGb_!!0-saturn_solar.jpg,0,616910030327,陕西 西安,82.90,,['石榴'],0,true,0,陕西特产酸石榴包邮新鲜水果非软籽石榴新鲜,熊猫吃货站
4.1,-15.26,3.5,-25.41,3.9,-18.61,https://img.alicdn.com/imgextra/i3/129036280/O1CN01DmDtMY1wGHtnonZqq_!!0-saturn_solar.jpg,0,618971576501,陕西 西安,79.90,,['石榴'],0,true,0,现货临潼石榴净重5斤新鲜当季水果5包邮软籽,儒家之乡
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/545660015/O1CN01VTqhkr1ByuY0FG0We_!!0-saturn_solar.jpg,0,620467636663,四川 成都,99.80,,['石榴'],0,true,0,买1送1云南蒙自石榴带箱10斤新鲜当季水果甜,miaoaijia9
4.2,-11.28,3.7,-21.56,3.9,-18.68,https://img.alicdn.com/imgextra/i1/114123151/O1CN01pDoElL1Z9CbrMa8Cy_!!0-saturn_solar.jpg,0,616382520131,四川 成都,99.80,,['石榴'],0,true,0,买1送1云南蒙自石榴带箱10斤新鲜当季水果甜,女神一族服饰店
4.2,-12.95,3.6,-23.90,3.9,-18.67,https://img.alicdn.com/imgextra/i2/118246601/O1CN01Xb4tty1ydJ2Jq9RGN_!!0-saturn_solar.jpg,0,620928522322,云南 红河,103.20,,['石榴'],0,true,0,稀奇古怪的蒙自甜石榴新鲜当季水果10斤非会,退伍兵小哥
4.1,-15.26,3.5,-25.41,3.9,-18.61,https://img.alicdn.com/imgextra/i4/129036280/O1CN01z1IVqX1wGHtq2kctC_!!0-saturn_solar.jpg,0,620699402070,四川 攀枝花,88.00,,['石榴'],0,true,0,新鲜突尼斯黑软籽酸石榴大果6斤包邮装孕妇,儒家之乡
4.5,-5.69,4.2,-11.50,4.4,-7.94,https://img.alicdn.com/imgextra/i3/479420062/O1CN01ULi0jA1CKRA93mL3D_!!0-saturn_solar.jpg,0,620380252732,湖南 永州,88.00,,['石榴'],0,true,0,新鲜突尼斯黑软籽酸石榴大果6斤包邮装孕妇,蔬果联盟888
4.7,-1.25,4.6,-3.81,4.6,-2.51,https://img.alicdn.com/imgextra/i4/217570008/O1CN01Ad1QDP1BvhliUsM8i_!!0-saturn_solar.jpg,1,578962587560,广西 玉林,108.00,34.80,['石榴'],174,true,0,广西现摘白心番石榴芭乐8斤装当季番石榴新,岭南妹旗舰店
4.9,51.75,4.9,62.51,4.9,53.05,https://img.alicdn.com/imgextra/i2/27230081/O1CN01Y02xQP1CT8ghuzKVf_!!0-saturn_solar.jpg,0,619808543623,广东 珠海,28.80,,['石榴'],35,true,0,水果现摘现发珍珠番石榴白心芭乐整箱5斤,信诚大掌柜
4.7,-1.44,4.6,-3.03,4.7,-1.96,https://img.alicdn.com/imgextra/i1/153210070/O1CN01D2rxem1CO6KZaaV64_!!0-saturn_solar.jpg,1,620110777498,四川 凉山,89.00,29.90,['石榴'],667,true,0,现摘突尼斯软籽石榴5斤3新鲜孕妇水果当季,润宁生鲜旗舰店
4.8,-0.78,4.7,-0.97,4.8,-0.72,https://img.alicdn.com/imgextra/i2/56384742/O1CN01XylXgZ1ktsjFngEur_!!0-saturn_solar.jpg,0,573210564435,广东 揭阳,28.00,,['石榴'],19,true,0,台湾释迦果苗树 嫁接释迦果树苗 特大 番,天天都太忙
4.5,-5.62,4.4,-6.34,4.5,-6.76,https://img.alicdn.com/imgextra/i4/13266211/O1CN01LMXk171vkgYyq6CjD_!!0-saturn_solar.jpg,0,616789442564,山西 临汾,49.80,19.80,['石榴'],0,false,0,番石榴水果新鲜红白心台湾芭乐高纤维清脆爽,不去游泳的鱼
4.7,-2.76,4.6,-2.90,4.7,-2.26,https://img.alicdn.com/imgextra/i2/132124759/O1CN011l1fLQHa9jEyB33_!!0-saturn_solar.jpg,0,569060955241,广西 玉林,30.00,11.82,['石榴'],27,true,0,荔枝树苗嫁接果树苗包邮 妃子笑荔枝苗 桂,广西鸿图苗木
4.6,-3.94,4.4,-8.29,4.5,-6.13,https://img.alicdn.com/imgextra/i3/52334928/O1CN01DraU5O1mH4PeDf5f9_!!0-saturn_solar.jpg,0,596610103310,山东 临沂,25.00,,['石榴'],3,true,0,正宗软枣猕猴桃苗树嫁接苗扦插苗带杯发货软,国星装饰
4.2,-12.59,3.8,-19.13,3.9,-18.84,https://img.alicdn.com/imgextra/i4/692572391/O1CN01Lzd2ES1TX7aNJt7Sm_!!692572391.jpg,0,614516733382,陕西 西安,28.90,,['石榴'],0,true,0,陕西特产临潼石榴包邮新鲜水果非软籽石榴6-,俏佳人服饰518
4.8,6.48,4.8,4.04,4.8,0,https://img.alicdn.com/imgextra/i1/875870097/O1CN01uvdcJj1CaT1euTG5B_!!0-saturn_solar.jpg,0,613029998652,江苏 南京,36.00,25.20,['石榴'],11,true,0,北方种植矮化带 分叉当年结石榴树苗,种下爱花园
4.4,-7.90,3.9,-17.45,4.5,-6.95,https://img.alicdn.com/imgextra/i1/607980012/O1CN01iyoOLH1BxXM99w45a_!!0-saturn_solar.jpg,0,609772809080,福建 漳州,29.90,,['石榴'],0,true,0,福建红心番石榴清脆香甜红肉巴乐应季孕妇水,hxp4019283
4.6,-3.26,4.6,-3.43,4.7,-2.89,https://img.alicdn.com/imgextra/i1/13296137/O1CN01E1Prvp1vCnDuMHQFz_!!0-saturn_solar.jpg,0,588737293700,广东 肇庆,4.50,,['石榴'],2,true,0,正宗金葵沙糖桔树苗新品种早熟砂糖桔树苗嫁,alan385
4.6,-4.01,4.6,-3.44,4.7,-3.02,https://img.alicdn.com/imgextra/i2/671130050/O1CN01DDtlvS1CEwOIChzej_!!0-saturn_solar.jpg,0,606842045378,广西 钦州,10.00,,['石榴'],1,true,0,新品种红宝石柚苗沙田柚苗红肉蜜柚苗树苗青,广西铭丹农业有限公司
4.8,0,4.8,0,4.7,0,https://img.alicdn.com/imgextra/i3/109343148/O1CN01kjQVvp1Z7pPV4LFI8_!!0-saturn_solar.jpg,1,43786275812,浙江 宁波,128.80,39.70,['石榴'],22,false,0,红膏蟹糊 蟹黄酱蟹梭子蟹肉蟹膏蟹粉 螃蟹,点对点食品专营店
4.8,8.82,4.8,36.01,4.8,26.52,https://img.alicdn.com/imgextra/i3/23835954/O1CN01z1PKcw1tqymbDSk6u_!!0-saturn_solar.jpg,0,606184425364,广东 东莞,148.00,140.60,['石榴'],1,true,1,番石榴树苗台湾红叶番石榴红心红叶番石榴树,沙田神秘果农场
4.8,2.31,4.8,13.63,4.9,79.05,https://img.alicdn.com/imgextra/i1/115434211/O1CN01p1cAeu1gygR5zYwX9_!!0-saturn_solar.jpg,0,614472347937,广西 钦州,16.88,,['石榴'],13,true,0,荔枝树苗妃子笑无核A4嫁接果树苗桂味糯米,18276625045黄
4.5,-5.70,4.2,-11.96,4.5,-6.87,https://img.alicdn.com/imgextra/i1/121196786/O1CN0140P1Sw2002I8QvRuf_!!0-saturn_solar.jpg,0,574083279011,云南 红河,88.00,,['石榴'],1,true,0,8月新鲜时令水果云南水果石榴5斤软子薄皮大,可喜可乐吃
4.7,-1.96,4.7,-1.36,4.7,-1.11,https://img.alicdn.com/imgextra/i4/128930174/O1CN01jhoNyp1D9jVeCcSmk_!!0-saturn_solar.jpg,0,563522926732,江苏 徐州,35.00,,['石榴'],9,true,0,极早熟鲜枣苗 六月鲜枣树苗 嫁接枣子树苗,新沂市云云苗木有限公司
4.8,0,4.7,0,4.8,0,https://img.alicdn.com/imgextra/i4/124016877/O1CN01detccy20fiLr4pimQ_!!0-saturn_solar.jpg,0,592143825476,上海,60.00,32.00,['石榴'],207,true,0,拾度果茶红西柚果粒罐头奶茶店专用配料果肉,拾度茶饮原料批发
4.8,2.31,4.8,13.63,4.9,79.05,https://img.alicdn.com/imgextra/i3/115434211/O1CN01Yqh0241gygQBRJ9aK_!!0-saturn_solar.jpg,0,595725582957,广西 钦州,20.87,,['石榴'],7,true,0,荔枝树苗妃子笑无核A4嫁接果树苗桂味糯米,18276625045黄
4.7,-0.77,4.7,-2.50,4.7,-2.09,https://img.alicdn.com/imgextra/i3/690090099/O1CN014fkFBs1CbNoXHVODj_!!0-saturn_solar.jpg,1,609295274001,云南 红河,37.52,15.01,['石榴'],12,true,0,年货优质白心番石榴红心广西芭乐果当季新鲜,鲜沐梵旗舰店
4.6,-3.95,4.6,-3.92,4.6,-3.25,https://img.alicdn.com/imgextra/i3/110902553/O1CN01oZCsy81UjJlF3SVMn_!!0-saturn_solar.jpg,0,581434607446,广东 肇庆,2.70,,['石榴'],276,true,0,沙糖桔树苗正宗四会嫁接树苗无核桔子苗,martinlee2010
4.9,65.78,4.7,0,4.8,-0.75,https://img.alicdn.com/imgextra/i4/108767795/O1CN01E8oSaZ27S9vYwJNbs_!!0-saturn_solar.jpg,0,614740051014,湖南 永州,49.00,35.00,['石榴'],2,true,0,2020湖南红刀豆种子大扁豆种子大刀豆种,瑶山韵味
4.7,-2.35,4.6,-3.30,4.7,-2.20,https://img.alicdn.com/imgextra/i2/398300150/O1CN01MBE9KI1Cyjy5PnJ4n_!!0-saturn_solar.jpg,0,592164045695,广东 广州,6.99,,['石榴'],40,true,0,广州发货正宗嫁接四季杨桃树苗马来西亚杨桃,ali50622014410
4.7,-2.41,4.7,-1.97,4.7,-1.64,https://img.alicdn.com/imgextra/i2/48887023/O1CN01XKIxjB21ka74aIagn_!!0-saturn_solar.jpg,0,582155510640,广西 玉林,12.80,,['石榴'],43,true,1,龙眼苗嫁接苗桂圆树苗储良石硖苗四季龙眼果,h18666631472
4.8,3.81,4.7,-0.58,4.8,8.34,https://img.alicdn.com/imgextra/i3/398050016/O1CN01Yrrkzq1BzMwVj8MKt_!!0-saturn_solar.jpg,0,596687941069,河南 郑州,69.90,17.90,['石榴'],1,true,0,坏果包赔干蒜瓣种子5斤装 2020年,缘黎岁岁枯老
