dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-0.66,4.7,-2.55,4.7,-0.74,https://img.alicdn.com/imgextra/i2/125444957/O1CN013lwxeB1mULu6pAeIm_!!0-saturn_solar.jpg,1,618435459324,云南 昆明,109.00,49.80,['红提子'],1039,true,0,滇圣 云南宾川高山红提葡萄新鲜,滇圣旗舰店
4.4,-7.72,3.8,-19.37,4.2,-11.78,https://img.alicdn.com/imgextra/i1/108293995/O1CN01PNHY3c1fNkt8iv1OL_!!0-saturn_solar.jpg,0,620452097021,云南 昆明,45.90,,['红提子'],0,true,0,提子新鲜整箱红提四川无籽红提夏黑孕妇吃的,3688衣柜
4.8,-0.53,4.7,-1.28,4.7,-0.93,https://img.alicdn.com/imgextra/i3/258330184/O1CN01814H5q1DEJTr8pJx6_!!0-saturn_solar.jpg,0,619340602209,云南 大理,88.00,38.80,['红提子'],630,true,0,云南大理宾川红提葡萄,yang376490128
4.9,43.91,4.8,12.55,4.8,25.34,https://img.alicdn.com/imgextra/i3/22893490/O1CN01nXtDdM1beSrwnpgCw_!!0-saturn_solar.jpg,0,616137849747,广东 广州,268.00,158.00,['红提子'],6,false,0,澳洲无籽红提新鲜进口红提子当季孕妇水果一,caixiaowei849
4.9,43.91,4.8,12.55,4.8,25.34,https://img.alicdn.com/imgextra/i2/22893490/O1CN01miTlaB1beSrx0D2PP_!!0-saturn_solar.jpg,0,616136749967,广东 广州,168.00,88.00,['红提子'],36,false,0,进口澳洲无籽红提新鲜红提子当季孕妇水果半,caixiaowei849
4.4,-7.72,3.8,-19.37,4.2,-11.78,https://img.alicdn.com/imgextra/i4/108293995/O1CN01x4dm941fNkt8it8jt_!!0-saturn_solar.jpg,0,620722406343,陕西 渭南,79.06,,['红提子'],0,true,0,新疆葡萄新鲜水果无核吐鲁番玻璃脆翠无籽红,3688衣柜
4.7,-1.10,4.6,-3.84,4.7,-1.99,https://img.alicdn.com/imgextra/i1/726730193/O1CN01NtRF0R1DIR2kvK2Vu_!!0-saturn_solar.jpg,1,609557956519,上海,109.80,49.80,['红提子'],62,true,0,秘鲁进口红提4斤新鲜提子红葡萄水果,果真溜旗舰店
4.8,0,4.7,0,4.8,0,https://img.alicdn.com/imgextra/i1/52975537/O1CN010ysmp31qlzbrnMIkL_!!0-saturn_solar.jpg,0,592502812983,江苏 苏州,168.00,39.00,['红提子'],1584,true,1,中老年人女7分裤夏季薄款松紧高腰弹力奶奶,简汀时装
4.9,43.07,4.9,53.36,4.9,54.79,https://img.alicdn.com/imgextra/i1/336480005/O1CN0198YfTU1BuKaOWO8kj_!!0-saturn_solar.jpg,0,598063015535,云南 大理,89.90,49.90,['红提子'],10,true,0,云南高原现季水果提子新鲜整箱 红提葡萄非,tb754808472
4.8,12.34,4.8,11.90,4.8,9.96,https://img.alicdn.com/imgextra/i3/32859130/O1CN01JW7h1R2HJagdEbEab_!!0-saturn_solar.jpg,0,588245192494,广东 东莞,156.00,69.00,['红提子'],42,true,0,适合胯大腿粗的棉麻休闲七分裤女大码胖mm20,ahan136
4.8,0,4.7,0,4.8,0,https://img.alicdn.com/imgextra/i3/52975537/O1CN01Ta5agq1qlzcQB9Te8_!!0-saturn_solar.jpg,0,617873386631,江苏 苏州,199.00,49.00,['红提子'],384,true,1,中年妈妈阔腿裤女夏季高腰垂感九分裤中老年,简汀时装
4.4,-8.57,3.7,-21.03,4.0,-17.30,https://img.alicdn.com/imgextra/i4/123604259/O1CN01z7QRZU1hKfRhUOEpM_!!0-saturn_solar.jpg,0,572401693805,广东 广州,79.90,,['红提子'],2,true,0,顺丰云南夏黑葡萄3斤新鲜黑提子无籽巨峰黑,white310410
4.8,12.34,4.8,11.90,4.8,9.96,https://img.alicdn.com/imgextra/i4/32859130/O1CN01OTVtzR2HJagaM29L2_!!0-saturn_solar.jpg,0,588246648142,广东 东莞,96.00,49.00,['红提子'],134,true,0,加肥大码短裤女夏宽松冰丝棉麻五分裤阔腿高,ahan136
4.9,76.88,4.9,33.28,4.9,46.82,https://img.alicdn.com/imgextra/i2/128902127/O1CN017fIr3g1RaD1YC0ymY_!!0-saturn_solar.jpg,1,611886263104,浙江 嘉兴,6480.00,4569.00,['红提子'],0,true,0,MARNI2020春夏新品卡其色休闲长裤女,marni官方旗舰店
4.9,43.07,4.9,53.36,4.9,54.79,https://img.alicdn.com/imgextra/i4/336480005/O1CN01CdBBPP1BuKaJtrgHr_!!0-saturn_solar.jpg,0,617925881099,云南 大理,89.88,49.88,['红提子'],16,true,0,云南夏黑葡萄 新鲜水果包邮当季整箱无籽黑,tb754808472
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/266640020/O1CN01I4IVbF1C1CWfhXES4_!!0-saturn_solar.jpg,0,619957942190,云南 红河,145.90,,['红提子'],9,true,0,云南阳光玫瑰夏音葡萄提子现摘现发3斤空运,tb872636465
4.8,40.19,4.7,-1.90,4.8,22.45,https://img.alicdn.com/imgextra/i3/495990005/O1CN01moPdji1BuKaKp8DDj_!!0-saturn_solar.jpg,1,619612277736,广东 广州,65.00,59.80,['红提子'],0,true,0,智利进口红提2斤葡萄提子新鲜孕妇水果应当,乐果晟旗舰店
