dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,-0.64,4.6,-2.18,4.8,-0.58,https://img.alicdn.com/imgextra/i1/367640054/O1CN014nw9Aj1CGlzaUew2p_!!0-saturn_solar.jpg,0,619213257851,四川 攀枝花,79.00,69.90,['芒果'],427,true,0,攀枝花特产小贵妃芒果新鲜10斤青芒果,tb185808240
4.6,-4.08,4.3,-9.13,4.6,-4.00,https://img.alicdn.com/imgextra/i2/124657740/O1CN01dAgMhv272y8LGFUXf_!!0-saturn_solar.jpg,0,564968312597,广西 南宁,98.00,58.00,['芒果'],0,true,0,金煌芒大芒果桂七玉芒凯特芒贵妃新鲜水果,四季旺果业
4.5,-6.33,4.3,-9.11,4.3,-8.75,https://img.alicdn.com/imgextra/i4/893060160/O1CN01bVxrdq1D3JybC8Bgr_!!0-saturn_solar.jpg,1,618214636083,云南 昆明,69.80,26.80,['芒果'],2,true,0,海南贵妃芒果当季新鲜热带水果现摘整箱10,天池荣达生鲜旗舰店
5.0,100.00,4.0,-17.14,4.5,-7.42,https://img.alicdn.com/imgextra/i2/716530130/O1CN01nat90j1Cpa5IYnfVc_!!2-saturn_solar.png,0,616292848625,广西 南宁,36.80,,['芒果'],0,true,0,越南澳芒5斤大果非8斤10斤贵妃芒水仙芒,t_1513082758865_0221
4.8,22.64,4.8,0,4.8,5.96,https://img.alicdn.com/imgextra/i3/398740161/O1CN016KWFdE1D3mN9bmNCq_!!0-saturn_solar.jpg,1,597690391969,广西 百色,79.80,,['芒果'],228,true,0,广西桂七大果一级桂7芒果10斤 百色田东新鲜,鲜班长旗舰店
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i2/1254720020/O1CN01QYuT2G1C1CWuDyBSJ_!!0-saturn_solar.jpg,0,621438343202,四川 攀枝花,54.90,,['芒果'],0,true,0,四川特产金煌芒正宗攀枝花金煌大青芒新鲜特,tb866362649
4.8,-0.73,4.6,-3.30,4.7,-0.77,https://img.alicdn.com/imgextra/i3/2206837581404/O1CNA1BKvGWK100d487230c30b1537750008_!!2206837581404-0-picassodesign.jpg,0,618622991032,广西 百色,89.00,29.90,['芒果'],21,true,0,正宗广西百色金煌芒果10斤新鲜当季包邮整,成都农丰源
4.9,45.45,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/133809069/O1CN01o7Niz62GreWnq9rfE_!!0-saturn_solar.jpg,0,598147967586,广西 百色,68.00,,['芒果'],40,true,0,小辣椒芒果尖椒芒无核广西净重9斤包邮网红,tb177639877
4.8,5.22,4.7,-0.58,4.8,3.07,https://img.alicdn.com/imgextra/i2/123853436/O1CN01HmDbAq1bFjTCbhNq3_!!0-saturn_solar.jpg,0,587949079665,广东 揭阳,20.00,,['芒果'],125,false,1,潮汕梅汁甘草生吃芒果拖青芒果1斤装新鲜孕,林文玲2013
3.6,-24.25,3.1,-33.96,3.3,-31.08,https://img.alicdn.com/imgextra/i2/105816943/O1CN01DuMoAh219wUMm2eef_!!0-saturn_solar.jpg,0,619208789489,广西 南宁,37.60,34.60,['芒果'],1,true,0,贵妃芒果10斤包邮新鲜应季香甜孕妇水果树,huangzhijun602061216
