dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,0,4.7,-0.64,4.7,-0.69,https://img.alicdn.com/imgextra/i2/122038587/O1CN01quJmBL2DItclJd86s_!!0-saturn_solar.jpg,1,609702396779,山东 烟台,22.80,,['苹果'],29,true,0,山东烟台红富士苹果水果新鲜当季栖霞整箱,兴蓬农庄旗舰店
4.7,-1.22,4.7,-2.30,4.7,-1.98,https://img.alicdn.com/imgextra/i3/280830120/O1CN01BOw6yq1Cl07Ij7AOy_!!0-saturn_solar.jpg,1,601927784145,山西 运城,88.00,19.80,['苹果'],75,true,0,山西运城苹果,果吉联盟旗舰店
4.8,32.34,4.8,34.60,4.8,33.64,https://img.alicdn.com/imgextra/i3/173350179/O1CN015met741DC1UhKfzyq_!!0-saturn_solar.jpg,1,587568383735,上海,39.90,,['苹果'],53,true,0,新西兰加力果 新鲜水果 12只嘎啦果 鲜苹果,锦味源旗舰店
4.3,-9.20,3.9,-16.65,4.2,-12.55,https://img.alicdn.com/imgextra/i1/41397088/O1CN01oyf9wv22ELuP1UtYW_!!0-saturn_solar.jpg,0,610583607293,陕西 渭南,33.60,,['苹果'],3,true,0,?大苹果水果超大特大95陕西红富士新鲜当带,随缘16587
4.6,-4.35,4.5,-5.91,4.5,-5.55,https://img.alicdn.com/imgextra/i2/823780076/O1CN01njtVXk1CQqhsbQ72K_!!0-saturn_solar.jpg,1,619640191045,陕西 西安,79.90,29.90,['苹果'],6,true,0,烟台水晶红富士苹果新鲜水果整箱10斤包邮,恋果街旗舰店
4.7,-0.78,4.7,-1.01,4.7,-0.86,https://img.alicdn.com/imgextra/i2/574350118/O1CN01F8cswv1Ck5LKw2cdS_!!0-saturn_solar.jpg,1,606997745796,山东 烟台,99.00,22.80,['苹果'],24524,true,0,烟台红富士苹果水果新鲜丑10斤带箱当季整箱,日日顺乐农旗舰店
4.7,-2.51,4.6,-4.28,4.7,-2.29,https://img.alicdn.com/imgextra/i2/118897530/O1CN01mqRju425UmwMGaIPl_!!0-saturn_solar.jpg,0,605049627515,山东 烟台,19.90,,['苹果'],14,true,0,脆甜红富士大果5斤装烟台冰糖心苹果新鲜当,tb6973513
4.8,29.56,4.8,28.43,4.8,31.45,https://img.alicdn.com/imgextra/i1/586280167/O1CN01FQIpUA1D6WkDY3HyT_!!0-saturn_solar.jpg,0,603855199244,山东 烟台,75.99,,['苹果'],130,true,1,烟台苹果栖霞红富士 山东产地直供新鲜水果,烟台咸水渔
4.9,55.49,4.7,0,4.8,34.01,https://img.alicdn.com/imgextra/i2/46231688/O1CN01Ohtrd91OL9AHVwfMN_!!0-saturn_solar.jpg,0,620550723029,辽宁 大连,120.00,,['苹果'],7,true,1,新西兰索尼娅苹果顺丰包邮新鲜水果进口索妮,l2009200
4.7,-1.12,4.6,-4.02,4.6,-3.04,https://img.alicdn.com/imgextra/i4/1208280090/O1CN01bugqCs1CXGFWOLuIC_!!0-saturn_solar.jpg,0,619753214174,山西 运城,49.00,29.40,['苹果'],11,true,0,小二家山西冰糖心丑苹果整箱10斤脆甜当季水,tb410669452
4.7,-0.85,4.7,-1.61,4.7,-1.21,https://img.alicdn.com/imgextra/i4/859550118/O1CN01ZrGd9w1Ck5KQHGhyM_!!0-saturn_solar.jpg,1,611926387370,新疆 巴音郭楞,238.00,138.00,['苹果'],1,true,0,新疆阿克苏冰糖心苹果水果10糖心整箱斤丑,果誉佳旗舰店
4.9,73.83,4.9,50.27,4.9,67.41,https://img.alicdn.com/imgextra/i3/1193900179/O1CN01wGN5WJ1DC1V6gBGua_!!0-saturn_solar.jpg,1,620078709110,山东 潍坊,89.00,22.80,['苹果'],585,true,0,烟台红富士苹果水果新鲜带箱10斤丑苹果,鲁甄旗舰店
4.7,-1.37,4.7,-0.65,4.7,-1.19,https://img.alicdn.com/imgextra/i4/1204150189/O1CN01vfPBHY1DGbShdDLs0_!!0-saturn_solar.jpg,1,619637003539,山东 烟台,29.60,23.90,['苹果'],787,true,0,山东烟台栖霞红富士苹果水果 一级新鲜脆甜,芒不完旗舰店
4.7,-2.12,4.6,-4.26,4.6,-2.96,https://img.alicdn.com/imgextra/i1/664790097/O1CN010obt9c1CaT0pzUmTL_!!0-saturn_solar.jpg,1,606917492377,上海,109.80,29.80,['苹果'],91,true,0,进口青苹果青蛇果新鲜水果脆爽当季时令苹果,远来食家旗舰店
4.8,6.86,4.8,16.38,4.8,9.75,https://img.alicdn.com/imgextra/i1/486240148/O1CN01ghRML01CxpDEW9RFd_!!2-saturn_solar.png,1,615273856965,山东 烟台,89.00,47.50,['苹果'],334,true,0,蜂巢直供山东栖霞5斤装80mm,浙江粮油食品旗舰店
4.8,-0.84,4.6,-2.67,4.8,18.62,https://img.alicdn.com/imgextra/i4/723190167/O1CN01GwkbG61D6WkF9jTA4_!!0-saturn_solar.jpg,0,607865548989,陕西 延安,89.90,,['苹果'],4,true,0,新鲜水果红富士苹果孕妇小孩适宜正宗陕西洛,西北特产商贸中心
4.8,16.06,4.7,-1.22,4.8,11.51,https://img.alicdn.com/imgextra/i4/46244968/O1CN01XSrune1mZOGFnPYec_!!0-saturn_solar.jpg,0,620019921190,浙江 杭州,39.90,,['苹果'],1,true,0,现货南非进口野生小苹果牛顿丑苹果红富士水,jyr跃荣
4.8,0,4.6,-2.93,4.7,-1.17,https://img.alicdn.com/imgextra/i2/34953010/O1CN01wQJRAI1Y6clE8rWGT_!!0-saturn_solar.jpg,0,615985638605,广东 广州,99.00,59.00,['苹果'],2091,true,1,新西兰进口红玫瑰苹果8个装queen苹果,jnjessepeng
4.7,-1.57,4.6,-2.31,4.7,-1.81,https://img.alicdn.com/imgextra/i4/477310140/O1CN01qyqy1J1CuA1GsEL5z_!!0-saturn_solar.jpg,0,606333926139,山东 烟台,59.90,,['苹果'],21,true,0,山东烟台栖霞红富士苹果产地直供新鲜水果脆,思乡甜果园
4.5,-6.16,4.1,-13.07,4.3,-9.18,https://img.alicdn.com/imgextra/i4/29756928/O1CN01tLqHxm2134YBIbxaa_!!0-saturn_solar.jpg,0,620399678090,甘肃 天水,46.00,36.80,['苹果'],4,true,0,甘肃苹果黄元帅黄金帅香蕉粉面奶油富士新鲜,微笑的鱼t
4.6,-3.83,4.5,-5.79,4.5,-6.83,https://img.alicdn.com/imgextra/i4/330810137/O1CN01mnPpXk1CsmleDnW9q_!!0-saturn_solar.jpg,0,587867651790,山东 烟台,27.80,,['苹果'],0,true,0,山东烟台栖霞红富士苹果新鲜水果80大果新,糖果范儿94
4.9,68.64,4.9,75.63,4.8,-0.75,https://img.alicdn.com/imgextra/i1/114855086/O1CN01fwIg4O1nRQzigKRMT_!!0-saturn_solar.jpg,0,608214772013,陕西 西安,129.00,,['苹果'],2,true,0,洛川苹果正宗陕西洛川红富士延安水果14斤,snrhmj式微
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/610210129/O1CN01bgadoH1Cp7gQ4nJCg_!!0-saturn_solar.jpg,0,610656727426,甘肃 平凉,50.00,,['苹果'],0,false,0,甘肃红富士大苹果整箱10斤新鲜脆嫩酸甜可,幸福安康6047
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1250120147/O1CN01GO3ekg1CxMpIMUi8l_!!0-saturn_solar.jpg,0,621421227914,甘肃 陇南,45.70,,['苹果'],0,true,0,王小二 甘肃天水花牛苹果水果新鲜当季包邮,御品一园舰旗店
4.9,58.18,4.8,18.78,4.9,59.31,https://img.alicdn.com/imgextra/i2/119750111/O1CN01q8BEwF1CgsWrc7Mj7_!!0-saturn_solar.jpg,0,562935991497,山东 烟台,29.80,26.80,['苹果'],6,true,0,烟台栖霞红富士苹果农家脆甜新鲜不打蜡5斤,军宋吉军
4.5,-6.16,4.1,-13.07,4.3,-9.18,https://img.alicdn.com/imgextra/i4/29756928/O1CN0151W7fl2134YAJ5VdN_!!0-saturn_solar.jpg,0,620804007358,陕西 咸阳,35.00,28.00,['苹果'],3,true,0,现摘现发陕西嘎啦青苹果5/10斤整箱新鲜,微笑的鱼t
4.8,0,4.5,-4.99,4.6,-4.65,https://img.alicdn.com/imgextra/i1/189390060/O1CN01iNknGU1CJWMf5svh1_!!0-saturn_solar.jpg,0,617974368881,浙江 杭州,37.30,27.98,['苹果'],0,true,0,优质陕西秦冠丑苹果沙甜粉面新鲜不打蜡冰糖,客似云来生活馆
4.1,-13.82,3.7,-21.59,4.0,-16.97,https://img.alicdn.com/imgextra/i1/178030011/O1CN01CWHeGb1Bx4xbqevXW_!!0-saturn_solar.jpg,0,619251950222,陕西 西安,26.90,,['苹果'],0,true,0,野生现摘现发冰糖心丑苹果10斤当季新鲜水果,退伍兵在家创业
4.8,0,4.5,-4.99,4.6,-4.65,https://img.alicdn.com/imgextra/i1/189390060/O1CN01T7Rfv31CJWMWX3LYj_!!0-saturn_solar.jpg,0,618531610320,陕西 西安,29.19,21.89,['苹果'],0,true,0,优质新鲜秦冠丑苹果粉面不打蜡冰糖心现摘当,客似云来生活馆
4.8,32.34,4.8,34.60,4.8,33.64,https://img.alicdn.com/imgextra/i4/173350179/O1CN01uzuyt61DC1RWOBGJ6_!!0-saturn_solar.jpg,1,593640999100,上海,88.00,,['苹果'],32,true,0,锦味源 新西兰爱妃苹果6个装 进口env,锦味源旗舰店
4.8,12.33,4.8,13.52,4.8,17.22,https://img.alicdn.com/imgextra/i2/126955715/O1CN01cgeFqf1s5W6Ynkwyp_!!0-saturn_solar.jpg,0,557497596495,山东 烟台,55.60,23.80,['苹果'],2750,true,1,当天发货 烟台黄金帅刮泥沙苹果黄元帅金帅,烟台农家鲜果直销
4.6,-3.12,4.4,-6.95,4.5,-5.14,https://img.alicdn.com/imgextra/i4/54594237/O1CN01vmyQJR1hAajBwucRV_!!0-saturn_solar.jpg,0,616444278135,山西 运城,29.80,,['苹果'],1,true,0,苹果水果新鲜当季水果红富士应季山西冰糖心,lijingyu52122
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1250120147/O1CN018vJBPO1CxMpUNRjTk_!!0-saturn_solar.jpg,0,620880497223,四川 凉山,14.70,,['苹果'],0,true,0,10斤新鲜苹果包邮一级红富士冰糖心四川大凉,御品一园舰旗店
4.8,21.08,4.8,38.43,4.8,24.72,https://img.alicdn.com/imgextra/i3/126926098/O1CN01jgAa8b1uuvm4QrQs8_!!0-saturn_solar.jpg,1,559558691385,陕西 西安,88.00,29.80,['苹果'],577,true,0,苹果水果新鲜陕西苹果白水苹果红富士红苹果,玉果山寻旗舰店
4.7,-1.80,4.6,-2.88,4.7,-2.40,https://img.alicdn.com/imgextra/i4/374040107/O1CN01nmQ7Y91Cf2ytXEX9O_!!0-saturn_solar.jpg,1,617897525202,陕西 西安,71.60,46.54,['苹果'],0,true,0,陕西红富士苹果新鲜水果10斤整箱丑苹果包邮,谷耘滇生鲜旗舰店
4.8,-0.65,4.6,-2.29,4.7,-1.34,https://img.alicdn.com/imgextra/i2/126723343/O1CN01A8Bsqz1aZ8dyecODa_!!0-saturn_solar.jpg,0,610692813220,辽宁 葫芦岛,34.99,24.89,['苹果'],178,true,0,黄金帅粉面10斤新鲜水果黄香蕉苹果香甜糯,有你似金秋
4.3,-9.32,4.0,-16.02,4.2,-11.86,https://img.alicdn.com/imgextra/i1/110494879/O1CN01dJWS5h1lud0rYMHbs_!!0-saturn_solar.jpg,0,620833461436,山西 运城,27.80,16.68,['苹果'],0,true,0,新鲜青苹果水果5斤10斤包邮孕妇脆酸甜平果,农家小哥518
4.5,-5.61,4.3,-8.64,4.5,-6.95,https://img.alicdn.com/imgextra/i1/201110082/O1CN01sssSA51CTb5CM9m8s_!!0-saturn_solar.jpg,0,595325221865,山东 烟台,96.29,,['苹果'],0,true,0,精选优质烟台苹果水果新鲜栖霞条纹脆甜10斤,买东西咯123
4.3,-10.23,4.1,-13.82,4.3,-10.23,https://img.alicdn.com/imgextra/i1/126566006/O1CN01nrutjW1uEnNG9cjwY_!!0-saturn_solar.jpg,0,612675637521,广东 广州,21.33,12.80,['苹果'],127,true,0,新鲜红富士苹果脆甜冰糖心丑苹果山西水果5/,格林的店
5.0,100.00,3.8,-20.75,4.1,-15.22,https://img.alicdn.com/imgextra/i2/682440026/O1CN01SAbhg31C3wrj3btpi_!!0-saturn_solar.jpg,0,605948340642,河北 石家庄,30.00,,['苹果'],0,true,0,新鲜红富士苹果脆甜多汁红富士好看好吃自家,修行的路人
4.7,-2.28,4.5,-5.33,4.6,-3.18,https://img.alicdn.com/imgextra/i1/345250033/O1CN01L6pm1r1C79g1vlmOH_!!0-saturn_solar.jpg,0,587337463782,陕西 延安,59.80,49.80,['苹果'],2,true,0,洛川苹果新鲜水果当季陕西正宗苹果脆甜红富,欲姐卖水果
4.8,11.12,4.8,15.99,4.9,35.64,https://img.alicdn.com/imgextra/i3/1021590077/O1CN01x8A4gm1CRJ6LXdqEq_!!0-saturn_solar.jpg,0,619917163589,上海,14.40,7.20,['苹果'],0,true,0,苹果数据线快充原装正品充电线器iPhon,南风与久歌
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/109642963/O1CN018D7jVR1Xl69PQThWE_!!0-saturn_solar.jpg,0,619491260037,陕西 延安,39.00,,['苹果'],1,true,0,陕西洛川苹果 送礼新鲜孕妇水果 条红脆甜,心怡世纪佳缘
4.7,-0.72,4.6,-3.71,4.7,-1.61,https://img.alicdn.com/imgextra/i1/469740076/O1CN019vnp6r1CQqh5vRcJd_!!0-saturn_solar.jpg,1,615663538002,广东 广州,99.00,78.00,['苹果'],6,true,0,新西兰进口红玫瑰苹果12枚装 新鲜qye,纯果利水果旗舰店
4.1,-14.13,3.6,-24.08,3.9,-17.56,https://img.alicdn.com/imgextra/i1/122046810/O1CN01NjO59i20B1oQYcJqW_!!0-saturn_solar.jpg,0,612786273403,广东 东莞,25.90,16.90,['苹果'],266,true,0,冰糖心脆甜香红苹果水果现摘新鲜当季丑苹果,小海豹virk
4.8,6.86,4.8,16.38,4.8,9.75,https://img.alicdn.com/imgextra/i1/486240148/O1CN01c81jpX1CxpDWLBAkO_!!0-saturn_solar.jpg,1,616057691607,陕西 延安,79.00,49.90,['苹果'],10,true,0,蜂巢直供陕西延安洛川苹果中果皮薄肉厚hh,浙江粮油食品旗舰店
4.7,-1.46,4.7,-0.80,4.8,18.98,https://img.alicdn.com/imgextra/i2/226930089/O1CN01Yod4kB1CWnpj7A31t_!!0-saturn_solar.jpg,0,579394880346,陕西 延安,45.80,32.90,['苹果'],378,true,0,陕西延安正宗洛川苹果水果现摘当季红富士整,洛川红富士直销批发
4.1,-13.82,3.7,-21.59,4.0,-16.97,https://img.alicdn.com/imgextra/i1/178030011/O1CN014SWDG01Bx4xTbyHnt_!!0-saturn_solar.jpg,0,619515051810,陕西 西安,24.80,,['苹果'],0,true,0,山西冰糖心苹果10斤批新鲜水果当季应季红富,退伍兵在家创业
4.7,-2.28,4.7,-1.56,4.7,-1.58,https://img.alicdn.com/imgextra/i2/1148580083/O1CN01LGnum21CU3Tnk7dm6_!!0-saturn_solar.jpg,0,619311148579,广东 广州,47.14,23.33,['苹果'],0,true,0,苹果水果新鲜当季整箱陕西红富士应季冰糖心,鑫跃88副食店
4.6,-4.97,4.3,-8.79,4.5,-5.16,https://img.alicdn.com/imgextra/i4/32765913/O1CN01YZMUDv1tYCWeTImgN_!!0-saturn_solar.jpg,0,20405703228,新疆 阿克苏,199.00,,['苹果'],0,true,0,10月底果园直发 正宗特级阿克苏冰糖心苹,shirleyastiven
4.3,-10.23,4.1,-13.82,4.3,-10.23,https://img.alicdn.com/imgextra/i3/126566006/O1CN01BS6QZX1uEnNDr5b81_!!0-saturn_solar.jpg,0,612919730539,广东 广州,23.00,13.80,['苹果'],59,true,0,新鲜新款水果山东烟台栖霞红富士冰糖心苹果,格林的店
