dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-1.37,4.5,-5.15,4.6,-3.96,https://img.alicdn.com/imgextra/i2/112047803/O1CN01vf0yn727Vp6V7QbLV_!!0-saturn_solar.jpg,0,564469613493,四川 成都,45.00,,['草莓'],225,true,0,成都发货市区闪送新鲜烘焙草莓糖葫芦蛋糕奶,韩韩的美食
4.8,6.89,4.7,-1.32,4.8,0,https://img.alicdn.com/imgextra/i3/124239085/O1CN01ZMdirt2GyyrOGwznV_!!0-saturn_solar.jpg,0,550604869563,上海,15.00,13.00,['草莓'],1051,false,0,新鲜草莓蛋糕装饰奶茶店商用草莓。当天发货,夏天的低调小男孩
4.7,-1.37,4.5,-5.15,4.6,-3.96,https://img.alicdn.com/imgextra/i2/112047803/O1CN01HXrW7u27Vp6ZG0zd0_!!0-saturn_solar.jpg,0,540306065052,四川 成都,39.90,,['草莓'],104,true,0,成都发货市区闪送新鲜烘焙专用小草莓 28,韩韩的美食
4.9,41.20,4.6,-3.34,4.8,-0.50,https://img.alicdn.com/imgextra/i4/117062897/O1CN01XfFn7u1XGs0U1oCnw_!!0-saturn_solar.jpg,0,600227759327,山西 太原,54.50,49.99,['草莓'],7,true,0,莓丽鲜新鲜甜草莓产地包邮四季水果商用烘焙,好乐草莓haole
5.0,100.00,4.8,18.51,5.0,100.00,https://img.alicdn.com/imgextra/i3/484610163/O1CN01j48bm31D4h9vn53FB_!!0-saturn_solar.jpg,0,599434697370,重庆,43.00,,['草莓'],73,true,0,新鲜烘焙专用草莓  蛋糕甜品奶茶  川渝,tb3256728912
4.9,41.20,4.6,-3.34,4.8,-0.50,https://img.alicdn.com/imgextra/i2/117062897/O1CN01RjMZ8O1XGs0IusQgE_!!0-saturn_solar.jpg,0,604296847266,山西 太原,71.92,39.99,['草莓'],12,false,0,莓丽鲜新鲜甜草莓3盒产地包邮四季水果商用,好乐草莓haole
4.8,0,4.5,-4.42,4.5,-5.24,https://img.alicdn.com/imgextra/i3/959180045/O1CN01Fm2g8O1CCeQFuIXTO_!!0-saturn_solar.jpg,0,607960995875,四川 成都,64.00,,['草莓'],130,true,0,28粒装烘焙专用草莓8.8元/盒.另多发,t_1491095157031_0388
5.0,100.00,4.8,18.51,5.0,100.00,https://img.alicdn.com/imgextra/i1/484610163/O1CN01u2HHtU1D4h9yJhSPT_!!0-saturn_solar.jpg,0,599874927505,重庆,39.90,,['草莓'],30,true,0,新鲜烘焙专用草莓28颗/盒小果蛋糕烘焙奶,tb3256728912
4.8,0,4.6,-3.46,4.7,-1.37,https://img.alicdn.com/imgextra/i1/409060177/O1CN01BNJz5h1DB6hqStvbj_!!0-saturn_solar.jpg,1,594038922062,上海,58.80,35.80,['草莓'],3304,true,0,四季草莓新鲜当季水果 烘焙蛋糕草莓装饰,爱赞鲜旗舰店
4.8,16.58,4.8,12.85,4.8,15.15,https://img.alicdn.com/imgextra/i3/123827027/O1CN01m8Tp5y21mPlBAoHKT_!!0-saturn_solar.jpg,1,610028160005,云南 曲靖,65.80,45.00,['草莓'],110,true,0,云南新鲜果冻草莓 酸甜可口 4盒装顺丰包邮,土哆哆旗舰店
