dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-1.12,4.6,-4.02,4.6,-3.04,https://img.alicdn.com/imgextra/i3/1208280090/O1CN01X3ibSx1CXGFUqQ8CD_!!0-saturn_solar.jpg,0,619486889700,广东 茂名,60.16,36.10,['荔枝'],1,true,0,现货5斤黑叶荔枝新鲜包邮现摘现发鲜荔枝应,tb410669452
4.8,0,4.7,-1.05,4.8,-0.57,https://img.alicdn.com/imgextra/i4/127918588/O1CN01bt4miW2DJM0CoQwkN_!!0-saturn_solar.jpg,0,574238871147,福建 莆田,32.00,28.88,['荔枝'],6,true,0,新货广东桂味荔枝干 核小肉厚特级荔枝干5,有你真好2088210
4.9,68.64,4.8,43.14,4.9,79.66,https://img.alicdn.com/imgextra/i1/13366730/O1CN01ghL1T61zaO7xMfj6S_!!0-saturn_solar.jpg,0,620460719595,广东 深圳,398.00,,['荔枝'],14,true,1,广东增城桂味荔枝挂绿糯米糍妃子笑藏原红荔,wyying8
4.9,45.01,4.8,39.88,4.9,50.22,https://img.alicdn.com/imgextra/i3/220150159/O1CN01qGpumj1D2raBDPRlC_!!0-saturn_solar.jpg,1,620729508532,上海,258.00,138.00,['荔枝'],0,true,0,日食记广州桂味荔枝3斤装新鲜水果现摘现发,日食记旗舰店
4.8,4.43,4.8,0,4.8,0,https://img.alicdn.com/imgextra/i1/123355463/O1CN01c7DhCo1qE6JaZdP76_!!0-saturn_solar.jpg,1,548243981272,山东 潍坊,78.00,24.90,['荔枝'],1648,true,0,贝贝南瓜板栗味小南瓜日本进口板粟5斤孕妇,农巴老旗舰店
4.7,-1.14,4.7,-1.33,4.7,-1.54,https://img.alicdn.com/imgextra/i4/125179747/O1CN01lIZbWd2LsB3e7AhMP_!!0-saturn_solar.jpg,1,619818687463,广西 玉林,89.00,46.90,['荔枝'],206,true,0,现摘荔枝新鲜5斤白糖罂水果桂味糯米糍妃子,记忆棒旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/41686038/O1CN01YQ5qW71uTS3Ih9oJS_!!0-saturn_solar.jpg,0,620123451112,广西 钦州,31.80,,['荔枝'],14,true,0,广西钦州荔枝新鲜白蜡黑叶白糖罂现摘现发5,黄强706269
4.9,72.43,4.9,57.16,4.9,73.17,https://img.alicdn.com/imgextra/i4/55395259/O1CN01208cfI1oifSfRQKYr_!!0-saturn_solar.jpg,0,562060467828,广东 东莞,25.00,,['荔枝'],83,true,0,海南小青桔 新鲜金桔包邮(5斤装),xne1982
3.8,-21.04,3.8,-20.71,4.0,-17.02,https://img.alicdn.com/imgextra/i4/42327095/O1CN01Yi3Fwn22HYh0mvANr_!!0-saturn_solar.jpg,0,619056800550,福建 厦门,98.00,28.80,['荔枝'],12553,true,1,荔枝新鲜包邮6斤时令鲜果非妃子笑大荔枝整,zhuang1988086
5.0,100.00,4.9,63.71,4.9,80.52,https://img.alicdn.com/imgextra/i3/1216140120/O1CN01grEAI11Cl08PXW1zA_!!0-saturn_solar.jpg,0,619739232650,广东 广州,199.00,148.00,['荔枝'],241,true,0,领券再减10元,1978智慧农业
