dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-1.40,4.6,-2.72,4.7,-2.00,https://img.alicdn.com/imgextra/i4/45998071/TB2IIV8igZC2uNjSZFnXXaxZpXa_!!0-saturn_solar.jpg,0,570052317159,广东 阳江,9.90,,['菠萝'],1,true,0,菠萝削皮刀割草刀香蕉刀不锈钢水果刀割菜刀,tb2552289_2012
4.7,-2.34,4.4,-7.29,4.6,-4.51,https://img.alicdn.com/imgextra/i3/119202664/O1CN01e7P5Vn1VY9iv4SO5z_!!0-saturn_solar.jpg,0,614402401314,海南 海口,119.00,49.80,['菠萝'],19,true,0,正宗海南大凤梨9斤3-5个甜蜜蜜青皮金钻,吴乾团
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1230580034/O1CN018Aj63X1C7c4ZKxnK5_!!0-saturn_solar.jpg,1,620156502627,海南 三亚,65.00,58.00,['菠萝'],259,true,0,桂富善新鲜海南三亚黄心干苞菠萝蜜一整,桂富善食品旗舰店
4.8,25.31,4.9,39.77,4.8,29.46,https://img.alicdn.com/imgextra/i2/107989288/O1CN01weSXKl2ITxEllsNy9_!!0-saturn_solar.jpg,1,532036984436,广东 深圳,61.60,25.80,['菠萝'],300,true,0,加厚菠萝刀削皮器挖眼不锈钢削菠萝神器去眼,思利他旗舰店
4.8,0,4.6,-2.22,4.8,-0.61,https://img.alicdn.com/imgextra/i1/292930006/O1CN01suhcm71BumyZJryw8_!!0-saturn_solar.jpg,0,616036190273,广西 南宁,57.49,45.99,['菠萝'],5,true,0,海南凤梨8斤手撕牛奶无眼金菠萝新鲜现摘当,看热闹不怕事大0
4.2,-12.48,3.8,-18.97,3.9,-18.69,https://img.alicdn.com/imgextra/i4/26922872/O1CN019fAOs71X5Q6c7KAOy_!!0-saturn_solar.jpg,0,618515001663,广西 玉林,66.00,,['菠萝'],0,false,0,泰国小菠萝去皮真空新鲜水果手撕凤梨香水小,俏佳人服饰518
4.4,-8.28,3.9,-17.29,4.2,-12.30,https://img.alicdn.com/imgextra/i3/1161660086/O1CN014dPAph1CVQfQqGhFN_!!0-saturn_solar.jpg,0,621058598935,山西 运城,25.50,,['菠萝'],0,true,0,水果菠萝新鲜10斤装凤梨热带整箱海南香水小,仙果吧
4.8,0,4.7,0,4.8,0,https://img.alicdn.com/imgextra/i3/113738276/O1CN01WsQMYV2B0SRGj5cSg_!!0-saturn_solar.jpg,0,573695121581,浙江 宁波,3.00,,['菠萝'],57,false,0,水果刀不锈钢菠萝弯刀削皮器割菜刀香蕉刀,佳烨百货
4.6,-3.01,4.5,-6.34,4.5,-4.96,https://img.alicdn.com/imgextra/i2/893150134/O1CN0109zKTI1CrPg3wFUiu_!!0-saturn_solar.jpg,1,619814581811,云南 昆明,23.80,,['菠萝'],10,true,0,徐闻香水小菠萝10斤包邮应当季孕妇水果整,庆湘园旗舰店
4.6,-2.96,4.6,-4.11,4.6,-2.98,https://img.alicdn.com/imgextra/i1/17107068114490893/TB2WQqKbVXXXXXMXpXXXXXXXXXX_!!48787107-0-saturn_solar.jpg,0,42372591578,广东 阳江,9.90,,['菠萝'],0,true,0,削菠萝刀V字型菠萝刀 菠萝扣眼刀 菠萝削,淘淘一族1981
4.8,-0.60,4.7,-0.74,4.8,-0.77,https://img.alicdn.com/imgextra/i4/109848155/O1CN01Dkgm292A72VJw1fWn_!!2-saturn_solar.png,0,582894383952,广东 揭阳,7.50,5.50,['菠萝'],794,true,0,香蕉刀小弯刀菠萝刀切菠萝蜜专用刀削皮刀水,tb16574160
4.8,0,4.8,0,4.8,0,https://img.alicdn.com/imgextra/i4/10187936/O1CN01lOcIlQ28UjiltXTZE_!!0-saturn_solar.jpg,0,568421933538,河南 郑州,29.80,,['菠萝'],6,true,1,不锈钢菠萝刀 菠萝取肉器 快速菠萝削皮器,kwgdy
4.7,-1.03,4.7,0,4.7,-0.94,https://img.alicdn.com/imgextra/i2/29198826/O1CN01e0eZPY2F4MHgB0Ax9_!!0-saturn_solar.jpg,0,621233054577,海南 海口,69.00,,['菠萝'],0,true,0,海南特产 黄肉菠萝蜜18-20斤装当季热,hui50900
4.7,-1.60,4.6,-3.11,4.7,-2.64,https://img.alicdn.com/imgextra/i1/1358406034733838764/TB2NDRJrCFmpuFjSZFrXXayOXXa_!!0-saturn_solar.jpg,0,550265569207,浙江 金华,8.00,7.60,['菠萝'],4,true,0,菠萝削皮器不锈钢去眼夹菠萝刀挖籽去皮器水,明瀛记
4.7,-2.48,4.6,-3.98,4.7,-3.14,https://img.alicdn.com/imgextra/i4/117736541/TB2g7svueGSBuNjSspbXXciipXa_!!2-saturn_solar.png,0,559398742215,上海,10.80,,['菠萝'],2,true,0,不锈钢削菠萝神器三合一菠萝削皮器 去皮去,上海谦拓五金
4.8,5.90,4.8,16.83,4.8,10.39,https://img.alicdn.com/imgextra/i1/25761475/O1CN01DTtFQP1MlalzkjmtA_!!0-saturn_solar.jpg,1,35304410864,广东 佛山,36.00,18.00,['菠萝'],17,true,0,菠萝刀削皮器去眼夹切开菠萝专用刀削皮刀水,威佰士旗舰店
4.8,12.43,4.7,-0.80,4.8,4.88,https://img.alicdn.com/imgextra/i1/418830020/O1CN01VGMPMF1C1CWr2XssH_!!0-saturn_solar.jpg,0,593086690999,云南 西双版纳,35.80,34.80,['菠萝'],96,true,0,云南香水菠萝新鲜热带水果10斤当季现摘非,诚震远
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/1250120147/O1CN01tM7UWF1CxMpQQ9p43_!!0-saturn_solar.jpg,0,621421263820,海南 海口,19.90,,['菠萝'],0,true,0,新店抢购海南青蜜蜜汁金钻凤梨新鲜孕妇当季,御品一园舰旗店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1250120147/O1CN01zcYFG81CxMpV6PI6W_!!0-saturn_solar.jpg,0,620580568901,海南 海口,19.90,,['菠萝'],0,true,0,现摘云南西双版纳金钻无眼凤梨10斤装9斤净,御品一园舰旗店
4.5,-5.55,4.3,-8.43,4.5,-5.84,https://img.alicdn.com/imgextra/i1/1133570198/O1CN01jt99wP1DKj1qVqfj1_!!0-saturn_solar.jpg,0,616568472553,广东 茂名,36.80,,['菠萝'],1780,true,0,高州果园新鲜荔枝现摘当季桂味白糖罂妃子笑,tb49035114
4.8,10.39,4.8,30.38,4.8,12.80,https://img.alicdn.com/imgextra/i4/699440079/O1CN01hSBdq31CSDtDc3Wdg_!!0-saturn_solar.jpg,0,616523805017,广东 湛江,64.90,31.80,['菠萝'],0,true,0,开水优选广东徐闻菠萝带箱10斤当季新鲜水果,胡图图壹号店
4.6,-3.84,4.5,-4.72,4.6,-4.65,https://img.alicdn.com/imgextra/i3/121857913/O1CN01pPK9mX28KCfXSCizD_!!0-saturn_solar.jpg,0,616133016586,广东 中山,73.80,47.97,['菠萝'],0,true,0,中山正宗神湾菠萝当季3斤纯甜送刀水果胜泰,梦联网
4.6,-4.39,4.3,-10.16,4.4,-8.54,https://img.alicdn.com/imgextra/i3/58289347/O1CN0149iKo52IuydMT0ZFz_!!0-saturn_solar.jpg,0,617355344776,云南 昆明,15.80,,['菠萝'],0,true,0,新鲜包邮水果菠萝 徐闻菠萝 5斤广东凤梨 香,3699衣柜
4.4,-8.28,3.9,-17.29,4.2,-12.30,https://img.alicdn.com/imgextra/i4/1161660086/O1CN013uA2X61CVQfTns5L1_!!0-saturn_solar.jpg,0,620786245007,山西 运城,64.90,,['菠萝'],0,true,0,泰国小菠萝2斤去皮香水袋袋迷你真空新鲜水,仙果吧
3.6,-25.26,2.6,-45.59,2.8,-40.23,https://img.alicdn.com/imgextra/i4/131242773/O1CN01bhfJKg1WM4sqDSlbn_!!0-saturn_solar.jpg,0,613790076509,广东 湛江,59.60,29.80,['菠萝'],0,true,0,徐闻香水小菠萝10斤 新鲜当季水果凤梨手撕,陈娅娅65059910
4.6,-4.39,4.3,-10.16,4.4,-8.54,https://img.alicdn.com/imgextra/i1/58289347/O1CN01IIMFvt2IuydIQQEoe_!!2-saturn_solar.png,0,617294600360,广西 柳州,16.80,,['菠萝'],0,true,0,新鲜迷你小菠萝香水脆甜孕妇可以发湖北的快,3699衣柜
4.3,-9.20,3.9,-16.65,4.2,-12.55,https://img.alicdn.com/imgextra/i4/41397088/O1CN01L81WtE22ELuWtBR8o_!!0-saturn_solar.jpg,0,610115845059,广东 湛江,59.60,29.80,['菠萝'],0,true,0,徐闻香水小菠萝10斤 新鲜当季水果凤梨手撕,随缘16587
4.6,-4.01,4.2,-10.35,4.5,-6.95,https://img.alicdn.com/imgextra/i3/1128030153/O1CN01ZlooZA1D07CjW6JJw_!!0-saturn_solar.jpg,0,619872372141,广西 南宁,19.70,,['菠萝'],0,true,0,云南香水小菠萝非凤梨水果手撕菠萝新鲜河口,熊猫吃货站
4.6,-4.22,4.6,-3.30,4.6,-4.13,https://img.alicdn.com/imgextra/i3/1216440186/O1CN01jwfhLJ1DFEGrJd4Gy_!!0-saturn_solar.jpg,0,619101990767,四川 成都,57.91,28.95,['菠萝'],0,true,0,瓶零酒精菠萝 啤果味碳酸饮料啤酒 罐装,tb167509185
4.9,61.45,4.9,64.07,4.9,62.96,https://img.alicdn.com/imgextra/i4/897840040/O1CN01NJYjV01CAMRia24G0_!!0-saturn_solar.jpg,0,613804316142,云南 红河,28.00,,['菠萝'],0,true,0,云南香水菠萝新鲜当季水果手撕小菠萝应季凤,hy扬帆远航
4.7,-2.82,4.6,-3.50,4.7,-2.61,https://img.alicdn.com/imgextra/i4/772150163/O1CN01BioyB41D4h9d9Ky3U_!!0-saturn_solar.jpg,0,614149311944,广东 珠海,60.60,39.39,['菠萝'],0,true,0,香水菠萝新鲜孕妇应季水果手撕凤梨现摘云南,味道不错的小店
4.6,-4.84,4.3,-9.62,4.4,-7.89,https://img.alicdn.com/imgextra/i1/45557557/O1CN01dGG9iG25h9fufyuOO_!!0-saturn_solar.jpg,0,621112003876,云南 昆明,36.80,,['菠萝'],0,true,0,云南香水菠萝新鲜当季水果手撕小菠萝应季整,小q衣柜
4.6,-3.84,4.5,-4.72,4.6,-4.65,https://img.alicdn.com/imgextra/i4/121857913/O1CN01EUQJ1O28KCfYR7ApU_!!0-saturn_solar.jpg,0,616676418126,广东 中山,133.80,86.97,['菠萝'],0,true,0,中山正宗神湾菠萝特级大果正宗中山5斤送刀,梦联网
5.0,100.00,4.5,-4.66,4.7,-2.52,https://img.alicdn.com/imgextra/i1/110034856/O1CN01R30uYf1lk5tv8DcuU_!!0-saturn_solar.jpg,0,620631299808,广东 广州,30.80,,['菠萝'],0,true,0,徐闻新鲜水果 包邮10斤香水小菠萝 当季,tb_3547680
4.1,-15.26,3.5,-25.41,3.9,-18.61,https://img.alicdn.com/imgextra/i1/129036280/O1CN01fmBmmz1wGHthDkRke_!!0-saturn_solar.jpg,0,620732931908,广西 南宁,25.90,,['菠萝'],0,true,0,新鲜水果 凤梨 菠萝 包邮 10水果菠萝菠萝蜜,儒家之乡
4.5,-6.06,4.3,-9.67,4.4,-8.35,https://img.alicdn.com/imgextra/i2/769940182/O1CN018Xb6MZ1DDOgsF7MgK_!!0-saturn_solar.jpg,0,619034467051,云南 红河,18.50,,['菠萝'],0,true,0,云南河口小菠萝10斤香水甜脆菠萝新鲜热带水,闷闷的好可爱
4.8,19.06,4.8,37.12,4.8,21.24,https://img.alicdn.com/imgextra/i1/1216540032/O1CN01RYfjJ21C6hHMhpyn7_!!0-saturn_solar.jpg,0,620294304590,广西 桂林,38.06,,['菠萝'],0,true,0,广东徐闻菠萝新鲜热带水果当季包邮10斤迷你,王二小蔬果店
5.0,100.00,4.5,-4.66,4.7,-2.52,https://img.alicdn.com/imgextra/i1/110034856/O1CN012lsaJ51lk5ttNETT7_!!0-saturn_solar.jpg,0,620367834120,广东 广州,30.70,,['菠萝'],0,true,0,徐闻香水小 菠萝新鲜水果包邮 当季 10斤,tb_3547680
4.1,-15.26,3.5,-25.41,3.9,-18.61,https://img.alicdn.com/imgextra/i1/129036280/O1CN01FIJOCf1wGHtkZCwd0_!!0-saturn_solar.jpg,0,614094957793,广西 南宁,55.00,,['菠萝'],0,true,0,糖心大菠萝水果新鲜当季整带箱10斤凤梨波萝,儒家之乡
4.7,-1.42,4.7,-1.35,4.7,-1.20,https://img.alicdn.com/imgextra/i4/29164864/O1CN013l9xkz1lnl1dFdc83_!!0-saturn_solar.jpg,0,547376018309,四川 成都,7.50,5.40,['菠萝'],43,true,1,菠萝夹削菠萝神器菠萝工具凤梨夹菠萝去眼夹,longwang1990
4.6,-3.15,4.4,-6.48,4.6,-4.62,https://img.alicdn.com/imgextra/i1/1120790012/O1CN01aaEs1Q1BxXMBmZte0_!!0-saturn_solar.jpg,0,616533096852,北京,50.60,22.77,['菠萝'],3,true,0,西域美农云南蜜香菠萝新鲜当季新鲜水果手撕,你老公押你
4.6,-4.05,4.5,-6.13,4.5,-5.64,https://img.alicdn.com/imgextra/i4/731540171/O1CN01uFM9hT1D8MKgce631_!!0-saturn_solar.jpg,1,620186043431,四川 成都,49.00,46.55,['菠萝'],0,true,0,包邮海南金菠萝香菠萝新鲜水果带箱大菠萝,星丽农旗舰店
4.7,-0.61,4.8,18.75,4.7,-0.98,https://img.alicdn.com/imgextra/i3/1036230115/O1CN018gIm4E1Cii9T8oJzj_!!0-saturn_solar.jpg,1,619660105384,四川 成都,49.00,46.55,['菠萝'],0,true,0,包邮海南金菠萝香菠萝凤梨新鲜水果带箱大菠,鲜如遇旗舰店
4.8,0,4.7,-0.71,4.8,0,https://img.alicdn.com/imgextra/i3/20809978/O1CN01FF2whG2NZyWwADTZC_!!0-saturn_solar.jpg,0,573856932144,广东 东莞,7.80,3.90,['菠萝'],1620,true,1,菠萝削去皮器挖眼弯刀甘蔗夹子刀去眼器,gouwu360
