dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.9,46.61,4.9,58.52,4.9,48.05,https://img.alicdn.com/imgextra/i3/283620171/O1CN012r1yNO1D8MKbFuZ98_!!0-saturn_solar.jpg,0,618783845392,云南 大理,188.00,159.80,['葡萄'],4,true,0,晴王云南阳光玫瑰葡萄青印香提 提子新鲜当,tb1768520582
4.8,20.56,4.8,11.75,4.8,21.05,https://img.alicdn.com/imgextra/i1/505130183/O1CN01veC1eQ1DDr560LpT3_!!0-saturn_solar.jpg,0,618643735795,山东 临沂,5.80,,['葡萄'],203,true,1,巨峰葡萄树苗盆栽四季结果大蓝宝石南北方种,绿之春
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/352420146/O1CN016p4ONm1CwuQkemz2h_!!0-saturn_solar.jpg,0,617369837475,山东 潍坊,160.00,99.00,['葡萄'],6,true,0,新鲜酿酒葡萄20斤包邮山葡萄赤霞珠,后韵美纳旗健店
4.8,0,4.7,-1.12,4.8,-1.02,https://img.alicdn.com/imgextra/i2/1106170186/O1CN01xbqaNC1DFEGY1kTF5_!!0-saturn_solar.jpg,0,616536455996,广西 玉林,15.00,,['葡萄'],11,true,0,葡萄树苗 巨峰葡萄夏黑提子苗 南方北方果,广西宏森农业
4.9,46.97,4.9,59.91,4.9,54.89,https://img.alicdn.com/imgextra/i4/88431516/O1CN01tHE3yH1N4N1z303kr_!!0-saturn_solar.jpg,0,556192312959,山东 潍坊,9.50,,['葡萄'],1,false,0,葡萄专用拉穗剂 葡萄果穗拉长 葡萄拉穗,w5251758wamg
4.9,40.21,4.8,38.13,4.9,48.05,https://img.alicdn.com/imgextra/i2/1098200029/O1CN01Z3Gvc01C5K59KqyoT_!!0-saturn_solar.jpg,0,616025906308,江苏 苏州,39.00,,['葡萄'],111,true,0,葡萄树苗南方种植红提子苗盆栽地栽阳台北方,凡诺苗木场
4.8,23.87,4.8,2.71,4.8,20.95,https://img.alicdn.com/imgextra/i1/1975454103/O1CNA1qcEbU8100daa8007170b0fe3050013_!!1-0-picassodesign.jpg,1,597865379383,四川 成都,60.00,29.80,['葡萄'],4,true,0,齐力三色葡萄干300g新疆特产吐鲁番黑加,齐力旗舰店
4.8,0,4.8,12.74,4.8,17.84,https://img.alicdn.com/imgextra/i1/119726858/O1CN01l0Vyi620X0mIbqRBp_!!0-saturn_solar.jpg,0,599756240034,新疆 吐鲁番,62.00,29.90,['葡萄'],44,true,0,5斤新货葡萄干新疆特级超大免洗吐鲁番无核,48033626葡萄干
4.8,12.65,4.8,3.54,4.8,13.09,https://img.alicdn.com/imgextra/i3/116710448/O1CN01NCb4j91FBE2m29cFJ_!!0-saturn_solar.jpg,0,547940340833,新疆 吐鲁番,19.00,10.90,['葡萄'],1194,true,1,新疆吐鲁番特产自然晾晒紫玫瑰葡萄干火焰山,旅丶行
4.8,7.66,4.9,61.65,4.9,26.00,https://img.alicdn.com/imgextra/i1/131083026/O1CN01RFaWLj1YDx6S4LrCa_!!0-saturn_solar.jpg,1,582428682414,广东 东莞,238.00,79.00,['葡萄'],37,true,0,杜高优根大量元素高氮型促根提苗套餐蔬菜草,杜高绿植旗舰店
4.7,-1.96,4.7,-1.36,4.7,-1.11,https://img.alicdn.com/imgextra/i1/128930174/TB2py4dmN1YBuNjy1zcXXbNcXXa_!!0-saturn_solar.jpg,0,566125119004,江苏 徐州,45.00,,['葡萄'],168,true,0,15年葡萄树苗萄葡树苗水果树苗南方北方种植,新沂市云云苗木有限公司
4.8,16.06,4.7,-1.22,4.8,11.51,https://img.alicdn.com/imgextra/i3/46244968/O1CN01tmv9zz1mZOG4ZvVky_!!0-saturn_solar.jpg,0,618779188928,浙江 杭州,89.00,,['葡萄'],1,true,0,浦江巨峰葡萄现摘精品葡萄无公害孕妇新鲜应,jyr跃荣
4.8,-1.00,4.7,-1.30,4.8,-1.04,https://img.alicdn.com/imgextra/i1/124550050/O1CN01WONDyZ1CEwNQ4w3n8_!!0-saturn_solar.jpg,0,606531609635,浙江 台州,4.50,,['葡萄'],4,true,1,喷雾器喷头雾化农用葡萄猕猴桃拉花雾化喷头,上元行
4.8,0,4.7,-0.56,4.8,0,https://img.alicdn.com/imgextra/i1/43228857/O1CN01eImjEw2FIYUign944_!!0-saturn_solar.jpg,0,25390992480,新疆 乌鲁木齐,55.00,27.50,['葡萄'],96,true,0,葡萄干 新疆 特级 超大免洗500g 无添加果干,优优e站
