dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.3,-9.20,3.9,-16.65,4.2,-12.55,https://img.alicdn.com/imgextra/i4/41397088/O1CN01W03Slt22ELuw8RZNP_!!0-saturn_solar.jpg,0,619412507717,上海,176.00,105.60,['蓝莓'],0,true,0,怡颗莓蓝莓新鲜时令孕妇水果宝宝辅食进口蓝,随缘16587
4.8,12.48,4.7,-0.71,4.8,0.64,https://img.alicdn.com/imgextra/i1/35293863/O1CN01LGIHvT1ePIaUxfUhf_!!0-saturn_solar.jpg,0,603950636473,北京,245.00,135.00,['蓝莓'],38,true,0,原味蓝莓干 东北野生无添加无糖渍烘干蓝莓,junjundaxia1
4.9,70.51,4.9,70.57,4.9,71.95,https://img.alicdn.com/imgextra/i1/1057420075/O1CN01Vj9d901CQOJQQDgXZ_!!0-saturn_solar.jpg,1,619348047691,山东 临沂,79.00,39.50,['蓝莓'],189,true,0,1斤装 时令水果当季鲜果水果浆果蓝莓大果,约尚良品旗舰店
4.8,34.53,4.8,47.21,4.8,35.15,https://img.alicdn.com/imgextra/i2/1085030178/O1CN01hLu4GT1DBZ62E9NI0_!!0-saturn_solar.jpg,0,616348170160,上海,35.76,,['蓝莓'],0,true,0,牛轧糖曲奇饼干甜品果干零食小包装原料,三顺_商行
4.8,0,4.8,18.77,4.8,0.93,https://img.alicdn.com/imgextra/i2/54068820/O1CN01Y3Zgc02F1btlXevC9_!!0-saturn_solar.jpg,0,595935693219,江苏 南通,48.80,,['蓝莓'],21,true,0,农场大叔零食果冻炒酸奶风味布丁蓝莓黄桃香,柒号零食
4.9,18.56,4.9,16.79,4.9,23.85,https://img.alicdn.com/imgextra/i1/34014889/O1CN012FG8ke1lzCyLYF2GC_!!0-saturn_solar.jpg,0,585397560101,北京,150.00,120.00,['蓝莓'],12,true,0,保视佳蓝莓叶黄素酯糖果压片儿童学生咀嚼片,爱眼豆豆
4.9,0,4.9,0,4.9,0,https://img.alicdn.com/imgextra/i1/932340042/O1CN01dn0jLq1CBHEY2YKhQ_!!0-saturn_solar.jpg,0,616848036770,浙江 杭州,118.00,66.08,['蓝莓'],0,true,0,428g×2包新疆特产果满天山大礼包混合装休,朋莱商贸
4.8,5.28,4.7,-0.81,4.8,0,https://img.alicdn.com/imgextra/i3/428850091/O1CN01xN4zut1CXieDoJXNC_!!0-saturn_solar.jpg,1,617535412329,山东 济南,99.90,39.90,['蓝莓'],4,true,0,山东新鲜蓝莓水果鲜果现摘现发国产天然4盒,农华田园旗舰店
4.9,40.47,4.8,37.22,4.9,43.53,https://img.alicdn.com/imgextra/i1/116448443/O1CN01v6KNEq2CEwa1VtsN1_!!0-saturn_solar.jpg,0,577131859454,黑龙江 大兴安岭,79.00,59.80,['蓝莓'],10,true,1,蓝莓干大兴安岭野生蓝莓干 原味无糖无添加,935926jiaolei
4.9,71.53,4.9,80.19,4.9,82.22,https://img.alicdn.com/imgextra/i4/18022394/O1CN01Nm8FcZ1TYUmwwI1rI_!!0-saturn_solar.jpg,0,558454016768,福建 漳州,105.00,65.00,['蓝莓'],5,true,1,促销蓝娃野生蓝莓果干纯素休闲食品蜜饯实大,love小黄
