dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.2,-12.48,3.8,-18.97,3.9,-18.69,https://img.alicdn.com/imgextra/i1/692572391/O1CN01AdL4O21TX7aJLNszr_!!692572391.jpg,0,614463389847,浙江 台州,52.00,,['蜜桔'],9,true,0,橘子新鲜临海涌泉蜜桔无核薄皮黄岩桔子10斤,俏佳人服饰518
4.4,-7.97,4.4,-8.04,4.3,-9.77,https://img.alicdn.com/imgextra/i4/22783456/O1CN01AUUI8d1bOtOBiSkFZ_!!0-saturn_solar.jpg,0,600827195619,广东 广州,39.80,,['蜜桔'],6,true,0,3斤包邮新鲜海南小金桔酸青金桔柠檬青桔5,kuang35
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i4/27404761/O1CN01ssGo4Y1l2aH9kBvPL_!!2-saturn_solar.png,0,620682520680,广东 河源,76.00,,['蜜桔'],0,true,0,河源连平上坪鹰嘴桃新鲜现摘水蜜桃当季红心,一直都很乖5
4.8,22.73,4.7,-1.77,4.8,0,https://img.alicdn.com/imgextra/i2/1140720060/O1CN01PujWUl1CJWN6FYUwI_!!2-saturn_solar.png,1,620910073451,湖南 湘西,125.00,29.90,['蜜桔'],3,true,0,湘西黄桃整箱5斤新鲜水果烘焙糖水黄桃零食,韵莱农业生鲜旗舰店
4.7,-1.78,4.5,-5.27,4.6,-2.81,https://img.alicdn.com/imgextra/i2/673060096/O1CN01VayWdg1Ca0d5p2zlM_!!0-saturn_solar.jpg,1,620290886327,江苏 无锡,188.00,158.00,['蜜桔'],723,true,0,10只 正宗无锡阳山水蜜桃6两特大果顺丰包邮,鲜晟季旗舰店
4.8,20.60,4.8,17.18,4.8,23.38,https://img.alicdn.com/imgextra/i1/27926453/O1CN01Ch2ehU1xXWPz5g6sg_!!0-saturn_solar.jpg,0,619725944440,新疆 乌鲁木齐,78.00,68.00,['蜜桔'],52,true,1,冰糖雪梨瓜冰糖蜜瓜新疆哈密瓜火焰蜜瓜甜瓜,gxl3296207
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i4/115595999/O1CN0136czBe1uBabaQHlhx_!!2-saturn_solar.png,0,620831493956,福建 宁德,58.80,,['蜜桔'],0,true,0,正宗福建古田水蜜桃子应季水果现采现发新鲜,amwuwxfj
4.9,52.51,4.8,40.75,4.9,54.81,https://img.alicdn.com/imgextra/i1/1113310156/O1CN01WDyl1T1D1UOW9QeUC_!!0-saturn_solar.jpg,1,618468062921,新疆 吐鲁番,139.00,39.80,['蜜桔'],70,true,0,新疆哈密瓜10斤新鲜水果蜜瓜吐鲁番一整箱,妙多滋旗舰店
4.7,-0.69,4.7,-1.17,4.7,-1.02,https://img.alicdn.com/imgextra/i1/508120097/O1CN01cyTBZo1CaT0y0duxm_!!0-saturn_solar.jpg,1,616363041639,海南 海口,39.00,9.90,['蜜桔'],3238,true,0,青柠檬 新鲜 海南青柠檬新鲜免邮青柠檬小一,果地香旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1222380053/O1CN0107NbWh1CGJb8JIFYJ_!!0-saturn_solar.jpg,0,621086727041,山东 临沂,21.80,,['蜜桔'],0,true,0,现摘现发沂蒙山黄心油桃4号应季新鲜水果脆,tb547472044
4.8,9.71,4.8,20.21,4.8,16.97,https://img.alicdn.com/imgextra/i2/124642989/O1CN01D1e0JT1Xx0Ru4018x_!!0-saturn_solar.jpg,0,570133092416,山东 临沂,49.80,36.80,['蜜桔'],25,true,0,蒙阴黄桃桃子水果新鲜现摘现发孕妇鲜果沂蒙,t_1482593349608_030
4.6,-4.20,4.4,-7.19,4.5,-5.63,https://img.alicdn.com/imgextra/i2/120349015/O1CN01P0r24H2GSv8e4e5iq_!!0-saturn_solar.jpg,1,619868703918,陕西 渭南,89.80,19.90,['蜜桔'],1242,true,0,陕西早酥梨10斤梨子新鲜水果应当季皇冠脆梨,甘福园旗舰店
5.0,100.00,4.8,18.77,5.0,100.00,https://img.alicdn.com/imgextra/i1/1673406089989750136/TB2Q6pDX..jyKJjy0FpXXX2wVXa_!!0-saturn_solar.jpg,0,618363609586,湖南 郴州,45.00,,['蜜桔'],0,true,0,东江湖蜜桔预售中,东江湖风味馆
4.1,-13.82,3.7,-21.59,4.0,-16.97,https://img.alicdn.com/imgextra/i4/178030011/O1CN01DjlFEb1Bx4xWvEZGa_!!0-saturn_solar.jpg,0,619034791753,新疆 乌鲁木齐,29.90,,['蜜桔'],0,true,0,新鲜椪柑桔子清江橘子芦柑10斤5斤当季水果,退伍兵在家创业
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1250120147/O1CN01Q8sTFV1CxMpQQH4bk_!!0-saturn_solar.jpg,0,620880621004,云南 昆明,39.70,,['蜜桔'],0,true,0,水果当季新鲜薄皮丑柑蜜桔柑橘10沃丑无籽甜,御品一园舰旗店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1250120147/O1CN01suPqKh1CxMpUNLDhE_!!0-saturn_solar.jpg,0,621154490066,广西 钦州,39.70,,['蜜桔'],0,true,0,巧妇九妹广西皇帝柑贡柑水果新鲜应季带箱10,御品一园舰旗店
4.1,-13.82,3.7,-21.59,4.0,-16.97,https://img.alicdn.com/imgextra/i4/178030011/O1CN01GDpI6e1Bx4xWXwlwP_!!0-saturn_solar.jpg,0,618991845331,陕西 西安,25.80,,['蜜桔'],0,true,,正宗广西武鸣沃柑新鲜水果当季整箱蜜桔砂糖,退伍兵在家创业
4.8,5.42,4.7,-1.73,4.7,-0.88,https://img.alicdn.com/imgextra/i2/556410051/O1CN015g4f8N1CFOnuP8t8y_!!0-saturn_solar.jpg,0,606456646745,广西 玉林,59.00,18.80,['蜜桔'],394,true,0,香水柠檬奶茶店专用青柠檬无籽皮薄多汁现摘,四千金鲜果
4.8,-2.18,4.7,-3.73,4.8,-2.25,https://img.alicdn.com/imgextra/i3/15395289/O1CN01CwzSTC1owPOlnpF8H_!!0-saturn_solar.jpg,0,618197095974,四川 成都,185.00,99.90,['蜜桔'],215,true,0,四川龙泉水蜜桃现摘新鲜水果5斤空运包邮撕,疯流yytt看客
4.8,29.14,4.7,0,4.8,22.08,https://img.alicdn.com/imgextra/i4/130653231/O1CN01iMnqXl1ZjqIM5uyg3_!!0-saturn_solar.jpg,0,615746864105,山东 济南,13.80,9.90,['蜜桔'],70,true,0,买2斤发3斤新鲜蒲公英野生现挖包邮带根嫩,帅哥不帅124
4.8,-0.84,4.7,-1.28,4.7,-2.13,https://img.alicdn.com/imgextra/i2/1209110084/O1CN010jgd0r1CUVsFnlXwU_!!0-saturn_solar.jpg,0,619369412457,海南 海口,60.91,9.90,['蜜桔'],4,true,0,海南小青金桔新鲜青柠檬奶茶店夏天冷饮专用,tb919240636
5.0,100.00,4.9,70.46,5.0,100.00,https://img.alicdn.com/imgextra/i2/266640020/O1CN017g7OK61C1CWp9fqzn_!!0-saturn_solar.jpg,0,619957942190,云南 红河,99.90,,['蜜桔'],11,true,0,云南阳光玫瑰夏音葡萄提子现摘现发3斤空运,tb872636465
4.7,-2.32,4.5,-5.02,4.6,-3.13,https://img.alicdn.com/imgextra/i4/111287102/O1CN01aDDEPE22KlRkmBdUs_!!0-saturn_solar.jpg,0,597136816461,广西 南宁,70.00,40.00,['蜜桔'],24,true,0,泰国进口红肉菠萝蜜果肉饱满香甜美味诱人,天龙农庄
4.8,-0.58,4.7,0,4.8,0,https://img.alicdn.com/imgextra/i2/131172462/O1CN01Xm9xBy1U3diVJzAoc_!!0-saturn_solar.jpg,0,619668423858,海南 海口,47.80,,['蜜桔'],2,true,0,坏果包赔海南热带水果鲜新菠萝蜜,奇良8888
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1251000180/O1CN01kmqEDq1DCTtnPmbWJ_!!0-saturn_solar.jpg,0,620304340901,山东 滨州,58.80,29.90,['蜜桔'],22,true,0,现摘提子新鲜当季水果孕妇4斤整箱包邮非无,tianxian12324
4.9,61.36,4.8,40.43,4.9,55.74,https://img.alicdn.com/imgextra/i1/115027888/O1CN01RZf0oD288klzcJtgj_!!0-saturn_solar.jpg,1,583116904233,广东 深圳,5088.00,4888.00,['蜜桔'],7,true,0,一哥鲍鱼溏心鲍鱼大盆菜佛跳墙加热即食10,一哥鲍鱼旗舰店
4.5,-6.07,4.4,-8.78,4.4,-7.64,https://img.alicdn.com/imgextra/i2/117207977/O1CN01D1HPnz28nW1ZDyZPQ_!!0-saturn_solar.jpg,1,540965240354,海南 三亚,158.00,35.80,['蜜桔'],7955,true,0,发货快 价更优 海南新鲜黄肉菠萝蜜爆甜大果,六井旗舰店
4.6,-3.44,4.4,-7.74,4.6,-4.48,https://img.alicdn.com/imgextra/i1/1176190053/O1CN01C3ZG7V1CGJaqq384M_!!0-saturn_solar.jpg,0,618450502516,广西 南宁,35.64,,['蜜桔'],12,true,,广西沃柑果园直供武鸣橘子10斤新鲜包邮当季,鲜家味道
4.8,19.88,4.7,0,4.8,19.66,https://img.alicdn.com/imgextra/i3/52417870/O1CN01YWHLC6280VdmaUvrl_!!0-saturn_solar.jpg,0,529237734597,北京,218.00,138.00,['蜜桔'],15,true,0,北京水蜜桃水果新鲜 水蜜桃桃子毛桃12个装,vv宝贝z
4.7,-2.39,4.4,-7.45,4.6,-4.11,https://img.alicdn.com/imgextra/i2/44193007/O1CN01H010cd1Y5FZ2pFIMy_!!0-saturn_solar.jpg,0,580189772790,广西 崇左,85.00,55.00,['蜜桔'],4,true,0,泰国进口红肉菠萝蜜红心菠萝蜜榴莲蜜精选大,八十后女生
5.0,100.00,4.9,70.46,5.0,100.00,https://img.alicdn.com/imgextra/i1/266640020/O1CN01JOgq9i1C1CWgpSC6H_!!0-saturn_solar.jpg,0,619196385139,云南 红河,49.90,,['蜜桔'],28,true,0,云南水蜜桃毛桃非鹰嘴 大果新鲜水果现摘现,tb872636465
4.7,-2.08,4.6,-4.16,4.6,-3.50,https://img.alicdn.com/imgextra/i4/128668191/O1CN01aqA3Aq2ANWmLEPaHA_!!0-saturn_solar.jpg,1,619608790903,湖北 宜昌,88.80,19.80,['蜜桔'],1067,true,0,特早熟云南蜜桔子橘子水果皇帝柑整箱 顺丰,蓝君旗舰店
4.9,86.36,4.9,78.81,4.9,86.73,https://img.alicdn.com/imgextra/i1/1145870076/O1CN01En2Uiz1CQqhyGY3dd_!!0-saturn_solar.jpg,0,617578276021,山东 烟台,198.00,138.80,['蜜桔'],58,true,0,山东大樱桃水果新鲜当季烟台樱桃5斤整箱孕,册兴贯水果
