dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i1/113246564/O1CN01ynQY4c1yMMNigyCLV_!!0-saturn_solar.jpg,0,619674810590,湖北 天门,52.90,37.03,['西瓜'],1,true,0,湖北特产4k麒麟西瓜5-6斤新鲜当季水果,黑子的篮球杰
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1216650067/O1CN01a7KuCT1CMj8oFUq3U_!!0-saturn_solar.jpg,0,617986491455,北京,65.00,,['西瓜'],70,true,0,大兴庞各庄小西瓜一箱3-4个约14斤冰糖,tb962731966
4.8,5.15,4.8,0,4.8,0,https://img.alicdn.com/imgextra/i2/123355463/O1CN01OQebJW1qE6IE6ZoE1_!!0-saturn_solar.jpg,1,565049189525,山东 潍坊,128.90,39.90,['西瓜'],75,true,0,羊角蜜甜瓜新鲜当季应季孕妇水果5斤包邮小,农巴老旗舰店
4.7,-1.49,4.8,19.66,4.9,51.26,https://img.alicdn.com/imgextra/i3/217000200/O1CN01njKR1C1DLdonVlSBO_!!0-saturn_solar.jpg,0,593832009978,浙江 台州,0.14,,['西瓜'],0,false,0,哈密瓜托香瓜托加厚型瓜垫西瓜托瓜农用瓜托,lqqt888
4.7,-2.10,4.7,-2.02,4.7,-1.89,https://img.alicdn.com/imgextra/i4/28650163/TB2_Wipk4PI8KJjSspoXXX6MFXa_!!0-saturn_solar.jpg,0,520901368438,江苏 宿迁,6.25,4.99,['西瓜'],122,true,1,正宗黑美人西瓜种子种籽特大四季小无籽京欣,大掌柜小马
4.9,40.78,4.9,44.86,4.9,35.01,https://img.alicdn.com/imgextra/i3/213230107/O1CN01uWCMo01Cf2y0KlxrC_!!0-saturn_solar.jpg,0,610683970068,山东 滨州,13.00,6.50,['西瓜'],28,true,1,草莓叉子西瓜叉子压苗叉育苗叉固定叉压蔓神,杨志国227
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/925970189/O1CN01RW4VKa1DGbSk7aa1t_!!0-saturn_solar.jpg,0,619093520860,江苏 盐城,79.90,64.90,['西瓜'],0,true,0,红心k西瓜超脆甜沙瓤孕妇果类当季新鲜水果,ymandls
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/117736310/O1CN01j2xiAb1wU1m0U4fZu_!!0-saturn_solar.jpg,0,616996320603,福建 南平,168.00,59.90,['西瓜'],0,true,0,特色新鲜拇指西瓜水果可吃迷你网红小西瓜绿,z15159573618
4.4,-7.57,4.3,-10.17,4.3,-9.11,https://img.alicdn.com/imgextra/i3/34296526/O1CN01C770dK1y4xKLcReO1_!!0-saturn_solar.jpg,0,615953568900,陕西 渭南,23.80,10.80,['西瓜'],840,true,0,陕西新鲜当季现摘孕妇水果时令甜脆毛桃水蜜,秘密城堡张博
4.7,-1.15,4.6,-2.61,4.7,-1.47,https://img.alicdn.com/imgextra/i1/120777457/O1CN01YWI3J824xM4E9bPN5_!!0-saturn_solar.jpg,0,616387626265,湖北 宜昌,25.00,19.88,['西瓜'],1160,true,0,超甜特小凤黄心西瓜净重3斤以上包邮皮薄香,三峡滋味
