dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.9,68.92,4.8,49.51,4.9,56.01,https://img.alicdn.com/imgextra/i4/109972170/O1CN01T3B1W11Rtu4SlX7Ku_!!0-saturn_solar.jpg,0,527157231710,广东 广州,700.00,555.00,['车厘子'],40,true,1,日本北海道谷宗进口干贝元贝瑶柱碎深海野生,williambuy2
4.8,20.78,4.8,12.60,4.8,24.29,https://img.alicdn.com/imgextra/i3/123835770/O1CN01ePw7my1sUhsr2vJxJ_!!0-saturn_solar.jpg,0,550260462492,河北 保定,8.86,8.80,['车厘子'],341,false,1,"3斤包邮,驴肉焖子河北保定特产特色风味驴",河北特产生活馆
4.9,72.73,4.6,-3.88,4.7,-1.11,https://img.alicdn.com/imgextra/i2/107738017/O1CN01S9oxCs295prhhbD2m_!!0-saturn_solar.jpg,0,618614674945,宁夏 银川,58.00,,['车厘子'],16,true,0,灵武长枣宁夏长红枣3斤新鲜枣子脆枣冬枣当,宁夏大米农家店
4.9,59.96,4.8,37.79,4.9,74.03,https://img.alicdn.com/imgextra/i1/123042901/O1CN01WshYT41XIhak5pHWO_!!0-saturn_solar.jpg,0,617630736318,辽宁 大连,158.00,,['车厘子'],28,true,0,大连金州七顶山沙蜜豆樱桃水果新鲜顺丰邮车,mrfan921
4.9,61.10,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/26018782/O1CN01zVLEQW2EkCqalFFRg_!!0-saturn_solar.jpg,0,612839447177,山东 潍坊,59.00,,['车厘子'],0,true,0,山东大樱桃樱桃美早樱桃车厘子孕妇水果有机,月亮湾的猫眼石
4.6,-4.08,4.4,-7.64,4.5,-5.47,https://img.alicdn.com/imgextra/i2/467370108/O1CN01yMe1vx1CfVN8RfLkJ_!!0-saturn_solar.jpg,0,601532543922,广东 阳江,20.80,,['车厘子'],31,false,0,海陵岛珍珠马蹄去皮荸荠 新鲜小马蹄肉椰子,蓝色小精灵飘也
4.8,20.99,4.8,12.31,4.8,19.98,https://img.alicdn.com/imgextra/i1/114473365/O1CN010sTdkB1ajDMfMyY8w_!!0-saturn_solar.jpg,0,618423736360,四川 成都,598.00,228.00,['车厘子'],30,true,0,美国进口车厘子黑珍珠jjjj礼盒装樱桃新,弘正天商贸有限公司
4.8,21.92,4.7,-0.94,4.8,4.39,https://img.alicdn.com/imgextra/i4/159930017/O1CN010Vct4C1BzpL9f42Cx_!!0-saturn_solar.jpg,0,589194803709,辽宁 大连,218.00,198.00,['车厘子'],211,true,1,大连樱桃大车厘子樱桃现货新鲜当季美早水果,无言j521
4.9,77.80,4.9,74.12,5.0,100.00,https://img.alicdn.com/imgextra/i2/205310115/O1CN01USmMPq1Cii9dNqsDz_!!0-saturn_solar.jpg,0,616101211331,辽宁 大连,84.90,,['车厘子'],30,true,0,大连美早大樱桃车厘子当季现摘水果新鲜,时间按秒过
4.9,68.92,4.8,49.51,4.9,56.01,https://img.alicdn.com/imgextra/i1/109972170/O1CN0184B9JX1Rtu4KOFhKl_!!0-saturn_solar.jpg,0,526961567186,广东 广州,900.00,388.00,['车厘子'],10,true,1,进口日本北海道瑶柱干贝元贝野生深海正品干,williambuy2
4.9,52.50,4.8,6.22,4.8,41.49,https://img.alicdn.com/imgextra/i1/640730169/O1CN01im91vJ1D7RXc5n5CL_!!0-saturn_solar.jpg,1,607681003016,四川 成都,549.90,229.90,['车厘子'],193,true,0,美国Santina车厘子 甜脆 4J级大果礼盒装,伶俐果匠旗舰店
4.9,55.20,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/901870031/O1CN01iVHXgl1C6Es2pjWMI_!!0-saturn_solar.jpg,0,613328825720,辽宁 大连,125.00,,['车厘子'],0,true,0,现货现发精品大连美早大樱桃车厘子新鲜特甜,东全福水果店
4.5,-5.56,4.2,-10.62,4.5,-6.46,https://img.alicdn.com/imgextra/i3/129663727/O1CN013EtKZ21dP0kF2GVCK_!!0-saturn_solar.jpg,0,621432843764,山东 烟台,139.00,99.00,['车厘子'],0,false,0,美早新鲜现货大樱桃车厘子5斤顺丰包邮黑珍,七籽农业
4.7,-2.06,4.4,-7.31,4.6,-4.27,https://img.alicdn.com/imgextra/i3/1017170077/O1CN01Svvp6X1CRJ6WRo7VE_!!0-saturn_solar.jpg,0,616433624031,广东 深圳,225.80,,['车厘子'],0,true,0,巴西进口原切牛腱子6斤装牛腿肉进口牛腱子,果粮冷冻食品铺
4.9,66.77,4.9,64.50,4.9,71.70,https://img.alicdn.com/imgextra/i3/108827576/O1CN01L1EOQO25prCcczZha_!!0-saturn_solar.jpg,0,537375421207,上海,1200.00,768.00,['车厘子'],5,true,1,润仙岛日本北海道原装进口干贝元贝瑶柱深海,williamhk2
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/175690092/O1CN012VHw7n1CYB2nLezCY_!!0-saturn_solar.jpg,0,620553721035,四川 雅安,98.60,,['车厘子'],35,true,0,黑珍珠车厘子大樱桃汶川汉源樱桃新鲜水果,小兵阿gen
4.8,17.01,4.7,-1.30,4.8,0,https://img.alicdn.com/imgextra/i3/188580095/O1CN01x6I2kz1CZYEZUKur0_!!0-saturn_solar.jpg,0,620208422115,甘肃 天水,118.00,,['车厘子'],452,true,0,顺丰包邮甘肃天水套袋大樱桃现货5斤新鲜水,tb73902350
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/836760116/O1CN01bPjFQp1CjAXtRdcbl_!!0-saturn_solar.jpg,0,612481999996,辽宁 大连,218.00,168.00,['车厘子'],15,true,0,大连樱桃顺丰包邮车厘子新鲜当季美早大樱桃,tb530428022
4.9,80.83,4.9,72.92,4.9,74.57,https://img.alicdn.com/imgextra/i4/132691163/O1CN01rv0FwZ1KShEUyC5NN_!!0-saturn_solar.jpg,0,568846039064,上海,150.00,138.00,['车厘子'],75,true,1,野生黄鳝2斤鳝丝新鲜活体现杀去骨响油鳝糊,llj65wdm
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/47331519/O1CN019PoO1l1N5kELsAMLI_!!0-saturn_solar.jpg,0,620487016213,辽宁 大连,69.00,,['车厘子'],15,true,0,大连樱桃红灯超甜大樱桃车厘子顺丰包邮纯绿,李冰浩888
4.9,72.43,4.9,57.16,4.9,73.17,https://img.alicdn.com/imgextra/i1/55395259/O1CN01dDXIal1oifVuWMwph_!!0-saturn_solar.jpg,0,38728822983,广东 东莞,10.50,,['车厘子'],132,true,0,海南青金桔小青桔小青橘(满5斤包邮),xne1982
4.7,-0.86,4.7,-1.94,4.8,-0.68,https://img.alicdn.com/imgextra/i4/110874407/O1CN0194t4mD1iQS4JyZLJ5_!!0-saturn_solar.jpg,0,609776081865,广西 玉林,25.00,17.50,['车厘子'],43,true,0,红心芭乐番石榴新鲜水果孕妇吃5斤包邮香甜,百香果798
