dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,12.88,4.7,0,4.8,15.22,https://img.alicdn.com/imgextra/i2/117565222/O1CN01IFGDRP1oRiktFDOSq_!!0-saturn_solar.jpg,0,567544374311,浙江 温州,19.90,9.90,['金丝枣'],83,true,0,冲钻特惠山西金丝蜜枣特级包粽子全干有核硬,星祥食品
4.8,14.58,4.8,31.12,4.8,23.20,https://img.alicdn.com/imgextra/i4/13621870/O1CN01wNX31M1PgVEZhWabD_!!0-saturn_solar.jpg,1,603943086282,江苏 苏州,10.00,9.90,['金丝枣'],94,true,0,卜珂新疆灰枣特级免洗若羌灰枣香酥脆枣无核,卜珂巧克力旗舰店
4.9,64.87,4.9,66.55,4.9,67.19,https://img.alicdn.com/imgextra/i3/32276068/O1CN01KmNTvP1uhBvXpyboK_!!0-saturn_solar.jpg,1,36023927484,山西 忻州,349.00,48.00,['金丝枣'],12,true,0,汉唐壶瓶枣礼盒装400g6罐山西特产大,汉唐食品旗舰店
4.8,30.92,4.8,21.66,4.8,26.86,https://img.alicdn.com/imgextra/i3/48318366/O1CN013HiDyq2Bfg41ihef2_!!0-saturn_solar.jpg,0,606161261880,新疆 巴音郭楞,88.00,49.90,['金丝枣'],2380,true,1,新疆若羌灰枣红枣特级原生态红枣未清洗,淘宝卖笑
4.3,-11.27,4.5,-8.91,4.7,-3.35,https://img.alicdn.com/imgextra/i1/29273236/O1CN010NxCcK1Zm8FlhpDPy_!!0-saturn_solar.jpg,0,608508286192,甘肃 白银,68.00,67.80,['金丝枣'],10,true,0,甘肃靖远石门大枣小口干大红枣子特级5斤包,tb6677783
4.8,24.96,4.8,20.20,4.8,31.84,https://img.alicdn.com/imgextra/i2/34904605/O1CN01jv9vCZ1jt8T2U8em1_!!0-saturn_solar.jpg,0,20910491148,陕西 延安,27.10,12.90,['金丝枣'],2067,true,0,黑枣特级大乌枣狗头枣500g包装,枣园红枣老店no2
4.8,40.72,4.8,39.25,4.8,39.90,https://img.alicdn.com/imgextra/i2/16041899/O1CN01ri9u5i1Ptmjk0Xreg_!!0-saturn_solar.jpg,1,536309786929,河南 郑州,99.00,41.90,['金丝枣'],53503,true,0,"好想你大枣gx 2袋煮粥免洗枣骏枣夹
",好想你官方旗舰店
4.8,22.54,4.8,31.18,4.8,25.28,https://img.alicdn.com/imgextra/i4/207960120/O1CN01nIlLhn1Cl07F7qoul_!!0-saturn_solar.jpg,1,601326136527,新疆 吐鲁番,57.70,6.70,['金丝枣'],71624,true,0,新疆若羌特级红枣5斤若羌灰枣一级大红枣,蜜之番旗舰店
4.8,0,4.8,14.34,4.8,5.02,https://img.alicdn.com/imgextra/i1/1087006065822893016/TB2IyomtrFlpuFjy0FgXXbRBVXa_!!0-saturn_solar.jpg,0,553368815269,山东 枣庄,52.00,39.00,['金丝枣'],0,true,0,新疆红枣特产若羌灰枣5斤袋散干果免洗即食,千里之行1983
4.8,29.44,4.8,39.09,4.9,54.22,https://img.alicdn.com/imgextra/i1/50151938/O1CN01Jp9s231QBeAidMRZu_!!0-saturn_solar.jpg,0,606739801783,新疆 阿克苏,134.00,,['金丝枣'],6,true,0,新疆五十团绿糖心冻干龙枣红枣零食香甜软糯,tb0295996_99
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/402890031/O1CN01mrChNP1C6EsOxvMTr_!!0-saturn_solar.jpg,0,610459157989,四川 成都,38.00,,['金丝枣'],1,true,0,星潼家美味纯手工枣夹核桃特产大枣零食休闲,wangxing9989
4.8,6.02,4.8,0,4.8,10.84,https://img.alicdn.com/imgextra/i2/379590003/O1CN01TwDqqQ1BtPnJAQ369_!!0-saturn_solar.jpg,1,618304489386,福建 漳州,73.00,28.90,['金丝枣'],35,true,0,脆香枣酥脆枣无核冬枣大包香酥脆枣零食季枣,榆桐食品专营店
4.8,23.78,4.8,11.78,4.8,23.94,https://img.alicdn.com/imgextra/i2/28546784/O1CN01imzoge1zz7V7eVLsy_!!0-saturn_solar.jpg,0,607768447642,江苏 无锡,78.00,39.00,['金丝枣'],6,true,1,香酥脆枣无核252gX4袋整箱嘎嘣脆沧州,箐1989219
4.8,11.37,4.6,-2.52,4.8,-0.66,https://img.alicdn.com/imgextra/i4/131044621/O1CN016VaQVe1k0Sp52KL8s_!!0-saturn_solar.jpg,0,619737107704,河北 沧州,8.90,,['金丝枣'],10,true,0,新货5斤伊拉克进口黄金椰枣特级阿联酋黑椰,绿然食品82446778
4.8,38.85,4.9,49.35,4.8,40.76,https://img.alicdn.com/imgextra/i1/899052015/O1CNA1jWiZox100da22362c40b0f9bfa000o_!!1-0-picassodesign.jpg,1,582996445941,上海,29.90,25.90,['金丝枣'],318,true,0,禾煜蜜枣400g2包煲汤专用枣类大蜜枣,禾煜旗舰
4.8,24.41,4.8,26.57,4.8,26.59,https://img.alicdn.com/imgextra/i3/95814142/O1CN01XbK9sQ1gT56zdnq2r_!!0-saturn_solar.jpg,1,620666826063,广东 佛山,98.00,29.80,['金丝枣'],27,true,0,鲜肉粽量贩装 赤豆蜜枣粽子肉粽子团购礼品5,艺术大师旗舰店
4.8,24.80,4.7,0,4.8,10.19,https://img.alicdn.com/imgextra/i4/121072632/O1CN01SGe6dX1VJV1vIMdWx_!!0-saturn_solar.jpg,0,550189259347,湖南 益阳,39.60,19.80,['金丝枣'],20,true,0,新疆灰枣5斤2斤阿克苏红枣吊干原生态未清洗,xiaowanghua0964
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/498980080/O1CN01Hmst911CSgHp4Z9Qi_!!0-saturn_solar.jpg,0,610083316719,浙江 绍兴,85.00,65.00,['金丝枣'],2,true,0,浙疆尚品黑椰枣迪拜中东进口免洗大黑椰枣干,浙疆尚品
4.8,10.31,4.8,25.61,4.8,8.15,https://img.alicdn.com/imgextra/i2/110153250/O1CN01jOBxIM1ZsXoTmqjPC_!!0-saturn_solar.jpg,1,617606969081,浙江 金华,19.80,9.90,['金丝枣'],22,true,0,蜜缘百年好合1314新郎新娘枣生贵子喜枣,悦木食品专营店
4.6,-3.06,4.6,-2.14,4.7,-1.38,https://img.alicdn.com/imgextra/i2/1154500198/O1CN01rMAMQy1DKj1Lxck0g_!!0-saturn_solar.jpg,0,618394706461,河北 沧州,9.90,,['金丝枣'],1,true,0,蚂蚁漫步香酥脆枣礼盒装免洗小枣去核灰枣干,tb610844869
4.9,40.67,4.7,0,4.8,20.27,https://img.alicdn.com/imgextra/i4/108408958/O1CN01DkuLpE2G2oYDD23bu_!!0-saturn_solar.jpg,0,604355692015,山西 运城,88.00,,['金丝枣'],83,true,0,山西特产稷山板枣500g5袋特级红枣大枣免洗,邂逅人生910
4.8,30.04,4.8,25.98,4.8,24.73,https://img.alicdn.com/imgextra/i4/44881927/TB2Uk2Ud9MmBKNjSZTEXXasKpXa_!!0-saturn_solar.jpg,1,26910616210,福建 厦门,25.00,17.00,['金丝枣'],26,false,0,绿帝沧州金丝枣 无核枣 金丝小枣/仙枣,绿帝旗舰店
4.7,-1.94,4.6,-2.58,4.7,-1.85,https://img.alicdn.com/imgextra/i3/13116093/O1CN01AU2fGV1usdpnEISZC_!!0-saturn_solar.jpg,0,606875052302,宁夏 银川,25.00,7.90,['金丝枣'],56,true,0,宁夏500g枣孕妇灵武红枣干玉枣,lishang798994
4.8,6.83,4.8,4.89,4.8,14.61,https://img.alicdn.com/imgextra/i4/27482539/O1CN01dAACfZ1Ucu6HWPahv_!!0-saturn_solar.jpg,0,13494697388,福建 厦门,38.70,34.90,['金丝枣'],11,true,0,新疆特产和田贡枣绿帝五星鲜贡枣450g袋包邮,zsy钻食园
4.7,-0.92,4.7,-1.04,4.8,9.69,https://img.alicdn.com/imgextra/i1/59050267/O1CN01nXDCAo1DqKIkWZjUv_!!0-saturn_solar.jpg,0,598177442010,甘肃 张掖,25.00,22.00,['金丝枣'],97,true,0,临泽小枣红枣甘肃特产精选5斤特级免洗金丝,摩柯曼殊
4.8,29.55,4.8,34.04,4.8,30.16,https://img.alicdn.com/imgextra/i1/48608903/O1CN0196aMzg2Fdckwvfasa_!!0-saturn_solar.jpg,0,605042137825,陕西 西安,22.00,16.90,['金丝枣'],112,true,1,香酥脆枣500g无核灰枣酥脆小包装新疆嘎嘣脆,张国良369
4.8,12.96,4.8,19.46,4.8,23.32,https://img.alicdn.com/imgextra/i3/35583234/O1CN01E3XyB31ZlDTtleRxe_!!0-saturn_solar.jpg,0,601218970622,山东 德州,72.50,58.00,['金丝枣'],0,true,1,特级金丝枣小枣礼盒乐陵金丝小枣免洗红枣独,天生胆大321
4.8,-0.71,4.7,0,4.8,-0.62,https://img.alicdn.com/imgextra/i4/107034568/O1CN01beyGWB1jcBpYftqGR_!!0-saturn_solar.jpg,0,594949742980,河北 沧州,11.99,9.99,['金丝枣'],44,true,0,沙特阿拉伯大黑椰枣迪拜阿联酋特级免洗伊朗,tb7741077
4.8,5.14,4.8,7.73,4.8,2.89,https://img.alicdn.com/imgextra/i1/1503706046261332465/TB2wsCNqrFlpuFjy0FgXXbRBVXa_!!0-saturn_solar.jpg,0,538111459728,河北 沧州,70.00,,['金丝枣'],11,true,1,沧州红枣干红枣片新疆脆圈干3斤包邮批发,一帆商店yy
4.8,4.15,4.8,12.61,4.8,11.98,https://img.alicdn.com/imgextra/i3/97701006/O1CN01r4Upov1JIn33ytAtN_!!0-saturn_solar.jpg,1,618656082252,浙江 嘉兴,19.90,9.60,['金丝枣'],1,false,0,满减百草味-脆冬枣35g黄骅脆冬枣无,千牛花食品专营店
4.9,39.23,4.9,46.76,4.9,39.88,https://img.alicdn.com/imgextra/i4/234180194/O1CN01qUyZpF1DItR6hinEx_!!0-saturn_solar.jpg,1,570007645266,上海,40.00,,['金丝枣'],10,false,0,佳宝阿狸山楂南酸枣糕510G无核绿色食品,天猫超市
4.8,38.85,4.9,49.35,4.8,40.76,https://img.alicdn.com/imgextra/i1/899052015/O1CNA1yiN4iB100da223c7080b1b36a1000i_!!1-0-picassodesign.jpg,1,526113535449,上海,29.90,,['金丝枣'],126,true,0,禾煜无核金丝小枣250g3包  河北沧,禾煜旗舰
4.8,14.28,4.8,22.39,4.8,16.18,https://img.alicdn.com/imgextra/i3/50588103/O1CN01LkfpJ529jDvYq2Tyv_!!0-saturn_solar.jpg,0,591182980651,四川 成都,15.80,12.00,['金丝枣'],3,true,1,枣子喜糖散装婚庆早生贵子500g约30颗,chenliangliping
4.8,18.94,4.8,19.90,4.8,30.12,https://img.alicdn.com/imgextra/i3/22335991/O1CN01CMAA821u7vNEp2d6W_!!0-saturn_solar.jpg,0,37217937349,新疆 巴音郭楞,79.00,72.00,['金丝枣'],60,true,0,新疆大枣若羌红枣灰枣红枣干特级1级5斤包邮,desiregreen
4.8,31.60,4.8,42.90,4.9,39.78,https://img.alicdn.com/imgextra/i4/130654656/O1CN012t0DRb1kGUfBGfjFt_!!0-saturn_solar.jpg,0,565768321931,新疆 乌鲁木齐,30.80,28.80,['金丝枣'],211,true,1,和田精品大枣新疆特产特大特级一级散装未洗,尚祥干果
4.8,10.82,4.8,23.79,4.8,13.22,https://img.alicdn.com/imgextra/i4/55456006/O1CN01LWd6hv1uEnNV50mmX_!!0-saturn_solar.jpg,0,598285461011,广东 广州,29.90,19.90,['金丝枣'],1,true,1,若羌红枣3袋装324g新疆特产即食小枣孕妇儿,琳琳08080
4.8,-0.81,4.7,-0.53,4.8,-0.67,https://img.alicdn.com/imgextra/i2/119523606/O1CN01gu31l11cVaohEIUuZ_!!0-saturn_solar.jpg,0,543596896390,江苏 徐州,18.50,,['金丝枣'],11,true,1,阿胶枣无核大红金丝枣阿胶贡枣年货休闲零食,好喜欢食品铺子
4.8,31.26,4.8,35.91,4.8,36.45,https://img.alicdn.com/imgextra/i3/468310185/O1CN017kfcp81DElsBEymM0_!!0-saturn_solar.jpg,0,596647228893,广东 阳江,15.80,,['金丝枣'],201,true,0,蜜枣干货无核蜜枣有核包邮500g广东包粽,养生小店888
4.8,23.48,4.8,30.44,4.8,24.06,https://img.alicdn.com/imgextra/i1/126375750/O1CN019LVMFs1sLXxID0Pu9_!!0-saturn_solar.jpg,1,609216320229,新疆 巴音郭楞,88.00,19.80,['金丝枣'],6273,true,0,19新枣 5斤新疆灰枣大红枣挂干特级若羌,小猕猴采山果旗舰店
4.8,4.05,4.8,10.40,4.8,8.94,https://img.alicdn.com/imgextra/i3/47228855/O1CN01z6AInz2FHdljK0KfJ_!!0-saturn_solar.jpg,0,523790413062,山东 临沂,17.80,7.90,['金丝枣'],536,true,1,无核水晶蜜枣500g 特级大金丝蜜枣粽子,jiangxiuxian
