dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,10.94,4.8,0,4.8,0,https://img.alicdn.com/imgextra/i1/133235649/O1CN01Qg45Vs1rbHxXH3wmk_!!0-saturn_solar.jpg,1,570708954540,上海,12.70,8.90,['金桔'],1845,true,0,海南青金桔青桔新鲜酸橘子非柠檬水果3斤,优沃生活生鲜旗舰店
4.8,10.85,4.8,0,4.8,3.56,https://img.alicdn.com/imgextra/i3/306100078/O1CN01bRRefm1CRlUeQwMYX_!!0-saturn_solar.jpg,1,584425193762,广东 佛山,110.00,15.90,['金桔'],574,true,0,4斤正宗海南小柠檬橘子小金桔小青桔,果无优旗舰店
4.7,-0.98,4.7,-1.58,4.7,-1.37,https://img.alicdn.com/imgextra/i4/508120097/O1CN01Jqqdp21CaT1FnSZAI_!!0-saturn_solar.jpg,1,618011008825,海南 海口,19.00,9.90,['金桔'],156,true,0,海南小青桔青金桔 新鲜金桔柠檬免邮奶茶水,果地香旗舰店
4.9,68.64,4.9,75.55,4.9,69.39,https://img.alicdn.com/imgextra/i1/55395259/O1CN01dDXIal1oifVuWMwph_!!0-saturn_solar.jpg,0,38728822983,广东 东莞,9.80,,['金桔'],77,true,0,海南青金桔小青桔小青橘(不包邮),xne1982
4.8,13.62,4.7,0,4.8,8.36,https://img.alicdn.com/imgextra/i3/167710077/O1CN01Ldql9W1CRJ6LsTL37_!!0-saturn_solar.jpg,0,620004906936,海南 海口,36.90,9.90,['金桔'],4,true,0,海南小青桔新鲜包邮青金桔小金桔新鲜小青柠,晟禾源生态农业
4.8,33.68,4.8,0,4.8,17.70,https://img.alicdn.com/imgextra/i1/1140720060/O1CN01IXEHNQ1CJWMwvf23f_!!2-saturn_solar.png,1,618032187009,湖南 湘西,20.80,15.80,['金桔'],1791,true,0,湖南湘西脐橙保靖黄金橙冰糖橙子纯甜当季新,韵莱农业生鲜旗舰店
4.6,-4.17,4.4,-7.14,4.5,-5.59,https://img.alicdn.com/imgextra/i1/120349015/O1CN01Ngouy62GSv8bngZEq_!!0-saturn_solar.jpg,1,618241721970,海南 海口,38.90,8.80,['金桔'],1152,true,0,海南小金桔9斤 新鲜青金桔柠檬小橘子奶茶店,甘福园旗舰店
4.9,59.53,4.9,68.45,4.9,60.50,https://img.alicdn.com/imgextra/i2/29499669/O1CN01U5QQly2LISA8DKXOY_!!0-saturn_solar.jpg,0,618616195705,贵州 贵阳,88.00,,['金桔'],0,true,0,众冠冰果萃380ml6新鲜金桔柠檬汁百,lovely00lin
4.5,-6.45,4.4,-6.36,4.3,-9.11,https://img.alicdn.com/imgextra/i4/22783456/O1CN01AUUI8d1bOtOBiSkFZ_!!0-saturn_solar.jpg,0,600827195619,广东 广州,39.80,10.80,['金桔'],3,true,0,3斤包邮新鲜海南小金桔酸青金桔柠檬青桔5,kuang35
4.9,68.64,4.9,75.55,4.9,69.39,https://img.alicdn.com/imgextra/i2/55395259/TB2in..zTtYBeNjy1XdXXXXyVXa_!!0-saturn_solar.jpg,0,569813977331,广东 东莞,16.00,,['金桔'],0,true,0,海南新鲜青金桔  小青桔  公孙桔  冷,xne1982
4.8,10.85,4.8,0,4.8,3.56,https://img.alicdn.com/imgextra/i2/306100078/O1CN01BfE7ky1CRlTyRPAwJ_!!0-saturn_solar.jpg,1,613168713507,海南 海口,60.00,10.00,['金桔'],194,true,0,小金桔青金桔柠檬免邮 奶茶水果5斤批发,果无优旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1037170025/O1CN01XXbhnT1C3UVKJrGef_!!0-saturn_solar.jpg,0,614127677829,海南 海口,9.90,,['金桔'],69,false,0,正宗海南青金桔新鲜小青桔小金桔柠檬酸橘5,woai木木110
4.8,29.28,4.8,28.18,4.8,33.00,https://img.alicdn.com/imgextra/i1/132413938/O1CN01k4KEv41exeJMB00Ai_!!0-saturn_solar.jpg,1,610095679076,广东 东莞,26.90,,['金桔'],0,true,0,七口味选广慈冰糖雪梨喉糖金桔柠檬超凉薄荷,广慈食品旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1209110084/O1CN010jgd0r1CUVsFnlXwU_!!0-saturn_solar.jpg,0,619369412457,海南 海口,60.91,9.90,['金桔'],2,true,0,海南小青金桔新鲜青柠檬奶茶店夏天冷饮专用,tb919240636
4.8,34.16,4.8,32.47,4.8,32.35,https://img.alicdn.com/imgextra/i2/11163044/O1CN01iY9QdW1YMCEBRPi2N_!!0-saturn_solar.jpg,0,615270312756,江苏 南京,3.00,,['金桔'],125,false,0,新鲜水果青金桔海南小柠檬常年供应奶茶店饮,今日无梦_2008
4.9,40.61,4.8,4.02,4.9,39.20,https://img.alicdn.com/imgextra/i1/14856249/O1CN018xIswU1w25cZCf5gV_!!0-saturn_solar.jpg,0,569869509915,广东 广州,28.50,,['金桔'],34,false,0,浦城金桔酱 咳就喝点 糖渍野生小金桔,cucara
4.7,-0.98,4.7,-1.58,4.7,-1.37,https://img.alicdn.com/imgextra/i1/508120097/O1CN01cyTBZo1CaT0y0duxm_!!0-saturn_solar.jpg,1,616363041639,海南 海口,39.00,9.90,['金桔'],3628,true,0,青柠檬 新鲜 海南青柠檬新鲜免邮青柠檬小一,果地香旗舰店
4.8,0,4.7,-0.93,4.8,0,https://img.alicdn.com/imgextra/i4/117463737/O1CN01S1EwQY1dTahYwnsPJ_!!0-saturn_solar.jpg,0,536054145499,广东 揭阳,16.90,9.50,['金桔'],122,true,0,甄汇吃沙糖金橘饼冰糖芙蓉 金桔干 蜜,q旋山庄休闲食品
4.7,-1.30,4.8,12.41,4.8,10.51,https://img.alicdn.com/imgextra/i3/300930106/O1CN01WTqNtx1CeaacjDCot_!!0-saturn_solar.jpg,0,611085679152,广西 贺州,10.00,,['金桔'],25,true,0,金桔苗 脆皮金桔树苗 招财桔 嫁接苗 盆,xzp512
4.9,41.13,4.8,49.05,4.9,52.94,https://img.alicdn.com/imgextra/i2/31771128/O1CN01dBZyWd1KCfMotwW2A_!!0-saturn_solar.jpg,0,543110362438,广东 潮州,88.00,38.00,['金桔'],433,true,1,古瀛堂陈年老药桔正宗咸金桔咸柑桔橘九制药,ys创意无限
