dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.5,-5.79,4.3,-10.40,4.4,-7.63,https://img.alicdn.com/imgextra/i3/593830059/O1CN01TW23FG1CJ3yN2h89K_!!0-saturn_solar.jpg,0,612606921296,四川 成都,10.00,,['青枣'],0,true,0,枣树嫁接苗 台湾牛奶大青枣树苗特大南方盆,tb036308747
4.7,-3.14,4.6,-3.27,4.7,-2.75,https://img.alicdn.com/imgextra/i1/130515669/O1CN01k48iHB1rkRsfRP8DJ_!!0-saturn_solar.jpg,0,610032615648,广西 钦州,18.00,,['青枣'],8,true,0,香蕉树苗粉蕉苗皇帝蕉苗香蕉苗红香蕉苗,开金2009
4.7,-2.76,4.6,-2.90,4.7,-2.26,https://img.alicdn.com/imgextra/i2/132124759/O1CN011l1fLQHa9jEyB33_!!0-saturn_solar.jpg,0,569060955241,广西 玉林,30.00,11.82,['青枣'],27,true,0,荔枝树苗嫁接果树苗包邮 妃子笑荔枝苗 桂,广西鸿图苗木
4.9,44.18,4.8,24.73,4.8,29.66,https://img.alicdn.com/imgextra/i4/1114020053/O1CN01HCsZG81CGJaRf7Ilq_!!2-saturn_solar.png,0,616531681130,江苏 徐州,2.80,2.52,['青枣'],301,true,0,李子树水果苗夏季南北可种盆栽地栽,湾彩示范苗圃
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/260060031/O1CN01kuPiJE1C6EkmfHh0E_!!0-saturn_solar.jpg,0,581679880706,陕西 榆林,58.00,,['青枣'],1,true,0,陕北特产狗头大红枣 陕西榆林清涧延安狗头,tb744932429
4.6,-5.22,4.4,-7.22,4.5,-5.32,https://img.alicdn.com/imgextra/i3/197980119/O1CN01IvRtmV1CkXh9nREWM_!!0-saturn_solar.jpg,0,576754640412,江苏 徐州,35.00,,['青枣'],40,true,0,黄金梨树苗当年结果嫁接梨子苗南北方种植,小果果苗圃
4.6,-3.54,4.6,-2.81,4.7,-2.40,https://img.alicdn.com/imgextra/i3/32597538/O1CN018GgYnR25YS6Mz84kf_!!0-saturn_solar.jpg,0,602075416483,广西 钦州,15.60,,['青枣'],28,true,0,正宗嫁接芒果苗树南方种植桂七芒金煌芒台农,蓝色海洋潮衣馆
4.6,-3.26,4.6,-3.43,4.7,-2.89,https://img.alicdn.com/imgextra/i2/13296137/O1CN01zye4KY1vCnERjR6FB_!!0-saturn_solar.jpg,0,43680668331,广东 肇庆,2.20,,['青枣'],55,true,0,沙糖桔树苗 嫁接砂糖橘树苗正宗四会砂糖桔,alan385
4.4,-9.02,4.3,-9.16,4.4,-8.51,https://img.alicdn.com/imgextra/i4/365850107/O1CN01x7877p1Cf2xsB2C7Z_!!0-saturn_solar.jpg,0,597304942391,四川 成都,25.00,,['青枣'],0,true,0,花椒苗四川汉源特麻大红袍金权无刺嫁接花椒,隔壁村买花的
4.5,-6.85,4.3,-10.38,4.3,-10.54,https://img.alicdn.com/imgextra/i2/333020150/O1CN01D0pw671CyjzpJxY7a_!!0-saturn_solar.jpg,0,600730010091,海南 儋州,58.00,21.00,['青枣'],6,false,0,海南芒果苗树苗嫁接大种特大南方当年地栽结,海南汇绿宝苗圃
4.8,12.43,4.8,9.08,4.8,16.11,https://img.alicdn.com/imgextra/i2/33720116/O1CN01w5vDQz1CjATks86LJ_!!0-saturn_solar.jpg,0,42121754653,新疆 阿克苏,65.00,35.00,['青枣'],80,true,1,1袋包邮 新疆若羌红枣 特号新疆阿克苏红,新疆枣农
4.8,25.17,4.8,17.06,4.9,38.10,https://img.alicdn.com/imgextra/i4/395100076/O1CN01ySqhhi1CQqhjPtxxA_!!0-saturn_solar.jpg,0,591581488276,广西 玉林,30.00,15.00,['青枣'],407,true,0,杨梅苗树苗嫁接果树东魁六月带泥土带叶广西,广西果真香园艺
4.8,19.88,4.7,0,4.8,19.66,https://img.alicdn.com/imgextra/i3/52417870/O1CN01tDXUXj280Vc5YtJsj_!!0-saturn_solar.jpg,0,43316595189,北京,29.90,21.80,['青枣'],1,true,0,黑枣特无核黑枣级黑君迁子软枣两斤装包邮,vv宝贝z
4.7,-2.41,4.7,-1.97,4.7,-1.64,https://img.alicdn.com/imgextra/i3/48887023/O1CN01uG2ciT21kaAAjiWSK_!!0-saturn_solar.jpg,0,582623141294,广西 玉林,12.80,,['青枣'],6,true,1,杨桃苗四季甜杨苗纯甜杨嫁接苗盆栽地栽种植,h18666631472
4.7,-3.14,4.6,-3.27,4.7,-2.75,https://img.alicdn.com/imgextra/i2/130515669/O1CN01VFjqiw1rkRrKz45Si_!!0-saturn_solar.jpg,0,546912069956,广西 钦州,15.00,,['青枣'],5,true,0,包邮青柠檬苗香水柠檬树苗果苗盆地栽四季结,开金2009
4.7,-2.35,4.6,-3.30,4.7,-2.20,https://img.alicdn.com/imgextra/i2/398300150/O1CN01MBE9KI1Cyjy5PnJ4n_!!0-saturn_solar.jpg,0,592164045695,广东 广州,6.99,,['青枣'],40,true,0,广州发货正宗嫁接四季杨桃树苗马来西亚杨桃,ali50622014410
4.7,-2.77,4.7,-1.68,4.7,-2.68,https://img.alicdn.com/imgextra/i2/44593148/O1CN016boCDD1Z7pQBEUAkF_!!0-saturn_solar.jpg,0,620869826218,山西 临汾,59.00,,['青枣'],0,true,0,冬枣新鲜2斤2020现摘现发顺丰包邮山西,wyl8932123
5.0,100.00,4.9,83.76,5.0,100.00,https://img.alicdn.com/imgextra/i4/735590103/O1CN01xWq8JB1CdDNWPDo1t_!!0-saturn_solar.jpg,0,609531195052,广东 江门,69.00,,['青枣'],1,true,0,新疆若羌特级灰枣包邮3斤树上熟干新枣红枣,heweiguo1971
4.9,69.08,4.9,69.11,4.9,82.81,https://img.alicdn.com/imgextra/i3/982150179/O1CN01wouLQO1DC1VHRsBzs_!!2-saturn_solar.png,0,617361779417,陕西 渭南,99.80,,['青枣'],163,true,0,新鲜现摘脆甜大荔冬枣现发孕妇水果5斤包邮,tb1897105188
4.9,40.67,4.7,0,4.8,20.27,https://img.alicdn.com/imgextra/i4/108408958/O1CN01OhfZhJ2G2oXgs6T09_!!0-saturn_solar.jpg,0,605164251655,山西 运城,128.00,,['青枣'],10,true,0,山西特产稷山板枣特级红枣干果零食干枣25,邂逅人生910
4.8,-1.17,4.8,10.87,4.8,13.51,https://img.alicdn.com/imgextra/i3/300930106/O1CN01WTqNtx1CeaacjDCot_!!0-saturn_solar.jpg,0,611085679152,广西 贺州,10.00,,['青枣'],25,true,0,金桔苗 脆皮金桔树苗 招财桔 嫁接苗 盆,xzp512
4.8,25.17,4.8,17.06,4.9,38.10,https://img.alicdn.com/imgextra/i1/395100076/O1CN01O7Hb881CQqhjPa5uH_!!0-saturn_solar.jpg,0,591805457160,广西 玉林,30.00,16.50,['青枣'],19,true,0,樱桃苗 巴西樱桃果树苗 黑玫瑰樱桃树苗,广西果真香园艺
4.8,22.11,4.8,10.82,4.8,12.24,https://img.alicdn.com/imgextra/i2/41135805/O1CN01AkfThZ1skjjnJb32a_!!0-saturn_solar.jpg,0,603137875129,山东 德州,50.00,,['青枣'],0,true,0,山东乐陵大枣金丝大枣婆枣元红干枣产地发货,兰璇食品
4.6,-3.96,4.5,-6.49,4.5,-5.98,https://img.alicdn.com/imgextra/i3/505490191/O1CN01w3qUHY1DHWFzheunP_!!0-saturn_solar.jpg,1,619046982656,陕西 渭南,35.80,22.80,['青枣'],148,true,0,个个红又脆 正宗大荔冬枣 果园采摘现摘现发,鲜次方旗舰店
4.7,-2.62,4.6,-2.54,4.7,-2.20,https://img.alicdn.com/imgextra/i2/749020148/O1CN01hTJR481CxpDGi2jjq_!!0-saturn_solar.jpg,0,616524346208,广西 玉林,21.00,16.80,['青枣'],4,true,0,台湾大青枣树苗嫁接苗牛奶枣苹果枣特大南方,俏丽农业
4.7,-2.76,4.6,-2.90,4.7,-2.26,https://img.alicdn.com/imgextra/i4/132124759/O1CN011l1fLKIbICduZwP_!!0-saturn_solar.jpg,0,569378278414,广西 玉林,30.00,11.82,['青枣'],14,true,0,芒果树苗嫁接芒果果树苗包邮 金煌芒 四季,广西鸿图苗木
4.7,-3.20,4.6,-2.88,4.7,-3.09,https://img.alicdn.com/imgextra/i2/123826577/O1CN016zJEaC1ySJUs7eXLD_!!2-saturn_solar.png,0,608124719515,广西 钦州,6.50,,['青枣'],16,true,0,包邮芒果苗嫁接果树苗当年结果四季金煌台农,a1304773843
4.7,-2.74,4.6,-3.23,4.7,-2.72,https://img.alicdn.com/imgextra/i4/110522959/O1CN01NcVVLB1XjGXmxxC9K_!!0-saturn_solar.jpg,0,606737277822,广西 钦州,20.80,,['青枣'],10,true,0,大红袍板栗苗树泰山油嫁接板栗树苗南方种当,服欢淘0325
4.8,0,4.9,61.01,4.8,26.75,https://img.alicdn.com/imgextra/i3/129429951/O1CN01tSY7JH2NNbrBDFLp2_!!0-saturn_solar.jpg,0,602995478896,河南 郑州,148.80,66.80,['青枣'],9,true,0,亏本250g2罐 牦牛骨胶原蛋白肽  小分子活性,yanmin566370291
4.7,-1.93,4.6,-3.17,4.6,-2.87,https://img.alicdn.com/imgextra/i2/152760109/O1CN01Fqf98f1Cfxm9sQzrU_!!0-saturn_solar.jpg,1,619212320443,陕西 渭南,100.00,19.80,['青枣'],424,true,0,冬枣新鲜水果5斤陕西大荔脆枣当季整箱枣子,乘木旗舰店
4.7,-3.12,4.6,-3.10,4.7,-3.01,https://img.alicdn.com/imgextra/i2/1135180125/O1CN016tFbdF1CnI6nEs21R_!!0-saturn_solar.jpg,0,617067781687,广西 钦州,16.80,,['青枣'],150,true,0,荔枝树苗妃子笑荔枝树苖嫁接苗桂味无核荔枝,tb399456036
4.7,-2.22,4.5,-6.08,4.6,-3.31,https://img.alicdn.com/imgextra/i3/1116900133/O1CN012BWzXp1CqxHguIbpk_!!0-saturn_solar.jpg,0,618378633526,陕西 西安,31.80,15.90,['青枣'],20,true,0,新鲜黑布林李子孕妇水果带箱10斤包邮恐龙,自留地企业店
4.8,-1.06,4.7,-1.58,4.7,-1.21,https://img.alicdn.com/imgextra/i2/120876108/TB23suiarWi31JjSZJiXXbRspXa_!!0-saturn_solar.jpg,0,545118843419,广东 揭阳,8.90,8.40,['青枣'],787,true,0,神秘果树苗四季开花当年结果变味果盆栽果树,佳莉猪头
4.6,-3.26,4.6,-3.43,4.7,-2.89,https://img.alicdn.com/imgextra/i1/13296137/O1CN01E1Prvp1vCnDuMHQFz_!!0-saturn_solar.jpg,0,588737293700,广东 肇庆,4.50,,['青枣'],2,true,0,正宗金葵沙糖桔树苗新品种早熟砂糖桔树苗嫁,alan385
4.8,2.43,4.8,2.54,4.7,-1.21,https://img.alicdn.com/imgextra/i4/33793936/O1CN012BGU231ewjWTUQFQi_!!0-saturn_solar.jpg,0,612875052950,山西 运城,59.00,,['青枣'],10,true,0,嶷山仙果运城临猗冬枣新鲜水果当季现摘现发,郭红进16
4.7,-2.42,4.6,-2.72,4.7,-1.81,https://img.alicdn.com/imgextra/i4/185340027/O1CN01L7EisM1C4PGhjvg9J_!!0-saturn_solar.jpg,0,575987358031,山东 临沂,12.50,8.80,['青枣'],434,true,1,枣树苗活苗沾化冬枣特大盆栽地栽嫁接果种植,sdwt_s999
4.8,8.20,4.8,28.68,4.8,10.68,https://img.alicdn.com/imgextra/i4/20827996/O1CN015v1K2s28wDY31oYoi_!!0-saturn_solar.jpg,0,618751818015,陕西 渭南,98.80,,['青枣'],56,true,0,现摘现发大荔冬枣新鲜 5斤包邮孕妇水果,yzh568656317
4.5,-5.79,4.3,-10.40,4.4,-7.63,https://img.alicdn.com/imgextra/i2/593830059/O1CN01sf8WmR1CJ3yR4BFTR_!!0-saturn_solar.jpg,0,601939237140,山东 临沂,9.80,,['青枣'],0,true,0,果树苗枣树苗 青枣树苗游龙枣 盘龙枣苗,tb036308747
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/1254260119/O1CN01sFwLzc1CkXjsVk5uH_!!0-saturn_solar.jpg,0,619510009298,四川 成都,19.80,,['青枣'],25,true,0,青脆李子新鲜孕妇水果脱骨李子正宗农家土李,丶花开丨莫离
4.8,2.31,4.8,13.63,4.9,79.05,https://img.alicdn.com/imgextra/i1/115434211/O1CN01p1cAeu1gygR5zYwX9_!!0-saturn_solar.jpg,0,614472347937,广西 钦州,16.88,,['青枣'],13,true,0,荔枝树苗妃子笑无核A4嫁接果树苗桂味糯米,18276625045黄
4.7,-1.69,4.7,-1.52,4.7,-1.14,https://img.alicdn.com/imgextra/i1/133843838/O1CN0120ktsq1eDqei2BCXj_!!0-saturn_solar.jpg,0,574260210451,江苏 徐州,12.88,,['青枣'],10,true,1,软枣猕猴桃树苗南方北方种植阳台庭院果树苗,慕云园林
4.8,2.31,4.8,13.63,4.9,79.05,https://img.alicdn.com/imgextra/i3/115434211/O1CN01Yqh0241gygQBRJ9aK_!!0-saturn_solar.jpg,0,595725582957,广西 钦州,20.87,,['青枣'],7,true,0,荔枝树苗妃子笑无核A4嫁接果树苗桂味糯米,18276625045黄
