dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-1.57,4.7,0,4.7,-0.88,https://img.alicdn.com/imgextra/i2/50465524/O1CN01HGMMv91qg2TK7m48B_!!0-saturn_solar.jpg,0,567295898770,福建 漳州,13.90,,['香蕉'],7,true,0,福建省黄皮蕉天宝香蕉南靖农家自产自销 无,吴金伟1985
4.8,0,4.8,0,4.8,1.13,https://img.alicdn.com/imgextra/i1/1138180174/O1CN01yWiYve1D9jWSKxgTk_!!0-saturn_solar.jpg,1,616128489244,云南 红河,28.60,16.80,['香蕉'],8662,true,0,云南高山甜香蕉新鲜10斤当季水果整箱包邮,安礼鲜旗舰店
4.5,-6.36,4.3,-9.90,4.4,-8.31,https://img.alicdn.com/imgextra/i3/130068869/O1CN01Chvzxj2FO3JWhRHlH_!!0-saturn_solar.jpg,1,619921353583,广西 南宁,88.00,26.80,['香蕉'],758,true,0,现货秒发 特香爆甜,果品康旗舰店
4.6,-3.20,4.6,-3.93,4.6,-3.09,https://img.alicdn.com/imgextra/i2/95488985/O1CN01x6FOrp2GFBG0zCnLU_!!0-saturn_solar.jpg,1,534104044727,云南 红河,47.60,15.90,['香蕉'],49283,true,0,新鲜现摘云南香蕉新鲜10斤包邮整箱,龙泽堂食品专营店
4.8,34.87,4.9,54.58,4.9,56.51,https://img.alicdn.com/imgextra/i2/986140179/O1CN01kCLcvm1DC1VAtrkAA_!!0-saturn_solar.jpg,0,615920200081,云南 红河,19.80,,['香蕉'],300,true,0,banana新鲜10斤云南香蕉水果高山甜香蕉,云农优品2866
4.9,81.28,4.9,85.40,4.9,81.73,https://img.alicdn.com/imgextra/i1/1093470065/O1CN01TErYW21CLoLjvLufq_!!0-saturn_solar.jpg,0,616140264017,广东 茂名,18.90,,['香蕉'],69,true,0,高州banana新鲜水果广东高州香蕉5斤包邮非,飞蛾扑火0668
4.8,25.18,4.8,13.69,4.8,29.37,https://img.alicdn.com/imgextra/i3/405050139/O1CN01xjD0qH1CthetXtpCk_!!0-saturn_solar.jpg,1,618129711880,云南 昆明,65.80,35.90,['香蕉'],0,true,0,云南高山香甜大香蕉净8斤催熟新鲜当季时令,鲜多萃旗舰店
4.5,-4.89,4.5,-6.51,4.5,-5.35,https://img.alicdn.com/imgextra/i3/133661041/O1CN019W7RVH1JYouBM7rbv_!!0-saturn_solar.jpg,1,618019494489,广西 南宁,59.00,29.80,['香蕉'],17145,true,0,高山甜香蕉10斤新鲜水果芭蕉大蕉整箱 包邮,康萃果旗舰店
4.8,0,4.7,-1.03,4.8,0,https://img.alicdn.com/imgextra/i3/106857948/O1CN01BKaP2k28aEXA8di1O_!!0-saturn_solar.jpg,0,530927876703,广东 茂名,21.80,18.80,['香蕉'],846,true,1,香蕉banana新鲜水果5斤高州香蕉非小,利源烟酒行
4.8,-0.61,4.6,-2.22,4.8,0,https://img.alicdn.com/imgextra/i4/289710028/O1CN01Np8tx61C4rh5zybFl_!!0-saturn_solar.jpg,0,608948150216,云南 西双版纳,29.80,,['香蕉'],134,true,0,西双版纳生态芭蕉小米蕉香蕉当季孕妇新鲜水,tb651809_2010
