dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.6,-4.20,4.4,-7.19,4.5,-5.63,https://img.alicdn.com/imgextra/i2/120349015/O1CN01tBfkdp2GSv8o8GQBT_!!0-saturn_solar.jpg,1,615154108881,陕西 渭南,129.80,29.90,['鸭梨'],8078,true,0,陕西黄河蜜瓜10斤新鲜时令水果黄金脆甜瓜应,甘福园旗舰店
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i1/27307190/O1CN01Ua9dhJ22z4JqHUpzH_!!0-saturn_solar.jpg,0,620966789102,浙江 金华,148.00,,['鸭梨'],0,true,0,1000克即食香辣小龙虾澳洲蓝龙虾麻辣味,lee_hye
4.8,19.88,4.7,0,4.8,19.66,https://img.alicdn.com/imgextra/i3/52417870/O1CN01j81rZ3280VclY6jps_!!0-saturn_solar.jpg,0,529237734597,北京,218.00,138.00,['鸭梨'],15,true,0,现货北京水蜜桃 正宗水蜜桃 顺丰包邮,vv宝贝z
4.9,88.16,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/113152416/O1CN0190MUvq1TiZThroDne_!!0-saturn_solar.jpg,0,604850781062,陕西 咸阳,41.90,,['鸭梨'],12,true,0,陕西苹果新鲜红富士冰糖心水果整箱10斤包,臭小子270629081
4.7,-0.97,4.7,-1.23,4.8,0,https://img.alicdn.com/imgextra/i1/128632483/O1CN01ZSYTWw1UDG2LZp7sM_!!0-saturn_solar.jpg,0,618508394575,河北 石家庄,17.90,,['鸭梨'],136,true,1,皇冠梨5斤10斤包邮新鲜水果整箱梨子当季,chenhui718944017
4.7,-0.61,4.8,18.75,4.7,-0.98,https://img.alicdn.com/imgextra/i4/1036230115/O1CN01sgOE9r1Cii9QcZ9Yr_!!0-saturn_solar.jpg,1,619082800709,河北 石家庄,40.00,38.00,['鸭梨'],0,true,0,河北赵县鸭梨新鲜水果梨子整箱水晶鸭梨整箱,鲜如遇旗舰店
4.7,-1.35,4.6,-3.13,4.7,-1.11,https://img.alicdn.com/imgextra/i3/118983455/O1CN01osbl6z1bOQzb269nJ_!!0-saturn_solar.jpg,0,565025643321,山东 烟台,47.70,24.90,['鸭梨'],25,true,0,烟台苹果水果新鲜山东栖霞红富士非阿克苏冰,中宠乐家
4.8,16.17,4.7,-0.78,4.8,9.26,https://img.alicdn.com/imgextra/i4/132122162/O1CN01YfBu5T1RqEtvB3wSV_!!0-saturn_solar.jpg,1,569131328946,山东 烟台,198.00,99.00,['鸭梨'],5004,true,0,109元4斤北极甜虾!限量抢!,鲜驰旗舰店
4.7,-2.56,4.6,-3.46,4.6,-3.12,https://img.alicdn.com/imgextra/i1/131731370/O1CN01pK2WRN1LzVDRridff_!!0-saturn_solar.jpg,1,571937112104,河南 三门峡,69.00,18.80,['鸭梨'],140,true,0,红啤梨梨子水果10斤批发包邮新鲜当季整箱,亿熙旗舰店
4.6,-3.16,4.6,-2.24,4.6,-3.07,https://img.alicdn.com/imgextra/i2/54016079/O1CN01hJR62a1umEI2xRTw5_!!0-saturn_solar.jpg,0,620182407435,湖南 株洲,15.00,8.50,['鸭梨'],6,false,0,速冻米兰虾饼10片香酥油炸点心酒店早餐餐,无线良品88
4.7,-0.74,4.7,-2.52,4.7,-1.36,https://img.alicdn.com/imgextra/i1/449620168/O1CN01jcCsvi1D6z8yhIh23_!!0-saturn_solar.jpg,1,596566484517,广东 湛江,49.80,39.90,['鸭梨'],296,true,0,徐闻菠萝新鲜水果带箱10斤 顺丰包邮 湛,状元荔水果旗舰店
4.1,-14.13,3.6,-24.08,3.9,-17.56,https://img.alicdn.com/imgextra/i3/122046810/O1CN01G9mGfw20B1oR9ozio_!!0-saturn_solar.jpg,0,618714004581,广东 东莞,60.80,15.90,['鸭梨'],0,true,,当季鸭梨新鲜水果梨子雪梨水晶梨整箱顺丰包,小海豹virk
4.8,0,4.7,1.38,4.8,0,https://img.alicdn.com/imgextra/i1/14921635/O1CN01ywXxZs1NwsAo1riUy_!!0-saturn_solar.jpg,0,520558839537,湖南 长沙,13.80,13.00,['鸭梨'],265,false,0,回鱼翅鱼鳍长江鮰鱼刺翅鱼划水新鲜冷冻酒店,yanglin19810606
4.7,-1.30,4.6,-2.09,4.7,-1.21,https://img.alicdn.com/imgextra/i2/127677139/O1CN01tKpVec22bi7WT6648_!!2-saturn_solar.png,0,559301377798,湖北 武汉,98.00,,['鸭梨'],50,true,0,新鲜葛仙米特色网红舌尖上的美食半成品特产,洪中源
4.8,0,4.6,-2.67,4.8,0,https://img.alicdn.com/imgextra/i2/123230779/O1CN01QISgAs1Hcp8tvmiSZ_!!0-saturn_solar.jpg,0,598212929054,安徽 宿州,16.80,,['鸭梨'],4,true,0,现摘秋月梨新鲜梨子5斤 南水梨孕妇水果丰水,东京的细雨绵绵
4.8,23.13,4.8,16.60,4.8,17.93,https://img.alicdn.com/imgextra/i1/14969889/O1CN017exEPO2MvDIKqGKjU_!!0-saturn_solar.jpg,0,40212001588,湖北 荆州,36.80,29.80,['鸭梨'],68,true,0,荆州鱼糕湖北特产鱼糕农家手工新鲜草鱼糕无,sui1999
4.6,-2.79,4.5,-5.62,4.6,-3.50,https://img.alicdn.com/imgextra/i4/122716263/O1CN01e7jQzN1w8VAOEuiTk_!!0-saturn_solar.jpg,1,621481447368,山西 运城,68.00,20.80,['鸭梨'],5,true,0,正宗红啤梨梨子5斤新鲜水果啤酒梨当季红皮,竹蜜旗舰店
4.7,-1.12,4.6,-4.02,4.6,-3.04,https://img.alicdn.com/imgextra/i4/1208280090/O1CN01jKklBc1CXGFXFbBFp_!!0-saturn_solar.jpg,0,620014591742,河北 衡水,31.60,18.96,['鸭梨'],0,true,0,香梨当季水果红香酥梨子新鲜整箱包邮媲美新,tb410669452
4.7,-1.80,4.6,-2.88,4.7,-2.40,https://img.alicdn.com/imgextra/i2/374040107/O1CN013MV1c71Cf2yomrwv5_!!0-saturn_solar.jpg,1,617897433322,河北 石家庄,73.80,47.97,['鸭梨'],0,true,0,新鲜梨子10斤整箱砀山梨香梨鸭梨早酥梨当,谷耘滇生鲜旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/128772163/O1CN01lb4eaj1RqhITNcaGF_!!0-saturn_solar.jpg,0,620711905041,上海,168.00,,['鸭梨'],6,false,0,新疆塔里木脆冬枣4斤装沙漠王子蜜枣脆甜多,qiao490422
4.8,1.19,4.8,9.87,4.8,20.56,https://img.alicdn.com/imgextra/i4/850210198/O1CN01vcBEIt1DKj1riKnRH_!!0-saturn_solar.jpg,0,619275656114,陕西 渭南,15.90,,['鸭梨'],13,true,0,新鲜水果水蜜桃5斤整箱包邮果园直发,hao6074
4.7,-1.33,4.7,-0.99,4.7,-0.89,https://img.alicdn.com/imgextra/i2/765350122/O1CN01EzaHoO1Cluv2YeaVU_!!0-saturn_solar.jpg,1,609791474420,安徽 宿州,29.80,28.80,['鸭梨'],0,true,0,梨子新鲜10斤砀山梨皇冠梨雪香鸭梨当季水果,果然纯食品旗舰店
4.8,-0.53,4.7,-1.79,4.7,-1.12,https://img.alicdn.com/imgextra/i4/132989918/O1CN01j4akvQ2N8UmqCxoqL_!!0-saturn_solar.jpg,0,592087696745,广东 湛江,39.90,,['鸭梨'],1841,true,1,广东徐闻菠萝带箱10斤 顺丰包邮 新鲜水,石城仙果良田
4.9,48.63,4.8,15.98,4.9,44.75,https://img.alicdn.com/imgextra/i2/126327532/O1CN01h6lbrA25Vhm2Gr9vG_!!0-saturn_solar.jpg,0,620355860053,山东 临沂,24.70,,['鸭梨'],32,true,0,油桃新鲜黄金桃5斤10农家蜜桃脆甜多汁,菜鸟与黑锅
4.7,-2.22,4.7,-1.28,4.8,18.62,https://img.alicdn.com/imgextra/i4/131189927/O1CN01t0YFU62NCcLaQq2Gc_!!2-saturn_solar.png,0,619507755452,广东 广州,28.80,,['鸭梨'],3,true,0,顺丰包邮梨子皇冠梨雪梨新鲜水果梨子当季砀,爱上精品生活
4.8,5.58,4.8,5.68,4.8,1.56,https://img.alicdn.com/imgextra/i2/957550028/O1CN018HLftW1C4rgHJqQUG_!!0-saturn_solar.jpg,0,614089028785,河北 保定,16.00,,['鸭梨'],5,false,,河北保定沧州肃宁特产蒜味手掰肠蒜蓉灌肠猪,河北保定特产第一店
4.8,-0.53,4.7,-1.79,4.7,-1.12,https://img.alicdn.com/imgextra/i3/132989918/O1CN01FISCNW2N8UmqD3JzG_!!0-saturn_solar.jpg,0,588759036012,广东 湛江,49.90,29.90,['鸭梨'],1833,true,1,顺丰包邮 徐闻泰国小菠萝10斤带箱 顺丰,石城仙果良田
4.8,5.96,4.8,6.84,4.8,1.22,https://img.alicdn.com/imgextra/i3/108671029/O1CN01BLGUyf1JTK7SYK8B1_!!0-saturn_solar.jpg,1,599055284982,陕西 延安,138.00,26.80,['鸭梨'],37365,true,0,延安洛川红富士苹果水果新鲜当季整箱10斤,尧坝旗舰店
4.8,0,4.7,1.38,4.8,0,https://img.alicdn.com/imgextra/i3/14921635/O1CN01yFYfQK1NwsAnnSp41_!!0-saturn_solar.jpg,0,37648040374,湖南 长沙,9.62,8.85,['鸭梨'],325,false,0,湘菜田螺肉干袋装炒螺蛳肉酒店饭店餐饮用特,yanglin19810606
4.5,-5.89,4.4,-8.42,4.4,-7.88,https://img.alicdn.com/imgextra/i4/1032620131/O1CN01CSaz711Cq2TZ1Ajmc_!!0-saturn_solar.jpg,1,614355473313,广东 广州,16.90,,['鸭梨'],90,true,0,山东大葱新鲜5斤包邮大葱甜葱安丘去皮铁杆,醉祥果旗舰店
4.4,-7.53,4.2,-11.61,4.3,-9.41,https://img.alicdn.com/imgextra/i2/1213130102/O1CN01i6PONM1Ccl0MoZlZV_!!0-saturn_solar.jpg,0,619162237922,河南 商丘,19.90,,['鸭梨'],63,true,0,宁陵特产金顶谢花酥梨皮薄多汁超脆超甜皇家,tb176673451
4.8,0,4.6,-2.67,4.8,0,https://img.alicdn.com/imgextra/i1/123230779/O1CN01zoJR2U1Hcp8qgnFwA_!!0-saturn_solar.jpg,0,619751553414,安徽 宿州,15.80,,['鸭梨'],7,true,0,砀山梨新鲜水果10斤翠冠梨新鲜梨子皇冠香,东京的细雨绵绵
4.8,11.54,4.8,13.71,4.8,13.92,https://img.alicdn.com/imgextra/i2/14596305/O1CN01ott2Vk1wRjmBLGylC_!!0-saturn_solar.jpg,0,561508511944,山东 日照,49.90,39.90,['鸭梨'],47,true,1,海蜇丝5斤桶装 非即食海蜇皮海蜇头爽脆无,hjz461347200
4.8,24.77,4.8,11.56,4.8,28.18,https://img.alicdn.com/imgextra/i3/123922568/O1CN01CxE9NJ1UqBhKv4ONQ_!!0-saturn_solar.jpg,1,552128555611,河北 石家庄,88.00,22.80,['鸭梨'],336,true,0,皇冠梨10斤包邮新鲜水果河北雪梨子,爱亚汇旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1003570187/O1CN0173hbYP1DFgfaDQhrt_!!0-saturn_solar.jpg,0,619988301547,陕西 西安,29.90,,['鸭梨'],63,true,0,黄河蜜瓜10斤水果新鲜包邮哈密香瓜黄金甜瓜,a付虓
4.7,-0.65,4.7,-2.53,4.7,-2.00,https://img.alicdn.com/imgextra/i1/118221066/O1CN016rebbC1JkGoXE1dvo_!!0-saturn_solar.jpg,1,538220564626,四川 成都,79.00,,['鸭梨'],80,true,0,常枫新疆库尔勒香梨一级果新鲜梨子新鲜水果,常枫旗舰店
4.6,-3.85,4.5,-5.23,4.6,-3.66,https://img.alicdn.com/imgextra/i2/885420052/O1CN01bgRnY61CFrCUGszS8_!!0-saturn_solar.jpg,1,620599413491,陕西 西安,89.00,39.90,['鸭梨'],124,true,0,陕西大荔冬枣新鲜水果3斤当季整箱应季现摘,福笙记旗舰店
4.6,-4.26,4.5,-5.62,4.5,-4.99,https://img.alicdn.com/imgextra/i1/111218106/O1CN01EtuppU29kb7HdYxbB_!!0-saturn_solar.jpg,1,595555275666,河北 石家庄,129.00,23.90,['鸭梨'],0,true,0,福瑞达 河北皇冠梨新鲜梨子当季水果酥脆梨,福瑞达旗舰店
4.7,-0.87,4.7,-1.21,4.7,-0.85,https://img.alicdn.com/imgextra/i1/26929937/O1CN01tLDCTK2NHCJ8u6Jv3_!!0-saturn_solar.jpg,0,614621862800,湖南 长沙,54.00,31.30,['鸭梨'],27,false,1,苗家坛香肉450g坛香腌猪肉块酒店特色食,天使无痕0507
4.6,-3.68,4.6,-3.97,4.7,-2.71,https://img.alicdn.com/imgextra/i2/749890064/O1CN01csw73N1CLLx402Evs_!!0-saturn_solar.jpg,0,610685346462,山东 烟台,39.00,26.80,['鸭梨'],9,true,0,山东羊脂秋月梨正宗梨子带箱5斤装新鲜孕妇,hang1763459184
4.8,5.58,4.8,5.68,4.8,1.56,https://img.alicdn.com/imgextra/i1/957550028/O1CN01zgH5wZ1C4rgGMNw5D_!!0-saturn_solar.jpg,0,581873734718,河北 保定,7.00,,['鸭梨'],21,false,0,河北保定特产望都唐县顺平博野蠡县安国吊炉,河北保定特产第一店
4.8,0,4.7,-1.91,4.7,-0.96,https://img.alicdn.com/imgextra/i1/27534622/O1CN01nms2Uw1k0vAIbrfzq_!!0-saturn_solar.jpg,0,43612146526,广西 玉林,53.80,29.80,['鸭梨'],193,true,0,番石榴 芭乐果 10斤装  广西新鲜水果,广西口碑乡园特产
4.9,63.18,4.8,39.55,4.9,60.24,https://img.alicdn.com/imgextra/i1/129543482/O1CN01jRvuR61banhxoXERm_!!0-saturn_solar.jpg,1,568502985892,浙江 台州,716.00,358.00,['鸭梨'],1353,true,0,贡品级仙居东魁杨梅新鲜水果现摘现发礼盒装,仙乡旗舰店
4.3,-11.27,4.5,-8.91,4.7,-3.35,https://img.alicdn.com/imgextra/i2/29273236/O1CN01iZhlHa1Zm8FKbDoW8_!!0-saturn_solar.jpg,0,607148137239,甘肃 白银,128.00,118.00,['鸭梨'],1,true,0,甘肃特级靖远石门大枣小口干大红枣子10斤,tb6677783
5.0,100.00,4.7,-0.53,4.8,6.10,https://img.alicdn.com/imgextra/i1/1159590035/O1CN01T4dW3g1C84Sq4EK8F_!!2-saturn_solar.png,0,618596679289,新疆 阿克苏,198.00,98.00,['鸭梨'],32,true,0,新疆现摘小白杏新鲜阿克苏白杏轮台杏子水果,笑容不解释
4.8,32.71,4.8,35.92,4.9,53.54,https://img.alicdn.com/imgextra/i2/120394053/O1CN01gcaLB31foJrQApW8t_!!0-saturn_solar.jpg,0,617172568603,河南 三门峡,42.89,13.90,['鸭梨'],119,true,0,灵宝现摘新鲜水蜜桃5斤孕妇水果当季桃子毛,小文文衣橱店
4.5,-5.89,4.4,-8.42,4.4,-7.88,https://img.alicdn.com/imgextra/i2/1032620131/O1CN01iQfZnl1Cq2U33Iqfz_!!0-saturn_solar.jpg,1,614262327498,广东 广州,35.90,,['鸭梨'],29,true,0,苹果水果新鲜当季整箱陕西红富士10斤应季,醉祥果旗舰店
4.8,6.86,4.8,16.38,4.8,9.75,https://img.alicdn.com/imgextra/i1/486240148/O1CN01XOKuw11CxpDTfUxZT_!!2-saturn_solar.png,1,615344086000,河北 石家庄,69.00,39.90,['鸭梨'],1,true,0,河北赵县雪梨斤装整箱包邮梨子新鲜应季水果,浙江粮油食品旗舰店
4.8,15.63,4.8,8.80,4.8,14.33,https://img.alicdn.com/imgextra/i3/33936800/O1CN01SVlRYt206RpD3mv0k_!!0-saturn_solar.jpg,0,596099943161,四川 成都,168.00,,['鸭梨'],1,false,0,真的老泡红米椒商用28斤餐饮大桶装辅料泡,dw0760
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1096110160/O1CN01OLlFsK1D3JyPVo88T_!!0-saturn_solar.jpg,0,617241861056,广西 玉林,27.50,,['鸭梨'],0,true,0,广西特产白心芭乐番石榴新鲜水果10斤当季,好想你一一
4.8,16.18,4.8,0,4.8,5.07,https://img.alicdn.com/imgextra/i2/45844419/O1CN01AyUMnF1iVwp2FyIOs_!!0-saturn_solar.jpg,1,621065410435,广东 湛江,88.00,32.80,['鸭梨'],87,true,0,金都一号 顺丰包邮红心火龙果 新鲜当,味真栈旗舰店
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i1/1260510128/O1CN01pyIdD91CofIq3f0Cj_!!0-saturn_solar.jpg,1,620278672711,陕西 宝鸡,39.00,32.80,['鸭梨'],3,true,0,陕西黑布林李子水果新鲜包邮当季脆李黄肉恐,亿猴鲜生旗舰店
4.7,-2.23,4.7,-2.46,4.6,-2.49,https://img.alicdn.com/imgextra/i4/468970069/O1CN019mQ9mZ1CNdw6Op0Me_!!0-saturn_solar.jpg,1,615569277097,河北 石家庄,59.90,23.80,['鸭梨'],34,true,0,库尔勒香梨新鲜水果梨子5斤整箱红香酥雪梨,维伊果旗舰店
4.9,48.72,4.8,34.66,4.9,39.94,https://img.alicdn.com/imgextra/i2/123289203/O1CN013zaEX52Hr1ZtYtKKt_!!0-saturn_solar.jpg,0,559379089510,山东 青岛,49.00,32.00,['鸭梨'],7,false,1,鲅鱼新鲜海鱼鲜活马鲛鱼冷冻大鲅鱼水饺野生,青岛鼎盛源水产
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1229270108/O1CN01TvOSve1CfVNqnmI3v_!!0-saturn_solar.jpg,1,621287287998,山东 潍坊,79.00,29.80,['鸭梨'],0,true,0,果当鲜 绿宝石甜瓜水果新鲜批发包邮应季脆,果当鲜食品旗舰店
4.4,-8.57,3.7,-21.01,4.0,-17.29,https://img.alicdn.com/imgextra/i3/123604259/O1CN01Wc161a1hKfQtT2NUM_!!0-saturn_solar.jpg,0,613537708691,广东 广州,18.90,,['鸭梨'],9,true,0,顺丰包邮5斤10斤特价河北皇冠梨水晶梨酥,white310410
4.8,0,4.7,0,4.8,0,https://img.alicdn.com/imgextra/i2/124211346/O1CN01G2567i1LoViFE1Jb8_!!0-saturn_solar.jpg,0,621580970285,重庆,29.90,19.90,['鸭梨'],0,true,0,现摘新鲜梨子10斤当季重庆黄花梨应季黄皮,重庆山之恋生态农业
4.9,56.74,4.8,49.59,4.9,57.90,https://img.alicdn.com/imgextra/i3/326870034/O1CN011utfoA1C7c4D124BR_!!0-saturn_solar.jpg,0,614197776020,浙江 杭州,14.80,,['鸭梨'],0,true,0,产地直供雪花梨子新鲜5斤装8个左右应季水果,燕丶0725
4.6,-3.59,4.6,-2.67,4.6,-3.50,https://img.alicdn.com/imgextra/i2/123070086/O1CN01kI46RC1CVQdI6vwkQ_!!0-saturn_solar.jpg,0,572575883645,江苏 徐州,14.80,,['鸭梨'],2,true,0,现货安徽梨子新鲜10斤批发水果砀山青皮酥梨,任晨阳22
4.7,-0.87,4.7,-1.21,4.7,-0.85,https://img.alicdn.com/imgextra/i1/26929937/O1CN01nnRJv72NHCJGZuLx5_!!0-saturn_solar.jpg,0,619988518164,湖南 长沙,16.00,12.50,['鸭梨'],9,false,1,新鲜鱼泡200g脆香鱼鳔酒店饭店特色菜半,天使无痕0507
