dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,18.64,4.8,17.06,4.8,23.08,https://img.alicdn.com/imgextra/i1/118065443/O1CN012vE6Ia1q4wN76hVNl_!!0-saturn_solar.jpg,0,611498080326,福建 莆田,88.00,31.90,['龙眼'],3,true,0,福建莆田桂圆肉 无核肉干 农家特产新货大,春天的桑叶2008
4.8,-0.72,4.7,-1.29,4.7,-1.47,https://img.alicdn.com/imgextra/i4/1735625110/O1CNA1x0Mmc0100cb93af7700b0fe305000w_!!1735625110-0-picassodesign.jpg,0,547140525984,福建 莆田,68.00,23.90,['龙眼'],159,true,0,莆田桂圆肉500g包邮 农家特产无核龙眼肉干,非诚勿扰199008
4.8,35.37,4.9,43.87,4.8,33.08,https://img.alicdn.com/imgextra/i2/383740179/O1CN01cOOa2v1DC1SFOVSdu_!!0-saturn_solar.jpg,1,591918484982,安徽 亳州,88.80,49.80,['龙眼'],2,true,0,500克g新货桂圆肉干龙眼肉干无核农家新,宏义堂旗舰店
4.8,14.58,4.8,17.41,4.8,12.23,https://img.alicdn.com/imgextra/i4/54726063/O1CN012pf6Qg1uetrqETVFZ_!!0-saturn_solar.jpg,0,591873966376,浙江 嘉兴,21.00,,['龙眼'],19,true,0,3袋装萝卜头蜂旺小萝卜头 甪直风味包邮,沈海飞13736455884
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/46226954/O1CN0135UFQf21EymnY11na_!!0-saturn_solar.jpg,0,581593569993,广东 茂名,79.80,,['龙眼'],0,true,0,桂圆干桂圆肉无核龙眼肉干新特级货500g,双胞胎姐姐苗
4.7,-1.00,4.8,15.56,4.8,0,https://img.alicdn.com/imgextra/i3/296110035/O1CN01MwyCMl1C84O7jg7Nb_!!0-saturn_solar.jpg,0,585528227181,重庆,31.00,,['龙眼'],0,false,0,龙眼 生煎包子水煎包60个锅贴广式香煎包,英利食尚
4.8,0,4.7,0,4.8,3.06,https://img.alicdn.com/imgextra/i1/29833821/O1CN01El6aeM1e63xOtHtI9_!!0-saturn_solar.jpg,0,558866492828,福建 漳州,25.00,10.50,['龙眼'],8,false,,2019莆田特产4A桂圆干龙眼干 新货干,柯锦记
4.9,71.49,4.9,85.23,4.9,81.51,https://img.alicdn.com/imgextra/i1/781540146/O1CN01widLVG1CwuQ7SbRMN_!!2-saturn_solar.png,0,615206137641,北京,136.00,68.00,['龙眼'],0,true,0,8A桂圆肉干桂圆肉无核特级肉干桂圆肉干无,宁乡绿然
4.8,-0.54,4.7,-1.07,4.7,-0.80,https://img.alicdn.com/imgextra/i2/127463225/O1CN017L0Lct1Zh5uuhtCOR_!!0-saturn_solar.jpg,0,562253837313,福建 莆田,23.50,,['龙眼'],25,true,0,莆田桂圆肉无核龙眼肉干农家桂圆干500,t_1488539499243_0450
4.8,4.26,4.7,-0.52,4.8,0,https://img.alicdn.com/imgextra/i4/116618843/O1CN01nQB3442FC8zplFZ5e_!!0-saturn_solar.jpg,0,561126699974,福建 莆田,59.00,38.80,['龙眼'],9,true,0,新货福建特产莆田灯笼桂圆肉500g包邮无,shanyuanfashion
4.9,42.01,4.8,32.42,4.9,51.27,https://img.alicdn.com/imgextra/i1/574510160/O1CN01mmkPby1D3Jxyj9D48_!!0-saturn_solar.jpg,0,616107841378,陕西 汉中,168.00,118.00,['龙眼'],0,true,0,秦岭姬松茸500g陕西特产山珍煲汤食材农家干,农者农业
4.8,14.58,4.8,17.41,4.8,12.23,https://img.alicdn.com/imgextra/i3/54726063/O1CN01QJOIRu1uetrqz1p6E_!!0-saturn_solar.jpg,0,592095924224,浙江 嘉兴,35.00,29.90,['龙眼'],67,true,0,龙眼萝卜头  脆甜 萝卜干包邮,沈海飞13736455884
