type,price,date
青枣报价,2.76,2019-12-31
木瓜,7.28,2019-12-31
哈密瓜,2.51,2019-12-31
蜜桔,3.8,2019-12-31
鸭梨报价,3.4,2019-12-31
猕猴桃报价,10.58,2019-12-31
芒果,4.49,2019-12-31
菠萝,2.9,2019-12-31
榴莲报价,37.1,2019-11-8
青枣报价,2.46,2019-11-8
哈密瓜,2.31,2019-11-8
菠萝,1.09,2019-11-8
蜜桔,3.5,2019-11-8
鸭梨报价,3.4,2019-11-8
猕猴桃报价,11.28,2019-11-8
榴莲报价,30.99,2019-11-15
木瓜,12.37,2019-11-8
榴莲报价,30.59,2019-8-21
榴莲报价,32.22,2019-11-20
木瓜,5.61,2019-8-21
榴莲报价,33.94,2019-11-25
榴莲报价,34.9,2019-11-18
榴莲报价,31.15,2019-11-21
榴莲报价,31.15,2019-11-22
哈密瓜,1.58,2019-8-21
菠萝,2,2019-8-21
红提子,25,2019-8-21
葡萄,3.73,2019-8-21
柑橘,2.25,2019-8-21
梨,1.19,2019-8-21
芒果,3.97,2019-8-21
柠檬,3.38,2019-8-21
猕猴桃报价,9.53,2019-8-21
草莓报价,7.36,2019-8-21
甘蔗,0.7,2019-8-21
西瓜报价,0.68,2019-8-21
脐橙报价,2.4,2019-8-21
香蕉,1.93,2019-8-21
青枣报价,2.16,2019-8-21
石榴,7.76,2019-8-21
毛桃,1.6,2019-8-21
鸭梨报价,3.5,2019-8-21
柚子,2.18,2019-8-21
蜜桔,5.5,2019-8-21
金丝枣报价,16,2019-8-21
车厘子报价,38.75,2019-8-21
枇杷报价,20.4,2019-8-21
水蜜桃,3.61,2019-8-21
杨梅,10.5,2019-8-21
金桔,6.67,2019-8-21
山楂,2.57,2019-8-21
苹果,2.28,2019-8-21
李子报价,3.28,2019-8-21
荔枝,24.45,2019-8-21
龙眼,4.93,2019-8-21
椰子,4.75,2019-8-21
樱桃,38.75,2019-8-21
柿子,2.04,2019-8-21
蓝莓报价,46.06,2019-8-21
木瓜,10.65,2019-11-18
青枣报价,2.4,2019-11-18
哈密瓜,2.9,2019-11-18
菠萝,0.95,2019-11-18
鸭梨报价,3.4,2019-11-18
蜜桔,3.6,2019-11-18
猕猴桃报价,10.84,2019-11-18
柠檬,3.4,2019-11-18
金丝枣报价,16,2019-11-18
芒果,4.17,2019-11-18
脐橙报价,2.45,2019-11-18
梨,1.28,2019-11-18
红提子,25,2019-11-18
毛桃,1.83,2019-11-18
草莓报价,11.63,2019-11-18
甘蔗,0.68,2019-11-18
柑橘,2.86,2019-11-18
柚子,1.93,2019-11-18
西瓜报价,0.91,2019-11-18
苹果,2.38,2019-11-18
葡萄,3.67,2019-11-18
香蕉,1.77,2019-11-18
石榴,8.32,2019-11-18
山楂,2.57,2019-11-18
李子报价,10.04,2019-11-18
车厘子报价,39.5,2019-11-18
水蜜桃,3.34,2019-11-18
杨梅,10.5,2019-11-18
金桔,8.25,2019-11-18
枇杷报价,15.83,2019-11-18
荔枝,24.33,2019-11-18
樱桃,39.5,2019-11-18
龙眼,32.93,2019-11-18
