dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,17.85,4.8,0,4.8,6.98,https://img.alicdn.com/imgextra/i2/45844419/O1CN01X6F4UT1iVwoZXnNST_!!0-saturn_solar.jpg,1,612158618695,广东 湛江,48.00,22.90,['木瓜'],15044,true,0,现货 第2件半价雷州冰糖木瓜 青皮红心牛奶,味真栈旗舰店
4.7,-0.53,4.7,-0.70,4.7,-0.66,https://img.alicdn.com/imgextra/i2/823400115/O1CN01UeZ9uc1Cii9YPfE6B_!!0-saturn_solar.jpg,1,616283022622,广西 南宁,68.00,29.90,['木瓜'],4749,true,0,海南红心木瓜冰糖牛奶木瓜当季9斤新鲜水果,古江旗舰店
4.8,40.22,4.8,36.03,4.8,42.59,https://img.alicdn.com/imgextra/i4/1193840035/O1CN01rTGmzK1C84T3mr1yR_!!0-saturn_solar.jpg,1,617905680587,广西 南宁,79.00,22.80,['木瓜'],596,true,0,广西冰糖红心木瓜新鲜水果5斤整箱当季特产,果清风旗舰店
4.8,0.73,4.7,1.43,4.8,0,https://img.alicdn.com/imgextra/i2/494740184/O1CN01hFt2j41DEJTmFaGFX_!!0-saturn_solar.jpg,0,610796327129,广东 湛江,39.90,18.90,['木瓜'],62,true,0,包甜台湾引进红妃品种雷州冰糖木瓜树上熟现,tb241740840
4.5,-6.36,4.3,-9.90,4.4,-8.31,https://img.alicdn.com/imgextra/i1/130068869/O1CN01Gd992n2FO3JUgfijH_!!0-saturn_solar.jpg,1,619895022269,海南 海口,66.00,19.80,['木瓜'],841,true,0,现货秒发 特香爆甜,果品康旗舰店
4.8,0,4.7,-0.63,4.7,-2.09,https://img.alicdn.com/imgextra/i4/1167910200/O1CN01mntI8i1DLdokFTTWu_!!0-saturn_solar.jpg,0,618465042091,海南 海口,33.00,26.40,['木瓜'],16,true,0,现摘新鲜海南红心牛奶木瓜净果10斤大青木,退伍不褪色海
4.8,0.73,4.7,1.43,4.8,0,https://img.alicdn.com/imgextra/i2/494740184/O1CN01nUBsVh1DEJTlFsjU7_!!0-saturn_solar.jpg,0,605058787708,广东 湛江,39.80,35.80,['木瓜'],68,true,0,包甜雷州冰糖红心木瓜牛奶现摘新鲜水果树上,tb241740840
4.5,-4.88,4.5,-6.12,4.5,-5.40,https://img.alicdn.com/imgextra/i1/131733054/O1CN01ZenBih1YQmBo7rSdn_!!0-saturn_solar.jpg,1,566017090407,云南 昆明,59.80,15.80,['木瓜'],1979,true,0,云南红心木瓜牛奶当季水果新鲜包邮带箱10,品鲜集旗舰店
4.7,-0.75,4.7,-2.56,4.7,-1.35,https://img.alicdn.com/imgextra/i4/449620168/O1CN01ZpQ8VT1D6z7fzmH6X_!!0-saturn_solar.jpg,1,605842232771,广东 湛江,39.00,29.90,['木瓜'],17,true,0,雷州冰糖红心木瓜5斤 顺丰包邮 2-3个,状元荔水果旗舰店
4.6,-4.35,4.5,-6.53,4.5,-5.40,https://img.alicdn.com/imgextra/i2/126542041/O1CN01pzM45A1QwoyUAUlKt_!!2-saturn_solar.png,1,619016708099,海南 海口,59.80,19.80,['木瓜'],556,true,0,当天发货海南红心牛奶木瓜10斤精选新鲜水果,酿果旗舰店
4.8,34.47,4.9,80.86,4.9,84.02,https://img.alicdn.com/imgextra/i2/1084330094/O1CN01xzzF6n1CZ5ptJCC8a_!!0-saturn_solar.jpg,0,616670083828,海南 乐东,18.20,,['木瓜'],247,false,0,现摘海南产地直销热带当季水果黄心木瓜8斤,tb_1974511
4.8,36.55,4.8,15.33,4.8,26.26,https://img.alicdn.com/imgextra/i2/1038810065/O1CN01H1djZr1CLoLe7trUS_!!0-saturn_solar.jpg,1,613473216029,海南 海口,88.90,,['木瓜'],3,true,0,海南牛奶红心木瓜8斤新鲜树上熟冰糖心青木,望楼港旗舰店
4.8,-0.81,4.7,-0.79,4.7,-0.78,https://img.alicdn.com/imgextra/i4/116280029/O1CN01XjHwYb1C5K5DscqaX_!!0-saturn_solar.jpg,0,542379379232,广西 南宁,30.00,16.60,['木瓜'],1225,true,0,青木瓜 新鲜 番木瓜 生木瓜8斤包邮,村中屯2016
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/130361796/O1CN01TSddVJ1P8bvtMLIgV_!!0-saturn_solar.jpg,0,617800623420,广西 南宁,28.80,,['木瓜'],8,true,0,当季新鲜水果广西牛奶冰糖红心木瓜8斤装肉,yu1236113
4.8,-0.57,4.7,-0.62,4.8,0,https://img.alicdn.com/imgextra/i4/45826846/O1CN01kakGCC20RW4Q2YmZ8_!!0-saturn_solar.jpg,0,615637588100,重庆,49.80,19.80,['木瓜'],614,true,0,海南新鲜红心牛奶木瓜9斤冰糖木瓜青木瓜整,商东城abc
4.8,33.26,4.8,0,4.8,26.59,https://img.alicdn.com/imgextra/i1/257420171/O1CN01I0q0u21D8MJZPVKrd_!!0-saturn_solar.jpg,1,588484458351,海南 海口,78.00,45.80,['木瓜'],479,true,0,海南冰糖红心木瓜树上熟10斤顺丰包邮,满堂绿旗舰店
4.7,-1.38,4.7,-1.78,4.7,-1.71,https://img.alicdn.com/imgextra/i3/659820113/O1CN01J6l34r1ChnLqG9z2b_!!0-saturn_solar.jpg,1,616056665981,广西 崇左,45.00,27.80,['木瓜'],7065,true,0,现摘海南红心木瓜水果新鲜10斤整箱包邮,果内猫旗舰店
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i4/1213270002/O1CN01Xa23gi1BsxOgkeUzx_!!0-saturn_solar.jpg,0,620120712068,广西 百色,16.00,,['木瓜'],0,true,0,海南红心木瓜5/9斤,benz6068
4.8,25.18,4.8,13.69,4.8,29.37,https://img.alicdn.com/imgextra/i2/405050139/O1CN01tI7td21Ctheh8Qk1f_!!0-saturn_solar.jpg,1,615264727843,云南 昆明,25.80,12.90,['木瓜'],50,true,0,云南红心牛奶木瓜时令水果树上熟新鲜青木瓜,鲜多萃旗舰店
5.0,100.00,4.6,-2.69,4.7,-1.22,https://img.alicdn.com/imgextra/i3/1156290178/O1CN01GVfa4J1DBZ6JIWKGe_!!0-saturn_solar.jpg,0,619142046110,云南 昆明,26.90,,['木瓜'],7,true,0,云南冰糖红心木瓜当季特产树上熟青牛奶木瓜,文忠特产
4.8,36.55,4.8,15.33,4.8,26.26,https://img.alicdn.com/imgextra/i2/1038810065/O1CN01cW8N4z1CLoLk1PpYM_!!0-saturn_solar.jpg,1,613743793844,海南 海口,68.90,,['木瓜'],8,true,0,海南红心木瓜5斤牛奶木瓜青木瓜新鲜当季水,望楼港旗舰店
4.9,69.55,4.9,68.75,4.9,67.02,https://img.alicdn.com/imgextra/i3/26111849/O1CN014rhDZ91PWsvpx6kKs_!!0-saturn_solar.jpg,1,559003315440,山东 青岛,238.00,69.00,['木瓜'],6,true,0,葛根木瓜片?木瓜葛根片牛奶胸部产品乳房食,蒂芬妮官方旗舰店
4.8,0,4.7,-1.69,4.7,-0.98,https://img.alicdn.com/imgextra/i3/132989918/O1CN012eeGvU2N8Um7VJPvP_!!0-saturn_solar.jpg,0,586824932672,广东 湛江,73.60,29.80,['木瓜'],119,true,1,雷州冰糖木瓜红心约重5斤 新鲜现摘包邮大,石城仙果良田
4.7,-2.15,4.6,-3.46,4.6,-3.16,https://img.alicdn.com/imgextra/i3/933210078/O1CN01LlfbU41CRlV0hG9fL_!!0-saturn_solar.jpg,1,618022742613,福建 漳州,49.90,29.90,['木瓜'],83,true,0,红心木瓜当季新鲜水果10斤整箱青皮红心现摘,地瓜皇后生鲜旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1210150054/O1CN01K1R8nB1CGlzVD5RkX_!!0-saturn_solar.jpg,0,619253754260,宁夏 银川,99.00,19.60,['木瓜'],20,true,0,现摘现发 宁夏灵武大长枣,众农亿客籏舰店
4.8,25.18,4.8,13.69,4.8,29.37,https://img.alicdn.com/imgextra/i3/405050139/O1CN018iq1wR1CthekNNdjc_!!0-saturn_solar.jpg,1,616446279386,云南 红河,33.80,18.80,['木瓜'],237,true,0,云南红心木瓜新鲜牛奶青瓜整箱净重5斤包邮,鲜多萃旗舰店
4.5,-6.03,4.3,-8.55,4.5,-5.95,https://img.alicdn.com/imgextra/i1/192900067/O1CN01ZGnnOy1CMj8EAWMJM_!!0-saturn_solar.jpg,0,616359841684,云南 临沧,24.99,17.99,['木瓜'],166,true,0,云南特产新鲜酸木瓜 孕妇水果泡酸木瓜酒,luozhili533
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/461940070/O1CN01jaADcP1CO6KUUpNu8_!!0-saturn_solar.jpg,0,618617792417,北京,98.00,73.50,['木瓜'],2,true,0,北京红杏5斤包邮正宗平谷北寨金太阳现摘新,钻石朱老2
4.9,89.83,4.9,70.93,4.9,80.15,https://img.alicdn.com/imgextra/i4/14243163/O1CN01ZEXqI71ZEhMWDO4AX_!!0-saturn_solar.jpg,0,616046905710,广东 茂名,189.00,,['木瓜'],20,true,1,现摘新鲜广东南山增城老树糯米糍核小荔枝水,高州纯天然生晒桂圆
4.7,-1.02,4.7,0,4.7,-0.94,https://img.alicdn.com/imgextra/i4/909130079/O1CN010Hngsb1CSDtQRvlwQ_!!0-saturn_solar.jpg,0,616245903053,海南 海口,42.88,33.28,['木瓜'],3,true,0,现摘新鲜海南红心牛奶木瓜净果10斤大青木瓜,qq13058385077
4.7,-1.99,4.5,-4.29,4.6,-2.92,https://img.alicdn.com/imgextra/i4/57750598/O1CN01t8PoK91GHvRRdMBZP_!!0-saturn_solar.jpg,0,610428929133,广西 南宁,79.60,39.80,['木瓜'],2478,true,0,海南金煌水仙芒果新鲜水果10斤甜心大青芒果,春华秋实生态农业
4.9,69.55,4.9,68.75,4.9,67.02,https://img.alicdn.com/imgextra/i4/26111849/O1CN01eFxfxp1PWsvpg8CuP_!!0-saturn_solar.jpg,1,540083458657,山东 青岛,238.00,138.00,['木瓜'],9,true,0,预售3瓶◎木瓜葛根片丰牛奶胸部天野食品,蒂芬妮官方旗舰店
4.8,2.27,4.5,-5.80,4.7,-1.41,https://img.alicdn.com/imgextra/i3/1200630165/O1CN01QQNdEw1D5bxLF4tTo_!!0-saturn_solar.jpg,1,619058750873,云南 昆明,101.00,21.80,['木瓜'],0,true,0,芒鲜莹云南红心木瓜净重3斤包邮单果400-160,芒鲜莹旗舰店
4.7,-0.54,4.7,-1.23,4.7,-0.95,https://img.alicdn.com/imgextra/i1/1088380187/O1CN017RgQlJ1DFgfV2KuQP_!!0-saturn_solar.jpg,1,618972596505,湖南 常德,199.00,98.00,['木瓜'],81,true,0,"整串发货,阳光玫瑰无籽青提!",乡甜果语旗舰店
4.7,-1.47,4.6,-4.06,4.6,-3.06,https://img.alicdn.com/imgextra/i1/334710049/O1CN01tor6K21CETxYApJxK_!!0-saturn_solar.jpg,0,587517794235,上海,49.90,29.90,['木瓜'],210,true,0,新鲜崇明金丝瓜 金丝搅瓜 金瓜丝4到5斤,刘云南瓜
4.8,41.59,4.9,44.97,4.8,43.06,https://img.alicdn.com/imgextra/i3/255620120/O1CN01XNj0gn1Cl08L0wKPd_!!0-saturn_solar.jpg,1,617380000549,广东 广州,338.00,178.00,['木瓜'],824,true,0,官栈木瓜牛奶即食花胶70g3,官栈旗舰店
4.8,5.13,4.8,4.93,4.8,3.79,https://img.alicdn.com/imgextra/i2/34073972/O1CN01v0y7jB1fDDjgjCVJV_!!0-saturn_solar.jpg,0,569317109440,湖南 衡阳,34.90,19.80,['木瓜'],53,true,0,干木瓜丝干湖南下饭菜酱木瓜丝干木瓜条干,ldg15074733022
