dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.6,-4.83,4.6,-4.61,4.6,-4.88,https://img.alicdn.com/imgextra/i4/113478735/O1CN019VoJv42EOgEKfWeMl_!!0-saturn_solar.jpg,0,572477205839,山东 潍坊,12.90,,['柿子'],12,false,0,新品高端仿真五只大柿子一枝居家装饰花艺网,繁华小奢
4.8,27.68,4.8,41.07,4.9,43.53,https://img.alicdn.com/imgextra/i2/109386684/O1CN01VOYqJ91zFJu2IhgYI_!!0-saturn_solar.jpg,0,587499832196,内蒙古 巴彦淖尔,81.00,45.00,['柿子'],274,true,1,五原黄色西红柿大黄柿子内蒙特产黄番茄铁皮,内蒙草原敕勒川绿色食品
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1197450146/O1CN01B9jj3X1CwuQlRpeCm_!!0-saturn_solar.jpg,0,618582468001,辽宁 沈阳,49.00,34.30,['柿子'],1,true,0,东北碱地409小柿子5斤新鲜水果草莓牛奶,青春撕扯着留言
4.8,3.68,4.8,13.15,4.8,5.29,https://img.alicdn.com/imgextra/i3/132979741/O1CN01Sj1ncV2LpQeCJYUID_!!0-saturn_solar.jpg,1,583156151084,广西 桂林,99.00,29.90,['柿子'],430,true,0,吊柿饼柿子饼柿子干农家自制包邮5斤装非陕,森庄农品旗舰店
4.6,-4.83,4.6,-4.61,4.6,-4.88,https://img.alicdn.com/imgextra/i1/113478735/O1CN01XbnR2Z2EOgE24bpDy_!!0-saturn_solar.jpg,0,560444769442,山东 潍坊,28.00,24.64,['柿子'],1,false,0,超逼真仿真单支柿子枝5柿子一支仿真树杈网,繁华小奢
4.9,59.39,4.8,33.17,4.9,48.62,https://img.alicdn.com/imgextra/i4/121720664/O1CN01rr5BBP1Gm9aaIY8Ww_!!0-saturn_solar.jpg,0,610943215997,辽宁 大连,70.00,39.00,['柿子'],24,true,0,二等品铁皮柿子甜绿腚番茄草莓西红柿碱地油,一个柿子农场店
4.7,-1.99,4.7,-1.37,4.7,-1.14,https://img.alicdn.com/imgextra/i4/128930174/O1CN011D9jNid4UdCcpGn_!!0-saturn_solar.jpg,0,563600787239,江苏 徐州,27.00,,['柿子'],12,true,0,嫁接柿子树苗 火晶柿树苗 红如火.似水晶 果,新沂市云云苗木有限公司
4.8,27.68,4.8,41.07,4.9,43.53,https://img.alicdn.com/imgextra/i1/109386684/O1CN01JyGbzx1zFJuOt7GBW_!!0-saturn_solar.jpg,0,588187342174,内蒙古 巴彦淖尔,95.00,71.50,['柿子'],542,true,1,黄柿子内蒙五原大黄色西红柿现摘番茄农家铁,内蒙草原敕勒川绿色食品
4.8,38.43,4.8,37.37,4.8,42.08,https://img.alicdn.com/imgextra/i4/266140067/O1CN01Y7rRfD1CMj8XXV18u_!!0-saturn_solar.jpg,1,582227523605,陕西 西安,69.00,25.80,['柿子'],1363,true,0,益佳柿饼陕西特产吊干柿饼500g独立装霜,益佳食品旗舰店
4.9,76.77,4.9,75.86,4.9,84.89,https://img.alicdn.com/imgextra/i3/696780030/O1CN01Jq2ytn1C5mTYF6rUh_!!0-saturn_solar.jpg,0,607261671256,河北 保定,110.00,49.90,['柿子'],1,true,0,柿子芽茶嫩芽茶野生柿树叶茶叶特级非晒干柿,戎耀太行1
