dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-2.10,4.5,-4.80,4.7,-2.02,https://img.alicdn.com/imgextra/i1/111719792/O1CN01Ke2POu2MCmslCdreK_!!0-saturn_solar.jpg,0,619418842574,云南 红河,29.80,,['水蜜桃'],42,true,0,新鲜现摘鹰嘴桃5斤包邮云南桃子脆甜水蜜桃,杨910303
4.8,-0.72,4.8,18.51,4.8,14.97,https://img.alicdn.com/imgextra/i4/117929676/O1CN01QFnsp92LLewEvnb7L_!!0-saturn_solar.jpg,0,619508232817,陕西 渭南,38.80,15.80,['水蜜桃'],58,true,0,桃子新鲜脆桃毛桃当季现摘5斤包邮水蜜桃,农二代四季水果特产
4.8,13.84,4.7,-1.07,4.7,-1.01,https://img.alicdn.com/imgextra/i2/132084874/O1CN01jSacZ71lsL1vRnlTf_!!0-saturn_solar.jpg,0,618802497463,江苏 无锡,59.00,,['水蜜桃'],24,false,0,正宗无锡阳山水蜜桃水果新鲜当季整箱时令现,缤果15862894855
4.7,-2.48,4.5,-4.82,4.6,-3.80,https://img.alicdn.com/imgextra/i1/742200041/O1CN014MlPoj1CAoqPCnuI0_!!0-saturn_solar.jpg,1,616781546831,江苏 无锡,198.00,128.00,['水蜜桃'],306,true,0,正宗阳山水蜜桃礼盒装8只现货新鲜当季水果,鲜积旗舰店
4.9,81.02,4.9,89.14,4.9,80.66,https://img.alicdn.com/imgextra/i4/1102130047/O1CN01cDZ4Od1CDZDNFvg9B_!!0-saturn_solar.jpg,1,617192416985,新疆 巴音郭楞,216.00,108.00,['水蜜桃'],577,true,0,新疆蟠桃水果新鲜包邮黄油蟠桃纽扣水蜜桃,女儿王果旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1153490062/O1CN01UQ39um1CKRA55q1ep_!!0-saturn_solar.jpg,1,620284463262,江苏 无锡,198.00,158.00,['水蜜桃'],96,false,0,正宗无锡阳山白凤水蜜桃 水果 新鲜孕妇超甜,果知园水果旗舰店
4.9,95.02,4.9,96.12,4.9,95.14,https://img.alicdn.com/imgextra/i4/434670144/O1CN01kmjxh91CvzdhlzoFH_!!0-saturn_solar.jpg,0,618778557809,江苏 无锡,116.00,58.00,['水蜜桃'],768,true,0,无锡阳山水蜜桃超甜爆汁水蜜桃可撕皮水蜜桃,钻石aa店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/117511067/O1CN01UNOXZ21JkjCwqOKC3_!!0-saturn_solar.jpg,0,567830083468,山东 临沂,59.90,27.90,['水蜜桃'],16,true,0,蒙阴水蜜桃新鲜水果5斤包邮甜桃子毛桃孕妇,壹水秋菡
5.0,100.00,4.8,45.77,5.0,100.00,https://img.alicdn.com/imgextra/i4/132622170/O1CN01ztJJ4K1Rtu4JtMzjg_!!0-saturn_solar.jpg,0,620246407738,江苏 徐州,58.00,38.00,['水蜜桃'],136,false,0,包邮桃脆水蜜桃组合甜当季现摘现发精品,桃香溢满园
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/132944235/O1CN01YbytPQ1h9fwRFMCoK_!!0-saturn_solar.jpg,0,619819367238,江苏 无锡,69.90,,['水蜜桃'],181,false,0,阳山水蜜桃正宗无锡新鲜水果礼盒装顺丰包邮,华_王
4.8,29.08,4.8,2.88,4.8,36.12,https://img.alicdn.com/imgextra/i1/1060730172/O1CN01Qoahpg1D8ojGXiLri_!!0-saturn_solar.jpg,1,618633698805,陕西 延安,69.00,36.90,['水蜜桃'],16,true,0,陕西水蜜桃新鲜水果桃子软甜多汁大毛桃当季,麤食品旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/120766691/O1CN01C1Zu6a1zIWgMUVXVH_!!0-saturn_solar.jpg,0,619763572873,江苏 无锡,168.00,48.00,['水蜜桃'],11,true,0,阳山水蜜桃正宗江苏无锡新鲜水果桃子4两左,恒压阀厂家直销店
4.8,-0.58,4.7,-0.94,4.8,0,https://img.alicdn.com/imgextra/i3/129319776/O1CN01U4wfU42M5SXlg4WUs_!!0-saturn_solar.jpg,0,619573891536,湖北 襄阳,29.00,24.90,['水蜜桃'],18,true,0,胭脂血桃水蜜桃现价只要19.9元顺丰包邮,hyong9806
4.7,-1.40,4.5,-4.28,4.6,-3.46,https://img.alicdn.com/imgextra/i1/118714019/O1CN01iTEeE71fYkOYDGNh8_!!0-saturn_solar.jpg,0,593175526042,山东 临沂,49.90,35.90,['水蜜桃'],0,true,0,现摘5斤黄桃蒙阴新鲜水果果园直发当季水蜜,烟台德乾海参
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/29394705/O1CN01sdLcaA1kcw5iO27Ix_!!0-saturn_solar.jpg,0,594650810845,江苏 无锡,98.00,68.00,['水蜜桃'],7,false,1,顺丰 正宗无锡特产阳山水蜜桃 新鲜水果3-4,tb1280421
4.9,76.98,4.9,67.73,4.9,73.73,https://img.alicdn.com/imgextra/i3/230630004/O1CN01p8SOVG1Bts79QJRSs_!!0-saturn_solar.jpg,1,579169782805,江苏 无锡,188.00,98.00,['水蜜桃'],1118,true,0,"无锡阳山水蜜桃下单78,5两12个装明天涨价",老胡桃园旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/47802349/O1CN01yKZEHC1TDsxv5Xsnc_!!0-saturn_solar.jpg,0,618940713833,江苏 无锡,58.00,,['水蜜桃'],177,false,1,无锡正宗阳山水蜜桃现摘现发礼盒包装顺丰原,0皇母娘娘0
4.7,-1.40,4.5,-4.28,4.6,-3.46,https://img.alicdn.com/imgextra/i3/118714019/O1CN01nbbAQP1fYkOZbWVs0_!!0-saturn_solar.jpg,0,614339570800,山东 临沂,99.80,19.90,['水蜜桃'],0,true,0,现货红油桃当季山东新鲜水果酸甜包邮5斤应,烟台德乾海参
4.9,86.36,4.9,73.43,4.9,86.69,https://img.alicdn.com/imgextra/i3/240300098/O1CN01FVtUOt1CavPzRvwBL_!!0-saturn_solar.jpg,0,619799415262,四川 成都,65.00,,['水蜜桃'],32,true,0,现货正宗四川龙泉水蜜桃5斤大果农家新鲜采,陈雨晨626
4.9,63.91,4.8,5.10,4.8,38.77,https://img.alicdn.com/imgextra/i3/133687467/O1CN01hOPTjZ251w1Ru8jjJ_!!0-saturn_solar.jpg,1,617056140245,江苏 无锡,128.00,52.00,['水蜜桃'],13350,false,0,正宗阳山水蜜桃新鲜水果5两12个装当季桃子,极润食品旗舰店
4.9,37.28,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/131667347/O1CN01PAweN3248yUup3CSZ_!!0-saturn_solar.jpg,0,618229046246,湖北 襄阳,49.90,,['水蜜桃'],44,true,0,助力湖北新鲜桃子5斤水蜜桃当季孕妇水果整,海惠锦科技
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1229970189/O1CN013Wj4n61DGbSkpia3S_!!2-saturn_solar.png,1,619955670278,福建 宁德,200.00,108.00,['水蜜桃'],16,true,0,福建古田水蜜桃白凤大桃子甜脆桃当季孕妇新,丞悦旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1172190107/O1CN01axX5z21Cf2z6xHbZW_!!0-saturn_solar.jpg,0,618366845917,山东 临沂,29.90,,['水蜜桃'],124,true,0,精品山东红油桃5斤装包邮产地直销直发当季,134guo0202ji818
4.9,42.98,4.9,55.55,4.9,44.35,https://img.alicdn.com/imgextra/i2/1139470087/O1CN019R7IYA1CVt3d7xTPH_!!0-saturn_solar.jpg,0,617964478184,江苏 无锡,68.00,,['水蜜桃'],196,false,0,正宗无锡阳山水蜜桃 现摘应季时令新鲜孕妇,曹响892698631
5.0,100.00,4.8,18.65,5.0,100.00,https://img.alicdn.com/imgextra/i4/33058684/O1CN01FgR58p2E1K1nnZegB_!!0-saturn_solar.jpg,0,614399293724,陕西 渭南,49.90,,['水蜜桃'],2,true,0,陕西老哥现摘春雪水蜜桃早熟桃子新鲜水果非,ml0403877
4.8,21.41,4.7,0,4.8,20.03,https://img.alicdn.com/imgextra/i3/52417870/O1CN01YWHLC6280VdmaUvrl_!!0-saturn_solar.jpg,0,529237734597,北京,218.00,138.00,['水蜜桃'],24,true,0,北京水蜜桃水果新鲜 水蜜桃桃子毛桃12个装,vv宝贝z
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/127344863/O1CN01qnI9I91lnIftGIXVV_!!0-saturn_solar.jpg,0,618905654549,浙江 嘉兴,78.00,,['水蜜桃'],20,false,0,正宗凤桥水蜜桃新鲜当季水果箱整12胜无锡,品牌电器一号店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/458280028/O1CN01zGNIXe1C4rhAlnFhe_!!0-saturn_solar.jpg,0,597530899245,江苏 无锡,108.00,,['水蜜桃'],19,true,0,"正宗阳山水蜜桃,5-6两8只装,6-7两6只装,",穆木teamo
4.7,-1.99,4.5,-4.29,4.6,-2.92,https://img.alicdn.com/imgextra/i1/57750598/O1CN01bqtIIl1GHvS3BQYOy_!!0-saturn_solar.jpg,0,619654314982,云南 红河,59.60,29.80,['水蜜桃'],758,true,0,云南鹰嘴桃新鲜水果6斤包邮桃子5斤水蜜毛桃,春华秋实生态农业
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1229970189/O1CN01F1lT5m1DGbSgJW7d6_!!2-saturn_solar.png,1,619389564089,福建 宁德,100.00,58.00,['水蜜桃'],20,true,0,福建古田 水蜜桃白凤大桃子甜脆桃当季孕妇,丞悦旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/29394705/O1CN01CeeYDW1kcw5ltULP6_!!2-saturn_solar.png,0,616837340589,江苏 无锡,240.00,168.00,['水蜜桃'],205,true,1,顺丰包邮正宗无锡特产阳山水蜜桃新鲜水果7-,tb1280421
4.9,99.43,4.9,99.43,4.9,98.92,https://img.alicdn.com/imgextra/i2/415750100/O1CN01BY6GSe1CbqD0g3WJo_!!0-saturn_solar.jpg,1,594399769510,江苏 无锡,99.00,69.90,['水蜜桃'],5744,false,0,正宗无锡阳山水蜜桃5两左右12个当季新鲜,寻优农旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1226500144/O1CN01gfTBQS1CvzdfTTHky_!!0-saturn_solar.jpg,0,617059381602,江苏 无锡,276.00,98.00,['水蜜桃'],125,true,0,正宗无锡阳山水蜜桃子新鲜应季水果现货整箱,忆颗桃
4.9,42.98,4.9,55.55,4.9,44.35,https://img.alicdn.com/imgextra/i1/1139470087/O1CN01nyOoxv1CVt3lBcZxA_!!0-saturn_solar.jpg,0,617991882200,江苏 无锡,88.00,,['水蜜桃'],31,false,0,正宗无锡阳山水蜜桃 现摘应季时令新鲜孕妇,曹响892698631
4.9,57.31,4.8,39.43,4.9,59.85,https://img.alicdn.com/imgextra/i2/48135692/O1CN01eQFeNw1ruz0okSFTP_!!0-saturn_solar.jpg,0,617171991749,江苏 无锡,98.00,58.00,['水蜜桃'],1589,false,1,正宗无锡阳山水蜜桃水果新鲜当季现摘,矛盾综合体55
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i4/432870076/O1CN01oIzxLd1CQqhkv7zyo_!!0-saturn_solar.jpg,0,619638231166,北京,188.00,128.00,['水蜜桃'],2,true,0,水蜜桃多汁孕妇应季扁桃新鲜水果蟠桃顺丰,野肴香
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/1149250014/O1CN01BMSqUh1ByS9QMafA4_!!0-saturn_solar.jpg,0,618639980299,四川 成都,128.00,98.00,['水蜜桃'],16,true,0,现摘四川成都龙泉水蜜桃鲜果生鲜孕妇水果桃,微序网络
4.8,18.71,4.7,-0.87,4.8,3.38,https://img.alicdn.com/imgextra/i4/442590029/O1CN01sxGxU01C5K5kfH3L6_!!0-saturn_solar.jpg,1,616973847844,山西 运城,12.80,,['水蜜桃'],577,true,0,2020现摘水蜜桃新鲜水果桃子新鲜脆桃毛,鲜印旗舰店
4.6,-4.30,4.3,-9.11,4.5,-6.33,https://img.alicdn.com/imgextra/i1/46476794/O1CN017W572K203hTadClzO_!!0-saturn_solar.jpg,0,619872604655,广西 南宁,29.00,9.90,['水蜜桃'],3,true,0,广西新鲜水蜜桃4斤应当季时令水果甜脆桃子,贵宾188
4.8,0,4.8,5.03,4.8,16.32,https://img.alicdn.com/imgextra/i4/850210198/O1CN01rdGSYc1DKj1c1u382_!!0-saturn_solar.jpg,0,619275656114,陕西 渭南,15.90,,['水蜜桃'],7,true,0,当季新鲜水果陕西水蜜桃5斤整箱包邮果园直,hao6074
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/97506267/O1CN01dAMash1wAKkTAVQYX_!!0-saturn_solar.jpg,0,617740944464,江苏 无锡,98.00,45.00,['水蜜桃'],1326,true,0,现货现货无锡阳山水蜜桃5两12个礼盒装,南朝烟雨1990
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/508330145/O1CN01jfKAz11CwS23JEglO_!!0-saturn_solar.jpg,0,618044312162,福建 宁德,198.00,39.80,['水蜜桃'],267,true,0,新鲜水果现摘古田水蜜桃5斤整箱装脆甜桃子,御膳坊企业店
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i2/49297519/O1CN01t14Riq25Pkcj2FFRg_!!2-saturn_solar.png,0,619542103517,江苏 无锡,68.00,,['水蜜桃'],3,false,0,正宗无锡阳山水蜜桃新鲜超甜爆汁孕妇当季5,向日葵12_77
4.9,42.98,4.9,55.55,5.0,100.00,https://img.alicdn.com/imgextra/i2/124547082/O1CN01DvoCtd22BbXW7shwM_!!0-saturn_solar.jpg,0,618354713570,云南 红河,59.80,32.80,['水蜜桃'],1927,true,1,新鲜现摘鹰嘴桃5斤包邮 云南桃子脆甜毛桃水,品质shop
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/100796682/O1CN01fghxhK1zEP7HPVtHp_!!0-saturn_solar.jpg,0,620617751050,山东 临沂,28.90,,['水蜜桃'],0,true,0,水蜜桃超甜大毛桃脆桃包邮现摘桃子蒙阴蜜桃,aa602228422
4.8,29.72,4.8,22.27,4.8,33.16,https://img.alicdn.com/imgextra/i4/123492882/O1CN011TVfpV1XA04JQbkVF_!!0-saturn_solar.jpg,1,603645209366,上海,216.00,,['水蜜桃'],1661,true,0,618石泽研究所毛孔抚子草莓蜜桃限定套装,石泽研究所旗舰店
4.9,76.59,4.9,66.72,4.9,71.44,https://img.alicdn.com/imgextra/i4/98015280/O1CN01EIhNyN1osHpetoPyg_!!0-saturn_solar.jpg,0,618260779592,江苏 无锡,138.00,,['水蜜桃'],1697,false,1,正宗无锡阳山水蜜桃6两8只礼盒装新鲜水果,世界臻果
4.7,-2.20,4.5,-4.87,4.6,-2.99,https://img.alicdn.com/imgextra/i3/131882518/O1CN01UiXjqt1UTHtlQuj1G_!!0-saturn_solar.jpg,1,587187988334,河北 唐山,86.00,12.50,['水蜜桃'],23909,true,0,现摘水蜜桃新鲜脆桃毛桃顺丰水果,一统果家旗舰店
4.9,76.28,4.9,72.16,4.9,79.41,https://img.alicdn.com/imgextra/i1/17314907/O1CN01Iovetp1m7S6CtZsxl_!!0-saturn_solar.jpg,0,43658976102,四川 成都,188.00,178.00,['水蜜桃'],326,true,1,MOMOKO蜜桃家新鲜生日蛋糕成都同城配送网红,dodo_toy
4.8,21.41,4.7,0,4.8,20.03,https://img.alicdn.com/imgextra/i4/52417870/O1CN01JvqaNy280VdrpziaE_!!0-saturn_solar.jpg,0,618999418449,北京,138.00,98.00,['水蜜桃'],10,true,0,现货 北京水蜜桃水果新鲜平谷大桃鲜桃多汁,vv宝贝z
