dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.7,-1.71,4.6,-3.78,4.7,-2.08,https://img.alicdn.com/imgextra/i4/132877193/O1CN01iNI86m230RVVSEScq_!!0-saturn_solar.jpg,0,572638387901,云南 德宏,19.80,,['菠萝'],1,true,0,云南德宏特产新鲜香水大菠萝手撕菠萝大果缅,lul563816683
4.7,-1.78,4.6,-3.87,4.7,-2.72,https://img.alicdn.com/imgextra/i4/451460033/O1CN01raX8Zx1C79fanVMAS_!!0-saturn_solar.jpg,0,616820780213,广东 揭阳,56.00,21.68,['菠萝'],10,false,0,圆墩菠萝凤梨潮汕当季水果黄肉乌肉菠萝1粒,南深山生态农业
4.8,0,4.7,-1.69,4.7,-0.98,https://img.alicdn.com/imgextra/i2/132989918/O1CN01LeL5he2N8UmsCLHwp_!!0-saturn_solar.jpg,0,592087696745,广东 湛江,39.90,,['菠萝'],1613,true,1,广东徐闻大菠萝带箱10斤 顺丰包邮 新鲜水果,石城仙果良田
4.8,10.18,4.8,6.92,4.8,11.01,https://img.alicdn.com/imgextra/i4/110964490/O1CN01ncRsVx1j2SqCn8FE2_!!0-saturn_solar.jpg,1,560585644083,浙江 金华,15.00,9.80,['菠萝'],952,true,0,[有人@你]甘蔗刀削皮刀菠萝刮皮器神器,万事顺旗舰店
4.8,0,4.7,-1.69,4.7,-0.98,https://img.alicdn.com/imgextra/i3/132989918/O1CN01MPoEXm2N8UmmPAZlX_!!0-saturn_solar.jpg,0,588759036012,广东 湛江,49.90,29.90,['菠萝'],1930,true,1,泰国小菠萝新鲜水果包邮 顺丰当季波萝整箱1,石城仙果良田
4.7,-2.03,4.5,-5.55,4.6,-3.60,https://img.alicdn.com/imgextra/i4/370170083/O1CN01uNTwYx1CU3TfLHtib_!!2-saturn_solar.png,0,614319946855,广西 桂林,59.60,29.80,['菠萝'],52,true,0,当季时令孕妇水果新鲜海南金钻菠萝热带手撕,tb308057_55
4.8,-1.79,4.7,-2.40,4.8,-1.87,https://img.alicdn.com/imgextra/i4/25789053/TB2jUrtncLJ8KJjy0FnXXcFDpXa_!!0-saturn_solar.jpg,0,530732554913,山东 济宁,12.30,6.80,['菠萝'],184,true,1,刨皮刀削皮刀削菠萝刀去眼器打皮刀包邮,setupshop
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/120244169/O1CN01GOoFqc1gfRn5aQZiI_!!0-saturn_solar.jpg,0,615038111631,云南 保山,29.80,,['菠萝'],3,true,0,海南金钻凤梨新鲜水果无眼菠萝5斤新鲜现摘,kunkun75565
4.8,35.67,4.8,49.85,4.8,21.51,https://img.alicdn.com/imgextra/i1/1217540141/O1CN01hV0ZzN1CucRz1jWGG_!!0-saturn_solar.jpg,0,619187811828,广东 湛江,25.80,,['菠萝'],39,true,0,泰国小菠萝新鲜水果包邮当季波萝整箱10斤,涛乐科技
4.8,35.67,4.8,49.85,4.8,21.51,https://img.alicdn.com/imgextra/i1/1217540141/O1CN01lreKoy1CucS1u8473_!!0-saturn_solar.jpg,0,619170683782,广东 湛江,35.00,,['菠萝'],36,true,0,徐闻菠萝新鲜水果香水非小菠萝包邮10斤当,涛乐科技
4.7,-0.75,4.7,-2.56,4.7,-1.35,https://img.alicdn.com/imgextra/i4/449620168/O1CN01KAsFMR1D6z92OP5ZK_!!0-saturn_solar.jpg,1,597165431117,广东 湛江,49.80,29.90,['菠萝'],8,true,0,徐闻菠萝5斤 顺丰包邮水果新鲜 天天向上,状元荔水果旗舰店
4.6,-3.76,4.4,-6.97,4.5,-5.20,https://img.alicdn.com/imgextra/i1/859790118/O1CN01AS44yv1Ck5KkdTPYd_!!0-saturn_solar.jpg,0,612525797092,广东 东莞,5.90,4.90,['菠萝'],2,true,0,削菠萝神器不锈钢削皮器 切菠萝刀去眼器夹,t_1515581190275_0141
4.6,-2.72,4.5,-4.68,4.6,-3.16,https://img.alicdn.com/imgextra/i1/131267853/O1CN010oxbVk27siuT7OOhV_!!0-saturn_solar.jpg,1,614148298561,海南 海口,59.00,29.80,['菠萝'],768,true,0,精选大果正宗海南金钻凤梨水果菠萝新鲜,展卉旗舰店
4.9,77.66,4.9,55.40,4.9,62.22,https://img.alicdn.com/imgextra/i4/125700692/O1CN01n4zTXk1GyyYahH5jA_!!0-saturn_solar.jpg,0,577148249619,浙江 温州,10.00,,['菠萝'],282,true,0,多款水果派盒菠萝派香芋派红豆派一次性包装,t_1499329763832_074
4.8,17.85,4.8,0,4.8,6.98,https://img.alicdn.com/imgextra/i4/45844419/O1CN01L6X6fP1iVwotqKM77_!!0-saturn_solar.jpg,1,612289546322,广东 湛江,48.00,35.90,['菠萝'],26,true,0,顺丰包邮徐闻愚公楼菠萝 新鲜菠萝 凤,味真栈旗舰店
4.9,60.52,4.8,31.62,4.9,57.19,https://img.alicdn.com/imgextra/i4/1094400180/O1CN01EiGlVt1DCTtgEJzLI_!!0-saturn_solar.jpg,0,615902819745,广东 湛江,35.00,,['菠萝'],78,true,0,徐闻菠萝当季新鲜水果凤梨包邮净重9斤现摘,seksifedha
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/121422958/O1CN01o2Jk2b1XioAOTqgWu_!!0-saturn_solar.jpg,0,619886301836,广东 湛江,29.90,,['菠萝'],17,true,0,10斤整箱新鲜湛江徐闻特产香水黄金泰国当,丽景花香
4.8,3.50,4.7,-1.43,4.8,0,https://img.alicdn.com/imgextra/i4/95770547/O1CN01a3hGZj1FuZEyLoFal_!!0-saturn_solar.jpg,0,566606542804,广东 中山,68.00,48.90,['菠萝'],217,true,,神湾菠萝5斤正宗中山神湾小菠萝时令水果,灯的一生
4.8,0,4.7,-0.70,4.8,0,https://img.alicdn.com/imgextra/i1/46577692/O1CN0142n8AU26gz8Vfuiqg_!!0-saturn_solar.jpg,0,616946533708,广东 广州,9.90,,['菠萝'],55,true,1,菠萝去眼夹子不锈钢凤梨挖眼夹子工具家用草,1号家居生活馆
4.7,-1.18,4.7,-1.81,4.7,-1.80,https://img.alicdn.com/imgextra/i1/253140088/O1CN019y1Vza1CWLS4WVhS4_!!0-saturn_solar.jpg,0,606425485103,福建 厦门,99.00,59.00,['菠萝'],50,true,0,超大台湾进口金钻凤梨新鲜水果树上熟2个装,zcy15980978529
