dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.9,91.45,4.9,88.55,4.9,88.86,https://img.alicdn.com/imgextra/i4/126396119/O1CN01LMYZDo1v4Y7m5gpP7_!!0-saturn_solar.jpg,1,616380030816,广东 广州,96.00,48.00,['蓝莓'],292,true,0,智利进口蓝莓当季新鲜超大甜新鲜蓝莓鲜果2,养鲜阁旗舰店
4.9,65.33,4.8,43.49,4.9,47.70,https://img.alicdn.com/imgextra/i3/786050026/O1CN01O9hL4t1C3wu2f9obP_!!0-saturn_solar.jpg,0,618628944574,辽宁 大连,49.90,39.90,['蓝莓'],99,true,1,大连庄河新鲜蓝莓鲜果大果500g当季孕妇水果,爱果者贸易有限公司
4.8,14.16,4.8,6.39,4.8,0,https://img.alicdn.com/imgextra/i2/15099827/O1CN01DJQZdn2MSok07Ujk2_!!0-saturn_solar.jpg,0,618400123525,贵州 黔东南,126.00,,['蓝莓'],207,true,0,顺丰包邮 现摘现发 贵州麻江新鲜蓝莓鲜果,灬信誉卖家灬
4.8,27.20,4.8,14.37,4.8,27.05,https://img.alicdn.com/imgextra/i1/482280155/O1CN01O2wcdB1D11xu2l9Km_!!0-saturn_solar.jpg,0,600637873476,黑龙江 哈尔滨,29.90,,['蓝莓'],118,true,0,大兴安岭特产野生小颗粒蓝莓 烘培 散装蓝,卞辰心
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/133465338/O1CN01bhncxA1pIqnzWoSxd_!!0-saturn_solar.jpg,0,619251991287,云南 大理,49.90,39.90,['蓝莓'],7,true,0,新鲜蓝莓鲜果当季时令水果孕妇水果宝宝辅食,yf571559172
4.7,-2.46,4.6,-3.47,4.7,-2.59,https://img.alicdn.com/imgextra/i3/28766384/O1CN01h9sFZM1x1v5TBd6EN_!!0-saturn_solar.jpg,0,596165644452,云南 玉溪,49.90,,['蓝莓'],3,true,0,蓝莓500克 新鲜现摘现发 云南高原露天,xujinlong52077
4.8,-0.57,4.7,-2.23,4.8,-0.66,https://img.alicdn.com/imgextra/i1/128490449/O1CN01XAeCYL1FBgR83eKn3_!!0-saturn_solar.jpg,0,617234365002,江苏 南京,36.80,,['蓝莓'],1,false,0,蓝莓鲜果新鲜水果空运包邮4盒装500g,茶衣的痛7
4.8,0,4.7,-1.40,4.8,0,https://img.alicdn.com/imgextra/i3/221830106/O1CN01yTwwMB1CeaaZs9mY2_!!2-saturn_solar.png,0,620614591738,云南 昆明,59.90,,['蓝莓'],11,true,0,现摘新鲜蓝莓鲜果8盒当季时令水果孕妇宝宝,tb404451379
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i3/1232570175/O1CN01ukkUk91DABuxKTcZP_!!0-saturn_solar.jpg,0,618579390649,云南 玉溪,58.80,,['蓝莓'],12,true,0,高原玉溪市中国大陆云南省新鲜蓝莓蓝靛果现,优花科技
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1232970199/O1CN01EaUnVq1DLBQJ6O0qd_!!0-saturn_solar.jpg,0,620641639910,江苏 连云港,22.90,20.61,['蓝莓'],1,false,0,时令新鲜应季蓝莓水果 宝宝铺食 准妈妈水,tb078746417
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1232970199/O1CN01AAzALd1DLBQ8uI8sB_!!0-saturn_solar.jpg,0,619865643552,江苏 连云港,22.90,20.61,['蓝莓'],9,true,0,新鲜蓝莓大鲜果当季孕妇宝宝辅食护眼应季水,tb078746417
4.9,93.46,4.9,74.54,4.9,80.87,https://img.alicdn.com/imgextra/i2/1149910186/O1CN01MkTqs21DFEGu4ngsl_!!0-saturn_solar.jpg,0,616723538444,江苏 连云港,59.90,,['蓝莓'],73,true,0,新鲜蓝莓鲜果 蓝莓水果 新鲜  野生蓝莓,湛蓝优果
