dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,13.62,4.7,0,4.8,8.36,https://img.alicdn.com/imgextra/i3/167710077/O1CN01Ldql9W1CRJ6LsTL37_!!0-saturn_solar.jpg,0,620004906936,海南 海口,36.90,9.90,['蜜桔'],4,true,0,海南小青桔新鲜包邮青金桔小金桔新鲜小青柠,晟禾源生态农业
4.9,68.64,4.9,75.55,4.9,69.39,https://img.alicdn.com/imgextra/i1/55395259/O1CN01dDXIal1oifVuWMwph_!!0-saturn_solar.jpg,0,38728822983,广东 东莞,9.80,,['蜜桔'],77,true,0,海南青金桔小青桔小青橘(不包邮),xne1982
4.5,-6.45,4.4,-6.36,4.3,-9.11,https://img.alicdn.com/imgextra/i4/22783456/O1CN01AUUI8d1bOtOBiSkFZ_!!0-saturn_solar.jpg,0,600827195619,广东 广州,39.80,10.80,['蜜桔'],3,true,0,3斤包邮新鲜海南小金桔酸青金桔柠檬青桔5,kuang35
4.9,94.79,4.9,87.25,4.9,94.22,https://img.alicdn.com/imgextra/i2/129543482/O1CN018kZAKA1banhi4ONar_!!0-saturn_solar.jpg,1,592338292719,浙江 台州,576.00,288.00,['蜜桔'],848,true,0,特级东魁正宗仙居杨梅新鲜东魁杨梅现摘,仙乡旗舰店
4.7,-1.64,4.4,-6.73,4.6,-3.34,https://img.alicdn.com/imgextra/i3/1086130052/O1CN01Pwship1CFrC7ssXsX_!!0-saturn_solar.jpg,0,617492989757,四川 资阳,29.90,,['蜜桔'],549,true,0,广西沃柑纯甜精品沃柑10斤正宗水果甜橘子,我不要你的东西57181484
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/1210150054/O1CN01K1R8nB1CGlzVD5RkX_!!0-saturn_solar.jpg,0,619253754260,宁夏 银川,99.00,19.60,['蜜桔'],20,true,0,现摘现发 宁夏灵武大长枣,众农亿客籏舰店
4.8,8.47,4.7,-1.21,4.8,0,https://img.alicdn.com/imgextra/i3/538670167/O1CN01VxiYI51D6WkQcHen8_!!0-saturn_solar.jpg,1,602467639200,山东 青岛,158.00,58.00,['蜜桔'],108,true,0,满籽多春鱼2斤海鲜多春鱼籽非干冻冷冻特大,橙净旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/120244169/O1CN018PCTCX1gfRn1LagB9_!!0-saturn_solar.jpg,0,614485897381,云南 保山,32.80,,['蜜桔'],2,true,0,四川不知火丑橘5斤桔子新鲜水果丑八怪耙耙,kunkun75565
4.9,53.65,4.9,51.42,4.9,51.44,https://img.alicdn.com/imgextra/i1/116859499/O1CN01NwpkmL2K2apqe36xA_!!0-saturn_solar.jpg,1,540780269810,上海,174.00,,['蜜桔'],132160,true,0,中街1946雪糕冰棍冰棒冰激凌冰淇淋14支装,中街1946旗舰店
4.8,-0.60,4.6,-2.68,4.7,-0.91,https://img.alicdn.com/imgextra/i2/464890162/O1CN01cD4d6l1D4ElSyyjJs_!!0-saturn_solar.jpg,0,619142431416,四川 资阳,39.80,,['蜜桔'],669,true,0,沃柑 广西 一级,云卷云舒海阔
4.8,0,4.7,-0.63,4.7,-2.09,https://img.alicdn.com/imgextra/i2/1167910200/O1CN01ZVDFKw1DLdoke56as_!!0-saturn_solar.jpg,0,618721583839,海南 海口,53.00,47.77,['蜜桔'],54,true,0,现摘15-35斤海南三亚菠萝蜜新鲜水果包,退伍不褪色海
4.6,-4.17,4.4,-7.14,4.5,-5.59,https://img.alicdn.com/imgextra/i4/120349015/O1CN014q7xFx2GSv8VywSSW_!!0-saturn_solar.jpg,1,612950833652,四川 成都,96.80,23.80,['蜜桔'],11174,true,0,四川青见柑橘9斤桔子新鲜孕妇水果应当季丑,甘福园旗舰店
4.7,-0.98,4.7,-1.58,4.7,-1.37,https://img.alicdn.com/imgextra/i4/508120097/O1CN01Jqqdp21CaT1FnSZAI_!!0-saturn_solar.jpg,1,618011008825,海南 海口,19.00,9.90,['蜜桔'],156,true,0,海南小青桔青金桔 新鲜金桔柠檬免邮奶茶水,果地香旗舰店
4.9,58.72,4.9,44.91,4.9,54.21,https://img.alicdn.com/imgextra/i4/1206320029/O1CN01aFKrmb1C5K5mIJQLq_!!0-saturn_solar.jpg,1,619598506492,海南 儋州,69.90,49.90,['蜜桔'],0,true,0,海南三亚特产热带新鲜 菠萝蜜当季现摘水果1,道客小农旗舰店
4.9,49.10,4.9,43.72,4.9,49.63,https://img.alicdn.com/imgextra/i4/118560706/O1CN01dg2W1f1H5OEBsdjKM_!!0-saturn_solar.jpg,1,537669179270,北京,65.00,36.00,['蜜桔'],1041,true,0,眉州东坡速食半成品菜私房菜四川特色东坡扣,眉州东坡旗舰店
4.8,30.31,4.4,-6.74,4.6,-3.51,https://img.alicdn.com/imgextra/i2/30183119/O1CN01PcOrF91YuXvz1sSeu_!!0-saturn_solar.jpg,0,614213057731,四川 资阳,37.60,,['蜜桔'],20,true,0,春见耙耙柑新鲜水果大果净重5斤四川丑橘产,月饼伴绿茶
4.5,-5.87,4.2,-11.34,4.4,-7.67,https://img.alicdn.com/imgextra/i2/129126370/O1CN01yRdrOL1wvVXaQDa83_!!0-saturn_solar.jpg,1,618392607350,湖北 宜昌,99.90,29.90,['蜜桔'],12318,true,0,湖北秭归伦晚脐橙当季现摘夏橙新鲜香甜水果,优佳源旗舰店
4.8,10.07,4.8,6.41,4.8,8.11,https://img.alicdn.com/imgextra/i4/117328503/O1CN019vKPS62CgQJFAE2mE_!!0-saturn_solar.jpg,0,536253575418,广东 广州,79.90,12.80,['蜜桔'],256,true,0,包邮小金桔新鲜海南青金桔3斤装餐饮必备,果鲜生168
4.9,54.92,4.8,24.79,4.8,35.71,https://img.alicdn.com/imgextra/i3/124069328/O1CN01YM911c2ImH6eXqqbc_!!0-saturn_solar.jpg,1,617658232253,浙江 温州,298.00,278.00,['蜜桔'],28,true,0,7A级 温州茶山杨梅6斤颗粒礼盒新鲜孕妇,绿新园旗舰店
4.9,54.92,4.8,24.79,4.8,35.71,https://img.alicdn.com/imgextra/i3/124069328/O1CN01IVrE402ImH6V88cqf_!!0-saturn_solar.jpg,1,618469091758,浙江 温州,188.00,178.00,['蜜桔'],251,true,0,7A级 新鲜杨梅温州茶山杨梅3斤颗粒礼盒,绿新园旗舰店
4.7,-1.71,4.6,-3.78,4.7,-2.08,https://img.alicdn.com/imgextra/i3/132877193/O1CN01rgCZYG230RVKwtLRs_!!0-saturn_solar.jpg,0,598152154199,云南 德宏,68.80,,['蜜桔'],0,true,0,云南菠萝蜜黄心黄肉麻郎牛肚子果新鲜水果现,lul563816683
4.8,-0.52,4.8,-0.52,4.8,0,https://img.alicdn.com/imgextra/i3/1116810079/O1CN01pfDfzq1CSDtQxEUii_!!0-saturn_solar.jpg,1,615928468940,海南 陵水,168.00,66.00,['蜜桔'],1517,true,0,海南三亚菠萝蜜新鲜水果一整个当季黄肉干苞,艾果岛旗舰店
4.9,58.72,4.9,44.91,4.9,54.21,https://img.alicdn.com/imgextra/i2/1206320029/O1CN01DDZsry1C5K5oBpmtA_!!0-saturn_solar.jpg,1,619608262174,海南 儋州,69.90,49.90,['蜜桔'],0,true,0,海南三亚热带当季新鲜热带孕妇水果菠萝蜜一,道客小农旗舰店
4.8,31.57,4.8,37.77,4.8,22.09,https://img.alicdn.com/imgextra/i4/462730191/O1CN01G6Ji3u1DHWFejMAx7_!!0-saturn_solar.jpg,0,618000119371,广西 北海,35.00,24.80,['蜜桔'],65,true,0,咸鱼哥海鲜干货深海大马鲛鱼干3-10斤海鱼鲅,13211327654sheng
