dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.9,41.09,4.9,62.45,4.9,47.76,https://img.alicdn.com/imgextra/i4/109409222/O1CN01GCDVNB2Hzj7ViHqWv_!!0-saturn_solar.jpg,0,617701049859,河北 石家庄,19.90,,['鸭梨'],2,true,0,正宗河北赵县雪花梨带箱10斤当季甜水果新,年轻就要够味1990
4.8,-0.58,4.6,-3.12,4.7,-2.65,https://img.alicdn.com/imgextra/i3/109427320/O1CN01qzYilN23wbo7Mj6oF_!!0-saturn_solar.jpg,0,617915113137,河北 石家庄,20.80,,['鸭梨'],151,true,0,5斤 河北皇冠梨雪花梨鸭梨当季孕妇水果梨,名着生活会馆
4.8,-0.72,4.7,-1.15,4.8,-0.63,https://img.alicdn.com/imgextra/i1/45490510/O1CN01WACo3P1FdcZyOoxZL_!!0-saturn_solar.jpg,0,540419047296,河北 石家庄,52.80,18.90,['鸭梨'],17,true,0,当季皇冠梨5斤装现摘现发新鲜甜脆多汁,高一贝
4.7,-2.12,4.7,-2.31,4.7,-2.34,https://img.alicdn.com/imgextra/i2/468970069/O1CN01ordsHT1CNduy9HBQp_!!0-saturn_solar.jpg,1,601326564600,河北 石家庄,39.90,15.80,['鸭梨'],4535,true,0,河北赵县鸭梨10斤梨子新鲜水果香梨雪梨包邮,维伊果旗舰店
4.7,-0.53,4.7,-0.70,4.7,-0.66,https://img.alicdn.com/imgextra/i4/823400115/O1CN0147i09i1Cii9XALEeg_!!0-saturn_solar.jpg,1,618027456820,陕西 西安,68.00,24.90,['鸭梨'],12505,true,0,古江新疆库尔勒香梨净重5斤特产 时令新鲜水,古江旗舰店
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i3/47618806/O1CN01oVJIHw2EvCJB4CciU_!!0-saturn_solar.jpg,0,598859062643,安徽 宿州,39.90,,['鸭梨'],0,false,0,梨子新鲜10斤带箱砀山梨皇冠梨香梨鸭梨早,永恒9967
4.6,-3.87,4.4,-6.25,4.5,-5.40,https://img.alicdn.com/imgextra/i4/354790014/O1CN01cDMiXW1ByS9HIjQ1n_!!2-saturn_solar.png,0,619523822252,陕西 渭南,26.66,,['鸭梨'],5,true,0,陕西早酥梨新鲜水果当季砀山酥梨鸭梨脆梨非,aiqi517xj
4.8,25.18,4.8,13.69,4.8,29.37,https://img.alicdn.com/imgextra/i4/405050139/O1CN01oJ5dkA1CtheacfqRE_!!0-saturn_solar.jpg,1,616335921563,河北 石家庄,47.80,23.90,['鸭梨'],2,true,0,河北赵县鸭梨新鲜梨子水果当季雪白梨脆梨,鲜多萃旗舰店
4.9,57.08,4.8,33.13,4.9,41.39,https://img.alicdn.com/imgextra/i1/935960027/O1CN01LjCzII1C4PIQo6rvX_!!0-saturn_solar.jpg,0,615495129829,四川 成都,29.90,,['鸭梨'],51,true,0,香梨带箱5斤10斤装 精选当季新鲜梨子大头梨,tb8592353707
4.8,-0.79,4.7,-0.75,4.8,-0.51,https://img.alicdn.com/imgextra/i4/114917815/O1CN01mYCnSy27bJqi96es6_!!0-saturn_solar.jpg,0,565840891557,河北 石家庄,47.80,24.90,['鸭梨'],565,true,0,皇冠梨10斤5斤包邮新鲜梨子水果鸭梨雪花梨,aishenghuo003
4.8,11.82,4.7,-1.64,4.7,0,https://img.alicdn.com/imgextra/i4/116575382/O1CN01L7A4FU1pd0DoD4P21_!!0-saturn_solar.jpg,1,615977485805,河北 石家庄,9.99,9.90,['鸭梨'],156,true,0,梨子新鲜整箱皇冠梨砀山梨香梨鸭梨早酥梨当,鲜果恋旗舰店
4.7,-0.66,4.8,0,4.7,-0.87,https://img.alicdn.com/imgextra/i4/134013518/O1CN01WicRB61brHvdOwrHb_!!0-saturn_solar.jpg,1,572351716742,河北 石家庄,62.90,16.80,['鸭梨'],24063,true,0,皇冠梨5斤 10斤包邮新鲜水果整箱梨子当季雪,乾和旗舰店
4.6,-4.17,4.4,-7.14,4.5,-5.59,https://img.alicdn.com/imgextra/i2/120349015/O1CN01P0r24H2GSv8e4e5iq_!!0-saturn_solar.jpg,1,619868703918,陕西 渭南,89.80,19.90,['鸭梨'],313,true,0,陕西早酥梨10斤梨子新鲜水果应当季皇冠脆梨,甘福园旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/52326103/O1CN012uaPoC1uxDmoDrEx5_!!0-saturn_solar.jpg,0,612139069771,河北 石家庄,17.80,,['鸭梨'],2,true,0,正宗雪花梨河北赵县5/10斤包邮新鲜水果,a614052157
4.7,-2.29,4.5,-4.75,4.6,-4.45,https://img.alicdn.com/imgextra/i1/121253909/O1CN017c2Bht1ekMor4UYRv_!!0-saturn_solar.jpg,0,603591761910,山东 烟台,21.80,,['鸭梨'],18,true,0,秋月梨正宗新鲜水果 梨子比南水梨雪梨丰水,烟台特产生态果园
4.8,-0.72,4.7,-1.15,4.8,-0.63,https://img.alicdn.com/imgextra/i3/105100323614236909/TB26l_EcLTJXuFjSspeXXapipXa_!!0-saturn_solar.jpg,0,541951694721,河北 石家庄,182.00,29.90,['鸭梨'],70,true,,河北赵县鸭梨水晶梨10斤新鲜梨子土特产水果,高一贝
4.8,0,4.7,-0.81,4.8,-0.54,https://img.alicdn.com/imgextra/i2/32359407/O1CN01RwR8zP2JMSOBJn04d_!!0-saturn_solar.jpg,0,616649130160,上海,198.00,168.00,['鸭梨'],32,true,1,新品上市新西兰进口piqaboo红啤梨新,heyedong146502
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/1230100131/O1CN01mjM7Lv1Cq2USWOmYx_!!0-saturn_solar.jpg,0,619917017453,重庆,8.00,6.50,['鸭梨'],9,true,0,小村牧歌 130克 小包装毛肚毛肚新鲜生,motaorong
4.3,-10.48,4.3,-9.64,4.3,-10.41,https://img.alicdn.com/imgextra/i1/119262530/O1CN013sdrnp1UYmeSgKu1c_!!0-saturn_solar.jpg,0,595766104416,四川 广元,39.90,,['鸭梨'],2,true,0,新鲜青翠冠梨超甜梨梨子四川青脆梨苍溪雪梨,辛润商贸有限公司
5.0,100.00,4.8,18.65,5.0,100.00,https://img.alicdn.com/imgextra/i2/33058684/O1CN01f8WZ8a2E1JyXdTmcx_!!0-saturn_solar.jpg,0,590807431812,陕西 渭南,23.90,,['鸭梨'],0,true,0,陕西老哥早酥梨新鲜梨子青皮梨脆甜多汁优选,ml0403877
4.8,0,4.7,-0.81,4.8,-0.54,https://img.alicdn.com/imgextra/i2/32359407/O1CN01bFqKZ82JMSOSNI9Wn_!!0-saturn_solar.jpg,0,43627996160,上海,108.00,68.00,['鸭梨'],30,true,1,现货比利时啤梨新鲜水果5斤装青啤梨孕妇宝,heyedong146502
4.9,71.52,4.9,77.82,5.0,100.00,https://img.alicdn.com/imgextra/i4/46612393/O1CN013d4GIQ1TY2Nw31Llb_!!0-saturn_solar.jpg,0,596200062677,河北 张家口,12.80,,['鸭梨'],7,true,0,佳农李强散养黑土猪头7.5斤 心脏5斤,金龙博雅
4.8,13.49,4.6,-4.00,4.7,-0.90,https://img.alicdn.com/imgextra/i1/742830007/O1CN01m3370D1BvFLtBCA5u_!!0-saturn_solar.jpg,0,608655780201,河北 保定,16.90,,['鸭梨'],2,true,0,绿岛荟蠡县特产河北铁棍山药段3斤装断头包,登峰山药
4.8,21.41,4.7,0,4.8,20.03,https://img.alicdn.com/imgextra/i2/52417870/O1CN01oG3pRN280VVyhqoC2_!!0-saturn_solar.jpg,0,582252053680,北京,45.90,35.80,['鸭梨'],53,true,0,新鲜红肖梨 老北京红梨 沙梨 甜梨 可煮,vv宝贝z
4.8,-0.58,4.7,-0.94,4.8,0,https://img.alicdn.com/imgextra/i2/129319776/O1CN01Pw6Mip2M5SXu5akSR_!!0-saturn_solar.jpg,0,619851353717,广西 南宁,24.90,,['鸭梨'],0,true,0,净果5斤全国包邮新疆库尔勒香梨 新鲜,hyong9806
4.9,59.09,4.9,68.11,4.9,60.07,https://img.alicdn.com/imgextra/i1/1140410031/O1CN01Mt971T1C6EssAdQpu_!!0-saturn_solar.jpg,0,616923205222,广东 佛山,238.00,,['鸭梨'],36,true,0,寻味顺德 正宗传统黑椒脆皮广东烧鹅 新鲜整,tb935237434
4.4,-8.57,3.7,-21.03,4.0,-17.30,https://img.alicdn.com/imgextra/i1/123604259/O1CN01oVBPnV1hKfRjZrr1P_!!0-saturn_solar.jpg,0,566007280576,广东 广州,29.90,,['鸭梨'],0,true,0,顺丰包邮河北皇冠梨5斤包邮新鲜水果梨,white310410
4.9,89.29,4.9,78.57,4.9,84.39,https://img.alicdn.com/imgextra/i3/409110091/O1CN01GgkGvx1CXieCEHlqW_!!0-saturn_solar.jpg,1,617635055965,浙江 台州,498.00,268.00,['鸭梨'],522,true,0,正宗仙居东魁杨梅新鲜现摘特级大东魁现摘现,浙仙旗舰店
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/16477466/O1CN01MkyH8R251Tcz6oRmW_!!0-saturn_solar.jpg,0,618762414532,浙江 台州,238.00,95.00,['鸭梨'],6,false,0,杨梅新鲜水果东魁杨梅仙居大杨梅时令应季孕,a16022922
4.9,51.00,4.8,38.15,4.9,51.39,https://img.alicdn.com/imgextra/i2/652060183/O1CN01q62lCM1DDr5JVVx1p_!!0-saturn_solar.jpg,1,618454750242,广东 广州,199.00,128.00,['鸭梨'],7,true,0,新鲜液氮鹅肝法国进口整只切片宝宝辅食法式,味泰吉食品专营店
4.7,-2.24,4.6,-3.91,4.6,-2.91,https://img.alicdn.com/imgextra/i2/122186082/O1CN01CW9uVY1unbTNuP115_!!0-saturn_solar.jpg,1,588106599005,广东 茂名,168.00,26.80,['鸭梨'],7553,true,0,板栗红薯新鲜10斤现挖栗子番薯黄心农家自种,享康食品旗舰店
4.7,-2.58,4.5,-5.27,4.6,-4.34,https://img.alicdn.com/imgextra/i1/1107780158/O1CN01f33E361D2PBGWpojZ_!!2-saturn_solar.png,1,620151615196,陕西 西安,19.90,,['鸭梨'],2862,true,0,5斤净重吐鲁番哈密瓜新鲜水果爆甜火焰蜜瓜,蜜醉果旗舰店
4.4,-7.72,3.8,-19.37,4.2,-11.78,https://img.alicdn.com/imgextra/i4/108293995/O1CN01L3a1eG1fNkt6jqSSE_!!0-saturn_solar.jpg,0,618726457187,河北 衡水,21.80,,['鸭梨'],0,true,0,河北皇冠梨10斤包邮雪梨鸭梨皇黄花梨新鲜脆,3688衣柜
4.9,32.51,4.9,12.92,4.9,24.05,https://img.alicdn.com/imgextra/i1/11703747/O1CN01e5b1SD1dYAfFC6HU9_!!0-saturn_solar.jpg,0,620008249356,浙江 金华,41.00,,['鸭梨'],34,true,0,我爸自己种的有机红白桃装箱重5.5斤以上6斤,sxtalks198611
4.8,-0.52,4.8,15.60,4.8,5.26,https://img.alicdn.com/imgextra/i3/859120175/O1CN01H2V7bN1DABuvwypIA_!!0-saturn_solar.jpg,0,611199072577,陕西 渭南,23.90,,['鸭梨'],8,true,0,当季香酥梨5斤孕妇水果整箱包邮新鲜直批6,鹰击长空伟
4.4,-7.72,3.8,-19.37,4.2,-11.78,https://img.alicdn.com/imgextra/i2/108293995/O1CN01C4gXLf1fNkt6KijWb_!!0-saturn_solar.jpg,0,618726533053,河北 衡水,16.80,,['鸭梨'],0,true,0,包邮脆甜多汁河北鸭梨水果新鲜10斤雪梨母梨,3688衣柜
4.9,65.15,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i4/439810195/O1CN01R3e3HE1DJLm7NW6Wr_!!0-saturn_solar.jpg,0,617965320396,新疆 巴音郭楞,69.90,,['鸭梨'],53,true,0,新疆小红杏新鲜当季甜杏子水果带箱4斤装非,懒丛交易
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i2/1210990029/O1CN01sZFDDL1C5K5gcQbha_!!0-saturn_solar.jpg,0,620075795476,山东 潍坊,18.00,6.60,['鸭梨'],90,true,0,紫皮大洋葱大红皮圆洋葱5斤10斤包邮,佳遇水果生鲜
4.7,-1.58,4.7,-2.33,4.7,-2.34,https://img.alicdn.com/imgextra/i1/268290135/O1CN01m0xfHu1Crs4Xz6cNe_!!0-saturn_solar.jpg,1,619867030753,安徽 宿州,12.90,,['鸭梨'],178,true,0,梨子新鲜10斤整箱安徽砀山皇冠梨应季水果,桃元帅旗舰店
4.8,25.18,4.8,13.69,4.8,29.37,https://img.alicdn.com/imgextra/i3/405050139/O1CN01qSnMXe1CthemyulEz_!!0-saturn_solar.jpg,1,615283001904,河北 石家庄,45.80,22.90,['鸭梨'],0,true,0,冰糖雪花梨当季梨子新鲜水果应季丑梨当季,鲜多萃旗舰店
4.3,-9.90,4.6,-4.58,4.6,-4.09,https://img.alicdn.com/imgextra/i3/14394321/O1CN01gTjJoV1hn3yKRdl3I_!!0-saturn_solar.jpg,0,607635170881,山西 运城,19.80,,['鸭梨'],1,true,0,山西运城酥梨新鲜水果产地直供当季梨子,yaohongqiqi
4.7,-1.02,4.6,-3.56,4.7,-2.15,https://img.alicdn.com/imgextra/i2/124375256/O1CN01V5YWRj1ohIKJXZIYs_!!0-saturn_solar.jpg,0,619295792278,四川 成都,18.80,,['鸭梨'],1247,true,0,脱骨李子新鲜5斤当季水果酸脆四川甜李孕妇,19960614余丹
4.6,-3.18,4.5,-5.72,4.5,-4.66,https://img.alicdn.com/imgextra/i3/29511565/O1CN01CuyCp81NQoRMBR28F_!!0-saturn_solar.jpg,1,587936833730,新疆 乌鲁木齐,92.00,36.90,['鸭梨'],4023,true,0,新疆库尔勒香梨5斤脆甜小梨子单果100-,西域果园官方旗舰店
4.9,59.91,4.8,40.02,4.9,54.35,https://img.alicdn.com/imgextra/i3/115027888/O1CN01YO9Ji8288kluJGtxP_!!0-saturn_solar.jpg,1,529344822118,广东 深圳,6888.00,5888.00,['鸭梨'],3,true,0,溏心网鲍 一哥鲍鱼御厨名菜非养殖溏心网鲍,一哥鲍鱼旗舰店
4.8,33.54,4.7,2.01,4.8,35.17,https://img.alicdn.com/imgextra/i2/568050118/O1CN01kwmksR1Ck5KqtuzzI_!!0-saturn_solar.jpg,0,616790195575,安徽 宿州,18.50,,['鸭梨'],194,true,0,正宗新鲜10斤安徽砀山梨酥梨荡山梨包邮2,明朝无酒族
4.9,51.00,4.8,38.15,4.9,51.39,https://img.alicdn.com/imgextra/i3/652060183/O1CN015KnI2E1DDr5MGXF5p_!!0-saturn_solar.jpg,1,618198613785,广东 广州,599.00,388.00,['鸭梨'],13,true,0,新鲜液氮鹅肝法国进口法式鹅肝红酒即食整只,味泰吉食品专营店
4.8,29.65,4.8,30.78,4.8,35.22,https://img.alicdn.com/imgextra/i4/121310912/O1CN01p4V4Hm1Ibjo1ohg5A_!!0-saturn_solar.jpg,0,547471276854,辽宁 葫芦岛,51.80,26.60,['鸭梨'],2121,true,1,野生海蜇头拍4斤送一斤,小石头水产
