dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.8,18.60,4.8,32.82,4.8,25.23,https://img.alicdn.com/imgextra/i2/54627827/O1CN01L5Y84827gobpV2B2e_!!0-saturn_solar.jpg,0,618478764496,广东 茂名,88.00,,['龙眼'],177,true,0,亿微有品新鲜龙眼精选5斤桂圆,上善若水之萌小蚊
4.8,17.85,4.8,0,4.8,6.98,https://img.alicdn.com/imgextra/i4/45844419/O1CN01h1pDkv1iVwortRb6y_!!0-saturn_solar.jpg,1,618315949183,广东 茂名,288.00,128.00,['龙眼'],109,true,0,现摘 广东茂名当季新鲜水果 石硖龙眼储良,味真栈旗舰店
4.7,-2.61,4.2,-10.63,4.7,-2.53,https://img.alicdn.com/imgextra/i4/115983746/O1CN01yvQ20C1dXiGe8ISRe_!!0-saturn_solar.jpg,0,617964460112,广东 茂名,18.80,,['龙眼'],14,true,0,新鲜龙眼3斤茂名特产现摘现发应季水果果园,有梦想就有方向一
4.6,-3.76,4.5,-5.39,4.6,-4.01,https://img.alicdn.com/imgextra/i3/400330010/O1CN01Lo64Ug1BwcZAp53Ct_!!0-saturn_solar.jpg,0,620171451943,广东 茂名,108.00,68.80,['龙眼'],0,true,0,新鲜现摘石硖储良龙眼5斤装包邮当季孕妇水,塘底阿宝
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i1/1228860139/O1CN01FrD1w91CthetAUjpG_!!0-saturn_solar.jpg,0,619449000207,广东 茂名,88.80,39.80,['龙眼'],257,true,0,整箱5斤包邮新鲜桂圆龙眼水果当季甜现,知果园
4.5,-5.85,4.4,-8.80,4.4,-8.13,https://img.alicdn.com/imgextra/i4/1032620131/O1CN01vLEA371Cq2TflZVYo_!!0-saturn_solar.jpg,1,613668012923,广东 广州,108.80,,['龙眼'],21,true,0,新鲜龙眼泰国进口新鲜龙眼桂圆去枝净果,醉祥果旗舰店
4.3,-9.12,4.2,-11.79,4.3,-9.67,https://img.alicdn.com/imgextra/i4/385140056/O1CN01VKraEB1CHgmjGMJOG_!!0-saturn_solar.jpg,0,621087183674,广东 茂名,38.90,,['龙眼'],1,true,0,5斤顺丰现摘新鲜龙眼高州石硖龙眼,三华李水果合作社
4.2,-12.82,3.8,-20.76,4.0,-15.97,https://img.alicdn.com/imgextra/i2/178030011/O1CN01eX35Ct1Bx4xaoBL2A_!!0-saturn_solar.jpg,0,619251834371,陕西 西安,59.80,,['龙眼'],1,true,0,新鲜龙眼5斤当季水果大桂圆应季采摘核小皮,退伍兵在家创业
4.2,-12.82,3.8,-20.76,4.0,-15.97,https://img.alicdn.com/imgextra/i4/178030011/O1CN01LjWimS1Bx4xTcRh3n_!!0-saturn_solar.jpg,0,618991937189,陕西 西安,49.80,,['龙眼'],0,true,0,石硖龙眼新鲜带箱5斤应季水果秒杀高州储良,退伍兵在家创业
4.1,-13.24,3.6,-24.23,3.9,-19.06,https://img.alicdn.com/imgextra/i4/118246601/O1CN01iPayZu1ydJ24hfKqY_!!0-saturn_solar.jpg,0,616466034267,河南 郑州,69.99,,['龙眼'],1,true,0,新鲜龙眼应季时令孕妇水果 甜蜜多汁新鲜桂,退伍兵小哥
4.7,-2.61,4.2,-10.63,4.7,-2.53,https://img.alicdn.com/imgextra/i1/115983746/O1CN01eYasNo1dXiGeBmcmX_!!0-saturn_solar.jpg,0,619337192078,广东 茂名,19.80,,['龙眼'],14,true,0,新鲜龙眼 1斤装应季水果 广东茂名发货现摘,有梦想就有方向一
